"crop_name","year","country_iso2","country_name","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","gp_index_crops","gp_index_crops_lives_products","gp_index_custom","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Rapeseed and Mustards","2012","","World",35305580,63195153,62421999,45995033,63449761,45901953,3.9,34,0,3.86,38636.695995,1,0.00821088578182678,0.0283281408544867,0.4,0.0197658279405352,0.0442405960986604,0.500545450675509
"Rapeseed and Mustards","2013","","World",37046669,73622344,64656749,46080760,68000566,46552718,NA,NA,NA,NA,42270.598504,1,0.00900024107395316,0.0289140927584776,0.4,NA,0.0484015870523525,0.486315920884783
"Raspberries","2010","","World",106356,521694,NA,NA,NA,NA,65.96,28,0.34,0.33,1202.461137,1,4.21076011763941e-05,NA,0.4,0.0127708560169716,0.0013766193638011,0.414189582981949
"Raspberries","2011","","World",106806,597424,NA,NA,NA,NA,68.08,29,0.35,0.34,1340.206983,1,4.6152157207781e-05,NA,0.4,0.0131783723157509,0.00153434489928124,0.41475886937224
"Raspberries","2012","","World",102175,566558,NA,NA,NA,NA,70.36,30,0.36,0.35,1384.676951,1,4.3887939642046e-05,NA,0.4,0.013612908338929,0.00158526512460393,0.415242061403175
"Raspberries","2013","","World",92597,584524,NA,NA,NA,NA,NA,NA,NA,NA,1521.647309,1,4.3506669916688e-05,NA,0.4,NA,0.00174210268949469,0.401785609359411
"Rhubarb","2010","","World",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,1,0.0162048267894583,0.00173757695124737,0.4,0.0508233859727502,0.0889299152702887,0.557695704983745
"Rhubarb","2011","","World",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,1,0.0162573077966097,0.00177788477971017,0.4,0.0513643121607486,0.102388621952953,0.571788126690022
"Rhubarb","2012","","World",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,1,0.0169321687834934,0.00163089025537678,0.4,0.053019801980198,0.105784165156163,0.577367026175232
"Rhubarb","2013","","World",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,1,0.0173510891901523,0.00178277574923765,0.4,NA,0.109261960648607,0.528395825587997
"Rice bean","2010","","World",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,1,0.00694332427497575,0.00217577575346952,0.4,0.00176213078616697,0.0386893668542399,0.449570597668852
"Rice bean","2011","","World",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,1,0.00688823531813896,0.00261504423342792,0.4,0.00168391737849819,0.0479411035309493,0.459128300461014
"Rice bean","2012","","World",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,1,0.00675518470332227,0.00268507645340252,0.4,0.00163832159357519,0.0436417839287307,0.454720366679031
"Rice bean","2013","","World",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,1,0.00681050189622948,0.00256560260176531,0.4,NA,0.0470481756679885,0.456424280165983
"Roselle","2010","","World",174067,260086,NA,NA,NA,NA,NA,NA,NA,NA,111.560907,1,3.77251021024493e-05,NA,0.4,NA,0.000127486791540716,0.400165211893643
"Roselle","2011","","World",177187,273679,NA,NA,NA,NA,NA,NA,NA,NA,134.392861,1,3.88718323045989e-05,NA,0.4,NA,0.000153630463203294,0.400192502295508
"Roselle","2012","","World",167191,260262,NA,NA,NA,NA,NA,NA,NA,NA,119.172125,1,3.67824204911757e-05,NA,0.4,NA,0.000136201997621821,0.400172984418113
"Roselle","2013","","World",178613,253350,NA,NA,NA,NA,NA,NA,NA,NA,105.200735,1,3.80002535589869e-05,NA,0.4,NA,0.000120204092544147,0.400158204346103
"Rubber, natural","2010","","World",9473015,10838844,15089979,46799124,15763419,47678720,NA,NA,NA,NA,21494.378374,1,0.00188138594477015,0.0226306573403342,0.4,NA,0.0246118283016052,0.44912387158671
"Rubber, natural","2011","","World",9628678,11593272,16315060,75127519,17076424,76076432,NA,NA,NA,NA,30875.131966,1,0.00194260799513252,0.0350494831749954,0.4,NA,0.0353532366741341,0.472345327844262
"Rubber, natural","2012","","World",10318706,12663007,16323493,54814972,16417006,50887628,NA,NA,NA,NA,25948.375074,1,0.00209438972829531,0.0241835228170656,0.4,NA,0.0297118660518129,0.455989778597174
"Rubber, natural","2013","","World",10663401,13005417,17181472,47264717,17807857,44729870,NA,NA,NA,NA,23332.830324,1,0.00216011606786448,0.0216440764454513,0.4,NA,0.0267169430959073,0.450521135609223
"Runner bean","2010","","World",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,1,0.00694332427497575,0.00217577575346952,0.4,0.00176213078616697,0.0386893668542399,0.449570597668852
"Runner bean","2011","","World",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,1,0.00688823531813896,0.00261504423342792,0.4,0.00168391737849819,0.0479411035309493,0.459128300461014
"Runner bean","2012","","World",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,1,0.00675518470332227,0.00268507645340252,0.4,0.00163832159357519,0.0436417839287307,0.454720366679031
