"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Cinnamon","2011","","World",242347,NA,199003,8211,5454178,1408666,NA,5218015,1393715,88886,167560,NA,5493342,NA,-24213,133350,322690,141780,318724,0.19,7,2.09,0.76,5218015,0.23,277029.607689,303.618354,705.454977,277029.607689,1
"Cinnamon","2012","","World",248420,NA,204310,8224,5398395,1584370,NA,5145518,1510444,92186,180290,NA,5490116,NA,-17795,116878,312345,118887,298284,0.19,7,2.04,0.74,5145518,0.22,284418.363933,309.953195,710.768002,284418.363933,1
"Cinnamon","2013","","World",258363,NA,209103,8093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149687,365902,142594,356506,NA,NA,NA,NA,NA,NA,291089.673768,313.955254,728.231902,291089.673768,1
"Citron","2010","","World",1346960,NA,12465575,92546,12552679,734564,NA,11688233,1198415,796909,21415,62979,12086677,NA,2151,1245167,964880,1176664,1051608,0.01,1,4.73,1.73,11688233.4,0.02,5635113.013982,5247.317905,5336.082128,5635113.013982,1
"Citron","2011","","World",1318993,NA,11349975,86050,10986990,622365,NA,10179701,919133,778736,23408,64307,10687969,NA,2253,1215392,973326,1172308,1105820,0.01,1,4.07,1.49,10179701.14,0.02,5130801.485057,4729.617458,5470.655986,5130801.485057,1
"Citron","2012","","World",1373407,NA,12870381,93711,12347310,547202,NA,11492677,1003583,824318,25522,75384,11876965,NA,13965,1175953,922962,1186400,1118192,0.01,1,4.55,1.66,11492676.75,0.02,5818107.289455,5343.436771,6441.807622,5818107.289455,1
"Citron","2013","","World",1383198,NA,15813981,114329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238782,966861,1286199,1180268,NA,NA,NA,NA,NA,NA,7148773.208124,6685.710047,8206.261198,7148773.208124,1
"Citronella","2010","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,12727,483,18374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Citronella","2011","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,11348,355,15612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Citronella","2012","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1367,48458,1292,63061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
