"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Abaca","2010","","World",162997,NA,101610,6234,97687,12279,NA,NA,11161,NA,98361,NA,98805,NA,0,12279,13692,11161,14231,NA,NA,NA,NA,NA,NA,75070.235405,59.683305,85.089464,75070.235405,1
"Abaca","2011","","World",168175,NA,104647,6223,106050,10525,NA,NA,10801,NA,106050,NA,105774,NA,0,10525,13444,10801,16439,NA,NA,NA,NA,NA,NA,77313.963103,61.503995,105.500519,77313.963103,1
"Abaca","2012","","World",167961,NA,104761,6237,102328,10108,NA,NA,6161,NA,102328,NA,106275,NA,0,10108,5580,6161,10209,NA,NA,NA,NA,NA,NA,77398.339724,61.584139,113.747981,77398.339724,1
"Abaca","2013","","World",168716,NA,102039,6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6070,9021,7974,12493,NA,NA,NA,NA,NA,NA,75386.968755,60.011443,106.653883,75386.968755,1
"Adlay","2010","","World",4573353,NA,5624483,12298,25156647,2162653,16945234,5234597,3017994,694753,1196807,273802,25021929,1153408,-720622,NA,NA,NA,NA,0.02,6,2.12,0.77,5234597.02,0.18,1471814.729145,787.976097,1568.32234,1282480.024925,1
"Adlay","2011","","World",3800556,895497,4869357,12812,26826514,2037303,18246866,5425673,3323497,714114,1336110,234119,25676844,1225528,-136524,NA,NA,NA,NA,0.02,7,2.17,0.79,5425673.23,0.18,1274213.305559,803.159706,1188.215668,1013282.279513,1
"Adlay","2012","","World",3949220,911953,5476533,13867,27490278,2140115,19300151,5196765,2991319,768032,1303985,171139,27050215,1136077,-411142,NA,NA,NA,NA,0.02,6,2.06,0.75,5196764.82,0.17,1433099.262671,864.541273,1782.852482,1165038.124381,1
"Adlay","2013","","World",4260313,938104,6150540,14437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1609473.395406,993.704448,1980.689669,1334071.73471,1
"Adzuki bean","2010","","World",32486941,NA,46510911,231884,23263358,3687949,2925196,17848377,3058155,1257641,395,NA,24159268,1250854,-266116,4178460,3905076,3595456,3694939,0.11,24,7.22,2.64,17848377.17,1.56,23835651.46561,19749.882483,33788.661932,21302312.535882,1
"Adzuki bean","2011","","World",32210303,NA,46191613,229717,22550667,4374204,2434938,17626824,3334745,1253116,64917,NA,23107800,1196330,482326,4856496,4842092,3851850,4108479,0.1,24,7.05,2.57,17626823.54,1.52,23504602.438845,19222.514691,41868.44617,21279052.060495,1
"Adzuki bean","2012","","World",30844784,NA,47256489,237545,22184938,4236638,2599136,17122805,3464305,1244916,44158,NA,23359698,1186106,-402427,4787454,4953739,4011952,4304353,0.1,23,6.78,2.47,17122804.78,1.46,23964544.99215,19624.753995,38113.737625,21571142.155966,1
"Adzuki bean","2013","","World",31027121,NA,47828399,241313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4556765,4657864,4071808,4484651,NA,NA,NA,NA,NA,NA,24162824.909485,19590.847169,41088.628853,21730034.483972,1
"African rice","2010","","World",693740399,NA,NA,NA,460450858,35030961,32942705,366518492,31482643,26716391,16192353,6154502,468621503,11926950,-4622327,33667567,20292800,31920942,20841526,1.89,547,148.3,54.13,366518491.71,10.24,195370921.023573,185816.288523,248136.623625,179580122.134546,1
"African rice","2011","","World",706179279,804025145,NA,NA,467717367,38877158,33043779,372030589,34683947,27981566,16498679,6147600,484014172,12017663,-12103595,37660616,24158859,35426797,24182629,1.85,548,148.85,54.32,372030588.78,10.23,202411854.863409,191591.382121,332021.44803,186636999.155692,1
"African rice","2012","","World",706711851,794825594,NA,NA,472469704,41192822,33580556,374089735,37033639,27413716,18641810,6521444,491785330,12225125,-15156442,39863585,23854196,37934683,24563130,1.82,544,148.13,54.07,374089735.21,10.15,205166538.416114,194726.96976,349330.712114,189688422.377043,1
"African rice","2013","","World",722317347,861868117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37174387,24225377,37887344,26330865,NA,NA,NA,NA,NA,NA,206762062.191074,196144.761947,337738.587879,191412445.346589,1
"Agave","2010","","World",56365,NA,44701,7931,1129670,917438,NA,NA,655005,0,1514876,NA,1391512,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21886.186672,16.656341,25.493216,21886.186672,1
"Agave","2011","","World",56465,NA,43750,7748,1038153,1104986,NA,NA,750029,0,1507345,NA,1393080,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21420.889041,16.175721,27.706216,21420.889041,1
"Agave","2012","","World",54840,NA,40965,7470,1037441,1229620,NA,NA,826206,1,1502894,NA,1440855,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20057.11944,14.944184,24.933796,20057.11944,1
"Agave","2013","","World",54880,NA,41465,7556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20301.92744,15.027685,21.819912,20301.92744,1
"Albardine","2010","","World",375939,NA,276134,7345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137717.294737,43.802029,83.921461,137717.294737,1
"Albardine","2011","","World",382836,NA,281306,7348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140296.831173,44.05972,102.302727,140296.831173,1
"Albardine","2012","","World",389075,NA,284142,7303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141711.226487,44.874829,93.506102,141711.226487,1
"Albardine","2013","","World",387491,NA,285396,7365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142336.328995,44.862812,89.382532,142336.328995,1
"Alfalfa","2010","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307714,326427,1391220,386515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Alfalfa","2011","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359116,339904,1493263,391822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Alfalfa","2012","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693467,470072,1752045,512463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Alfalfa","2013","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248773,350993,1327136,395460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Allspice","2010","","World",3528625,NA,32763720,177278,3096764,533598,NA,2909211,538382,124860,70080,NA,3079002,NA,12978,3162387,5167389,3150865,5445416,0.15,3,1.18,0.43,2909211,0.14,17353738.969965,20114.41576,29790.132371,17353738.969965,1
"Allspice","2011","","World",3560014,NA,33429988,178286,3278713,535728,NA,3066899,535167,131910,85200,NA,3287411,NA,-8137,3325048,5703570,3239532,5891003,0.16,4,1.23,0.45,3066899,0.15,17728341.719941,20332.727692,32519.391853,17728341.719941,1
"Allspice","2012","","World",3649905,NA,34278830,178983,3277619,650124,NA,3058522,582566,135477,90000,NA,3345137,NA,40,3569815,5764959,3474033,5845819,0.15,4,1.21,0.44,3058522,0.15,18245911.541833,21189.215575,31434.918417,18245911.541833,1
"Allspice","2013","","World",3608628,NA,34839222,183418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3584091,6190515,3490853,6323382,NA,NA,NA,NA,NA,NA,18638499.976475,21488.370947,34179.904516,18638499.976475,1
"Almonds","2010","","World",1719675,NA,2570069,14945,15315797,6518179,NA,14879642,6452925,442266,69544,1,15363269,30,17782,559444,2628845,524394,2468098,1.15,15,6.02,2.2,14879641.73,0.4,7584194.097393,9113.78695,7499.215269,7584194.097393,1
"Almonds","2011","","World",1732339,NA,3021249,17440,16307703,7156964,NA,15841974,6912901,463455,67112,0,16373211,30,178555,627818,3066105,575939,2854492,1.24,16,6.34,2.31,15841974.22,0.42,8915611.556284,11075.304438,10256.29204,8915611.556284,1
"Almonds","2012","","World",1767465,NA,2825751,15988,16629329,7590970,NA,16148683,7190498,498767,69400,1507,16911923,30,117878,657281,3564454,623293,3343982,1.23,16,6.39,2.33,16148682.84,0.42,8338703.861239,10166.086433,11556.097624,8338703.861239,1
"Almonds","2013","","World",1823264,NA,2840508,15579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687715,4669085,620935,4245830,NA,NA,NA,NA,NA,NA,8382250.759855,10596.089818,14858.618026,8382250.759855,1
"Amaranth","2010","","World",4573353,NA,5624483,12298,25156647,2162653,16945234,5234597,3017994,694753,1196807,273802,25021929,1153408,-720622,NA,NA,NA,NA,0.02,6,2.12,0.77,5234597.02,0.18,1471814.729145,787.976097,1568.32234,1282480.024925,1
"Amaranth","2011","","World",3800556,895497,4869357,12812,26826514,2037303,18246866,5425673,3323497,714114,1336110,234119,25676844,1225528,-136524,NA,NA,NA,NA,0.02,7,2.17,0.79,5425673.23,0.18,1274213.305559,803.159706,1188.215668,1013282.279513,1
"Amaranth","2012","","World",3949220,911953,5476533,13867,27490278,2140115,19300151,5196765,2991319,768032,1303985,171139,27050215,1136077,-411142,NA,NA,NA,NA,0.02,6,2.06,0.75,5196764.82,0.17,1433099.262671,864.541273,1782.852482,1165038.124381,1
"Amaranth","2013","","World",4260313,938104,6150540,14437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1609473.395406,993.704448,1980.689669,1334071.73471,1
"Anise","2010","","World",943046,NA,827412,8774,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,264610,510640,287213,493850,0.16,6,1.8,0.66,4441274,0.19,4573286.673893,713.277734,1717.742721,4573259.037813,1
"Anise","2011","","World",1082838,NA,952224,8794,5454178,1408666,NA,5218015,1393715,88886,167560,NA,5493342,NA,-24213,295131,598896,307764,607009,0.19,7,2.09,0.76,5218015,0.23,5263145.062713,802.040822,2020.413653,5263116.873911,1
"Anise","2012","","World",1040955,NA,923817,8875,5398395,1584370,NA,5145518,1510444,92186,180290,NA,5490116,NA,-17795,317335,571680,333008,607900,0.19,7,2.04,0.74,5145518,0.22,5106135.213192,758.05124,1758.201376,5106113.546506,1
"Anise","2013","","World",999465,NA,906033,9065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394543,742271,406832,764959,NA,NA,NA,NA,NA,NA,5007840.879241,742.033978,1714.573771,5007818.081919,1
"Apple","2010","","World",4886406,NA,71192145,145694,76165152,16458874,538123,61901248,21910322,7476526,32075,6263182,70120700,NA,593004,8594174,6479142,8302899,6668145,0.05,10,25.05,9.14,61901248.38,0.06,30108154.945618,33074.449402,65738.903597,29880574.839949,1
"Apple","2011","","World",4987857,NA,77072356,154520,77990647,16445137,630415,64262909,19357461,8092504,30111,5025968,75684594,NA,-606271,8262926,7149600,8095873,7182225,0.06,11,25.71,9.38,64262909.13,0.06,32594978.254927,35704.389813,48903.580506,32328367.124387,1
"Apple","2012","","World",5075039,NA,78625948,154927,80465904,17755829,697794,68150625,20129049,6530708,26359,5092925,77518741,NA,573942,8280054,7182023,8386623,7504849,0.06,11,26.99,9.85,68150624.65,0.07,33252014.314005,36129.070135,63553.128713,32956907.177245,1
"Apple","2013","","World",5160561,NA,82820750,160488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8584796,8028152,8613231,8476782,NA,NA,NA,NA,NA,NA,35026054.696294,38058.759239,52574.852995,34746207.80392,1
"Apricot","2010","","World",564663,NA,3305516,58540,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,373531,815358,362959,836224,0.33,28,65.96,24.08,163015129.55,0.34,1824998.255776,1927.628615,2922.525413,1824146.409886,1
"Apricot","2011","","World",536421,NA,3818558,71186,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,389398,856684,396574,888738,0.34,29,68.08,24.85,170163646.03,0.35,2108252.823852,2272.124154,3323.407202,2107398.703281,1
"Apricot","2012","","World",532322,NA,3865025,72607,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,473510,834068,483762,860904,0.35,30,70.36,25.68,177688423.09,0.36,2133907.090452,2301.656586,3182.899767,2132986.352651,1
"Apricot","2013","","World",558924,NA,4093243,73234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505747,943760,502358,971152,NA,NA,NA,NA,NA,NA,2259908.0973,2440.040111,3231.642382,2258692.711034,1
"Areca nuts","2010","","World",871949,NA,1081604,12404,15315797,6518179,NA,14879642,6452925,442266,69544,1,15363269,30,17782,262461,1178755,433559,1534219,1.15,15,6.02,2.2,14879641.73,0.4,1889902.233005,863.575801,1520.695727,1889902.233005,1
"Areca nuts","2011","","World",879009,NA,1096126,12470,16307703,7156964,NA,15841974,6912901,463455,67112,0,16373211,30,178555,307097,1490357,430906,1846159,1.24,16,6.34,2.31,15841974.22,0.42,1915275.878975,878.225417,1646.416713,1915275.878975,1
"Areca nuts","2012","","World",992815,NA,1340932,13506,16629329,7590970,NA,16148683,7190498,498767,69400,1507,16911923,30,117878,349900,1618078,458584,2030043,1.23,16,6.39,2.33,16148682.84,0.42,2343029.256648,1212.598507,2290.796347,2343029.256648,1
"Areca nuts","2013","","World",902648,NA,1166166,12919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310183,1603948,392896,2007377,NA,NA,NA,NA,NA,NA,2037657.359043,1051.665325,1816.101076,2037657.359043,1
"Arracacha","2010","","World",1218971,NA,8950085,73423,17270161,355012,723801,12663305,593730,2891782,907645,1,17030895,130019,548,137478,101979,150870,157835,0.01,6,5.12,1.87,12663305.11,0.08,1530562.912861,1506.180712,2069.069745,1477975.060315,1
"Arracacha","2011","","World",1257843,NA,9400643,74736,18176655,354829,770752,13190892,644236,3091549,1016539,1,17899493,130027,-12245,157844,110144,161930,178870,0.01,6,5.28,1.93,13190891.68,0.08,1607613.286743,1545.190898,2452.447779,1554910.836305,1
"Arracacha","2012","","World",1273960,NA,9798676,76915,18958491,429273,800435,13840482,815131,3184157,1101924,-1,18560298,125360,12334,188810,148987,141226,154375,0.01,6,5.48,2,13840481.71,0.08,1675681.424705,1848.170567,2908.690011,1626056.010247,1
"Arracacha","2013","","World",1286432,NA,9809301,76252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161957,146925,148880,180834,NA,NA,NA,NA,NA,NA,1677498.372022,1848.986414,2707.665689,1628074.80432,1
"Arrowroot","2010","","World",1218971,NA,8950085,73423,17270161,355012,723801,12663305,593730,2891782,907645,1,17030895,130019,548,137478,101979,150870,157835,0.01,6,5.12,1.87,12663305.11,0.08,1530562.912861,1506.180712,2069.069745,1477975.060315,1
"Arrowroot","2011","","World",1257843,NA,9400643,74736,18176655,354829,770752,13190892,644236,3091549,1016539,1,17899493,130027,-12245,157844,110144,161930,178870,0.01,6,5.28,1.93,13190891.68,0.08,1607613.286743,1545.190898,2452.447779,1554910.836305,1
"Arrowroot","2012","","World",1273960,NA,9798676,76915,18958491,429273,800435,13840482,815131,3184157,1101924,-1,18560298,125360,12334,188810,148987,141226,154375,0.01,6,5.48,2,13840481.71,0.08,1675681.424705,1848.170567,2908.690011,1626056.010247,1
"Arrowroot","2013","","World",1286432,NA,9809301,76252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161957,146925,148880,180834,NA,NA,NA,NA,NA,NA,1677498.372022,1848.986414,2707.665689,1628074.80432,1
"Artichokes","2010","","World",127554,NA,1480371,116058,816548019,41024281,45629760,701058269,39726312,69092141,366888,527258,817469827,102891,376161,38262,58197,36992,58205,0.59,71,283.67,103.54,701058269.4,3.79,1066440.274616,1055.117076,1194.618425,1066440.274616,1
"Artichokes","2011","","World",129510,NA,1528753,118041,840967335,43117429,51203729,716309449,41537316,72857461,298127,493642,842433091,107072,114357,34195,61784,32436,51880,0.6,71,286.58,104.6,716309449.49,3.82,1101294.07547,1082.206648,1265.54825,1101294.07547,1
"Artichokes","2012","","World",124809,NA,1616180,129493,864106729,43228665,47208012,747750498,41880443,68494011,419874,468813,865556348,110043,-101397,38487,57970,50349,71484,0.61,73,296.09,108.07,747750498.18,3.93,1164274.70528,989.663547,1209.843679,1164274.70528,1
"Artichokes","2013","","World",128996,NA,1608858,124722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45688,73240,61161,87935,NA,NA,NA,NA,NA,NA,1159000.17879,1068.442163,1279.156081,1159000.17879,1
"Asian rice","2010","","World",693740399,NA,NA,NA,460450858,35030961,32942705,366518492,31482643,26716391,16192353,6154502,468621503,11926950,-4622327,33667567,20292800,31920942,20841526,1.89,547,148.3,54.13,366518491.71,10.24,195370921.023573,185816.288523,248136.623625,179580122.134546,1
"Asian rice","2011","","World",706179279,804025145,NA,NA,467717367,38877158,33043779,372030589,34683947,27981566,16498679,6147600,484014172,12017663,-12103595,37660616,24158859,35426797,24182629,1.85,548,148.85,54.32,372030588.78,10.23,202411854.863409,191591.382121,332021.44803,186636999.155692,1
"Asian rice","2012","","World",706711851,794825594,NA,NA,472469704,41192822,33580556,374089735,37033639,27413716,18641810,6521444,491785330,12225125,-15156442,39863585,23854196,37934683,24563130,1.82,544,148.13,54.07,374089735.21,10.15,205166538.416114,194726.96976,349330.712114,189688422.377043,1
"Asian rice","2013","","World",722317347,861868117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37174387,24225377,37887344,26330865,NA,NA,NA,NA,NA,NA,206762062.191074,196144.761947,337738.587879,191412445.346589,1
"Asparagus","2010","","World",1426554,NA,7487774,52489,816548019,41024281,45629760,701058269,39726312,69092141,366888,527258,817469827,102891,376161,310837,904646,322330,1121898,0.59,71,283.67,103.54,701058269.4,3.79,6815087.755825,7011.54628,8761.212497,6815087.755825,1
"Asparagus","2011","","World",1454191,NA,8190220,56321,840967335,43117429,51203729,716309449,41537316,72857461,298127,493642,842433091,107072,114357,320764,949384,330404,1189328,0.6,71,286.58,104.6,716309449.49,3.82,7454426.739382,7627.476767,10152.553366,7454426.739382,1
"Asparagus","2012","","World",1483159,NA,8281961,55840,864106729,43228665,47208012,747750498,41880443,68494011,419874,468813,865556348,110043,-101397,353746,1039414,350344,1165339,0.61,73,296.09,108.07,747750498.18,3.93,7537926.576906,7697.74245,10474.279166,7537926.576906,1
"Asparagus","2013","","World",1462915,NA,7934250,54236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330537,1148581,336163,1423283,NA,NA,NA,NA,NA,NA,7221452.870986,7425.027542,11488.542099,7221452.870986,1
"Avocado","2010","","World",443271,NA,3879484,87519,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,829565,1466360,902790,1697254,0.33,28,65.96,24.08,163015129.55,0.34,2688327.122143,2168.0588,3810.703209,2672323.42382,1
"Avocado","2011","","World",457279,NA,4173951,91278,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,851891,1971227,950232,2214307,0.34,29,68.08,24.85,170163646.03,0.35,2892380.899258,2370.01817,4258.233434,2876022.567277,1
"Avocado","2012","","World",478170,NA,4456290,93195,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,1052904,1971669,1127815,2172802,0.35,30,70.36,25.68,177688423.09,0.36,3088030.654675,2581.69586,4329.081687,3071953.37287,1
"Avocado","2013","","World",506397,NA,4670163,92223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1216993,2479194,1283314,2776159,NA,NA,NA,NA,NA,NA,3236235.95333,2573.443791,4595.128165,3214751.641013,1
"Azarole","2010","","World",4539566,NA,28282688,62303,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,1948145,1651048,1984150,1889942,0.33,28,65.96,24.08,163015129.55,0.34,9871619.600295,6079.497811,9823.729645,9871269.920582,1
"Azarole","2011","","World",4833356,NA,29331448,60685,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,2396751,2119691,2444537,2452088,0.34,29,68.08,24.85,170163646.03,0.35,10237672.532083,6380.225854,11227.146752,10237328.90811,1
"Azarole","2012","","World",5040661,NA,30532406,60572,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,2385596,2161214,2463747,2604108,0.35,30,70.36,25.68,177688423.09,0.36,10656847.957216,6213.284996,11228.12823,10656487.26548,1
"Azarole","2013","","World",5117804,NA,31536972,61622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2379246,2326015,2523807,2858010,NA,NA,NA,NA,NA,NA,11007475.600846,6395.077944,11305.770503,11007114.90911,1
"Babaco","2010","","World",4539566,NA,28282688,62303,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,1948145,1651048,1984150,1889942,0.33,28,65.96,24.08,163015129.55,0.34,9871619.600295,6079.497811,9823.729645,9871269.920582,1
"Babaco","2011","","World",4833356,NA,29331448,60685,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,2396751,2119691,2444537,2452088,0.34,29,68.08,24.85,170163646.03,0.35,10237672.532083,6380.225854,11227.146752,10237328.90811,1
"Babaco","2012","","World",5040661,NA,30532406,60572,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,2385596,2161214,2463747,2604108,0.35,30,70.36,25.68,177688423.09,0.36,10656847.957216,6213.284996,11228.12823,10656487.26548,1
"Babaco","2013","","World",5117804,NA,31536972,61622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2379246,2326015,2523807,2858010,NA,NA,NA,NA,NA,NA,11007475.600846,6395.077944,11305.770503,11007114.90911,1
"Badian","2010","","World",943046,NA,827412,8774,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,264610,510640,287213,493850,0.16,6,1.8,0.66,4441274,0.19,4573286.673893,713.277734,1717.742721,4573259.037813,1
"Badian","2011","","World",1082838,NA,952224,8794,5454178,1408666,NA,5218015,1393715,88886,167560,NA,5493342,NA,-24213,295131,598896,307764,607009,0.19,7,2.09,0.76,5218015,0.23,5263145.062713,802.040822,2020.413653,5263116.873911,1
"Badian","2012","","World",1040955,NA,923817,8875,5398395,1584370,NA,5145518,1510444,92186,180290,NA,5490116,NA,-17795,317335,571680,333008,607900,0.19,7,2.04,0.74,5145518,0.22,5106135.213192,758.05124,1758.201376,5106113.546506,1
"Badian","2013","","World",999465,NA,906033,9065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394543,742271,406832,764959,NA,NA,NA,NA,NA,NA,5007840.879241,742.033978,1714.573771,5007818.081919,1
"Bambara bean","2010","","World",200627,NA,151785,7566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,29873.564775,22.749217,41.464877,26690.819222,1
"Bambara bean","2011","","World",202112,NA,135605,6709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,26689.033133,18.980994,39.481036,23874.598315,1
"Bambara bean","2012","","World",210565,NA,156016,7409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1541,1403,2642,6761,NA,NA,NA,NA,NA,NA,30706.366311,21.416809,43.937587,27122.554104,1
"Bambara bean","2013","","World",223826,NA,157247,7025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1727,2036,750,963,NA,NA,NA,NA,NA,NA,30948.568305,23.45812,51.312539,27367.291349,1
"Bamboo shoot","2010","","World",18400753,NA,259721091,141147,816548019,41024281,45629760,701058269,39726312,69092141,366888,527258,817469827,102891,376161,3251236,3268037,2399248,2480279,0.59,71,283.67,103.54,701058269.4,3.79,48942102.160999,47492.345654,77665.050267,44328058.425292,1
"Bamboo shoot","2011","","World",18372783,NA,260792753,141945,840967335,43117429,51203729,716309449,41537316,72857461,298127,493642,842433091,107072,114357,3375853,3295271,2608363,2709243,0.6,71,286.58,104.6,716309449.49,3.82,49144047.215957,47923.850719,89418.891726,44430921.875184,1
"Bamboo shoot","2012","","World",19028297,NA,271900678,142893,864106729,43228665,47208012,747750498,41880443,68494011,419874,468813,865556348,110043,-101397,3002047,3004214,2451482,2586994,0.61,73,296.09,108.07,747750498.18,3.93,51237235.617964,48478.291234,92384.308643,46149320.475429,1
"Bamboo shoot","2013","","World",19757918,NA,277946312,140676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2883011,3301102,2625756,3170254,NA,NA,NA,NA,NA,NA,52376481.06523,49748.737805,95421.558641,47072746.80656,1
"Bananas","2010","","World",5400390,NA,108665134,201217,103161938,18716689,1941189,83857776,17810117,16268326,111499,983159,104803944,NA,-735434,17490865,8098393,17933961,11713905,0.07,21,33.93,12.38,83857776.38,0.28,30603470.235008,21295.939023,35314.883339,30019021.628443,1
"Bananas","2011","","World",5496539,NA,109430205,199089,104230468,20226476,1582917,85139219,18788404,15826294,111547,1570490,105493940,NA,174600,18719902,8853166,18720741,13080942,0.07,21,34.06,12.43,85139218.68,0.28,30818938.184949,21236.542135,42854.6374,30334120.231809,1
"Bananas","2012","","World",5274021,NA,107810272,204418,103215495,20709269,1428441,84673424,18381618,15330551,125280,1674232,105521547,NA,21600,19099109,8629565,18313664,12477861,0.07,21,33.53,12.24,84673423.84,0.27,30362714.744078,20945.274945,45267.914459,29919982.963593,1
"Bananas","2013","","World",5286085,NA,110514408,209067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20098072,9688828,19664242,13922500,NA,NA,NA,NA,NA,NA,31124283.193456,21919.637125,40894.318998,30836209.762661,1
"Barley","2010","","World",47405964,NA,123303344,26010,132404904,36105735,86150170,6415513,33436485,4139184,880543,26667420,122829947,8155855,12244207,38169910,15801921,36389270,16380850,0.03,7,2.6,0.95,6415513.08,0.19,14670878.48122,16371.55234,23175.221453,3268460.899212,1
"Barley","2011","","World",48442390,NA,132733302,27400,132117052,35078749,85812518,6764349,33095847,4258335,818113,25928530,131773759,8539855,2326196,38004029,18996167,36370039,19174218,0.03,7,2.71,0.99,6764348.87,0.2,15792873.788286,17149.336058,31449.713389,4420764.874659,1
"Barley","2012","","World",49844175,NA,132213548,26525,129696085,39061533,81893763,6879983,37260328,4239107,605302,27280147,131475950,8798854,21340,42502967,20669168,40425588,20747422,0.03,7,2.72,0.99,6879982.91,0.2,15731032.365339,17143.260492,33779.540179,4814488.916212,1
"Barley","2013","","World",49773553,NA,143421287,28815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45098961,22024522,43112619,22507109,NA,NA,NA,NA,NA,NA,17064551.550782,18663.97964,35304.839744,4752685.636044,1
"Bay leaf","2010","","World",927593,NA,2103629,22678,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,379108,1301953,325132,1186048,0.16,6,1.8,0.66,4441274,0.19,1462352.244288,1203.742357,2146.763054,1462351.842487,1
