specie
Abelmoschus esculentus
Olea europaea
Allium cepa
Onobrychis viciifolia
Atriplex patula
Atriplex hortensis
Citrus sinensis
Citrus xsinensis
Origanum vulgare
Ornithopus sativus
Carica papaya
Petroselinum crispum
Pastinaca sativa
Passiflora edulis
Asimina triloba
Prunus persica
Cenchrus americanus
Pennisetum glaucum
Pennisetum glaucum
Pyrus communis
Pisum sativum
Carya illinoinensis
Piper nigrum
Mentha xpiperita
Mentha piperita
Perilla frutescens
Diospyros kaki
Phalaris aquatica
Phalaris arundinacea
Phleum pratense
Jatropha curcas
Cajanus cajan
Canarium indicum
Canarium harveyi
Canarium ovatum
Pinus pinea
Ananas comosus
Pistacia vera
Musa balbisiana
Prunus domestica
Poa alpina
Poa pratensis
Poa annua
Punica granatum
Pongamia glabra
Papaver somniferum
Solanum tuberosum
Solanum curtilobum
Solanum juzepczukii
Solanum ajanhuiri
Opuntia ficus-indica
Panicum miliaceum
Prosopis affinis
Prosopis pallida
Prosopis nigra
Prosopis chilensis
Prosopis alba
Pueraria phaseoloides
Cucurbita maxima
Croton tiglium
Chrysanthemum cinerariifolium
Cydonia oblonga
Chenopodium quinoa
Raphanus sativus
Nephelium lappaceum
Boehmeria nivea
Brassica napus
Brassica rapa
Rubus idaeus
Rubus plicatus
Rheum rhabarbarum
Vigna umbellata
Hibiscus sabdariffa
Rosmarinus officinalis
Hevea brasiliensis
Phaseolus coccineus
Secale cereale
Carthamus tinctorius
Crocus sativus
Metroxylon sagu
Tragopogon porrifolius
Salsola vermiculata
Manilkara zapota
Satureja hortensis
Satureja montana
Sorbus domestica
Sesamum indicum
Shorea robusta
Agave sisalana
Sansevieria trifasciata
Sorghum bicolor
Rumex acetosa
Glycine max
Spinacia oleracea
Fragaria xananassa
Fragaria ananassa
Arbutus unedo
Beta vulgaris
Saccharum officinarum
Helianthus annuus
Crotalaria juncea
Ipomoea batatas
Canavalia gladiata
Triadica sebifera
Stillingia sebifera
Sapium sebiferum
Shorea stenocarpa
Shorea aptera
Sapium sebiferum
Shorea aptera
Shorea stenocarpa
Stillingia sebifera
Tamarindus indica
Colocasia esculenta
Artemisia dracunculus
Camellia sinensis
Eragrostis tef
Phaseolus acutifolius
Thymus vulgaris
Nicotiana tabacum
Physalis philadelphica
Physalis ixocarpa
Solanum lycopersicum
Tripsacum laxum
×Triticosecale blaringhemii
Triticosecale schlanstedtense
×Triticosecale neoblaringhemii
×Triticosecale semisecale
×Triticosecale schlanstedtense
Triticosecale blaringhemii
Triticosecale neoblaringhemii
Triticosecale semisecale
Vernicia fordii
Aleurites fordii
Aleurites fordii
Curcuma longa
Brassica rapa
Ullucus tuberosus
Vanilla planifolia
Vanilla tahitensis
Vanilla xtahitensis
Vanilla pompona
Mucuna pruriens
Abutilon theophrasti
Vicia sativa
Juglans regia
Nasturtium officinale
Citrullus lanatus
Citrullus vulgaris
Triticum ×petropavlovskyi
Triticum zhukovsky
Triticum vavilovii
Triticum timopheevii
Triticum aestivum
Triticum turgidum
Triticum durum
Triticum flaksbergeri
Triticum ispahanicum
Triticum kiharae
Triticum monococcum
Zizania palustris
Psophocarpus tetragonolobus
Smallanthus sonchifolius
Dioscorea rotundata
Dioscorea alata
Dioscorea cayennensis
Xanthosoma sagittifolium
Phaseolus dumosus
Cucurbita pepo
