Hordeum-spontaneum-K.
?ipomoea
GossypiumAnomalumG29XG.davidsoniiG1
GossypiumHirsutumG173XG.Raimondii
GossypiumHirsutumG173XGAnomalumG2
N.n.
FleursEnBoulesOdo.
R-brassica
Ã—Triticosecale
2(gThurberiXGSturtianum)XG.Hirsut
CrataegosorbusMiczuriniiA.pojark.
?triticosecale
GHirsutumG173XG.AreysianumG1
GSturtianumG4XGAridumG248
polonicoidi-type
GArboreumG25XG.ThurberiG27
GHirsutumG107XGArmourianumG8
GossypiumArboreumG02XG.sturtianumG0
GossypiumHirsutumG173XG.HarknesiiG
?Festulolium
GHirsutumG173XG313
Solms-laubachia
GossypiumArboreumG02XG.sturtianumG
GossypiumHirsutumG107XG.Longicalyx
?heliotropium
GossypiumHirsutumG107XG.Raimondii
?tritordeum
~nd
×triticosecale
Fl.Blanche??
Brassicanapussubsp.rapiferaMetzg.
GossypiumHirsutumG173XGStocksiiG3
GAnomalumG29XGAustraleG319
GHirsutumG173XGBarbosanumG336
GossypiumHirsutumG107XG.Harknessii
GossypiumHirsutumG107XGAnomalumG2
GossypiumThurberiG5XG.RobinsoniiG2
?Festulolium
GHirsutumG173XGStocksiiG32
Fl.Rose??
GHirsutumG107XGRobinsoniiG22
;brynoia
GArboreumG2XGArmourianumG8
GHirsutumG173XG.LongicalyxG251
Acocanstachys?
Caropodiumplatycarpum(boiss.ethausskn.)schischk.
GossypiumHirsutumG107XG.ThurberiG
?egilops
GHirsutumG173XG.LongicalyxG17
~sp
?coccinia
GArboreumG25XG.ThurberiG5
GHirsutum??G107XG313
Grass/legume-mixture
Armeniaco-prunus
2(gHirsutumXGSturtianum)XG.Lobatu
??
?ris
GossypiumDavidsoniiG10XG.sturtianum
GossypiumHirsutumG173XGAustraleG3
ArcticumLappaL.
GossypiumHirsutumG107XGSturtianumG
Grass-mixture
GSturtianumG320XGTriphyllumG334
Fl.Persistante??
GAnomalumG9XGAustraleG319
Ukr050
Triticumaestivumvar.
CaropodiumPlatycarpum(boiss.E
GossypiumDavidsoniiG10XG.Robinsonii
GossypiumHirsutumG173XG.Areysianum
subsp.
GossypiumAnomalumG23XGSturtianumG4
GAnomalumG23XGAridumG248
GossypiumHirsutumG107XGArboreumG20
GHirsutumG107XGLongicalyxG251
G313XGHirsutumG107
turgidum-type
GossypiumHirsutumG173XGAridumG248
GHirsutumG107XGArboreumG20
GHirsutumG107XG.HerbaceumG30
