"id_metric","id_country","id_crop","year","value"
1,1,23,2011,8863
1,1,41,2011,190000
1,1,91,2011,200
1,1,95,2011,200
1,1,105,2011,33000
1,1,132,2011,5000
1,1,136,2011,5000
1,1,143,2011,61558
1,1,158,2011,5000
1,1,171,2011,5000
1,1,173,2011,200
1,1,185,2011,5000
1,1,196,2011,183000
1,1,200,2011,1000
1,1,227,2011,2200
1,1,228,2011,14241
1,1,231,2011,1000
1,1,240,2011,5000
1,1,263,2011,20500
1,1,265,2011,5000
1,1,280,2011,3030000
1,1,281,2011,3030000
1,1,296,2011,15000
1,1,313,2011,1172
1,1,314,2011,3082
1,1,315,2011,170
1,1,324,2011,5000
1,1,347,2011,2232000
1,2,6,2011,15200
1,2,15,2011,3000
1,2,23,2011,3450
1,2,41,2011,2840
1,2,47,2011,15200
1,2,90,2011,3000
1,2,91,2011,20
1,2,95,2011,20
1,2,102,2011,15200
1,2,105,2011,740
1,2,116,2011,1067
1,2,143,2011,9077
1,2,173,2011,20
1,2,177,2011,233
1,2,183,2011,15200
1,2,196,2011,61200
1,2,200,2011,467
1,2,206,2011,15200
1,2,214,2011,15200
1,2,222,2011,12940
1,2,227,2011,28527
1,2,228,2011,8257
1,2,231,2011,467
1,2,242,2011,300
1,2,263,2011,9500
1,2,280,2011,147599
1,2,281,2011,147599
1,2,282,2011,15200
1,2,286,2011,15200
1,2,287,2011,1400
1,2,306,2011,324
1,2,313,2011,2000
1,2,315,2011,1460
1,2,325,2011,15200
1,2,327,2011,1180
1,2,329,2011,6100
1,2,347,2011,69219
1,2,353,2011,15200
1,3,6,2011,10415
1,3,15,2011,25346
1,3,23,2011,51080
1,3,40,2011,15
1,3,41,2011,852379
1,3,47,2011,10415
1,3,90,2011,25346
1,3,91,2011,450
1,3,95,2011,450
1,3,102,2011,10415
1,3,105,2011,211
1,3,116,2011,162134
1,3,142,2011,83
1,3,143,2011,72042
1,3,145,2011,2558
1,3,173,2011,450
1,3,177,2011,4365
1,3,183,2011,10415
1,3,196,2011,246
1,3,200,2011,59665
1,3,206,2011,10415
1,3,214,2011,10415
1,3,222,2011,59385
1,3,227,2011,311930
1,3,228,2011,46043
1,3,231,2011,59665
1,3,242,2011,42584
1,3,263,2011,131903
1,3,276,2011,12905
1,3,280,2011,2584933
1,3,281,2011,2584933
1,3,282,2011,10415
1,3,286,2011,10415
1,3,303,2011,94
1,3,315,2011,175
1,3,325,2011,10415
1,3,327,2011,4532
1,3,329,2011,20575
1,3,347,2011,1672431
1,3,353,2011,10415
1,4,6,2011,42
1,4,40,2011,358
1,4,47,2011,42
1,4,76,2011,17
1,4,99,2011,18
1,4,100,2011,2600
1,4,102,2011,42
1,4,183,2011,42
1,4,196,2011,5
1,4,206,2011,42
1,4,214,2011,42
1,4,228,2011,10
1,4,282,2011,42
1,4,286,2011,42
1,4,314,2011,30
1,4,325,2011,42
1,4,329,2011,29
1,4,351,2011,263
1,4,353,2011,42
1,5,6,2011,786906
1,5,40,2011,104750
1,5,47,2011,786906
1,5,76,2011,1072478
1,5,91,2011,21196
1,5,95,2011,21196
1,5,99,2011,2725
1,5,101,2011,32035
1,5,102,2011,786906
1,5,105,2011,3000
1,5,132,2011,204887
1,5,136,2011,204887
1,5,145,2011,314232
1,5,158,2011,204887
1,5,171,2011,204887
1,5,173,2011,21196
1,5,183,2011,786906
1,5,185,2011,204887
1,5,196,2011,1711142
1,5,206,2011,786906
1,5,214,2011,786906
1,5,224,2011,23000
1,5,228,2011,12903
1,5,240,2011,204887
1,5,255,2011,27504
1,5,263,2011,103391
1,5,265,2011,204887
1,5,280,2011,2159027
1,5,281,2011,2159027
1,5,282,2011,786906
1,5,286,2011,786906
1,5,296,2011,12100
1,5,303,2011,187272
1,5,306,2011,14625
1,5,314,2011,13000
1,5,315,2011,16500
1,5,317,2011,159528
1,5,324,2011,204887
1,5,325,2011,786906
1,5,327,2011,3031
1,5,329,2011,5247
1,5,347,2011,3650
1,5,353,2011,786906
1,6,6,2011,24
1,6,15,2011,20
1,6,40,2011,28
1,6,47,2011,24
1,6,76,2011,22
1,6,90,2011,20
1,6,102,2011,24
1,6,105,2011,700
1,6,177,2011,89
1,6,183,2011,24
1,6,196,2011,45
1,6,206,2011,24
1,6,214,2011,24
1,6,228,2011,33
1,6,255,2011,30
1,6,280,2011,45
1,6,281,2011,45
1,6,282,2011,24
1,6,286,2011,24
1,6,317,2011,42
1,6,325,2011,24
1,6,329,2011,46
1,6,351,2011,35
1,6,353,2011,24
1,7,6,2011,279658
1,7,15,2011,9666
1,7,23,2011,40218
1,7,40,2011,8381
1,7,41,2011,1121278
1,7,47,2011,279658
1,7,76,2011,18500
1,7,90,2011,9666
1,7,102,2011,279658
1,7,105,2011,623399
1,7,132,2011,4700
1,7,136,2011,4700
1,7,142,2011,6383
1,7,143,2011,218499
1,7,145,2011,264568
1,7,158,2011,4700
1,7,171,2011,4700
1,7,177,2011,48628
1,7,183,2011,279658
1,7,185,2011,4700
1,7,196,2011,3747838
1,7,200,2011,84459
1,7,206,2011,279658
1,7,214,2011,279658
1,7,222,2011,196135
1,7,227,2011,58747
1,7,228,2011,24309
1,7,231,2011,84459
1,7,240,2011,4700
1,7,242,2011,61921
1,7,255,2011,179
1,7,263,2011,66835
1,7,265,2011,4700
1,7,276,2011,29465
1,7,280,2011,11243708
1,7,281,2011,11243708
1,7,282,2011,279658
1,7,286,2011,279658
1,7,287,2011,23405
1,7,303,2011,1012617
1,7,306,2011,18764850
1,7,314,2011,299490
1,7,315,2011,1743040
1,7,317,2011,22250
1,7,324,2011,4700
1,7,325,2011,279658
1,7,327,2011,75715
1,7,329,2011,16540
1,7,347,2011,4582575
1,7,353,2011,279658
1,8,6,2011,1864
1,8,23,2011,8962
1,8,41,2011,67873
1,8,47,2011,1864
1,8,102,2011,1864
1,8,143,2011,14478
1,8,183,2011,1864
1,8,196,2011,3524
1,8,206,2011,1864
1,8,214,2011,1864
1,8,222,2011,1360
1,8,228,2011,1961
1,8,242,2011,189
1,8,263,2011,28665
1,8,280,2011,156138
1,8,281,2011,156138
1,8,282,2011,1864
1,8,286,2011,1864
1,8,287,2011,575
1,8,313,2011,3600
1,8,325,2011,1864
1,8,327,2011,614
1,8,329,2011,6837
1,8,347,2011,77806
1,8,353,2011,1864
1,10,6,2011,92904
1,10,15,2011,2372
1,10,23,2011,18821
1,10,40,2011,11196
1,10,41,2011,3680994
1,10,47,2011,92904
1,10,90,2011,2372
1,10,91,2011,130
1,10,95,2011,130
1,10,102,2011,92904
1,10,105,2011,588294
1,10,132,2011,35187
1,10,136,2011,35187
1,10,142,2011,719
1,10,143,2011,167422
1,10,145,2011,7282
1,10,158,2011,35187
1,10,171,2011,35187
1,10,173,2011,130
1,10,177,2011,1299
1,10,183,2011,92904
1,10,185,2011,35187
1,10,196,2011,68940
1,10,200,2011,19039
1,10,206,2011,92904
1,10,214,2011,92904
1,10,222,2011,826031
1,10,227,2011,42172
1,10,228,2011,6139
1,10,231,2011,19039
1,10,240,2011,35187
1,10,242,2011,320847
1,10,255,2011,2247
1,10,263,2011,32153
1,10,265,2011,35187
1,10,276,2011,2077542
1,10,280,2011,19137724
1,10,281,2011,19137724
1,10,282,2011,92904
1,10,286,2011,92904
1,10,287,2011,52198
1,10,303,2011,633071
1,10,306,2011,17361
1,10,314,2011,308104
1,10,315,2011,37177
1,10,317,2011,1776
1,10,324,2011,35187
1,10,325,2011,92904
1,10,327,2011,1043
1,10,329,2011,8244
1,10,347,2011,13501780
1,10,353,2011,92904
1,11,6,2011,485
1,11,15,2011,163
1,11,41,2011,153286
1,11,47,2011,485
1,11,90,2011,163
1,11,102,2011,485
1,11,132,2011,2200
1,11,136,2011,2200
1,11,143,2011,43839
1,11,158,2011,2200
1,11,171,2011,2200
1,11,183,2011,485
1,11,185,2011,2200
1,11,196,2011,217751
1,11,206,2011,485
1,11,214,2011,485
1,11,222,2011,25029
1,11,228,2011,3229
1,11,240,2011,2200
1,11,242,2011,13500
1,11,263,2011,22851
1,11,265,2011,2200
1,11,276,2011,53636
1,11,280,2011,809471
1,11,281,2011,809471
1,11,282,2011,485
1,11,286,2011,485
1,11,287,2011,45943
1,11,303,2011,1111
1,11,306,2011,38123
1,11,313,2011,46580
1,11,315,2011,26049
1,11,324,2011,2200
1,11,325,2011,485
1,11,327,2011,69
1,11,329,2011,185
1,11,347,2011,304334
1,11,353,2011,485
1,12,6,2011,4576
1,12,15,2011,4388
1,12,23,2011,25121
1,12,41,2011,262901
1,12,47,2011,4576
1,12,90,2011,4388
1,12,91,2011,800
1,12,95,2011,800
1,12,102,2011,4576
1,12,105,2011,42829
1,12,132,2011,122
1,12,136,2011,122
1,12,143,2011,11997
1,12,158,2011,122
1,12,171,2011,122
1,12,173,2011,800
1,12,177,2011,334
1,12,183,2011,4576
1,12,185,2011,122
1,12,196,2011,33503
1,12,200,2011,968
1,12,206,2011,4576
1,12,214,2011,4576
1,12,222,2011,1841
1,12,227,2011,1856
1,12,228,2011,13223
1,12,231,2011,968
1,12,240,2011,122
1,12,242,2011,7163
1,12,263,2011,65187
1,12,265,2011,122
1,12,280,2011,956038
1,12,281,2011,956038
1,12,282,2011,4576
1,12,286,2011,4576
1,12,287,2011,65
1,12,306,2011,74
1,12,313,2011,7301
1,12,315,2011,11224
1,12,324,2011,122
1,12,325,2011,4576
1,12,327,2011,1439
1,12,329,2011,27415
1,12,347,2011,654078
1,12,353,2011,4576
1,13,40,2011,389
1,13,76,2011,39
1,13,100,2011,307
1,13,142,2011,521
1,13,177,2011,194
1,13,196,2011,94
1,13,200,2011,201
1,13,228,2011,175
1,13,231,2011,201
1,13,257,2011,22
1,13,280,2011,94
1,13,281,2011,94
1,13,314,2011,2300
1,13,317,2011,431
1,13,329,2011,124
1,14,15,2011,8
1,14,40,2011,93
1,14,90,2011,8
1,14,116,2011,2336
1,14,143,2011,48
1,14,177,2011,97
1,14,228,2011,27
1,14,263,2011,3
1,14,329,2011,69
1,15,6,2011,85304
1,15,15,2011,104967
1,15,40,2011,52847
1,15,41,2011,547
1,15,47,2011,85304
1,15,90,2011,104967
1,15,100,2011,43000
1,15,102,2011,85304
1,15,105,2011,14600
1,15,132,2011,27527
1,15,136,2011,27527
1,15,142,2011,7460
1,15,145,2011,31755
1,15,158,2011,27527
1,15,164,2011,708723
1,15,171,2011,27527
1,15,177,2011,21500
1,15,183,2011,85304
1,15,185,2011,27527
1,15,196,2011,165542
1,15,200,2011,5853
1,15,206,2011,85304
1,15,214,2011,85304
1,15,228,2011,127940
1,15,231,2011,5853
1,15,240,2011,27527
1,15,242,2011,13264
1,15,255,2011,14988
1,15,263,2011,460197
1,15,265,2011,27527
1,15,276,2011,252000
1,15,280,2011,23623474
1,15,281,2011,23623474
1,15,282,2011,85304
1,15,285,2011,59241
1,15,286,2011,85304
1,15,296,2011,37000
1,15,303,2011,150
1,15,306,2011,41440
1,15,314,2011,116175
1,15,317,2011,30373
1,15,324,2011,27527
1,15,325,2011,85304
1,15,327,2011,48866
1,15,329,2011,24772
1,15,347,2011,373708
1,15,353,2011,85304
1,16,6,2011,175
1,16,15,2011,27
1,16,40,2011,158
1,16,47,2011,175
1,16,76,2011,15
1,16,90,2011,27
