crop,country,year,area_harvested_global
Abaca,World,2010,0.275974494
Abaca,World,2011,0.27974391
Abaca,World,2012,0.282292284
Abaca,World,2013,0.288332915
Adlay,World,2010,0.977636893
Adlay,World,2011,0.975032919
Adlay,World,2012,0.97540288
Adlay,World,2013,0.976234791
Adzuki bean,World,2010,0.582601502
Adzuki bean,World,2011,0.580002076
Adzuki bean,World,2012,0.623725031
Adzuki bean,World,2013,0.633421292
Agave,World,2010,0.728041656
Agave,World,2011,0.723099385
Agave,World,2012,0.711441465
Agave,World,2013,0.711063943
Allspice,World,2010,0.955845384
Allspice,World,2011,0.956279011
Allspice,World,2012,0.958989483
Allspice,World,2013,0.958802358
Almonds,World,2010,0.861140639
Almonds,World,2011,0.867304198
Almonds,World,2012,0.854320171
Almonds,World,2013,0.834598058
Amaranth,World,2010,0.997087328
Amaranth,World,2011,0.99642527
Amaranth,World,2012,0.996716357
Amaranth,World,2013,0.996852265
Anise,World,2010,0.762158603
Anise,World,2011,0.779082293
Anise,World,2012,0.750101315
Anise,World,2013,0.777482137
Apple,World,2010,0.216038683
Apple,World,2011,0.216840035
Apple,World,2012,0.217973985
Apple,World,2013,0.216981085
Apricot,World,2010,0.834904088
Apricot,World,2011,0.827804071
Apricot,World,2012,0.824125505
Apricot,World,2013,0.823019399
Areca nuts,World,2010,0.099875678
Areca nuts,World,2011,0.099359865
Areca nuts,World,2012,0.087680674
Areca nuts,World,2013,0.095633122
Arracacha,World,2010,0.94386348
Arracacha,World,2011,0.94546326
Arracacha,World,2012,0.954763695
Arracacha,World,2013,0.944439752
Arrhenatherum,World,2010,0.978525089
Arrhenatherum,World,2011,0.979021396
Arrhenatherum,World,2012,0.979644741
Arrhenatherum,World,2013,0.979573621
Arrowroot,World,2010,0.906958775
Arrowroot,World,2011,0.909632904
Arrowroot,World,2012,0.919786342
Arrowroot,World,2013,0.910967748
Artichokes,World,2010,0.389407928
Artichokes,World,2011,0.401369707
Artichokes,World,2012,0.404909497
Artichokes,World,2013,0.36049145
