crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Abaca,World,2019,NA,NA,NA,NA
Adlay,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Adzuki bean,World,2019,0.039636727,0.040468068,0.040635983,0.040746615
Agave,World,2019,NA,NA,NA,NA
Alfalfa,World,2019,NA,NA,NA,NA
Allspice,World,2019,0.048991601,0.051690956,0.052093235,0.05210292
Almonds,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Amaranth,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Anise,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Apple,World,2019,0.045684923,0.047046916,0.045795668,0.043618969
Apricot,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Areca nuts,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Arracacha,World,2019,0.024762562,0.023632793,0.027734893,0.025747496
Arrhenatherum,World,2019,NA,NA,NA,NA
Arrowroot,World,2019,0.024762562,0.023632793,0.027734893,0.025747496
Artichokes,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Asparagus,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Atemoya,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Avocado,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Azarole,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Babaco,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Badian,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Bambara bean,World,2019,0.04269043,0.044228325,0.044421407,0.045107565
Bamboo shoot,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Bananas,World,2019,0.059505923,0.062585528,0.062388591,0.061034262
Barley,World,2019,0.028404394,0.028674426,0.028801114,0.028545361
Bay leaf,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Beech nut,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Beets,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Black gram,World,2019,0.039636727,0.040468068,0.040635983,0.040746615
Black salsify,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Blueberry,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Brazil nut,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Breadfruit,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Buckwheat,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Butter-nut,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Butternut squash,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cabbages,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cabbages and other brassicas,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Caesarweed,World,2019,NA,NA,NA,NA
Cainito,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Calabash,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Canary seed,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Candlenut,World,2019,0.022996969,0.024441493,0.025594688,0.023608645
Canola,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Capers,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Carambola,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Carapa,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Cardamoms,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Caroa,World,2019,NA,NA,NA,NA
Carobs,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Carrots,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cashews,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Cassava,World,2019,0.027796023,0.025514867,0.024798239,0.023883755
Castor bean,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Ceara,World,2019,NA,NA,NA,NA
Celery,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cherimoya,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Cherries,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Chervil,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Chestnuts,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Chickpeas,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Chicle,World,2019,NA,NA,NA,NA
Chicory,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Chillies and peppers,World,2019,0.048991601,0.051690956,0.052093235,0.05210292
Chinotto,World,2019,0.019326418,0.021461407,0.027860639,0.022544514
Chontadura,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Chufa,World,2019,0.024762562,0.023632793,0.027734893,0.025747496
Cinnamon,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Citron,World,2019,NA,0.021674176,0.027860639,0.022544514
Cloves,World,2019,0.014523649,0.004315115,0.024276682,0.008538429
Cocoa,World,2019,0.046004391,0.045713972,0.046823532,0.046903744
Coconuts,World,2019,0.042944645,0.041350142,0.03366882,0.034119973
Coffee,World,2019,NA,0.047049191,0.046672819,0.044771795
Common bean,World,2019,0.039636727,0.040468068,0.040635983,0.040746615
Coriander,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Cotton,World,2019,0.03705235,0.036892658,0.037063045,0.014935777
Cowpeas,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Cranberries,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Cress,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cucumbers and gherkins,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Cumin,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Currants,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Cushaw,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Custard apple,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Dates,World,2019,0.010094412,0.015574337,0.014573451,0.014552493
Devil's cotton,World,2019,NA,NA,NA,NA
Dill,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Durian,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Eggplant,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Elderberry,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Ethiopian rape,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Faba beans,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Feijoa,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Fennel,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Fenugreek,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Fig leaf gourd,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Figs,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Finger millet,World,2019,0.011058696,0.011878256,0.011516409,0.012193252
Fique,World,2019,NA,NA,NA,NA
Flax,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Fonio,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Foxtail millet,World,2019,0.011058696,0.011878256,0.011516409,0.012193252
Garlic,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Giant cabuya,World,2019,NA,NA,NA,NA
Ginger,World,2019,0.049729976,0.048401375,0.047869383,0.047784349
Gooseberries,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Grapefruits,World,2019,0.030489663,0.040481433,0.047622551,0.04738572
Grapes,World,2019,0.035992455,0.037320272,0.038367277,0.034333619
Grasspea,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Groundnuts,World,2019,0.049320244,0.049610005,0.049613121,0.050162505
Guavas,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Guayule,World,2019,NA,NA,NA,NA
Hazelnuts,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Hemp,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Hops,World,2019,NA,NA,NA,NA
Horseradish,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
Huckleberry,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Jack bean,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Jackfruit,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Japanese millet,World,2019,0.011058696,0.011878256,0.011516409,0.012193252
Jerusalem artichoke,World,2019,NA,0.023632793,0.027734893,0.025747496
Jicama,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Jojoba,World,2019,0.022996969,0.025264125,0.025594688,0.023608645
Jujube,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Jute,World,2019,NA,NA,NA,NA
Kaniwa,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Karite nuts,World,2019,0.022996969,0.024379598,0.025594688,0.023608645
Kenaf,World,2019,NA,NA,NA,NA
Kiwi fruit,World,2019,0.057624454,0.070966197,0.06976163,0.06903753
Kiwicha,World,2019,0.027153868,0.027736941,0.030517876,0.027883668
Kodo millet,World,2019,0.011058696,0.011878256,0.011516409,0.012193252
Kola nuts,World,2019,0.043204914,0.045732194,0.045798583,0.045189809
Kumquat,World,2019,0.019326418,0.021461407,0.027860639,0.022544514
Lablab,World,2019,0.042407151,0.04409218,0.044291487,0.044998203
Leeks and other alliaceous vegetables,World,2019,0.055870664,0.057105055,0.055716958,0.056186834
