crop,country,year,common_name,genus,taxon
Abaca,World,2019,0.000216756,0.005913989,0.000157457
Acerola,World,2019,0.0005935,0.000201992,0.000402677
Achira,World,2019,7.7413E-05,0.000624023,0.000779542
Ackee,World,2019,7.22522E-05,0.000110367,0.000351052
Adlay,World,2019,0.000148805,0.000374136,0.000521415
Adzuki bean,World,2019,0.000282127,0.007843671,0.00071501
Aeschynomene,World,2019,0.000135903,0.000109673,2.32314E-05
African eggplant,World,2019,4.21471E-05,0.011453148,0.000322658
Agave,World,2019,0.002330992,0.001881093,2.58126E-06
Agropyron,World,2019,0.000514367,0.00041509,0.000495603
Agrostis,World,2019,0.000386205,0.000311664,0.000472371
Ahipa,World,2019,2.40841E-05,0.000197133,5.93691E-05
Albardine,World,2019,0,2.29063E-05,8.26005E-05
Alfalfa,World,2019,0.00796494,0.004074544,0.008337485
Allspice,World,2019,5.59094E-05,0.001020371,0.00028652
Almonds,World,2019,0.00332876,0.005775163,0.001076387
Alopecurus,World,2019,0.000250302,0.000201992,6.19504E-05
Alysicarpus,World,2019,6.36507E-05,5.13656E-05,6.45316E-05
Amaranth,World,2019,0.002236376,0.001804738,0.000895699
Andropogon,World,2019,0.00029933,0.000241557,0.00022457
Anise,World,2019,0.000467919,0.000492832,0.001063481
Annato,World,2019,1.54826E-05,0.000403984,0.001427439
Apple,World,2019,0.02632043,0.002970877,0.004981841
Apricot,World,2019,0.002898688,0.005775163,0.001863673
Areca nuts,World,2019,0.000403408,0.000881545,0.001453252
Arracacha,World,2019,0.000135043,0.000108978,0.000317496
Arrhenatherum,World,2019,5.41891E-05,4.37302E-05,0.000134226
Arrowroot,World,2019,0.000166008,0.000164509,0.000389771
Artichokes,World,2019,0.00184071,0.000791308,0.001192544
Asparagus,World,2019,0.002253579,0.001818621,0.001525527
Astragalus,World,2019,0.003604007,0.002908405,1.54876E-05
Atemoya,World,2019,8.17138E-05,0.002748755,0
Atriplex,World,2019,0.000817138,0.000659424,0.000562716
Avocado,World,2019,0.002503021,0.001527086,0.004956028
Azarole,World,2019,6.88116E-06,0.000950958,0.000191014
Babaco,World,2019,0.000104938,0.000140214,4.13002E-05
Badian,World,2019,1.97833E-05,0.000313747,0.000570459
Bambara bean,World,2019,0.000301911,0.007843671,0.001009274
Bamboo shoot,World,2019,0.000322554,0.000763543,0.000926674
Bananas,World,2019,0.012988186,0.006261054,0.002212144
Barley,World,2019,0.013848331,0.003192999,0.009782993
Basil,World,2019,0.003302956,0.004046779,0.006711288
Bay leaf,World,2019,0.000106658,0.000417866,0.001344839
Beech nut,World,2019,4.30072E-06,0.001825562,0.004439775
Beets,World,2019,0.00754347,0.030749966,0.00614341
