crop,country,year,clp_export_quantity,clp_export_value,clp_import_quantity,clp_import_value
Abaca,World,2019,0.005977114,0.006172015,0.00470828,0.004565361
Adlay,World,2019,NA,NA,NA,NA
Adzuki bean,World,2019,0.025392087,0.025829324,0.043979639,0.039615949
Agave,World,2019,NA,NA,NA,NA
Alfalfa,World,2019,0.013303285,0.013975695,0.015368599,0.015885904
Allspice,World,2019,0.031154953,0.030552608,0.022031125,0.019803454
Almonds,World,2019,0.012508657,0.013546126,0.024310389,0.024871702
Amaranth,World,2019,NA,NA,NA,NA
Anise,World,2019,0.022273489,0.022276261,0.031474868,0.034480189
Apple,World,2019,0.031743698,0.02835392,0.034331043,0.035343293
Apricot,World,2019,0.021483691,0.01980436,0.019683721,0.020378062
Areca nuts,World,2019,0.023958891,0.025014057,0.023189518,0.020695819
Arracacha,World,2019,0.026280539,0.027461389,0.022225944,0.02017824
Arrhenatherum,World,2019,NA,NA,NA,NA
Arrowroot,World,2019,0.026280539,0.027461389,0.022225944,0.02017824
Artichokes,World,2019,0.0104631,0.009874615,0.013392406,0.010401759
Asparagus,World,2019,0.018695012,0.020777399,0.011127589,0.012110513
Atemoya,World,2019,0.008600216,0.011146609,0.006025543,0.006208066
Avocado,World,2019,0.024465698,0.024451996,0.016221983,0.014658704
Azarole,World,2019,0.021866528,0.029926389,0.016431127,0.018694506
Babaco,World,2019,0.021866528,0.029926389,0.016431127,0.018694506
Badian,World,2019,0.022273489,0.022276261,0.031474868,0.034480189
Bambara bean,World,2019,0.0155957,0.015944093,0.017549407,0.010091591
Bamboo shoot,World,2019,0.027519134,0.03012492,0.026776879,0.024493521
Bananas,World,2019,0.019651338,0.021370227,0.025706181,0.023103363
Barley,World,2019,0.023528173,0.023192136,0.02732502,0.030946764
Bay leaf,World,2019,0.023338334,0.024571327,0.033398935,0.030685391
Beech nut,World,2019,0.032249684,0.043819715,0.033282472,0.030477606
Beets,World,2019,0.02527408,0.026537587,0.019549157,0.01984369
Black gram,World,2019,0.025392087,0.025829324,0.043979639,0.039615949
Black salsify,World,2019,0.027519134,0.03012492,0.026776879,0.024493521
Blueberry,World,2019,0.009453932,0.012316547,0.006677609,0.007609413
Brazil nut,World,2019,0.010678306,0.010038779,0.017254489,0.016141143
Breadfruit,World,2019,0.008600216,0.011146609,0.006025543,0.006208066
Buckwheat,World,2019,0.013642821,0.011524304,0.021975715,0.021199921
Butter-nut,World,2019,0.023958891,0.025014057,0.023189518,0.020695819
