crop,country,year,genus_count_gbif_research_supply,species_count_gbif_research_supply
Abaca,World,2019,974,3
Acerola,World,2019,2,1
Achira,World,2019,38,34
Ackee,World,2019,2,1
Adlay,World,2019,12,10
Adzuki bean,World,2019,5210,2
Aeschynomene,World,2019,223,119
African eggplant,World,2019,8000,605
African rice,World,2019,9756,828
Agave,World,2019,46,1
Agropyron,World,2019,146,89
Agrostis,World,2019,69,29
Ahipa,World,2019,88,
Albardine,World,2019,1,1
Alfalfa,World,2019,2949,879
Allspice,World,2019,2,2
Almonds,World,2019,1167,136
Alopecurus,World,2019,16,11
Alysicarpus,World,2019,360,222
Amaranth,World,2019,762,127
Andropogon,World,2019,87,53
Anise,World,2019,32,5
Annato,World,2019,15,14
Apple,World,2019,307,
Apricot,World,2019,1167,173
Areca nuts,World,2019,13,2
Arracacha,World,2019,93,93
Arrhenatherum,World,2019,12,12
Arrowroot,World,2019,14,7
Artichokes,World,2019,5,3
Asian rice,World,2019,9756,7591
Asparagus,World,2019,47,14
Astragalus,World,2019,516,5
Atemoya,World,2019,106,
Atriplex,World,2019,37,1
Avocado,World,2019,159,137
Azarole,World,2019,121,2
Babaco,World,2019,2,
Badian,World,2019,14,
Bambara bean,World,2019,5210,1115
Bamboo shoot,World,2019,23,6
Bananas,World,2019,974,39
Barley,World,2019,3188,2085
Basil,World,2019,96,36
Bay leaf,World,2019,4,2
Beech nut,World,2019,27,4
Beets,World,2019,931,494
Black gram,World,2019,5210,333
Black nightshade,World,2019,8000,21
Black salsify,World,2019,5,3
Blueberry,World,2019,192,6
Brachiaria,World,2019,469,211
Brazil nut,World,2019,2,1
Breadfruit,World,2019,209,76
Buckwheat,World,2019,417,129
Butter-nut,World,2019,,
Butternut squash,World,2019,1386,392
Cabbages,World,2019,1499,606
Cabbages and other brassicas,World,2019,1499,954
Caesarweed,World,2019,11,11
Cainito,World,2019,3,2
Calabash,World,2019,220,203
Calopogonium,World,2019,74,74
Canary seed,World,2019,56,1
Candlenut,World,2019,1,1
Canola,World,2019,1499,77
Capers,World,2019,7,4
Carambola,World,2019,13,3
Carapa,World,2019,1,
Caraway,World,2019,25,19
Cardamoms,World,2019,87,1
Carneros Yucca,World,2019,25,
Caroa,World,2019,1,
Carobs,World,2019,3,2
Carrots,World,2019,134,103
Cashews,World,2019,8,8
Cassava,World,2019,2460,1981
Castor bean,World,2019,99,99
Ceara,World,2019,2460,10
Celery,World,2019,22,19
Centrosema,World,2019,154,101
Ceylon-spinach,World,2019,5,1
Chayote,World,2019,249,243
Cherimoya,World,2019,106,3
Cherries,World,2019,1167,75
Chervil,World,2019,13,2
Chestnuts,World,2019,16,10
Chickpeas,World,2019,854,633
Chicle,World,2019,20,20
Chicory,World,2019,33,31
Chillies and peppers,World,2019,2025,1045
Chinotto,World,2019,1159,
Chontadura,World,2019,5,1
Chufa,World,2019,34,1
Cinnamon,World,2019,13,1
Citron,World,2019,1159,32
Citronella,World,2019,88,6
Clovers,World,2019,4328,1971
Cloves,World,2019,12,
Cocoa,World,2019,107,84
Coconuts,World,2019,161,161
Coffee,World,2019,97,37
Common bean,World,2019,5799,4590
Coriander,World,2019,105,83
Coronilla,World,2019,101,10
Cotton,World,2019,1568,670
Cowpeas,World,2019,5210,2550
Crambe,World,2019,26,2
Cranberries,World,2019,192,
Cress,World,2019,63,5
Cucumbers and gherkins,World,2019,1056,208
Cumin,World,2019,52,51
Currants,World,2019,123,9
Cushaw,World,2019,1386,87
Custard apple,World,2019,106,8
Dactylis,World,2019,281,277
Dates,World,2019,22,5
Desmodium,World,2019,1221,6
Devil's cotton,World,2019,3,2
Dill,World,2019,40,39
Durian,World,2019,1054,379
Eggplant,World,2019,8000,2805
Elderberry,World,2019,46,6
Esparto,World,2019,36,1
Ethiopian rape,World,2019,1499,1
Faba beans,World,2019,2842,765
Feijoa,World,2019,3,3
Fennel,World,2019,30,28
Fenugreek,World,2019,380,139
Festuca,World,2019,386,45
Fig leaf gourd,World,2019,1386,127
Figs,World,2019,88,6
Finger millet,World,2019,1941,1571
Fique,World,2019,4,
Flax,World,2019,86,39
Fonio,World,2019,702,608
Foxtail millet,World,2019,230,123
Galactia,World,2019,42,25
Garlic,World,2019,1690,167
Giant cabuya,World,2019,4,
Ginger,World,2019,76,10
Gooseberries,World,2019,123,5
Grapefruits,World,2019,1165,
Grapes,World,2019,770,674
Grasspea,World,2019,1371,58
Groundnuts,World,2019,2080,1768
Guavas,World,2019,67,45
Guayule,World,2019,1,
Gutta-percha,World,2019,1,1
Hazelnuts,World,2019,46,17
Hedysarum,World,2019,45,8
Hemp,World,2019,6,6
Hops,World,2019,8,7
Horseradish,World,2019,5,4
Huckleberry,World,2019,3,1
Indigofera,World,2019,256,35
Jack bean,World,2019,93,17
Jackfruit,World,2019,209,50
Japanese millet,World,2019,114,18
Jerusalem artichoke,World,2019,468,53
Jicama,World,2019,88,68
Jojoba,World,2019,2,2
Jujube,World,2019,34,2
Jute,World,2019,398,179
Kaniwa,World,2019,35,
Kapok,World,2019,9,3
Karite nuts,World,2019,1,1
Kenaf,World,2019,458,86
Kiwi fruit,World,2019,31,13
Kiwicha,World,2019,762,181
Kodo millet,World,2019,85,43
Kola nuts,World,2019,2,
Kumquat,World,2019,,
Lablab,World,2019,82,82
Lavender,World,2019,37,3
Leeks and other alliaceous vegetables,World,2019,1690,20
Lemons and limes,World,2019,1159,118
Lentils,World,2019,796,384
Lespedeza,World,2019,13,
Lettuce,World,2019,338,240
Leucaena,World,2019,135,22
Licorice,World,2019,5,1
Lima bean,World,2019,5799,631
Litchi,World,2019,1,1
Little millet,World,2019,472,43
Lolium,World,2019,434,356
Longan,World,2019,16,15
Loquat,World,2019,2,2
Lotus,World,2019,241,94
Lupins,World,2019,1302,1031
Maca,World,2019,63,7
Macadamia nut,World,2019,1,1
Macroptilium,World,2019,188,129
Mahuwa,World,2019,3,
Maize,World,2019,8112,8108
Malabar spinach,World,2019,2,2
Mamey sapote,World,2019,36,12
Mammee,World,2019,6,6
Mandarines,World,2019,1165,166
Mango,World,2019,495,186
Mangosteen,World,2019,163,119
Maple sugar,World,2019,455,4
Marjoram,World,2019,36,3
Mashua,World,2019,187,151
Mat bean,World,2019,5210,25
Mate,World,2019,107,1
Mauka,World,2019,9,2
Medlar,World,2019,6,6
Melilotus,World,2019,111,26
Melons,World,2019,1056,557
Mombin,World,2019,6,3
Mulberry,World,2019,10,9
Mung bean,World,2019,5210,454
Myrtle,World,2019,4,3
Naranjilla,World,2019,8000,56
Neonotonia,World,2019,88,85
New Zealand flax,World,2019,19,7
New Zealand spinach,World,2019,2,1
Noog,World,2019,19,2
Nutmeg,World,2019,1,1
Oats,World,2019,370,97
Oca,World,2019,360,285
Oil palm,World,2019,14,13
Oiticica,World,2019,5,
Okra,World,2019,2445,1827
Olives,World,2019,11,9
Onions,World,2019,1690,547
Onobrychis,World,2019,258,18
Orache,World,2019,74,10
Oranges,World,2019,1165,
Oregano,World,2019,36,16
Ornithopus,World,2019,97,15
Papayas,World,2019,51,43
Parsley,World,2019,35,35
Parsnip,World,2019,14,13
Passionfruit,World,2019,1043,157
Pawpaw,World,2019,4,4
Peaches and nectarines,World,2019,1167,91
Pearl millet,World,2019,5974,5102
Pears,World,2019,350,140
Peas,World,2019,710,507
Pecan,World,2019,15,
Pepino,World,2019,8000,6
Pepper,World,2019,18,1
