crop,country,year,genus_count_mls_supply_accessions,species_count_mls_supply_accessions,genus_count_mls_supply_institutions,species_count_mls_supply_institutions
Kiwicha,World,2019,0.1466,0.0468,,
Kodo millet,World,2019,0.2092,0.0746,,
Kola nuts,World,2019,,,,
Kumquat,World,2019,0.12,0.1667,,
Lablab,World,2019,0.7424,0.7547,,
Lavender,World,2019,0.1538,0.175,,
Leeks and other alliaceous vegetables,World,2019,0.1302,0.06,,
Lemons and limes,World,2019,0.3734,0.4291,,
Lentils,World,2019,0.3008,0.3017,0.8391,0.8409
Lespedeza,World,2019,0.0906,0.0901,,
Lettuce,World,2019,0.1348,0.1135,,
Leucaena,World,2019,0.4654,0.6872,,
Licorice,World,2019,0.5192,0.5972,,
Lima bean,World,2019,0.3494,0.421,0.8858,0.9503
Little millet,World,2019,0.2457,0.0107,,
Lolium,World,2019,0.3187,0.3374,0.8198,0.8347
Loquat,World,2019,,,,
Lotus,World,2019,0.355,0.2728,0.8182,0.8269
Lupins,World,2019,0.0846,0.0916,0.797,0.7703
Maca,World,2019,0.1819,0.1886,,
Macroptilium,World,2019,0.8437,0.7687,,
Maize,World,2019,0.2368,0.2394,0.8068,0.8017
Malabar spinach,World,2019,0.9167,0.9226,,
Mandarines,World,2019,0.1179,0.1588,0.8733,0.8685
Maple sugar,World,2019,,,,
Marjoram,World,2019,0.1892,0.2105,,
Mashua,World,2019,,,,
Mat bean,World,2019,0.1685,0.0411,0.8843,0.9368
Mate,World,2019,,,,
Mauka,World,2019,,,,
Medlar,World,2019,,,,
Melilotus,World,2019,0.2487,0.2295,0.9403,0.9545
Melons,World,2019,0.1065,0.0499,,
Mombin,World,2019,,,,
Mulberry,World,2019,,,,
Mung bean,World,2019,0.1685,0.3201,0.8843,0.8841
Naranjilla,World,2019,0.4035,0.1415,,
Neonotonia,World,2019,0.6826,0.6842,,
New Zealand spinach,World,2019,0.3571,0.4857,,
Noog,World,2019,0.0301,,,
Oats,World,2019,0.1732,0.222,0.8995,0.8561
Oca,World,2019,,,,
Okra,World,2019,0.1593,0.1766,,
Olives,World,2019,,,,
Onions,World,2019,0.1302,0.0975,,
Onobrychis,World,2019,0.2499,0.4369,0.9353,0.9897
Orache,World,2019,0.4174,0.1012,,
Oranges,World,2019,0.1179,0.1676,0.8733,
Oregano,World,2019,0.1892,0.1992,,
Ornithopus,World,2019,0.6498,0.6897,0.8943,0.8417
Papayas,World,2019,,,,
Parsley,World,2019,0.0866,0.0875,,
Parsnip,World,2019,0.0447,0.0468,,
Passionfruit,World,2019,0.0206,,,
Pawpaw,World,2019,,,,
Peaches and nectarines,World,2019,0.6173,0.7074,,
Pearl millet,World,2019,0.024,0.0028,0.9149,0.95
Pears,World,2019,0.582,0.6592,,
Peas,World,2019,0.4058,0.3864,0.9927,0.995
Pecan,World,2019,,,,
Pepino,World,2019,0.4035,0.2222,,
Pepper,World,2019,,,,
Peppermint,World,2019,0.0448,,,
Perilla,World,2019,0.2941,0.2716,,
Persimmons,World,2019,0.0385,,,
Phalaris,World,2019,0.2529,0.3028,0.7769,0.7603
Phleum,World,2019,0.591,0.6515,0.9288,0.938
Physic nut,World,2019,,,,
Pigeonpeas,World,2019,0.016,0.0125,0.9691,0.9752
Pine nut,World,2019,,,,
Pineapples,World,2019,,,,
Plantains,World,2019,0.1,0.2542,0.8827,0.8559
Plums,World,2019,0.6173,0.6189,,
Poa,World,2019,0.3402,0.4405,0.9511,0.9568
Pomegranate,World,2019,,,,
Pongamia oil,World,2019,0.15,,,
Poppies,World,2019,0.0777,0.0994,,
Potatoes,World,2019,0.3301,0.4822,0.8732,0.9555
Prickly pear,World,2019,,,,
Proso millet,World,2019,0.2457,0.072,,
Prosopis,World,2019,0.015,0.0583,0.4643,0.9903
Pueraria,World,2019,0.534,0.564,0.624,0.6327
Pumpkin,World,2019,0.125,0.0844,,
Purging croton,World,2019,,,,
Pyrethrum,World,2019,0.2588,,,
Quinces,World,2019,0.1601,0.1698,,
Quinoa,World,2019,0.0448,0.0241,,
Radish,World,2019,0.4883,0.4825,,
Ramie,World,2019,,,,
Rapeseed and mustards,World,2019,0.4361,0.477,,
Raspberries,World,2019,0.1016,0.2332,,
Rhubarb,World,2019,0.235,0.0316,,
Rhynchosia,World,2019,0.7413,0.7454,,
Rice bean,World,2019,0.1685,0.1367,0.8843,0.9705
Roselle,World,2019,0.1818,0.5143,,
Rosemary,World,2019,0.1368,0.2321,,
Runner bean,World,2019,0.3494,0.4072,0.8858,0.9674
Rye,World,2019,0.3687,0.3517,0.8086,0.7961
Safflower,World,2019,0.0162,0.0151,,
Salsify,World,2019,0.1774,0.0357,,
Salsola,World,2019,0.0102,,,
Savory,World,2019,0.0484,0.0508,,
Service tree,World,2019,0.0749,,,
Sesame,World,2019,0.0088,0.0025,,
Sesbania,World,2019,0.6974,0.5302,,
Sisal,World,2019,,,,
Slippery cabbage,World,2019,0.1593,0.0479,,
Snake gourd,World,2019,,,,
Sorghum,World,2019,0.0047,0.0025,0.9551,0.9561
Sorrel,World,2019,0.0415,0.0357,,
Soybeans,World,2019,0.2394,0.2334,,
Spider plant,World,2019,,,,
Spinach,World,2019,0.0243,0.0264,,
Strawberries,World,2019,0.2299,0.0897,0.9999,
Stylosanthes,World,2019,0.928,0.9184,,
Sugar beets,World,2019,0.398,0.3118,,
Sugarcane,World,2019,,,,
Sunflowers,World,2019,0.0649,0.0553,0.976,0.9888
Sunn hemp,World,2019,0.3601,0.1647,,
Sweetpotatoes,World,2019,0.4563,0.4536,0.7921,0.7921
Sword bean,World,2019,0.6343,0.5882,,
Tamarind,World,2019,0.3333,0.3333,,
Taro,World,2019,0.0005,,0.8473,0.8468
Tarragon,World,2019,0.156,0.1154,,
Teff,World,2019,0.1489,0.0336,,
Tepary bean,World,2019,0.3494,0.377,0.8858,0.8783
Thyme,World,2019,0.0909,0.4688,,
Tobacco,World,2019,0.0444,0.0417,,
Tomatillo,World,2019,0.1213,0.1479,,
Tomatoes,World,2019,0.4035,0.2714,,
Tree tomato,World,2019,0.4035,,,
Tripsacum,World,2019,0.312,,,
Triticale,World,2019,0.7411,,0.9999,
Turnips,World,2019,0.4361,0.4908,,
Ulluco,World,2019,,,,
Velvet bean,World,2019,0.4518,0.4328,,
Velvet leaf,World,2019,0.0744,,,
Vetch,World,2019,0.4163,0.3508,0.8149,0.654
Walnuts,World,2019,,,,
Water dropwort,World,2019,0.0667,,,
Watercress,World,2019,,,,
Watermelons,World,2019,0.0143,0.0145,,
Wax gourd,World,2019,0.8737,0.8829,,
West Indian Gherkin,World,2019,0.1065,0.1258,,
Wheat,World,2019,0.356,0.39,0.8726,0.9603
Winged bean,World,2019,0.2513,0.2682,,
Yacon,World,2019,,,,
Yams,World,2019,0.0063,0.0023,0.7935,0.9197
"Yautia, cocoyam",World,2019,,,,
Year bean,World,2019,0.3886,0.7907,,
Zornia,World,2019,0.9264,,,
Zucchini,World,2019,0.125,0.1159,,
