crop,country,year,import_quantity_global
Carapa,World,2012,0.993660263
Carapa,World,2013,0.994448457
Cardamoms,World,2010,0.715815858
Cardamoms,World,2011,0.709180049
Cardamoms,World,2012,0.725073394
Cardamoms,World,2013,0.720006863
Carrots,World,2010,0.727799333
Carrots,World,2011,0.736565751
Carrots,World,2012,0.73891229
Carrots,World,2013,0.705443313
Cashews,World,2010,0.999867814
Cashews,World,2011,0.964710459
Cashews,World,2012,0.963320575
Cashews,World,2013,0.97484355
Cassava,World,2010,0.99552194
Cassava,World,2011,0.994485063
Cassava,World,2012,0.996765959
Cassava,World,2013,0.996917793
Castor bean,World,2010,0.981741526
Castor bean,World,2011,0.979906535
Castor bean,World,2012,0.982070198
Castor bean,World,2013,0.980908292
Celery,World,2010,0.895657491
Celery,World,2011,0.906042737
Celery,World,2012,0.908840472
Celery,World,2013,0.914025747
Cherimoya,World,2010,0.9999038
Cherimoya,World,2011,0.999933885
Cherimoya,World,2012,0.999920676
Cherimoya,World,2013,0.99974272
Cherries,World,2010,0.80864226
Cherries,World,2011,0.830735901
Cherries,World,2012,0.857285098
Cherries,World,2013,0.807494807
Chervil,World,2010,0.798566268
Chervil,World,2011,0.782946675
Chervil,World,2012,0.811498233
Chervil,World,2013,0.772134574
Chestnuts,World,2010,0.82296236
Chestnuts,World,2011,0.822528121
Chestnuts,World,2012,0.825048059
Chestnuts,World,2013,0.843912404
Chickpeas,World,2010,0.23539231
Chickpeas,World,2011,0.202412844
Chickpeas,World,2012,0.190418713
Chickpeas,World,2013,0.206747219
Chicory,World,2010,0.329850435
Chicory,World,2011,0.345250943
Chicory,World,2012,0.35093844
Chicory,World,2013,0.345466669
Chillies and peppers,World,2010,0.983710486
Chillies and peppers,World,2011,0.984826755
Chillies and peppers,World,2012,0.985319504
Chillies and peppers,World,2013,0.988536648
Chinotto,World,2010,0.876472919
Chinotto,World,2011,0.881941668
Chinotto,World,2012,0.889295995
Chinotto,World,2013,0.887417143
Chontadura,World,2010,0.911799113
Chontadura,World,2011,0.911657305
Chontadura,World,2012,0.916024083
Chontadura,World,2013,0.963815836
Chufa,World,2010,0.922447071
Chufa,World,2011,0.924121903
Chufa,World,2012,0.952290659
Chufa,World,2013,0.957735223
Cinnamon,World,2010,0.741079114
Cinnamon,World,2011,0.705609486
Cinnamon,World,2012,0.757040098
Cinnamon,World,2013,0.708295316
Citron,World,2010,0.993414957
Citron,World,2011,0.994284022
Citron,World,2012,0.990884654
Citron,World,2013,0.988901831
Cloves,World,2010,0.743746725
Cloves,World,2011,0.466905714
Cloves,World,2012,0.59704291
Cloves,World,2013,0.775653239
Cocoa,World,2010,0.975633523
Cocoa,World,2011,0.977636195
Cocoa,World,2012,0.975605348
Cocoa,World,2013,0.98013007
Coconuts,World,2010,0.884215989
Coconuts,World,2011,0.831941706
Coconuts,World,2012,0.861892532
Coconuts,World,2013,0.872494392
Coffee,World,2010,0.993843633
Coffee,World,2011,0.994408145
Coffee,World,2012,0.995623065
Coffee,World,2013,0.993205125
Common bean,World,2010,0.935813257
Common bean,World,2011,0.930936475
Common bean,World,2012,0.912545671
Common bean,World,2013,0.94040619
Coriander,World,2010,0.726693826
Coriander,World,2011,0.730453683
Coriander,World,2012,0.684479717
Coriander,World,2013,0.725818929
Cotton,World,2010,0.919227739
Cotton,World,2011,0.933471753
Cotton,World,2012,0.944186072
Cotton,World,2013,0.940012719
Cranberries,World,2010,0.241757312
Cranberries,World,2011,0.289082214
Cranberries,World,2012,0.265853857
Cranberries,World,2013,0.318176257
Cress,World,2010,0.903086847
Cress,World,2011,0.900235553
Cress,World,2012,0.907253401
Cress,World,2013,0.894186486
Cucumbers and gherkins,World,2010,0.980944414
Cucumbers and gherkins,World,2011,0.979634788
Cucumbers and gherkins,World,2012,0.978267597
Cucumbers and gherkins,World,2013,0.979503947
Cumin,World,2010,0.67482315
Cumin,World,2011,0.697878528
Cumin,World,2012,0.693054739
Cumin,World,2013,0.728058198
Currants,World,2010,0.000369043
Currants,World,2011,0.000587863
Currants,World,2012,0.016332134
Currants,World,2013,0.047099611
Cushaw,World,2010,0.999937651
Cushaw,World,2011,0.999963129
Cushaw,World,2012,0.998856592
Cushaw,World,2013,0.998373261
Custard apple,World,2010,0.998433834
Custard apple,World,2011,0.998517925
Custard apple,World,2012,0.998723226
Custard apple,World,2013,0.998715792
Dates,World,2010,0.415933869
Dates,World,2011,0.420199495
Dates,World,2012,0.439110518
Dates,World,2013,0.42134697
Dill,World,2010,0.608623308
Dill,World,2011,0.621008077
Dill,World,2012,0.610957965
Dill,World,2013,0.611082286
Durian,World,2010,0.943405233
Durian,World,2011,0.93756689
Durian,World,2012,0.96756037
Durian,World,2013,0.979872532
Eggplant,World,2010,0.967133109
Eggplant,World,2011,0.966350523
Eggplant,World,2012,0.964054255
Eggplant,World,2013,0.963678801
Elderberry,World,2010,0.766170554
Elderberry,World,2011,0.791534326
Elderberry,World,2012,0.842461043
Elderberry,World,2013,0.839868628
Ethiopian rape,World,2010,0.999584956
Ethiopian rape,World,2011,0.999628027
Ethiopian rape,World,2012,0.999721969
Ethiopian rape,World,2013,0.999611305
Faba beans,World,2010,0.898987305
Faba beans,World,2011,0.865488773
Faba beans,World,2012,0.848843529
Faba beans,World,2013,0.8454213
Feijoa,World,2010,0.9999038
Feijoa,World,2011,0.999933885
Feijoa,World,2012,0.999920676
Feijoa,World,2013,0.99974272
Fennel,World,2010,0.699712354
Fennel,World,2011,0.705752158
Fennel,World,2012,0.660316049
Fennel,World,2013,0.707280302
Fenugreek,World,2010,0.752426073
Fenugreek,World,2011,0.735976948
Fenugreek,World,2012,0.752676884
Fenugreek,World,2013,0.764937148
Fig leaf gourd,World,2010,0.999937651
Fig leaf gourd,World,2011,0.999963129
Fig leaf gourd,World,2012,0.99665566
Fig leaf gourd,World,2013,0.995444846
Figs,World,2010,0.672143001
Figs,World,2011,0.670239286
Figs,World,2012,0.702480162
Figs,World,2013,0.655839766
Finger millet,World,2010,0.861418037
Finger millet,World,2011,0.967497686
Finger millet,World,2012,0.967032115
Finger millet,World,2013,0.889457193
Flax,World,2010,0.456261923
Flax,World,2011,0.426622788
Flax,World,2012,0.371768115
Flax,World,2013,0.435369152
