crop,country,year,c_area_harvested,c_production,vap_gross_production_value_us
Abaca,World,2010,0.004347826,0.004347826,0.004347826
Abaca,World,2011,0.004347826,0.004347826,0.004347826
Abaca,World,2012,0.004347826,0.004347826,0.004347826
Abaca,World,2013,0.004347826,0.004347826,0.004347826
Adlay,World,2010,0.052173913,0.052173913,0.034782609
Adlay,World,2011,0.052173913,0.052173913,0.043478261
Adlay,World,2012,0.052173913,0.052173913,0.039130435
Adlay,World,2013,0.052173913,0.043478261,0.034782609
Adzuki bean,World,2010,0.165217391,0.165217391,0.126086957
Adzuki bean,World,2011,0.169565217,0.169565217,0.117391304
Adzuki bean,World,2012,0.173913043,0.165217391,0.126086957
Adzuki bean,World,2013,0.173913043,0.173913043,0.12173913
Agave,World,2010,0.026086957,0.02173913,0.013043478
Agave,World,2011,0.026086957,0.02173913,0.013043478
Agave,World,2012,0.026086957,0.02173913,0.013043478
Agave,World,2013,0.026086957,0.02173913,0.008695652
Albardine,World,2010,0.013043478,0.034782609,0.017391304
Albardine,World,2011,0.013043478,0.034782609,0.017391304
Albardine,World,2012,0.013043478,0.034782609,0.02173913
Albardine,World,2013,0.013043478,0.034782609,0.02173913
Alfalfa,World,2010,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA
Allspice,World,2010,0.160869565,0.134782609,0.113043478
Allspice,World,2011,0.156521739,0.130434783,0.113043478
Allspice,World,2012,0.152173913,0.130434783,0.126086957
Allspice,World,2013,0.156521739,0.134782609,0.117391304
Almonds,World,2010,0.056521739,0.060869565,0.039130435
Almonds,World,2011,0.056521739,0.060869565,0.034782609
Almonds,World,2012,0.056521739,0.060869565,0.034782609
Almonds,World,2013,0.056521739,0.060869565,0.030434783
Amaranth,World,2010,0.052173913,0.052173913,0.034782609
Amaranth,World,2011,0.052173913,0.052173913,0.043478261
Amaranth,World,2012,0.052173913,0.052173913,0.039130435
Amaranth,World,2013,0.052173913,0.043478261,0.034782609
Anise,World,2010,0.060869565,0.060869565,0.039130435
Anise,World,2011,0.056521739,0.060869565,0.034782609
Anise,World,2012,0.052173913,0.056521739,0.030434783
Anise,World,2013,0.052173913,0.052173913,0.026086957
Apple,World,2010,0.147826087,0.134782609,0.07826087
Apple,World,2011,0.152173913,0.130434783,0.113043478
Apple,World,2012,0.147826087,0.126086957,0.086956522
Apple,World,2013,0.147826087,0.130434783,0.113043478
Apricot,World,2010,0.139130435,0.134782609,0.108695652
Apricot,World,2011,0.139130435,0.134782609,0.108695652
Apricot,World,2012,0.143478261,0.130434783,0.108695652
Apricot,World,2013,0.139130435,0.134782609,0.113043478
Areca nuts,World,2010,0.026086957,0.026086957,0.013043478
Areca nuts,World,2011,0.02173913,0.026086957,0.013043478
Areca nuts,World,2012,0.026086957,0.026086957,0.008695652
Areca nuts,World,2013,0.02173913,0.026086957,0.008695652
Arracacha,World,2010,0.095652174,0.095652174,0.082608696
Arracacha,World,2011,0.091304348,0.095652174,0.082608696
Arracacha,World,2012,0.091304348,0.095652174,0.07826087
Arracacha,World,2013,0.091304348,0.095652174,0.07826087
Arrhenatherum,World,2010,0.008695652,0.008695652,NA
Arrhenatherum,World,2011,0.004347826,0.008695652,NA
Arrhenatherum,World,2012,0.004347826,0.008695652,NA
Arrhenatherum,World,2013,0.004347826,0.008695652,NA
Arrowroot,World,2010,0.095652174,0.095652174,0.082608696
Arrowroot,World,2011,0.091304348,0.095652174,0.082608696
Arrowroot,World,2012,0.091304348,0.095652174,0.07826087
Arrowroot,World,2013,0.091304348,0.095652174,0.07826087
Artichokes,World,2010,0.052173913,0.056521739,0.052173913
Artichokes,World,2011,0.056521739,0.056521739,0.052173913
Artichokes,World,2012,0.056521739,0.052173913,0.052173913
Artichokes,World,2013,0.052173913,0.052173913,0.052173913
Asparagus,World,2010,0.008695652,0.008695652,0.030434783
Asparagus,World,2011,0.004347826,0.008695652,0.026086957
Asparagus,World,2012,0.004347826,0.008695652,0.026086957
Asparagus,World,2013,0.004347826,0.008695652,0.026086957
Atemoya,World,2010,0.060869565,0.056521739,0.034782609
Atemoya,World,2011,0.056521739,0.056521739,0.030434783
Atemoya,World,2012,0.056521739,0.056521739,0.030434783
Atemoya,World,2013,0.056521739,0.052173913,0.030434783
Avocado,World,2010,0.113043478,0.104347826,0.073913043
Avocado,World,2011,0.113043478,0.1,0.069565217
Avocado,World,2012,0.108695652,0.1,0.073913043
Avocado,World,2013,0.108695652,0.1,0.073913043
Azarole,World,2010,0.22173913,0.230434783,0.130434783
