crop,country,year,genus_count_gini_origin,species_count_gini_origin
Abaca,World,2019,0.047943,0.000955
Acerola,World,2019,0.162698,0.174603
Achira,World,2019,0.144622,0.172932
Ackee,World,2019,0.000000,0.000000
Adlay,World,2019,0.112399,0.130813
Adzuki bean,World,2019,0.029571,0.005779
Aeschynomene,World,2019,0.047001,0.030419
African eggplant,World,2019,0.038994,0.001755
Agave,World,2019,0.118766,0.011512
Agropyron,World,2019,0.083257,0.077840
Agrostis,World,2019,0.098203,0.072961
Ahipa,World,2019,0.066574,0.027140
Albardine,World,2019,0.500000,0.500000
Alfalfa,World,2019,0.051270,0.025741
Allspice,World,2019,0.500000,0.166667
Almonds,World,2019,0.099106,0.008627
Alopecurus,World,2019,0.077561,0.067432
Alysicarpus,World,2019,0.040318,0.028096
Amaranth,World,2019,0.046716,0.039035
Andropogon,World,2019,0.039296,0.014312
Anise,World,2019,0.192496,0.124839
Annato,World,2019,0.193573,0.192561
Apple,World,2019,0.127511,0.090444
Apricot,World,2019,0.099106,0.018268
Areca nuts,World,2019,0.200000,0.150000
Arracacha,World,2019,0.504242,0.743636
Arrhenatherum,World,2019,0.110593,0.115062
Arrowroot,World,2019,0.200000,0.111111
Artichokes,World,2019,0.149666,0.161524
Asparagus,World,2019,0.109338,0.081425
Astragalus,World,2019,0.094130,0.014258
Atemoya,World,2019,0.222476,0.000000
Atriplex,World,2019,0.088899,0.074762
Avocado,World,2019,0.195710,0.193961
Azarole,World,2019,0.128627,0.011111
Babaco,World,2019,0.176683,0.000000
Badian,World,2019,0.193878,0.000000
Bambara bean,World,2019,0.029571,0.006243
Bamboo shoot,World,2019,0.159004,0.010536
Bananas,World,2019,0.047943,0.017803
Barley,World,2019,0.097653,0.086657
Basil,World,2019,0.071750,0.050831
Bay leaf,World,2019,0.580000,0.420000
Beech nut,World,2019,0.248148,0.191667
Beets,World,2019,0.094682,0.075632
Black gram,World,2019,0.029571,0.004998
Black nightshade,World,2019,0.038994,0.000259
Black salsify,World,2019,0.209774,0.165635
Blueberry,World,2019,0.044420,0.046549
Brachiaria,World,2019,0.064012,0.057874
Brazil nut,World,2019,0.529412,0.529412
Breadfruit,World,2019,0.105576,0.086431
Buckwheat,World,2019,0.072214,0.069215
Butter-nut,World,2019,0.000000,0.000000
Butternut squash,World,2019,0.063863,0.027161
Cabbages,World,2019,0.074506,0.025353
Cabbages and other brassicas,World,2019,0.074506,0.065855
Caesarweed,World,2019,0.301170,0.318885
Cainito,World,2019,0.446154,0.325000
Calabash,World,2019,0.127754,0.110542
Calopogonium,World,2019,0.059005,0.054866
Canary seed,World,2019,0.081393,0.010213
Candlenut,World,2019,0.333333,0.222222
Canola,World,2019,0.074506,0.021177
Capers,World,2019,0.045758,0.078095
Carambola,World,2019,0.146713,0.132353
Carapa,World,2019,,
Caraway,World,2019,0.201705,0.179122
Cardamoms,World,2019,0.219085,0.109705
Carneros Yucca,World,2019,0.446429,0.000000
Caroa,World,2019,0.000000,0.000000
Carobs,World,2019,0.166384,0.173835
Carrots,World,2019,0.093273,0.086401
Cashews,World,2019,0.092202,0.085090
Cassava,World,2019,0.041337,0.039521
Castor bean,World,2019,0.043679,0.041625
Ceara,World,2019,0.041337,0.000250
Celery,World,2019,0.071946,0.072419
Centrosema,World,2019,0.045828,0.009041
Ceylon-spinach,World,2019,0.147727,0.015625
Chayote,World,2019,0.164898,0.190476
Cherimoya,World,2019,0.222476,0.285934
Cherries,World,2019,0.099106,0.042866
Chervil,World,2019,0.137267,0.060641
Chestnuts,World,2019,0.215127,0.225833
Chickpeas,World,2019,0.047034,0.045686
Chicle,World,2019,0.209451,0.279399
Chicory,World,2019,0.090148,0.086527
Chillies and peppers,World,2019,0.048082,0.042384
Chinotto,World,2019,0.097112,0.001270
Chontadura,World,2019,0.250000,0.000000
Chufa,World,2019,0.040707,0.003043
Cinnamon,World,2019,0.483333,0.100000
Citron,World,2019,0.097112,0.006844
Citronella,World,2019,0.108607,0.032156
Clovers,World,2019,0.070091,0.074274
Cloves,World,2019,0.164286,0.000000
Cocoa,World,2019,0.131143,0.123508
Coconuts,World,2019,0.150022,0.150022
Coffee,World,2019,0.070970,0.073160
Common bean,World,2019,0.045940,0.042934
Coriander,World,2019,0.068808,0.063304
Coronilla,World,2019,0.144625,0.087372
Cotton,World,2019,0.044091,0.034865
Cowpeas,World,2019,0.029571,0.017027
Crambe,World,2019,0.108675,0.118431
Cranberries,World,2019,0.044420,0.022558
Cress,World,2019,0.084060,0.037777
Cucumbers and gherkins,World,2019,0.061669,0.031252
Cumin,World,2019,0.152501,0.154980
Currants,World,2019,0.117782,0.085285
Cushaw,World,2019,0.063863,0.013789
Custard apple,World,2019,0.222476,0.009870
Dactylis,World,2019,0.081869,0.081344
Dates,World,2019,0.059374,0.066467
Desmodium,World,2019,0.028355,0.004756
Devil's cotton,World,2019,0.194444,0.000000
Dill,World,2019,0.102728,0.099268
Durian,World,2019,0.133862,0.062328
Eggplant,World,2019,0.038994,0.006200
Elderberry,World,2019,0.079856,0.093141
Esparto,World,2019,0.067033,0.030769
Ethiopian rape,World,2019,0.074506,0.006902
Faba beans,World,2019,0.063340,0.031633
Feijoa,World,2019,0.142857,0.142857
Fennel,World,2019,0.152194,0.138082
Fenugreek,World,2019,0.126614,0.090624
Fescue,World,2019,,
Fig leaf gourd,World,2019,0.063863,0.007468
Figs,World,2019,0.091462,0.158652
Finger millet,World,2019,0.066845,0.089174
Fique,World,2019,1.000000,0.000000
Flax,World,2019,0.106069,0.096576
Fonio,World,2019,0.075731,0.129363
Foxtail millet,World,2019,0.035999,0.042330
Galactia,World,2019,0.071079,0.043762
Garlic,World,2019,0.091459,0.020909
Giant cabuya,World,2019,1.000000,0.000000
Ginger,World,2019,0.092802,0.096639
Gooseberries,World,2019,0.117782,0.041397
Grapefruits,World,2019,0.089326,0.014022
Grapes,World,2019,0.105990,0.084815
Grasspea,World,2019,0.082354,0.063598
Groundnuts,World,2019,0.042316,0.040647
Guavas,World,2019,0.226295,0.206169
Guayule,World,2019,0.263441,0.502688
Gutta-percha,World,2019,0.000000,0.000000
Hazelnuts,World,2019,0.100010,0.089341
Hedysarum,World,2019,0.148620,0.172452
Hemp,World,2019,0.104784,0.102254
Hops,World,2019,0.069186,0.072315
Horseradish,World,2019,0.227477,0.220721
Huckleberry,World,2019,0.451389,0.041667
Indigofera,World,2019,0.051852,0.018232
Jack bean,World,2019,0.057114,0.028293
Jackfruit,World,2019,0.105576,0.034696
Japanese millet,World,2019,0.047754,0.067451
Jelutong,World,2019,,
Jerusalem artichoke,World,2019,0.074068,0.007281
Jicama,World,2019,0.066574,0.038324
Jojoba,World,2019,0.139165,0.138723
Jujube,World,2019,0.090338,0.082261
Jute,World,2019,0.054557,0.053295
Kaniwa,World,2019,0.069959,0.047695
Kapok,World,2019,0.216667,0.113636
Karite nuts,World,2019,,
Kenaf,World,2019,0.057363,0.036347
Kiwi fruit,World,2019,0.135681,0.097738
Kiwicha,World,2019,0.046716,0.014284
Kodo millet,World,2019,0.057052,0.054695
Kola nuts,World,2019,0.400000,0.500000
Kumquat,World,2019,0.463235,0.011765
Lablab,World,2019,0.059842,0.060422
Lavender,World,2019,0.211111,0.071429
Leeks and other alliaceous vegetables,World,2019,0.091459,0.011868
Lemons and limes,World,2019,0.097112,0.016146
Lentils,World,2019,0.060556,0.059054
Lespedeza,World,2019,0.188409,0.130428
Lettuce,World,2019,0.073374,0.066043
Leucaena,World,2019,0.035319,0.021978
Licorice,World,2019,0.242308,0.128736
Lima bean,World,2019,0.045940,0.004191
Litchi,World,2019,0.162791,0.161240
Little millet,World,2019,0.030507,0.018396
Lolium,World,2019,0.072160,0.067399
Longan,World,2019,0.200521,0.200521
Loquat,World,2019,0.236434,0.245995
Lotus,World,2019,0.066531,0.041139
Lupins,World,2019,0.148688,0.134514
Maca,World,2019,0.084060,0.139250
Macadamia nut,World,2019,0.313131,0.279835
Macroptilium,World,2019,0.055238,0.035911
Mahuwa,World,2019,0.416667,0.083333
Maize,World,2019,0.054871,0.054227
Malabar spinach,World,2019,0.126950,0.125532
Mamey sapote,World,2019,0.226887,0.238168
Mammee,World,2019,0.190476,0.142857
Mandarines,World,2019,0.089326,0.016781
Mango,World,2019,0.169338,0.132027
Mangosteen,World,2019,0.080000,0.157778
Maple sugar,World,2019,0.076840,0.021040
Marjoram,World,2019,0.188052,0.012987
Mashua,World,2019,0.127960,0.433060
Mat bean,World,2019,0.029571,0.002714
Mate,World,2019,0.159099,0.000000
Mauka,World,2019,0.345679,0.916667
Medlar,World,2019,0.128971,0.127074
Melilotus,World,2019,0.084275,0.064349
Melons,World,2019,0.061669,0.036487
Mombin,World,2019,0.118500,0.084980
