crop,country,year,genus_count_gini_origin,species_count_gini_origin
Mulberry,World,2019,0.149701,0.099265
Mung bean,World,2019,0.029571,0.008774
Myrtle,World,2019,0.187879,0.187879
Naranjilla,World,2019,0.038994,0.000995
Neonotonia,World,2019,0.110736,0.109647
New Zealand flax,World,2019,0.295652,0.113043
New Zealand Spinach,World,2019,0.327778,0.185185
Noog,World,2019,0.286536,0.341044
Nutmeg,World,2019,0.500000,0.250000
Oats,World,2019,0.070294,0.042975
Oca,World,2019,0.114759,0.442110
Oil palm,World,2019,0.094479,0.093675
Oiticica,World,2019,0.160000,0.000000
Okra,World,2019,0.065417,0.057413
Olives,World,2019,0.069973,0.072095
Onions,World,2019,0.091459,0.047765
Onobrychis,World,2019,0.123072,0.048362
Orache,World,2019,0.088899,0.013662
Oranges,World,2019,0.089326,0.043614
Oregano,World,2019,0.188052,0.174892
Ornithopus,World,2019,0.081795,0.023292
Papayas,World,2019,0.157687,0.167310
Parsley,World,2019,0.159009,0.134649
Parsnip,World,2019,0.175855,0.167564
Passionfruit,World,2019,0.067376,0.021717
Pawpaw,World,2019,0.386364,0.305195
Peaches and nectarines,World,2019,0.099106,0.030800
Pearl millet,World,2019,0.036729,0.086160
Pears,World,2019,0.089544,0.080035
Peas,World,2019,0.104169,0.099451
Pecan,World,2019,0.143190,0.247485
Pepino,World,2019,0.038994,0.000086
Pepper,World,2019,0.053627,0.001299
Peppermint,World,2019,0.099116,0.019519
Perilla,World,2019,0.149270,0.157641
Persimmons,World,2019,0.117947,0.181133
Phalaris,World,2019,0.081393,0.074779
Phleum,World,2019,0.093753,0.102922
Physic nut,World,2019,0.079669,0.106431
Pigeonpeas,World,2019,0.028861,0.028756
Pili nut,World,2019,0.203209,0.235294
Pine nut,World,2019,0.026403,0.001017
Pineapples,World,2019,0.060958,0.053455
Pistachios,World,2019,0.135211,0.105525
Plantains,World,2019,0.047943,0.003890
Plums,World,2019,0.099106,0.031866
Poa,World,2019,0.098940,0.088588
Pomegranate,World,2019,0.167546,0.171024
Pongamia oil,World,2019,0.062519,0.001671
Poppies,World,2019,0.110756,0.124934
Potatoes,World,2019,0.038994,0.020696
Prickly pear,World,2019,0.067929,0.048763
Proso millet,World,2019,0.030507,0.039082
Prosopis,World,2019,0.056759,0.012852
Pueraria,World,2019,0.048154,0.053886
Pumpkin,World,2019,0.063863,0.017509
Purging croton,World,2019,0.149524,0.070000
Pyrethrum,World,2019,0.154356,0.057644
Quinces,World,2019,0.222756,0.218973
Quinoa,World,2019,0.069959,0.144044
Radish,World,2019,0.115519,0.108627
Rambutan,World,2019,0.114883,0.090982
Ramie,World,2019,0.141447,0.178947
Rapeseed and Mustards,World,2019,0.074506,0.031938
Raspberries,World,2019,0.034937,0.029997
Rhubarb,World,2019,0.127897,0.110615
Rhynchosia,World,2019,0.042176,0.028359
African rice,World,2019,0.031162,0.002260
Asian rice,World,2019,0.031162,0.030337
Rice bean,World,2019,0.029571,0.002870
Roselle,World,2019,0.057363,0.044438
Rosemary,World,2019,0.177984,0.129115
"Rubber, natural",World,2019,,
Runner bean,World,2019,0.045940,0.003888
Rye,World,2019,0.150439,0.142022
Safflower,World,2019,0.043615,0.045630
Saffron,World,2019,0.128801,0.039882
Sago palm,World,2019,0.000000,0.000000
Salsify,World,2019,0.156095,0.075964
Salsola,World,2019,0.184096,0.112745
Sapodilla,World,2019,0.209451,0.279399
Savory,World,2019,0.170247,0.162939
Service tree,World,2019,0.079902,0.039236
Sesame,World,2019,0.044787,0.044114
Sesbania,World,2019,0.045908,0.018288
Shala tree,World,2019,1.000000,0.000000
Sisal,World,2019,0.118766,0.003053
Slippery cabbage,World,2019,0.065417,0.015527
Snake gourd,World,2019,0.094416,0.028048
Snake plant,World,2019,0.148352,0.000000
Sorghum,World,2019,0.046269,0.046297
Sorrel,World,2019,0.110390,0.074247
Soursop,World,2019,0.222476,0.016381
Soybeans,World,2019,0.052990,0.051445
Spider plant,World,2019,0.328571,1.000000
Spinach,World,2019,0.133201,0.130042
Strawberries,World,2019,0.104193,0.048967
Strawberry tree,World,2019,0.162121,0.041322
Stylosanthes,World,2019,0.039368,0.024224
Sugar apple,World,2019,0.222476,0.027381
Sugar beets,World,2019,0.094682,0.075632
Sugarcane,World,2019,0.092059,0.025093
Sunflowers,World,2019,0.074068,0.061526
Sunn hemp,World,2019,0.088127,0.028086
Sweetpotatoes,World,2019,0.025023,0.026474
Sword bean,World,2019,0.057114,0.013179
Tallowtree,World,2019,0.200000,0.250000
Tamarind,World,2019,0.171593,0.171593
Taro,World,2019,0.090949,0.090671
Tarragon,World,2019,0.086300,0.013071
Tea,World,2019,0.190789,0.198711
Teff,World,2019,0.032865,0.089817
Tepary bean,World,2019,0.045940,0.002010
Thyme,World,2019,0.206074,0.061793
Tobacco,World,2019,0.092815,0.080520
Tomatillo,World,2019,0.034595,0.034582
Tomatoes,World,2019,0.038994,0.014626
Tree tomato,World,2019,0.038994,0.002104
Tripsacum,World,2019,0.183009,0.007396
Triticale,World,2019,0.050885,0.000000
Tung nuts,World,2019,0.285714,0.166667
Turmeric,World,2019,0.211348,0.015957
Turnips,World,2019,0.074506,0.019113
Ulluco,World,2019,0.525510,0.525510
Vanilla,World,2019,0.154762,0.351190
Velvet bean,World,2019,0.076642,0.059665
Velvet leaf,World,2019,0.112447,0.034344
Vetch,World,2019,0.063340,0.023225
Walnuts,World,2019,0.145240,0.135704
Water dropwort,World,2019,0.167421,0.000000
Watercress,World,2019,0.241623,0.240741
Watermelons,World,2019,0.064215,0.062751
Wax gourd,World,2019,0.180823,0.184851
West Indian Gherkin,World,2019,0.061669,0.002998
Wheat,World,2019,0.052417,0.041493
Wildrice,World,2019,1.000000,0.000000
Winged bean,World,2019,0.065708,0.088991
Yacon,World,2019,0.242099,0.337168
Yams,World,2019,0.034098,0.038017
"Yautia, cocoyam",World,2019,,
Year bean,World,2019,0.045940,0.002646
Zornia,World,2019,0.037826,0.010214
Zucchini,World,2019,0.063863,0.022624
