crop,country,year,genus_count_gini_institution,species_count_gini_institution
Ginger,World,2019,0.663191535,0.693779707
Gooseberries,World,2019,0.784088582,0.866812258
Grapefruits,World,2019,0.812539093,0.920158569
Grapes,World,2019,0.738866237,0.754375112
Grasspea,World,2019,0.748240514,0.750423029
Groundnuts,World,2019,0.781534212,0.814484504
Guavas,World,2019,0.690768558,0.707972517
Guayule,World,2019,0.552306579,0.896206807
Gutta-percha,World,2019,0.500794913,0.500831947
Hazelnuts,World,2019,0.79058663,0.841621053
Hedysarum,World,2019,0.74602211,0.891390259
Hemp,World,2019,0.719657843,0.729744351
Hops,World,2019,0.757421776,0.755063618
Horseradish,World,2019,0.577358273,0.585831592
Huckleberry,World,2019,0.632202772,0.43785826
Indigofera,World,2019,0.86879247,0.916120259
Jack bean,World,2019,0.73847355,0.766624575
Jackfruit,World,2019,0.701348587,0.797141202
Japanese millet,World,2019,0.831177435,0.86783259
Jerusalem artichoke,World,2019,0.713882967,0.87519385
Jicama,World,2019,0.796300927,0.782649724
Jojoba,World,2019,0.60248688,0.572612344
Jujube,World,2019,0.700990288,0.815175296
Jute,World,2019,0.806758727,0.826989164
Kaniwa,World,2019,0.681286453,0.908593336
Kapok,World,2019,0.617250205,0.69449868
Karite nuts,World,2019,1,1
Kenaf,World,2019,0.752933811,0.900985978
Kiwi fruit,World,2019,0.796394956,0.823684185
Kiwicha,World,2019,0.762483071,0.890374483
Kodo millet,World,2019,0.843524056,0.944332737
Kola nuts,World,2019,0.480820106,0.625499334
Kumquat,World,2019,0.607215359,0.665822267
Lablab,World,2019,0.788595766,0.802126111
Lavender,World,2019,0.667285841,0.793151712
Leeks and other alliaceous vegetables,World,2019,0.779652784,0.830169535
Lemons and limes,World,2019,0.79117761,0.851512936
Lentils,World,2019,0.723983049,0.747752994
Lespedeza,World,2019,0.792793525,0.713609414
Lettuce,World,2019,0.732233905,0.760416264
Leucaena,World,2019,0.836329906,0.845178622
Licorice,World,2019,0.708040226,0.701576846
Lima bean,World,2019,0.796662003,0.864640515
Litchi,World,2019,0.742994933,0.731992961
Little millet,World,2019,0.811568501,0.969456056
Lolium,World,2019,0.739313961,0.726038028
Longan,World,2019,0.692553267,0.691339813
Loquat,World,2019,0.654684242,0.65121474
Lotus,World,2019,0.752871363,0.782295222
Lupins,World,2019,0.661340756,0.745331757
Maca,World,2019,0.696297234,0.944976679
Macadamia nut,World,2019,0.709191709,0.703943714
Macroptilium,World,2019,0.842848956,0.857573193
Mahuwa,World,2019,0.512248379,0.671670457
Maize,World,2019,0.800470071,0.797687768
Malabar spinach,World,2019,0.642330369,0.617387869
Mamey sapote,World,2019,0.663144373,0.946295307
Mammee,World,2019,0.577821857,0.659737684
Mandarines,World,2019,0.812539093,0.864638894
Mango,World,2019,0.836490314,0.810844822
Mangosteen,World,2019,0.51331421,0.778280763
Maple sugar,World,2019,0.835126314,0.952302152
Marjoram,World,2019,0.684053792,0.718172135
Mashua,World,2019,0.557500383,0.895446407
Mat bean,World,2019,0.816598697,0.971511289
Mate,World,2019,0.842967619,0.989724752
Mauka,World,2019,0.499126631,0.909013138
Medlar,World,2019,0.57441994,0.569348048
Melilotus,World,2019,0.762342649,0.795367315
Melons,World,2019,0.780472084,0.841034556
Mombin,World,2019,0.656480029,0.67559602
Mulberry,World,2019,0.69841822,0.698618228
Mung bean,World,2019,0.816598697,0.891012788
Myrtle,World,2019,0.717770555,0.716145321
Naranjilla,World,2019,0.793435117,0.962258269
Neonotonia,World,2019,0.830957661,0.828866206
New Zealand flax,World,2019,0.744326766,0.721001072
New Zealand spinach,World,2019,0.607930429,0.804027767
Noog,World,2019,0.447220944,0.486316628
Nutmeg,World,2019,0.549938975,0.543410853
Oats,World,2019,0.705401651,0.722669376
Oca,World,2019,0.61694128,0.864750679
Oil palm,World,2019,0.681881169,0.673697308
Oiticica,World,2019,0.70258006,0.833499833
Okra,World,2019,0.829662295,0.863082775
Olives,World,2019,0.697435199,0.700356703
Onions,World,2019,0.779652784,0.797806907
Onobrychis,World,2019,0.695545,0.774349487
Orache,World,2019,0.778944763,0.759569872
Oranges,World,2019,0.812539093,0.858793067
Oregano,World,2019,0.684053792,0.652193417
Ornithopus,World,2019,0.6601078,0.715038452
Papayas,World,2019,0.654308648,0.650244418
Parsley,World,2019,0.710812599,0.75325575
Parsnip,World,2019,0.625533721,0.65660626
Passionfruit,World,2019,0.693090458,0.791239922
Pawpaw,World,2019,0.607355523,0.540196874
Peaches and nectarines,World,2019,0.769768008,0.866548238
Pearl millet,World,2019,0.78128338,0.89399096
Pears,World,2019,0.767584848,0.806378435
Peas,World,2019,0.752093678,0.760114297
Pecan,World,2019,0.731472505,0.905121794
Pepino,World,2019,0.793435117,0.981292059
Pepper,World,2019,0.649657116,0.639054228
Peppermint,World,2019,0.738969574,0.917216212
Perilla,World,2019,0.741526774,0.762207159
Persimmons,World,2019,0.727574015,0.863404949
Phalaris,World,2019,0.788695951,0.788175744
Phleum,World,2019,0.735831276,0.773212437
Physic nut,World,2019,0.642884632,0.659536328
Pigeonpeas,World,2019,0.824214907,0.816903028
Pili nut,World,2019,0.680647407,0.839552721
Pine nut,World,2019,0.84325485,0.963408926
Pineapples,World,2019,0.837749312,0.865208518
Pistachios,World,2019,0.739246009,0.859200974
Plantains,World,2019,0.830943795,0.906169159
Plums,World,2019,0.769768008,0.818484365
Poa,World,2019,0.754613943,0.785369865
Pomegranate,World,2019,0.742950501,0.735859421
Pongamia oil,World,2019,0.710302276,0.866499557
Poppies,World,2019,0.735641466,0.786381479
Potatoes,World,2019,0.793435117,0.882845252
Prickly pear,World,2019,0.61292586,0.765505074
Proso millet,World,2019,0.811568501,0.83496285
Prosopis,World,2019,0.803655709,0.900545821
Pueraria,World,2019,0.819028844,0.87346338
Pumpkin,World,2019,0.804022708,0.800058289
Purging croton,World,2019,0.614079852,0.998101123
Pyrethrum,World,2019,0.735464532,0.936888408
Quinces,World,2019,0.781648537,0.761312718
Quinoa,World,2019,0.681286453,0.779657221
Radish,World,2019,0.749365563,0.72197586
Rambutan,World,2019,0.614148745,0.590447684
Ramie,World,2019,0.585204223,0.764673697
Rapeseed and mustards,World,2019,0.71785356,0.740435354
Raspberries,World,2019,0.75571254,0.872428247
Rhubarb,World,2019,0.772589108,0.896635806
Rhynchosia,World,2019,0.854549072,0.887959233
Rice bean,World,2019,0.816598697,0.940674872
Roselle,World,2019,0.752933811,0.868611762
Rosemary,World,2019,0.625853027,0.595126293
"Rubber, natural",World,2019,0.490497076,0.535472092
Runner bean,World,2019,0.796662003,0.890561865
Rye,World,2019,0.732165926,0.733168747
Safflower,World,2019,0.760207168,0.761262314
Saffron,World,2019,0.58444714,0.774738676
Sago palm,World,2019,0.500794913,1
Salsify,World,2019,0.714951536,0.870086232
Salsola,World,2019,0.674739231,0.847419507
Sapodilla,World,2019,0.791844044,0.77044343
Savory,World,2019,0.615684417,0.710990515
Service tree,World,2019,0.810699689,0.957607297
Sesame,World,2019,0.766450845,0.752862493
Sesbania,World,2019,0.83617863,0.869677679
Shala tree,World,2019,1,0.500831947
Sisal,World,2019,0.618111519,0.806983619
Slippery cabbage,World,2019,0.829662295,0.92397019
Snake gourd,World,2019,0.570886084,0.696023526
Snake plant,World,2019,0.615694083,0.764962013
Sorghum,World,2019,0.825862528,0.822817013
Sorrel,World,2019,0.748452574,0.838432037
Soursop,World,2019,0.675524779,0.795107251
Soybeans,World,2019,0.80125424,0.813181131
Spider plant,World,2019,0.915616097,0.717571675
Spinach,World,2019,0.747145793,0.75539
Strawberries,World,2019,0.72568256,0.949311906
Strawberry tree,World,2019,0.605261034,0.682672137
Stylosanthes,World,2019,0.848086021,0.903778932
Sugar apple,World,2019,0.675524779,0.833375457
Sugar beets,World,2019,0.713322204,0.721215671
Sugarcane,World,2019,0.840001262,0.907736259
Sunflowers,World,2019,0.713882967,0.703841899
Sunn hemp,World,2019,0.805909813,0.870357461
Sweetpotatoes,World,2019,0.763416695,0.881087332
Sword bean,World,2019,0.73847355,0.902981393
Tallowtree,World,2019,0.638692098,0.782525364
Tamarind,World,2019,0.611005431,0.608738352
Taro,World,2019,0.714591998,0.773717217
Tarragon,World,2019,0.741813245,0.865738461
Tea,World,2019,0.785934052,0.820820165
Teff,World,2019,0.793428063,0.925926564
Tepary bean,World,2019,0.796662003,0.935771291
Thyme,World,2019,0.674858008,0.709479047
Tobacco,World,2019,0.770539841,0.7914975
Tomatillo,World,2019,0.745176423,0.801825284
