crop,country,year,protein_supply_quantity_global
Adlay,World,2010,1
Adlay,World,2011,1
Adlay,World,2012,1
Adlay,World,2013,1
Adzuki bean,World,2010,1
Adzuki bean,World,2011,1
Adzuki bean,World,2012,1
Adzuki bean,World,2013,1
Allspice,World,2010,0.995239779
Allspice,World,2011,0.995411434
Allspice,World,2012,0.996273648
Allspice,World,2013,1
Almonds,World,2010,0.946335883
Almonds,World,2011,0.963794347
Almonds,World,2012,0.957413554
Almonds,World,2013,0.955295336
Amaranth,World,2010,0.966170209
Amaranth,World,2011,0.972865375
Amaranth,World,2012,0.983813819
Amaranth,World,2013,0.987179794
Anise,World,2010,0.965498507
Anise,World,2011,0.967361287
Anise,World,2012,0.942295979
Anise,World,2013,0.946357866
Apple,World,2010,0.389712383
Apple,World,2011,0.380491269
Apple,World,2012,0.335233311
Apple,World,2013,0.351246968
Apricot,World,2010,0.900401742
Apricot,World,2011,0.898023047
Apricot,World,2012,0.887653865
Apricot,World,2013,0.882525101
Areca nuts,World,2010,1
Areca nuts,World,2011,1
Areca nuts,World,2012,1
Areca nuts,World,2013,1
Arracacha,World,2010,0.996341469
Arracacha,World,2011,0.995403346
Arracacha,World,2012,0.995887988
Arracacha,World,2013,0.99649794
Arrowroot,World,2010,1
Arrowroot,World,2011,1
Arrowroot,World,2012,1
Arrowroot,World,2013,1
Artichokes,World,2010,1
Artichokes,World,2011,1
Artichokes,World,2012,1
Artichokes,World,2013,1
Asparagus,World,2010,1
Asparagus,World,2011,1
Asparagus,World,2012,1
Asparagus,World,2013,1
Atemoya,World,2010,0.999747131
Atemoya,World,2011,0.999520349
Atemoya,World,2012,1
Atemoya,World,2013,1
Avocado,World,2010,0.999036828
Avocado,World,2011,0.998316416
Avocado,World,2012,0.999202014
Avocado,World,2013,0.999388056
Azarole,World,2010,0.976176523
Azarole,World,2011,0.974881247
Azarole,World,2012,0.980829465
Azarole,World,2013,0.977694131
Babaco,World,2010,0.998317642
Babaco,World,2011,0.999760309
Babaco,World,2012,0.998978762
Babaco,World,2013,0.998470009
Badian,World,2010,1
Badian,World,2011,1
Badian,World,2012,1
Badian,World,2013,1
Bambara bean,World,2010,0.952734799
Bambara bean,World,2011,0.946908038
Bambara bean,World,2012,0.949113937
Bambara bean,World,2013,0.964867617
Bamboo shoot,World,2010,0.39836364
Bamboo shoot,World,2011,0.397673921
Bamboo shoot,World,2012,0.394062374
Bamboo shoot,World,2013,0.394820116
Bananas,World,2010,0.935024105
Bananas,World,2011,0.927866283
Bananas,World,2012,0.929188236
Bananas,World,2013,0.940958547
Barley,World,2010,0.721381095
Barley,World,2011,0.730478497
Barley,World,2012,0.743321142
Barley,World,2013,0.714631909
Bay leaf,World,2010,1
Bay leaf,World,2011,1
Bay leaf,World,2012,0.987072257
Bay leaf,World,2013,0.983947713
Beech nut,World,2010,1
Beech nut,World,2011,1
Beech nut,World,2012,1
Beech nut,World,2013,1
Beets,World,2010,1
Beets,World,2011,1
Beets,World,2012,1
Beets,World,2013,1
Black gram,World,2010,0.903155479
Black gram,World,2011,0.920187051
Black gram,World,2012,0.935369175
Black gram,World,2013,0.940274038
Black salsify,World,2010,1
Black salsify,World,2011,1
Black salsify,World,2012,1
Black salsify,World,2013,1
Blueberry,World,2010,1
Blueberry,World,2011,1
Blueberry,World,2012,0.996694745
Blueberry,World,2013,0.997401116
Brazil nut,World,2010,1
Brazil nut,World,2011,1
Brazil nut,World,2012,1
Brazil nut,World,2013,1
Breadfruit,World,2010,0.98995371
Breadfruit,World,2011,0.984960634
Breadfruit,World,2012,0.986076412
Breadfruit,World,2013,0.993651687
Buckwheat,World,2010,1
Buckwheat,World,2011,1
Buckwheat,World,2012,1
Buckwheat,World,2013,1
Butter-nut,World,2010,1
Butter-nut,World,2011,1
Butter-nut,World,2012,1
Butter-nut,World,2013,1
Butternut squash,World,2010,1
Butternut squash,World,2011,1
Butternut squash,World,2012,1
Butternut squash,World,2013,1
Cabbages,World,2010,0.37534516
Cabbages,World,2011,0.374449085
Cabbages,World,2012,0.37974407
Cabbages,World,2013,0.38270136
Cabbages and other brassicas,World,2010,0.37534516
Cabbages and other brassicas,World,2011,0.374449085
Cabbages and other brassicas,World,2012,0.37974407
Cabbages and other brassicas,World,2013,0.38270136
Cainito,World,2010,0.996682812
Cainito,World,2011,0.997804122
Cainito,World,2012,0.998155689
Cainito,World,2013,0.998010463
Calabash,World,2010,1
Calabash,World,2011,1
Calabash,World,2012,1
Calabash,World,2013,1
Canary seed,World,2010,1
Canary seed,World,2011,1
Canary seed,World,2012,1
Canary seed,World,2013,1
Candlenut,World,2010,1
Candlenut,World,2011,1
Candlenut,World,2012,1
Candlenut,World,2013,1
Canola,World,2010,1
Canola,World,2011,1
Canola,World,2012,1
Canola,World,2013,1
Capers,World,2010,1
Capers,World,2011,1
Capers,World,2012,1
Capers,World,2013,1
Carambola,World,2010,1
Carambola,World,2011,1
Carambola,World,2012,1
Carambola,World,2013,1
Carapa,World,2010,0.97906464
Carapa,World,2011,0.984945178
Carapa,World,2012,0.979379246
Carapa,World,2013,0.97481864
Cardamoms,World,2010,0.53906562
Cardamoms,World,2011,0.490073773
Cardamoms,World,2012,0.534519345
Cardamoms,World,2013,0.531735053
Carobs,World,2010,1
Carobs,World,2011,1
Carobs,World,2012,1
Carobs,World,2013,1
Carrots,World,2010,1
Carrots,World,2011,1
Carrots,World,2012,1
Carrots,World,2013,1
Cashews,World,2010,1
Cashews,World,2011,1
Cashews,World,2012,1
Cashews,World,2013,1
Cassava,World,2010,0.948349386
Cassava,World,2011,0.950732096
Cassava,World,2012,0.955092292
Cassava,World,2013,0.95743874
Castor bean,World,2010,0.885868293
Castor bean,World,2011,0.743220616
Castor bean,World,2012,0.744208519
Castor bean,World,2013,0.732620997
Celery,World,2010,1
Celery,World,2011,1
Celery,World,2012,1
Celery,World,2013,1
Cherimoya,World,2010,1
Cherimoya,World,2011,1
Cherimoya,World,2012,1
Cherimoya,World,2013,1
Cherries,World,2010,0.989791889
Cherries,World,2011,0.988910128
Cherries,World,2012,0.991539293
Cherries,World,2013,0.987854313
Chervil,World,2010,1
Chervil,World,2011,1
Chervil,World,2012,1
Chervil,World,2013,1
Chestnuts,World,2010,0.889678512
Chestnuts,World,2011,0.919690838
Chestnuts,World,2012,0.90089755
Chestnuts,World,2013,0.913568376
Chickpeas,World,2010,0.586350305
Chickpeas,World,2011,0.576305964
Chickpeas,World,2012,0.591298636
Chickpeas,World,2013,0.552867656
Chicory,World,2010,1
Chicory,World,2011,1
Chicory,World,2012,1
Chicory,World,2013,1
Chillies and peppers,World,2010,1
Chillies and peppers,World,2011,0.999627048
Chillies and peppers,World,2012,1
Chillies and peppers,World,2013,1
Chinotto,World,2010,1
Chinotto,World,2011,1
Chinotto,World,2012,1
Chinotto,World,2013,1
Chontadura,World,2010,0.997999178
Chontadura,World,2011,1
Chontadura,World,2012,0.996953988
Chontadura,World,2013,0.992114859
Chufa,World,2010,1
Chufa,World,2011,1
Chufa,World,2012,1
Chufa,World,2013,1
Cinnamon,World,2010,0.682767017
Cinnamon,World,2011,0.64798583
Cinnamon,World,2012,0.702129799
Cinnamon,World,2013,0.711359228
Citron,World,2010,1
Citron,World,2011,1
Citron,World,2012,1
Citron,World,2013,1
Cloves,World,2012,0.674131322
Cocoa,World,2010,0.971715838
Cocoa,World,2011,0.97999937
Cocoa,World,2012,0.971247046
Cocoa,World,2013,0.982073427
Coconuts,World,2010,0.411710719
Coconuts,World,2011,0.431259256
Coconuts,World,2012,0.425116146
Coconuts,World,2013,0.408099034
Coffee,World,2010,1
Coffee,World,2011,1
Coffee,World,2012,1
Coffee,World,2013,1
Common bean,World,2010,0.932949133
Common bean,World,2011,0.944203465
Common bean,World,2012,0.926447181
Common bean,World,2013,0.921473478
Coriander,World,2010,0.956809812
Coriander,World,2011,0.960995905
Coriander,World,2012,0.929349321
Coriander,World,2013,0.934077951
Cotton,World,2011,0.940754104
Cotton,World,2012,0.980589782
Cotton,World,2013,0.977228224
Cowpeas,World,2010,0.865426647
Cowpeas,World,2011,0.87013183
Cowpeas,World,2012,0.860721853
Cowpeas,World,2013,0.878773149
Cranberries,World,2010,1
Cranberries,World,2011,1
Cranberries,World,2012,0.996694745
