crop,country,year,fat_supply_quantity_global
Cucumbers and gherkins,World,2010,0.421478153
Cucumbers and gherkins,World,2011,0.423442484
Cucumbers and gherkins,World,2012,0.413410125
Cucumbers and gherkins,World,2013,0.406759509
Cumin,World,2010,0.593493964
Cumin,World,2011,0.558308808
Cumin,World,2012,0.587929114
Cumin,World,2013,0.618297557
Currants,World,2010,0.990758321
Currants,World,2011,1
Currants,World,2012,1
Currants,World,2013,1
Cushaw,World,2010,1
Cushaw,World,2011,1
Cushaw,World,2012,1
Cushaw,World,2013,1
Custard apple,World,2010,0.965363822
Custard apple,World,2011,0.964071906
Custard apple,World,2012,0.969452745
Custard apple,World,2013,0.966317266
Dates,World,2010,0.149016607
Dates,World,2011,0.133803638
Dates,World,2012,0.136973966
Dates,World,2013,0.143929454
Dill,World,2010,1
Dill,World,2011,1
Dill,World,2012,1
Dill,World,2013,0.995832902
Durian,World,2010,0.974954268
Durian,World,2011,0.969901211
Durian,World,2012,0.972462159
Durian,World,2013,0.981642101
Eggplant,World,2010,0.421478153
Eggplant,World,2011,0.423442484
Eggplant,World,2012,0.413410125
Eggplant,World,2013,0.406759509
Elderberry,World,2010,0.946677952
Elderberry,World,2011,0.944947586
Elderberry,World,2012,0.94140091
Elderberry,World,2013,0.936302381
Ethiopian rape,World,2010,1
Ethiopian rape,World,2011,1
Ethiopian rape,World,2012,1
Ethiopian rape,World,2013,1
Faba beans,World,2010,0.954540314
Faba beans,World,2011,0.959337986
Faba beans,World,2012,0.966048459
Faba beans,World,2013,0.961669807
Feijoa,World,2010,0.972353627
Feijoa,World,2011,0.972660582
Feijoa,World,2012,0.969460695
Feijoa,World,2013,0.969973748
Fennel,World,2010,0.912871255
Fennel,World,2011,0.921377657
Fennel,World,2012,0.881392617
Fennel,World,2013,0.881354206
Fenugreek,World,2010,0.945817209
Fenugreek,World,2011,0.952100236
Fenugreek,World,2012,0.932986281
Fenugreek,World,2013,0.938648604
Fig leaf gourd,World,2010,1
Fig leaf gourd,World,2011,1
Fig leaf gourd,World,2012,1
Fig leaf gourd,World,2013,1
Figs,World,2010,1
Figs,World,2011,1
Figs,World,2012,1
Figs,World,2013,1
Finger millet,World,2010,0.983547067
Finger millet,World,2011,0.979547897
Finger millet,World,2012,0.999122362
Finger millet,World,2013,0.998160203
Flax,World,2010,0.95859374
Flax,World,2011,0.942061936
Flax,World,2012,0.911306066
Flax,World,2013,0.806729599
Fonio,World,2010,0.901550354
Fonio,World,2011,0.910737103
Fonio,World,2012,0.91631661
Fonio,World,2013,0.923755977
Foxtail millet,World,2010,0.919797444
Foxtail millet,World,2011,0.844034558
Foxtail millet,World,2012,0.925032635
Foxtail millet,World,2013,0.909731136
Garlic,World,2010,1
Garlic,World,2011,1
Garlic,World,2012,1
Garlic,World,2013,1
Ginger,World,2010,0.681970064
Ginger,World,2011,0.642097525
Ginger,World,2012,0.691217866
Ginger,World,2013,0.713160102
Gooseberries,World,2010,1
Gooseberries,World,2011,1
Gooseberries,World,2012,1
Gooseberries,World,2013,1
Grapefruits,World,2010,0.405328399
Grapefruits,World,2011,0.288637243
Grapefruits,World,2012,0.378679253
Grapefruits,World,2013,0.302489747
Grapes,World,2010,0.716529323
Grapes,World,2011,0.642985982
Grapes,World,2012,0.704068766
Grapes,World,2013,0.653036107
Grasspea,World,2010,0.954540314
Grasspea,World,2011,0.959337986
Grasspea,World,2012,0.966048459
Grasspea,World,2013,0.961669807
Groundnuts,World,2010,1
Groundnuts,World,2011,1
Groundnuts,World,2012,1
Groundnuts,World,2013,1
Guavas,World,2010,0.949305178
Guavas,World,2011,0.948022576
Guavas,World,2012,0.948953558
Guavas,World,2013,0.94915569
Hazelnuts,World,2010,0.785753846
Hazelnuts,World,2011,0.824903257
Hazelnuts,World,2012,0.822894832
Hazelnuts,World,2013,0.817832801
Hemp,World,2010,1
Hemp,World,2011,1
Hemp,World,2012,1
Hemp,World,2013,1
Horseradish,World,2010,1
Horseradish,World,2011,1
Horseradish,World,2012,1
Horseradish,World,2013,1
Huckleberry,World,2010,0.968364491
Huckleberry,World,2011,0.957187542
Huckleberry,World,2012,0.946886492
Huckleberry,World,2013,0.949280804
Jack bean,World,2010,1
Jack bean,World,2011,1
Jack bean,World,2012,1
Jack bean,World,2013,1
Jackfruit,World,2010,1
Jackfruit,World,2011,1
Jackfruit,World,2012,1
Jackfruit,World,2013,1
Japanese millet,World,2010,0.919797444
Japanese millet,World,2011,0.844034558
Japanese millet,World,2012,0.925032635
Japanese millet,World,2013,0.909731136
Jicama,World,2010,1
Jicama,World,2011,1
Jicama,World,2012,1
Jicama,World,2013,1
Jojoba,World,2010,1
Jojoba,World,2011,1
Jojoba,World,2012,1
Jojoba,World,2013,1
Jujube,World,2010,1
Jujube,World,2011,1
Jujube,World,2012,1
Jujube,World,2013,1
Kaniwa,World,2010,0.961736076
Kaniwa,World,2011,0.967767859
Kaniwa,World,2012,0.968601744
Kaniwa,World,2013,0.962214098
Kapok,World,2010,0.520335962
Kapok,World,2011,0.569724882
Kapok,World,2012,0.567963744
Kapok,World,2013,0.621518937
Karite nuts,World,2010,0.372174327
Karite nuts,World,2011,0.378306094
Karite nuts,World,2012,0.405057638
Karite nuts,World,2013,0.497250722
Kiwi fruit,World,2010,1
Kiwi fruit,World,2011,1
Kiwi fruit,World,2012,1
Kiwi fruit,World,2013,1
Kiwicha,World,2010,0.961736076
Kiwicha,World,2011,0.967767859
Kiwicha,World,2012,0.968601744
Kiwicha,World,2013,0.962214098
Kodo millet,World,2010,0.174553659
Kodo millet,World,2011,0.194972649
Kodo millet,World,2012,0.170674041
Kodo millet,World,2013,0.171589821
Kola nuts,World,2010,0.992797197
Kola nuts,World,2011,0.999253706
Kola nuts,World,2012,1
Kola nuts,World,2013,1
Kumquat,World,2010,0.884784132
Kumquat,World,2011,0.84274209
Kumquat,World,2012,0.830254034
Kumquat,World,2013,0.841315466
Lablab,World,2010,0.946621395
Lablab,World,2011,0.951568634
Lablab,World,2012,0.943817501
Lablab,World,2013,0.955705396
Leeks and other alliaceous vegetables,World,2010,1
Leeks and other alliaceous vegetables,World,2011,1
Leeks and other alliaceous vegetables,World,2012,1
Leeks and other alliaceous vegetables,World,2013,1
Lemons and limes,World,2010,0.552502175
Lemons and limes,World,2011,0.630666464
Lemons and limes,World,2012,0.610632775
Lemons and limes,World,2013,0.586023446
Lentils,World,2010,0.408579578
Lentils,World,2011,0.403163387
Lentils,World,2012,0.425740461
Lentils,World,2013,0.401500984
Lettuce,World,2010,1
Lettuce,World,2011,1
Lettuce,World,2012,1
Lettuce,World,2013,1
Lima bean,World,2010,0.913620884
Lima bean,World,2011,0.929324066
Lima bean,World,2012,0.90811077
Lima bean,World,2013,0.904455629
Litchi,World,2010,1
Litchi,World,2011,1
Litchi,World,2012,1
Litchi,World,2013,1
Little millet,World,2010,1
Little millet,World,2011,0.97324519
Little millet,World,2012,1
Little millet,World,2013,1
Longan,World,2010,1
Longan,World,2011,1
Longan,World,2012,1
Longan,World,2013,1
Loquat,World,2010,1
Loquat,World,2011,1
Loquat,World,2012,1
Loquat,World,2013,1
Lupins,World,2010,0.967811001
Lupins,World,2011,0.977560226
Lupins,World,2012,0.972551024
Lupins,World,2013,0.975031057
Maca,World,2010,0.979379311
Maca,World,2011,0.979542205
Maca,World,2012,0.976236751
Maca,World,2013,0.979233775
Macadamia nut,World,2010,0.992530734
Macadamia nut,World,2011,0.993887822
Macadamia nut,World,2012,0.993433674
Macadamia nut,World,2013,0.993079019
Mahuwa,World,2010,1
Mahuwa,World,2011,1
Mahuwa,World,2013,1
Maize,World,2010,0.910152448
Maize,World,2011,0.906939098
Maize,World,2012,0.909137
Maize,World,2013,0.910317097
Mamey sapote,World,2010,0.965363822
Mamey sapote,World,2011,0.964071906
Mamey sapote,World,2012,0.969452745
Mamey sapote,World,2013,0.966317266
Mammee,World,2010,0.972353627
Mammee,World,2011,0.972660582
Mammee,World,2012,0.969460695
Mammee,World,2013,0.969973748
Mandarines,World,2010,1
Mandarines,World,2011,0.979432069
Mandarines,World,2012,0.952744832
Mandarines,World,2013,0.931042467
Mango,World,2010,1
Mango,World,2011,1
Mango,World,2012,1
Mango,World,2013,1
Mangosteen,World,2010,0.974954268
Mangosteen,World,2011,0.969901211
Mangosteen,World,2012,0.972462159
Mangosteen,World,2013,0.981642101
Marjoram,World,2010,1
Marjoram,World,2011,1
Marjoram,World,2012,1
Marjoram,World,2013,1
Mashua,World,2010,0.979379311
Mashua,World,2011,0.979542205
Mashua,World,2012,0.976236751
Mashua,World,2013,0.979233775
Mat bean,World,2010,0.932885559
Mat bean,World,2011,0.949971119
Mat bean,World,2012,0.960805104
Mat bean,World,2013,0.963437726
Mauka,World,2010,0.979379311
Mauka,World,2011,0.979542205
Mauka,World,2012,0.976236751
Mauka,World,2013,0.979233775
Medlar,World,2010,1
Medlar,World,2011,1
Medlar,World,2012,1
Medlar,World,2013,1
Melons,World,2010,1
Melons,World,2011,1
Melons,World,2012,1
Melons,World,2013,1
Mombin,World,2010,0.935661923
Mombin,World,2011,0.934632881
Mombin,World,2012,0.936950638
Mombin,World,2013,0.934215579
Mulberry,World,2010,1
Mulberry,World,2011,1
Mulberry,World,2012,1
Mulberry,World,2013,1
Mung bean,World,2010,1
Mung bean,World,2011,1
Mung bean,World,2012,1
Mung bean,World,2013,1
Myrtle,World,2010,1
Myrtle,World,2011,1
Myrtle,World,2012,1
Myrtle,World,2013,1
Naranjilla,World,2010,0.973403957
Naranjilla,World,2011,0.975532908
Naranjilla,World,2012,0.970361197
Naranjilla,World,2013,0.968880254
New Zealand Spinach,World,2010,0.414190381
New Zealand Spinach,World,2011,0.411227583
New Zealand Spinach,World,2012,0.413152269
New Zealand Spinach,World,2013,0.414130545
Noog,World,2010,0.992472304
Noog,World,2011,0.921968986
Noog,World,2012,0.944156873
Noog,World,2013,0.967556576
Nutmeg,World,2010,0.646990343
Nutmeg,World,2011,0.610309747
Nutmeg,World,2012,0.6534878
Nutmeg,World,2013,0.651685321
Oats,World,2010,0.665823564
Oats,World,2011,0.670204474
Oats,World,2012,0.66559674
Oats,World,2013,0.680119632
Oca,World,2010,0.979379311
Oca,World,2011,0.979542205
Oca,World,2012,0.976236751
Oca,World,2013,0.979233775
Oil palm,World,2010,0.928463721
Oil palm,World,2011,0.932116833
Oil palm,World,2012,0.924885562
Oil palm,World,2013,0.928831372
Oiticica,World,2010,1
Oiticica,World,2011,1
Oiticica,World,2012,1
Oiticica,World,2013,1
Okra,World,2010,1
Okra,World,2011,1
Okra,World,2012,1
Okra,World,2013,1
Olives,World,2010,0.341919071
Olives,World,2011,0.33030091
Olives,World,2012,0.354076198
Olives,World,2013,0.384664676
Onions,World,2010,0.978240667
Onions,World,2011,0.975144632
Onions,World,2012,0.977694211
Onions,World,2013,0.980242426
Orache,World,2010,0.386703757
Orache,World,2011,0.383262485
Orache,World,2012,0.388586091
Orache,World,2013,0.392038346
Oranges,World,2010,1
Oranges,World,2011,0.979432069
Oranges,World,2012,0.952744832
Oranges,World,2013,0.931042467
Papayas,World,2010,0.949305178
Papayas,World,2011,0.948022576
Papayas,World,2012,0.948953558
Papayas,World,2013,0.94915569
Parsley,World,2010,1
Parsley,World,2011,1
Parsley,World,2012,1
Parsley,World,2013,1
Parsnip,World,2010,1
Parsnip,World,2011,1
Parsnip,World,2012,1
Parsnip,World,2013,1
Passionfruit,World,2010,0.949305178
Passionfruit,World,2011,0.948022576
Passionfruit,World,2012,0.948953558
Passionfruit,World,2013,0.94915569
Pawpaw,World,2010,0.968364491
Pawpaw,World,2011,0.957187542
Pawpaw,World,2012,0.946886492
Pawpaw,World,2013,0.949280804
Peaches and nectarines,World,2010,1
Peaches and nectarines,World,2011,1
Peaches and nectarines,World,2012,1
Peaches and nectarines,World,2013,1
Pearl millet,World,2010,0.160552445
Pearl millet,World,2011,0.179270053
Pearl millet,World,2012,0.158645996
Pearl millet,World,2013,0.159487244
Pears,World,2010,1
Pears,World,2011,1
Pears,World,2012,1
Pears,World,2013,1
Peas,World,2010,1
Peas,World,2011,0.989091068
Peas,World,2012,0.979161987
Peas,World,2013,0.959812263
Pecan,World,2010,0.949249661
Pecan,World,2011,0.939303188
Pecan,World,2012,0.952455817
Pecan,World,2013,0.943559271
Pepper,World,2010,1
Pepper,World,2011,1
Pepper,World,2012,1
Pepper,World,2013,1
Perilla,World,2010,1
Perilla,World,2011,1
Perilla,World,2012,1
Perilla,World,2013,1
Persimmons,World,2010,1
Persimmons,World,2011,1
Persimmons,World,2012,1
Persimmons,World,2013,1
Physic nut,World,2012,1
Physic nut,World,2013,1
Pigeonpeas,World,2010,0.553132147
Pigeonpeas,World,2011,0.536671763
Pigeonpeas,World,2012,0.549981246
Pigeonpeas,World,2013,0.533354994
Pili nut,World,2010,1
Pili nut,World,2011,1
Pili nut,World,2012,1
Pili nut,World,2013,1
Pine nut,World,2010,0.923760945
Pine nut,World,2011,0.939250872
Pine nut,World,2012,0.924198118
Pine nut,World,2013,0.941647959
Pineapples,World,2010,0.932033377
Pineapples,World,2011,0.943188221
Pineapples,World,2012,0.920288733
Pineapples,World,2013,0.935288757
Pistachios,World,2010,0.921419578
Pistachios,World,2011,0.945038005
Pistachios,World,2012,0.937265764
Pistachios,World,2013,0.93725819
Plantains,World,2010,1
Plantains,World,2011,1
Plantains,World,2012,1
Plantains,World,2013,1
Plums,World,2010,1
Plums,World,2011,1
Plums,World,2012,1
Plums,World,2013,1
Pomegranate,World,2010,1
Pomegranate,World,2011,1
Pomegranate,World,2012,1
Pomegranate,World,2013,1
Pongamia oil,World,2010,1
Pongamia oil,World,2011,1
Pongamia oil,World,2012,1
Pongamia oil,World,2013,1
Poppies,World,2010,0.991822889
Poppies,World,2011,1
Poppies,World,2012,1
Poppies,World,2013,0.925627361
Potatoes,World,2010,0.980208607
Potatoes,World,2011,0.980073937
Potatoes,World,2012,0.981376313
Potatoes,World,2013,0.979069517
Prickly pear,World,2010,0.97834613
Prickly pear,World,2011,0.976811577
Prickly pear,World,2012,0.980844187
Prickly pear,World,2013,0.980535599
Proso millet,World,2010,0.96880885
Proso millet,World,2011,0.878741617
Proso millet,World,2012,0.965456117
Proso millet,World,2013,0.94911785
Pumpkin,World,2010,1
Pumpkin,World,2011,1
Pumpkin,World,2012,1
Pumpkin,World,2013,1
Purging croton,World,2010,1
Purging croton,World,2011,1
Purging croton,World,2012,1
Purging croton,World,2013,1
Quinces,World,2010,1
Quinces,World,2011,1
Quinces,World,2012,1
Quinces,World,2013,1
Quinoa,World,2010,0.96283165
Quinoa,World,2011,0.96873239
Quinoa,World,2012,0.969685327
Quinoa,World,2013,0.962290947
Radish,World,2010,1
Radish,World,2011,1
Radish,World,2012,1
Radish,World,2013,1
Rambutan,World,2010,0.974954268
Rambutan,World,2011,0.969901211
Rambutan,World,2012,0.972462159
Rambutan,World,2013,0.981642101
Rapeseed and Mustards,World,2010,1
Rapeseed and Mustards,World,2011,1
Rapeseed and Mustards,World,2012,1
Rapeseed and Mustards,World,2013,1
Raspberries,World,2010,1
Raspberries,World,2011,1
Raspberries,World,2012,1
Raspberries,World,2013,1
Rhubarb,World,2010,0.415197286
Rhubarb,World,2011,0.412256985
Rhubarb,World,2012,0.414237573
Rhubarb,World,2013,0.415165055
Rice (African),World,2010,1
Rice (African),World,2011,1
Rice (African),World,2012,1
Rice (African),World,2013,1
Rice (Asian),World,2010,0.162780476
Rice (Asian),World,2011,0.170940538
Rice (Asian),World,2012,0.174382799
Rice (Asian),World,2013,0.181633759
Rice bean,World,2010,0.957100347
Rice bean,World,2011,0.968007437
Rice bean,World,2012,0.986529414
Rice bean,World,2013,0.990375612
Runner bean,World,2010,0.915641306
Runner bean,World,2011,0.932942034
Runner bean,World,2012,0.911052396
Runner bean,World,2013,0.908549155
Rye,World,2010,1
Rye,World,2011,1
Rye,World,2012,1
Rye,World,2013,1
Safflower,World,2010,0.917023565
Safflower,World,2011,0.892219128
Safflower,World,2012,0.880049539
Safflower,World,2013,0.819732782
Saffron,World,2010,0.959268705
Saffron,World,2011,0.959375357
Saffron,World,2012,0.941356397
Saffron,World,2013,0.936429865
Sago palm,World,2010,1
Sago palm,World,2011,1
Sago palm,World,2012,1
Sago palm,World,2013,1
Salsify,World,2010,1
Salsify,World,2011,1
Salsify,World,2012,1
Salsify,World,2013,1
Sapodilla,World,2010,0.965363822
Sapodilla,World,2011,0.964071906
Sapodilla,World,2012,0.969452745
Sapodilla,World,2013,0.966317266
Savory,World,2010,1
Savory,World,2011,1
Savory,World,2012,1
Savory,World,2013,1
Service tree,World,2010,0.982600992
Service tree,World,2011,0.992839838
Service tree,World,2012,1
Service tree,World,2013,0.992975243
Sesame,World,2010,0.982319656
Sesame,World,2011,1
Sesame,World,2012,1
Sesame,World,2013,1
Shala tree,World,2010,1
Shala tree,World,2011,1
Shala tree,World,2013,1
Sorghum,World,2010,0.417269322
Sorghum,World,2011,0.431946717
Sorghum,World,2012,0.452248963
Sorghum,World,2013,0.437562505
Sorrel,World,2010,1
Sorrel,World,2011,1
Sorrel,World,2012,1
Sorrel,World,2013,1
Soursop,World,2010,0.965363822
Soursop,World,2011,0.964071906
Soursop,World,2012,0.969452745
Soursop,World,2013,0.966317266
Soybeans,World,2010,1
Soybeans,World,2011,1
Soybeans,World,2012,1
Soybeans,World,2013,1
Spinach,World,2010,1
Spinach,World,2011,1
Spinach,World,2012,1
Spinach,World,2013,1
Strawberries,World,2010,0.969058981
Strawberries,World,2011,0.95884056
Strawberries,World,2012,0.947136178
Strawberries,World,2013,0.949078247
Strawberry tree,World,2010,0.972027309
Strawberry tree,World,2011,0.98570399
Strawberry tree,World,2012,0.987011325
Strawberry tree,World,2013,0.986099354
Sugar apple,World,2010,0.965363822
Sugar apple,World,2011,0.964071906
Sugar apple,World,2012,0.969452745
Sugar apple,World,2013,0.966317266
Sugarcane,World,2010,0.460516485
Sugarcane,World,2011,0.48126667
Sugarcane,World,2012,0.418236211
Sugarcane,World,2013,0.426142405
Sunflowers,World,2010,1
Sunflowers,World,2011,1
Sunflowers,World,2012,1
Sunflowers,World,2013,1
Sweetpotatoes,World,2010,1
Sweetpotatoes,World,2011,1
Sweetpotatoes,World,2012,1
Sweetpotatoes,World,2013,1
Sword bean,World,2010,1
Sword bean,World,2011,1
Sword bean,World,2012,1
Sword bean,World,2013,1
Tamarind,World,2010,1
Tamarind,World,2011,1
Tamarind,World,2012,1
Tamarind,World,2013,1
Taro,World,2010,1
Taro,World,2011,1
Taro,World,2012,1
Taro,World,2013,1
Tarragon,World,2010,0.368643629
Tarragon,World,2011,0.364090192
Tarragon,World,2012,0.369342174
Tarragon,World,2013,0.365159886
Teff,World,2010,0.97277782
Teff,World,2011,0.970321689
Teff,World,2012,0.985417995
Teff,World,2013,0.9864295
Tepary bean,World,2010,0.915641306
Tepary bean,World,2011,0.932942034
Tepary bean,World,2012,0.911052396
Tepary bean,World,2013,0.908549155
Thyme,World,2010,0.994886654
Thyme,World,2011,0.99918508
Thyme,World,2012,0.992187827
Thyme,World,2013,0.99147743
Tomatoes,World,2010,1
Tomatoes,World,2011,1
Tomatoes,World,2012,1
Tomatoes,World,2013,1
Triticale,World,2010,1
Triticale,World,2011,1
Triticale,World,2012,1
Triticale,World,2013,1
Tung nuts,World,2010,1
Tung nuts,World,2011,1
Tung nuts,World,2012,1
Tung nuts,World,2013,1
Turmeric,World,2010,0.646990343
Turmeric,World,2011,0.610309747
Turmeric,World,2012,0.6534878
Turmeric,World,2013,0.651685321
