crop,country,year,food_supply_quantity_g_global
Adlay,World,2010,1.042843595
Adlay,World,2011,1.044134552
Adlay,World,2012,1.063311492
Adlay,World,2013,1.062226989
Adzuki bean,World,2010,1.399619362
Adzuki bean,World,2011,1.432209235
Adzuki bean,World,2012,1.466552039
Adzuki bean,World,2013,1.470822555
Allspice,World,2010,0.997313606
Allspice,World,2011,0.997227331
Allspice,World,2012,0.99725252
Allspice,World,2013,1.001355713
Almonds,World,2010,0.964625375
Almonds,World,2011,0.976498139
Almonds,World,2012,0.97519425
Almonds,World,2013,0.971357714
Amaranth,World,2010,0.951064358
Amaranth,World,2011,0.959176542
Amaranth,World,2012,0.973923444
Amaranth,World,2013,0.979207174
Anise,World,2010,0.972578169
Anise,World,2011,0.975224717
Anise,World,2012,0.953648961
Anise,World,2013,0.95831248
Apple,World,2010,0.495064741
Apple,World,2011,0.446599077
Apple,World,2012,0.403593673
Apple,World,2013,0.423667968
Apricot,World,2010,0.883746965
Apricot,World,2011,0.873659407
Apricot,World,2012,0.863599299
Apricot,World,2013,0.867203521
Areca nuts,World,2010,1.129600954
Areca nuts,World,2011,1.118532576
Areca nuts,World,2012,1.107575584
Areca nuts,World,2013,1.116852936
Arracacha,World,2010,0.991903728
Arracacha,World,2011,0.990959122
Arracacha,World,2012,0.990273112
Arracacha,World,2013,0.991219469
Arrowroot,World,2010,1.000963187
Arrowroot,World,2011,1.000166924
Arrowroot,World,2012,0.994468866
Arrowroot,World,2013,0.993176261
Artichokes,World,2010,1.01840198
Artichokes,World,2011,1.018908471
Artichokes,World,2012,1.020082654
Artichokes,World,2013,1.021617654
Asparagus,World,2010,1.103635005
Asparagus,World,2011,1.102122361
Asparagus,World,2012,1.106233833
Asparagus,World,2013,1.107662136
Atemoya,World,2010,0.998067044
Atemoya,World,2011,0.997790847
Atemoya,World,2012,1.002110829
Atemoya,World,2013,1.002082588
Avocado,World,2010,0.999391362
Avocado,World,2011,0.998529574
Avocado,World,2012,0.999581807
Avocado,World,2013,0.999809099
Azarole,World,2010,0.994950362
Azarole,World,2011,0.995757402
Azarole,World,2012,0.99910321
Azarole,World,2013,0.996429236
Babaco,World,2010,0.998172235
Babaco,World,2011,0.999553367
Babaco,World,2012,0.999362659
Babaco,World,2013,0.998141732
Badian,World,2010,1.302405261
Badian,World,2011,1.36417457
Badian,World,2012,1.339471368
Badian,World,2013,1.315284943
Bambara bean,World,2010,0.958284145
Bambara bean,World,2011,0.953871168
