crop,country,year,c_area_harvested,c_production,vap_gross_production_value_us
Abaca,World,2010,4.74E-05,1.03E-05,2.62E-05
Adlay,World,2010,0.000265936,0.000113567,9.65E-05
Adzuki bean,World,2010,0.009445423,0.004695631,0.010392872
Agave,World,2010,1.64E-05,4.51E-06,7.84E-06
Albardine,World,2010,1.37E-05,3.48E-06,3.23E-06
Alfalfa,World,2010,NA,NA,NA
Allspice,World,2010,0.001025931,0.003307747,0.009162986
Almonds,World,2010,0.000499987,0.000259468,0.002306643
Amaranth,World,2010,0.000265936,0.000113567,9.65E-05
Anise,World,2010,0.000274186,8.35E-05,0.000528351
Apple,World,2010,0.001420699,0.00718739,0.020220275
Apricot,World,2010,0.000164173,0.000333717,0.000898924
Areca nuts,World,2010,0.000253515,0.000109196,0.000467743
Arracacha,World,2010,3.54E-05,9.04E-05,6.36E-05
Arrhenatherum,World,2010,0.000414764,0.000755948,NA
Arrowroot,World,2010,3.54E-05,9.04E-05,6.36E-05
Artichokes,World,2010,3.71E-05,0.000149455,0.000367446
Asparagus,World,2010,0.000414764,0.000755948,0.002694814
Atemoya,World,2010,4.44E-05,0.000107419,0.000166656
Avocado,World,2010,0.000128879,0.000391663,0.001172114
Azarole,World,2010,0.000101527,0.000219643,0.000232433
Babaco,World,2010,0.000101527,0.000219643,0.000232433
Badian,World,2010,0.000274186,8.35E-05,0.000528351
Bambara bean,World,2010,5.83E-05,1.53E-05,1.28E-05
Bamboo shoot,World,2010,0.000297218,0.001456712,0.001327143
Bananas,World,2010,0.001570138,0.010970574,0.010862315
Barley,World,2010,0.013783058,0.012448413,0.007128342
Bay leaf,World,2010,4.49E-05,3.54E-05,0.000110052
Beech nut,World,2010,3.94E-05,2.40E-05,2.54E-05
Beets,World,2010,0.000297218,0.001456712,0.001327143
Black gram,World,2010,0.009445423,0.004695631,0.010392872
Black salsify,World,2010,0.000297218,0.001456712,0.001327143
Blueberry,World,2010,2.20E-05,3.27E-05,0.00024193
Brazil nut,World,2010,3.34E-06,1.07E-05,2.52E-05
Breadfruit,World,2010,4.44E-05,0.000107419,0.000166656
Buckwheat,World,2010,0.000555505,0.00014678,0.000229309
Butter-nut,World,2010,3.38E-05,1.67E-05,0.000117653
Butternut squash,World,2010,0.000504754,0.002298109,0.002469296
Cabbages and other brassicas,World,2010,0.001005355,0.008767153,0.009751143
Cabbages,World,2010,0.001005355,0.008767153,0.009751143
Caesarweed,World,2010,5.06E-05,2.63E-05,3.43E-05
Cainito,World,2010,4.44E-05,0.000107419,0.000166656
Calabash,World,2010,0.000504754,0.002298109,0.002469296
Canary seed,World,2010,7.93E-05,2.13E-05,2.65E-05
Candlenut,World,2010,3.94E-05,2.40E-05,2.54E-05
Canola,World,2010,0.001005355,0.008767153,0.009751143
Capers,World,2010,0.000297218,0.001456712,0.001327143
Carambola,World,2010,4.44E-05,0.000107419,0.000166656
Carapa,World,2010,3.94E-05,2.40E-05,2.54E-05
Cardamoms,World,2010,8.60E-05,6.73E-06,4.48E-05
Carneros Yucca,World,2010,1.37E-05,3.48E-06,3.23E-06
Caroa,World,2010,1.37E-05,3.48E-06,3.23E-06
Carobs,World,2010,2.67E-05,1.86E-05,2.82E-05
Carrots,World,2010,0.000339801,0.003529162,0.003311154
Cashews,World,2010,0.001692866,0.000601581,0.001115252
Cassava,World,2010,0.005735376,0.024308928,0.011917632
Castor bean,World,2010,0.000445599,0.000175783,0.000255611
Ceara,World,2010,NA,3.30E-06,7.06E-06
Celery,World,2010,0.000297218,0.001456712,0.001327143
Cherimoya,World,2010,4.44E-05,0.000107419,0.000166656
Cherries,World,2010,0.000178237,0.000315955,0.001438048
Chervil,World,2010,0.000297218,0.001456712,0.001327143
Chestnuts,World,2010,0.000159648,0.000202123,0.000927227
Chickpeas,World,2010,0.003447988,0.0010971,0.002213608
Chicle,World,2010,NA,3.30E-06,7.06E-06
Chicory,World,2010,0.000339199,0.002557405,0.004798085
Chillies and peppers,World,2010,0.001025931,0.003307747,0.009162986
Chinotto,World,2010,0.000391622,0.001258495,0.001641297
Chontadura,World,2010,3.94E-05,2.40E-05,2.54E-05
Chufa,World,2010,3.54E-05,9.04E-05,6.36E-05
Cinnamon,World,2010,6.66E-05,1.93E-05,0.000179298
Citron,World,2010,0.000391622,0.001258495,0.001641297
Citronella,World,2010,NA,NA,NA
Cloves,World,2010,0.000113147,1.29E-05,3.58E-05
Cocoa,World,2010,0.002787444,0.000437063,0.002428975
Coconuts,World,2010,0.003418066,0.006180186,0.003125521
Coffee,World,2010,0.003062137,0.000855919,0.004983071
Common bean,World,2010,0.009445423,0.004695631,0.010392872
Coriander,World,2010,0.000274186,8.35E-05,0.000528351
Cotton,World,2010,0.009246005,0.013743225,0.034012258
Cowpeas,World,2010,0.003373382,0.000690091,0.000640571
Cranberries,World,2010,8.94E-06,4.70E-05,0.000115393
Cress,World,2010,0.000297218,0.001456712,0.001327143
Cucumbers and gherkins,World,2010,0.000587368,0.00630134,0.007597552
Cumin,World,2010,0.000274186,8.35E-05,0.000528351
Currants,World,2010,3.59E-05,6.43E-05,0.000281424
Cushaw,World,2010,0.000504754,0.002298109,0.002469296
Custard apple,World,2010,4.44E-05,0.000107419,0.000166656
Dates,World,2010,0.000372984,0.000759796,0.002555574
Devil's cotton,World,2010,5.06E-05,2.63E-05,3.43E-05
Dill,World,2010,4.49E-05,3.54E-05,0.000110052
Durian,World,2010,4.44E-05,0.000107419,0.000166656
Eggplant,World,2010,0.000499396,0.004449595,0.005459384
Elderberry,World,2010,0.000101527,0.000219643,0.000232433
Esparto,World,2010,1.37E-05,3.48E-06,3.23E-06
Ethiopian rape,World,2010,0.001005355,0.008767153,0.009751143
Faba beans,World,2010,0.000727449,0.000436746,0.000664318
Feijoa,World,2010,4.44E-05,0.000107419,0.000166656
Fennel,World,2010,0.000274186,8.35E-05,0.000528351
Fenugreek,World,2010,4.49E-05,3.54E-05,0.000110052
Fig leaf gourd,World,2010,0.000504754,0.002298109,0.002469296
Figs,World,2010,8.97E-05,0.000107503,0.000280974
Finger millet,World,2010,0.010471711,0.003311999,0.003129928
Fique,World,2010,1.37E-05,3.48E-06,3.23E-06
Flax,World,2010,0.000652067,0.000243986,0.000456835
Fonio,World,2010,0.000160611,5.65E-05,9.45E-05
Foxtail millet,World,2010,0.010471711,0.003311999,0.003129928
Garlic,World,2010,0.000388924,0.002279485,0.005151684
Giant cabuya,World,2010,1.37E-05,3.48E-06,3.23E-06
Ginger,World,2010,7.67E-05,0.000173487,0.000529152
Gooseberries,World,2010,8.96E-06,1.60E-05,0.000112985
Grapefruits,World,2010,9.29E-05,0.000765013,0.000942095
Grapes,World,2010,0.002038186,0.006776832,0.016750239
Grasspea,World,2010,0.000200708,5.18E-05,0.00010209
Groundnuts,World,2010,0.007600381,0.004386684,0.007970217
Guavas,World,2010,0.001453205,0.003789926,0.009163091
Guayule,World,2010,NA,3.30E-06,7.06E-06
Gutta-percha,World,2010,NA,3.30E-06,7.06E-06
Hazelnuts,World,2010,0.000176623,8.63E-05,0.000699682
Hemp,World,2010,1.74E-05,1.18E-05,6.37E-06
Hops,World,2010,2.25E-05,1.27E-05,0.000178532
Horseradish,World,2010,0.000297218,0.001456712,0.001327143
Huckleberry,World,2010,1.11E-05,2.59E-05,7.90E-05
