crop,country,year,c_area_harvested,c_feed,c_production,c_yield,vap_gross_production_value_2004_2006_i,vap_gross_production_value_2014_2006_us,vap_gross_production_value_us,vap_net_production_value_2004_2006_i
Abaca,World,2010,162997,NA,101610,6234,75070.23541,59.683305,85.089464,75070.23541
Abaca,World,2011,168175,NA,104647,6223,77313.9631,61.503995,105.500519,77313.9631
Abaca,World,2012,167961,NA,104761,6237,77398.33972,61.584139,113.747981,77398.33972
Abaca,World,2013,168716,NA,102039,6048,75386.96876,60.011443,106.653883,75386.96876
Adlay,World,2010,4573353,NA,5624483,12298,1471814.729,787.976097,1568.32234,1282480.025
Adlay,World,2011,3800556,895497,4869357,12812,1274213.306,803.159706,1188.215668,1013282.28
Adlay,World,2012,3949220,911953,5476533,13867,1433099.263,864.541273,1782.852482,1165038.124
Adlay,World,2013,4260313,938104,6150540,14437,1609473.395,993.704448,1980.689669,1334071.735
Adzuki bean,World,2010,32486941,NA,46510911,231884,23835651.47,19749.88248,33788.66193,21302312.54
Adzuki bean,World,2011,32210303,NA,46191613,229717,23504602.44,19222.51469,41868.44617,21279052.06
Adzuki bean,World,2012,30844784,NA,47256489,237545,23964544.99,19624.754,38113.73763,21571142.16
Adzuki bean,World,2013,31027121,NA,47828399,241313,24162824.91,19590.84717,41088.62885,21730034.48
Agave,World,2010,56365,NA,44701,7931,21886.18667,16.656341,25.493216,21886.18667
Agave,World,2011,56465,NA,43750,7748,21420.88904,16.175721,27.706216,21420.88904
Agave,World,2012,54840,NA,40965,7470,20057.11944,14.944184,24.933796,20057.11944
Agave,World,2013,54880,NA,41465,7556,20301.92744,15.027685,21.819912,20301.92744
Albardine,World,2010,375939,NA,276134,7345,137717.2947,43.802029,83.921461,137717.2947
Albardine,World,2011,382836,NA,281306,7348,140296.8312,44.05972,102.302727,140296.8312
Albardine,World,2012,389075,NA,284142,7303,141711.2265,44.874829,93.506102,141711.2265
Albardine,World,2013,387491,NA,285396,7365,142336.329,44.862812,89.382532,142336.329
Alfalfa,World,2010,NA,NA,NA,NA,NA,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA,NA,NA,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA,NA,NA,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA,NA,NA,NA,NA,NA
Allspice,World,2010,3528625,NA,32763720,177278,17353738.97,20114.41576,29790.13237,17353738.97
Allspice,World,2011,3560014,NA,33429988,178286,17728341.72,20332.72769,32519.39185,17728341.72
Allspice,World,2012,3649905,NA,34278830,178983,18245911.54,21189.21558,31434.91842,18245911.54
Allspice,World,2013,3608628,NA,34839222,183418,18638499.98,21488.37095,34179.90452,18638499.98
Almonds,World,2010,1719675,NA,2570069,14945,7584194.097,9113.78695,7499.215269,7584194.097
Almonds,World,2011,1732339,NA,3021249,17440,8915611.556,11075.30444,10256.29204,8915611.556
Almonds,World,2012,1767465,NA,2825751,15988,8338703.861,10166.08643,11556.09762,8338703.861
Almonds,World,2013,1823264,NA,2840508,15579,8382250.76,10596.08982,14858.61803,8382250.76
