crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Bambara bean,World,2013,NA,NA,NA,NA
Bamboo shoot,World,2010,0.02173913,0.143478261,0.695652174,0.365217391
Bamboo shoot,World,2011,0.026086957,0.160869565,0.686956522,0.352173913
Bamboo shoot,World,2012,0.013043478,0.152173913,0.691304348,0.369565217
Bamboo shoot,World,2013,0.017391304,0.173913043,0.682608696,0.382608696
Bananas,World,2010,0.091304348,0.469565217,0.643478261,0.365217391
Bananas,World,2011,0.1,0.486956522,0.652173913,0.386956522
Bananas,World,2012,0.1,0.482608696,0.643478261,0.382608696
Bananas,World,2013,0.12173913,0.465217391,0.647826087,0.391304348
Barley,World,2010,0.07826087,0.239130435,0.226086957,0.239130435
Barley,World,2011,0.07826087,0.226086957,0.226086957,0.230434783
Barley,World,2012,0.07826087,0.230434783,0.239130435,0.243478261
Barley,World,2013,0.069565217,0.217391304,0.226086957,0.247826087
Bay leaf,World,2010,0.069565217,0.008695652,NA,0.02173913
Bay leaf,World,2011,0.056521739,0.017391304,NA,0.026086957
Bay leaf,World,2012,0.060869565,0.017391304,NA,0.030434783
Bay leaf,World,2013,0.07826087,0.02173913,NA,0.013043478
Beech nut,World,2010,0.026086957,NA,NA,0.004347826
Beech nut,World,2011,0.026086957,NA,NA,0.008695652
Beech nut,World,2012,0.030434783,NA,NA,0.004347826
Beech nut,World,2013,0.030434783,NA,NA,0.008695652
Beets,World,2010,0.02173913,0.139130435,0.686956522,0.365217391
Beets,World,2011,0.026086957,0.147826087,0.686956522,0.347826087
Beets,World,2012,0.013043478,0.147826087,0.686956522,0.365217391
Beets,World,2013,0.013043478,0.165217391,0.682608696,0.382608696
Black gram,World,2010,0.273913043,0.486956522,0.465217391,0.57826087
Black gram,World,2011,0.273913043,0.473913043,0.465217391,0.582608696
Black gram,World,2012,0.260869565,0.473913043,0.447826087,0.573913043
Black gram,World,2013,0.265217391,0.47826087,0.447826087,0.573913043
Black salsify,World,2010,0.02173913,0.134782609,0.686956522,0.356521739
Black salsify,World,2011,0.026086957,0.147826087,0.682608696,0.343478261
Black salsify,World,2012,0.013043478,0.143478261,0.682608696,0.360869565
Black salsify,World,2013,0.013043478,0.165217391,0.67826087,0.373913043
Blueberry,World,2010,NA,NA,NA,NA
Blueberry,World,2011,NA,NA,NA,NA
Blueberry,World,2012,NA,NA,NA,NA
Blueberry,World,2013,NA,NA,NA,NA
Brazil nut,World,2010,NA,NA,NA,NA
Brazil nut,World,2011,NA,NA,NA,NA
Brazil nut,World,2012,NA,NA,NA,NA
Brazil nut,World,2013,NA,NA,NA,NA
Breadfruit,World,2010,0.013043478,0.004347826,0.07826087,NA
Breadfruit,World,2011,0.008695652,0.004347826,0.086956522,NA
Breadfruit,World,2012,0.013043478,0.004347826,0.095652174,NA
Breadfruit,World,2013,0.008695652,NA,0.108695652,NA
Buckwheat,World,2010,NA,0.004347826,0.004347826,0.004347826
Buckwheat,World,2011,0.004347826,0.004347826,0.004347826,0.004347826
Buckwheat,World,2012,NA,0.004347826,0.004347826,0.004347826
Buckwheat,World,2013,NA,NA,0.004347826,0.004347826
Butter-nut,World,2010,0.130434783,0.008695652,NA,0.017391304
Butter-nut,World,2011,0.130434783,0.004347826,0.004347826,0.013043478
Butter-nut,World,2012,0.126086957,0.004347826,NA,0.013043478
Butter-nut,World,2013,0.156521739,0.008695652,0.004347826,0.017391304
Butternut squash,World,2010,NA,NA,0.013043478,NA
Butternut squash,World,2011,NA,NA,0.008695652,NA
Butternut squash,World,2012,NA,NA,0.008695652,NA
Butternut squash,World,2013,NA,NA,0.008695652,NA
Cabbages,World,2010,NA,NA,0.356521739,0.013043478
Cabbages,World,2011,NA,NA,0.365217391,0.008695652
Cabbages,World,2012,NA,NA,0.347826087,0.013043478
Cabbages,World,2013,NA,NA,0.373913043,0.017391304
Cabbages and other brassicas,World,2010,NA,NA,0.37826087,0.013043478
Cabbages and other brassicas,World,2011,NA,NA,0.37826087,0.013043478
Cabbages and other brassicas,World,2012,NA,NA,0.365217391,0.013043478
Cabbages and other brassicas,World,2013,NA,NA,0.382608696,0.017391304
Caesarweed,World,2010,NA,NA,NA,NA
Caesarweed,World,2011,NA,NA,NA,NA
Caesarweed,World,2012,NA,NA,NA,NA
Caesarweed,World,2013,NA,NA,NA,NA
Cainito,World,2010,0.008695652,0.004347826,0.07826087,NA
Cainito,World,2011,0.008695652,0.004347826,0.086956522,NA
Cainito,World,2012,0.013043478,0.004347826,0.086956522,NA
Cainito,World,2013,0.008695652,NA,0.104347826,NA
Calabash,World,2010,NA,NA,0.013043478,NA
Calabash,World,2011,NA,NA,0.004347826,NA
Calabash,World,2012,NA,NA,0.008695652,NA
Calabash,World,2013,NA,NA,0.008695652,NA
Canary seed,World,2010,NA,NA,NA,NA
Canary seed,World,2011,NA,NA,NA,NA
Canary seed,World,2012,NA,NA,NA,NA
Canary seed,World,2013,NA,NA,NA,NA
Candlenut,World,2010,0.017391304,NA,NA,0.004347826
Candlenut,World,2011,0.026086957,NA,NA,0.004347826
Candlenut,World,2012,0.02173913,NA,NA,0.004347826
Candlenut,World,2013,0.030434783,NA,NA,0.004347826
Canola,World,2010,NA,NA,0.339130435,0.008695652
Canola,World,2011,NA,NA,0.347826087,0.004347826
Canola,World,2012,NA,NA,0.339130435,0.008695652
Canola,World,2013,NA,NA,0.365217391,0.013043478
Capers,World,2010,0.017391304,0.126086957,0.682608696,0.356521739
Capers,World,2011,0.02173913,0.139130435,0.669565217,0.343478261
Capers,World,2012,0.013043478,0.143478261,0.673913043,0.352173913
Capers,World,2013,0.013043478,0.165217391,0.673913043,0.365217391
Carambola,World,2010,0.008695652,0.004347826,0.073913043,NA
Carambola,World,2011,0.008695652,0.004347826,0.086956522,NA
Carambola,World,2012,0.013043478,0.004347826,0.082608696,NA
Carambola,World,2013,0.008695652,NA,0.095652174,NA
Carapa,World,2010,0.017391304,NA,NA,0.004347826
Carapa,World,2011,0.026086957,NA,NA,0.004347826
Carapa,World,2012,0.017391304,NA,NA,0.004347826
Carapa,World,2013,0.02173913,NA,NA,0.004347826
Cardamoms,World,2010,NA,NA,NA,NA
Cardamoms,World,2011,NA,NA,NA,NA
Cardamoms,World,2012,NA,NA,NA,NA
Cardamoms,World,2013,NA,NA,NA,NA
Carneros Yucca,World,2010,NA,NA,NA,NA
Carneros Yucca,World,2011,NA,NA,NA,NA
Carneros Yucca,World,2012,NA,NA,NA,NA
Carneros Yucca,World,2013,NA,NA,NA,NA
Caroa,World,2010,NA,NA,NA,NA
Caroa,World,2011,NA,NA,NA,NA
Caroa,World,2012,NA,NA,NA,NA
Caroa,World,2013,NA,NA,NA,NA
Carobs,World,2010,NA,NA,NA,NA
Carobs,World,2011,NA,NA,NA,NA
Carobs,World,2012,NA,NA,NA,NA
Carobs,World,2013,NA,NA,NA,NA
Carrots,World,2010,NA,NA,0.052173913,NA
Carrots,World,2011,NA,NA,0.073913043,NA
Carrots,World,2012,NA,NA,0.069565217,NA
Carrots,World,2013,NA,NA,0.065217391,NA
Cashews,World,2010,0.447826087,0.247826087,0.22173913,0.252173913
Cashews,World,2011,0.443478261,0.260869565,0.234782609,0.256521739
Cashews,World,2012,0.456521739,0.265217391,0.239130435,0.282608696
Cashews,World,2013,0.452173913,0.260869565,0.252173913,0.291304348
Cassava,World,2010,0.113043478,0.252173913,0.343478261,0.173913043
Cassava,World,2011,0.104347826,0.243478261,0.343478261,0.169565217
Cassava,World,2012,0.113043478,0.247826087,0.352173913,0.173913043
Cassava,World,2013,0.108695652,0.252173913,0.347826087,0.173913043
Castor bean,World,2010,0.004347826,NA,NA,0.004347826
Castor bean,World,2011,0.004347826,NA,NA,0.004347826
Castor bean,World,2012,0.004347826,NA,NA,0.004347826
Castor bean,World,2013,0.004347826,NA,NA,NA
Ceara,World,2010,NA,NA,NA,NA
Ceara,World,2011,NA,NA,NA,NA
Ceara,World,2012,NA,NA,NA,NA
Ceara,World,2013,NA,NA,NA,NA
Celery,World,2010,0.017391304,0.12173913,0.682608696,0.334782609
Celery,World,2011,0.017391304,0.130434783,0.669565217,0.339130435
Celery,World,2012,0.013043478,0.130434783,0.669565217,0.352173913
Celery,World,2013,0.008695652,0.152173913,0.673913043,0.356521739
Cherimoya,World,2010,0.008695652,NA,0.056521739,NA
Cherimoya,World,2011,0.008695652,0.004347826,0.073913043,NA
Cherimoya,World,2012,0.013043478,0.004347826,0.082608696,NA
Cherimoya,World,2013,0.008695652,NA,0.091304348,NA
Cherries,World,2010,NA,NA,NA,NA
Cherries,World,2011,NA,NA,NA,NA
Cherries,World,2012,NA,NA,NA,NA
Cherries,World,2013,NA,NA,NA,NA
Chervil,World,2010,0.017391304,0.113043478,0.67826087,0.330434783
Chervil,World,2011,0.017391304,0.12173913,0.669565217,0.326086957
Chervil,World,2012,0.013043478,0.113043478,0.665217391,0.343478261
Chervil,World,2013,0.008695652,0.134782609,0.669565217,0.352173913
