agar-agar production	Gelidium amansii (J.V. Lamour.) J.V. Lamour.	
agar-agar production	Gracilaria compressa (C. Agardh) Grev.	
agar-agar production	Gracilaria edulis (S.G. Gmel.) Silva	
agar-agar production	Gracilaria Grev.	
agar-agar production	Gracilaria verrucosa (Huds.) Papenfuss	
alcohol	Agrostemma githago L.	corn cockle
alcohol	Albizia lebbek (L.) Benth.	chatter box tree
alcohol	Albizia saman (Jacq.) F. Muell.	cow tamarind (Hawaii)
alcohol	Ceratonia siliqua L.	carob bean
alcohol	Pyrus communis L., , p.p., excl. var. pyraster	dessert pears
alcohol	Tamarindus indica L.	tamarind
alkaloid	Claviceps purpurea (Fr.) Tul.	clavus
alkaloid	Echinopsis pachanoi (Britt. & Rose) Friedrich & Rowley	
alkaloid	Macleaya cordata (Willd.) R. Br.	plume poppy
alkaloid	Peumus boldus Mol.	
alkaloid	Plumbago indica L.	
alkaloid	Psilocybe cyanescens (Berk. & Br.) Wakefield	dung mushroom
alkaloid	Torreya grandis Fortune	Chinese kaya
alkaloid	Torreya nucifera (L.) Siebold & Zucc.	Japanese kaya
animal food	Algae	
animal food	Artocarpus altilis (Parkinson) Fosberg	breadfruit tree
animal food	Azolla pinnata R. Br.	
animal food	Boehmeria nivea (L.) Gaud.	China grass
animal food	Canavalia regalis Dunn	
animal food	Cannabis sativa subsp. sativa	hemp
animal food	Ceratonia siliqua L.	carob bean
animal food	Crataegus rufula Sargent	mayhaw (North America)
animal food	Cyamopsis tetragonoloba (L.) Taub.	cluster bean
animal food	Desmodium uncinatum (Jacq.) DC.	silverleaf desmodium
animal food	Eriogonum rosmarinifolium Nutt.	California buckwheat
animal food	Fagopyrum esculentum subsp. esculentum	
animal food	Ficus auriculata Lour.	
animal food	Ficus tsiela Roxb.	coffee
animal food	Filipendula vulgaris Moench	ropwort
animal food	Gracilaria Grev.	
animal food	Juglans regia subsp. regia	English walnut
animal food	Kummerowia stipulacea (Maxim.) Makino	Korean lespedeza
animal food	Kummerowia striata (Thunb.) Schindl., , p.max.p., excl. syn. Lesepedeza stipulacea	common lespedeza
animal food	Lespedeza bicolor Turcz.	bicolor lespedeza
animal food	Linum usitatissimum convar. mediterraneum (Vavilov ex Elladi) Kulpa & Danert	linseed
animal food	Linum usitatissimum convar. mediterraneum (Vavilov ex Elladi) Kulpa & Danert	flax
animal food	Opuntia ficus-indica var. ficus-indica	Indian fig
animal food	Opuntia ficus-indica var. splendida Roland-Gosselin	
animal food	Opuntia streptacantha var. streptacantha	
animal food	Opuntia tomentosa Salm-Dyck	
animal food	Opuntia vulgaris Mill.	
animal food	Papaver somniferum subsp. somniferum	chessbolls
animal food	Persea bombycina (King ex Hook.f.) Kosterm.	
animal food	Quercus ilex L.	holly oak
animal food	Quercus leucotrichophora A. Camus	bau oak
animal food	Quercus suber L.	cork oak
animal food	Sophora tomentosa L.	seacoast laburnum
animal food	Sorbus aucuparia L.	mountain ash
animal food	Spirulina P.J.F. Turpin ex Gomont	
animal food	Spirulina platensis (Nordst.) Geitler	
animal food	Vicia ervilia (L.) Willd.	bitter vetch
animal food	Vicia faba L.	broad bean
animal food	Vicia narbonensis L.	moor's pea
aphrodisiacum	Cordyceps sinensis (Berk.) Saccardo	caterpillar fungus
aphrodisiacum	Eucommia ulmoides Oliv.	gutta-percha tree
aromatic tea	Akebia quinata (Thunb.) Decne.	akebi
aromatic tea	Bergenia crassifolia (L.) Fritsch	Siberian tea
aromatic tea	Cerasus serrulata G. Don ex Loud.	Oriental cherry
aromatic tea	Cercis siliquastrum L.	caper [-> for the buds]
aromatic tea	Chamaecrista mimosoides (L.) Greene	mountain flat-bean
aromatic tea	Chamaecrista nictitans var. glabrata (Vogel) Irwin & Barneby	Japanese tea senna
aromatic tea	Chamaecrista nictitans var. glabrata (Vogel) Irwin & Barneby	Japanese tea senna
aromatic tea	Chenopodium ambrosioides var. ambrosioides	Mexican tea
aromatic tea	Chloranthus spicatus (Thunb.) Makino	
aromatic tea	Cinnamomum verum J.S. Presl	Ceylon cinnamon
aromatic tea	Coluria geoides (Pall.) Ledeb.	clove oil plant
aromatic tea	Crataegus azarolus var. pontica (C. Koch) Christensen	
aromatic tea	Crataegus sanguinea Pall.	
aromatic tea	Hedyosmum brasiliense Mart.	
aromatic tea	Litsea cubeba (Lour.) Pers.	mountain pepper
aromatic tea	Malus hupehensis (Pamp.) Rehder	Chinese crab
aromatic tea	Malus sieversii (Ledeb.) Roem.	Sievers apple
aromatic tea	Malus sylvestris (L.) Mill.	crab apple
aromatic tea	Nuphar japonica DC.	
aromatic tea	Prunus spinosa L.	blackthorn
aromatic tea	Ribes nigrum L.	black currant
aromatic tea	Rosa acicularis Lindl.	needle rose
aromatic tea	Rosa davurica Pallas	Dahurian rose
aromatic tea	Rosa gallica L.	French rose
aromatic tea	Rosa hemisphaerica Herrmann	sulphur rose
aromatic tea	Rosa L.	brier [-> for the plants]
aromatic tea	Rosa majalis Herrm.	cinnamon rose
aromatic tea	Rosa multiflora Thunb.	bramble rose
aromatic tea	Rosa sericea Lindl.	
aromatic tea	Rosa spinosissima L., , p.p. typ.	burnet rose
aromatic tea	Rosa villosa L.	downy rose
aromatic tea	Rubus caesius L.	dewberry
aromatic tea	Rubus idaeus L.	Japanese raspberry
aromatic tea	Rubus strigosus Michx.	American red raspberry
aromatic tea	Rubus ursinus Cham. & Schltdl.	Californian dewberry
aromatic tea	Schisandra chinensis (Turcz.) Baill.	
aromatic tea	Sideritis L.	
aromatic tea	Sorbus aucuparia var. rossica Späth ex Koehne	
auxiliary tree	Acacia macracantha Humb. & Bonpl. ex Willd.	
auxiliary tree	Albizia malacocarpa Standley	
auxiliary tree	Callitris rhomboidea R. Br. ex L.C. Rich.	coastal cypress
bee plant	Acacia drepanolobium Harms ex Sjöstedt	ant-galled acacia
bee plant	Acacia mellifera (Vahl) Benth.	
bee plant	Caesalpinia gaumeri Greenman	
bee plant	Caesalpinia yucatanense Greenman	
bee plant	Corylus avellana var. avellana	filbert
bee plant	Galega officinalis L.	goat's rue
bee plant	Haematoxylum campechianum L.	blackwood
bee plant	Heracleum mantegazzianum Sommier & Levier	cartwheel flower
bee plant	Medicago sativa subsp. sativa	alfalfa
bee plant	Medicago sativa subsp. ×media (Pers.) Schübl. & Mart.	bastard alfalfa
bee plant	Melilotus alba Medik.	Hubam clover
bee plant	Mimosa diplotricha C. Wright ex Sauvalle	giant sensitive plant
bee plant	Onobrychis viciifolia Scop.	common sainfoin
bee plant	Prosopis affinis Spreng.	
bee plant	Prosopis farcta (Solander ex Russell) Macbride	
bee plant	Prosopis juliflora (Sw.) DC.	iron-wood (USA)
bee plant	Robinia pseudoacacia L.	black locust
bee plant	Rubus montanus Libert ex Lejeune	
bee plant	Trifolium ambiguum M. Bieb.	Caucasian clover
beer production	Amaranthus caudatus subsp. caudatus	Inca wheat
beer production	Humulus lupulus L.	hop
beer production	Sorbus torminalis (L.) Crantz	wild service tree
beer production	Urtica dioica L.	common nettle
bioconversion to methane	Macrocystis pyrifera (L.) C. Agardh	
biotechnology	Algae	
breeding	Allium cepa Common Onion Group	onion
breeding	Arachis glabrata Benth.	cocos
breeding	Arachis hypogaea L.	cocos
breeding	Arachis monticola Krapov. & Rigoni	
breeding	Armeniaca sibirica (L.) Lam.	apricot
breeding	Astragalus sinicus L.	cotton
breeding	Carya laciniosa (Michx.f.) Loudon	kingnut hickory
breeding	Castanea dentata Borkh.	American chestnut (USA)
breeding	Castanea mollissima Blume	Chinese sweet chestnut
breeding	Castanea pumila (L.) Mill.	bush chestnut (USA)
breeding	Castanea sativa Mill.	chestnut
breeding	Castanea seguini Dode	seguin chestnut
breeding	Centrosema macrocarpum Benth.	
breeding	Centrosema pubescens Benth.	butterfly pea
breeding	Cerasus besseyi (L.H. Bailey) Lunell	Bessey's cherry
breeding	Cerasus tomentosa (Thunb.) Loisel.	Chinese bush-cherry
breeding	Chaenomeles japonica (Thunb.) Lindl. ex Spach, , p.p., quoad syn. Thunb.	Chinese quince
breeding	Corylus chinensis Franch.	Chinese filbert
breeding	Corylus heterophylla Fisch. ex Trautv.	
breeding	Cyamopsis tetragonoloba (L.) Taub.	cluster bean
breeding	Derris elliptica (Sweet) Benth.	derris
breeding	Derris malaccensis (Benth.) Prain	cocos
breeding	Desmodium intortum (Mill.) Urb.	greenleaf desmodium
breeding	Desmodium sandwicense E. Mey.	
breeding	Eschscholzia californica Cham.	California poppy
breeding	Fagopyrum esculentum subsp. ancestrale Ohnishi	
breeding	Ficus palmata Forssk.	
breeding	Fragaria chiloensis (L.) Mill.	
breeding	Fragaria moschata Weston	Hautbois strawberry
breeding	Fragaria vesca L.	wild strawberry
breeding	Fragaria virginiana Mill.	scarlet strawberry
breeding	Fragaria ×ananassa Duchesne	pine strawberry
breeding	Glycine max (L.) Merr.	
breeding	Glycyrrhiza glabra L.	Anatolian licorice
breeding	Heracleum ponticum (Lipsky) Schischk. ex Grossh.	
breeding	Humulus lupulus L.	hop
breeding	Juglans cinerea L.	butternut (USA)
breeding	Lablab purpureus subsp. purpureus	
breeding	Lathyrus sativus L.	chickling pea
breeding	Lathyrus sylvestris L.	flat pea
breeding	Lonchocarpus nicou (Aubl.) DC.	beans
breeding	Lotus corniculatus L.	birdsfoot trefoil
breeding	Macrotyloma uniflorum (Lam.) Verdc.	horse gram
breeding	Malus baccata (L.) Borkh.	Siberian crabapple
breeding	Malus domestica Borkh.	apple
breeding	Malus mandshurica (Maxim.) Komarov	Manshurian crabapple
breeding	Malus sieversii f. niedzwetzkyana (Dieck) Langenf.	red crab
breeding	Malus sieversii f. niedzwetzkyana (Dieck) Langenf.	red crab
breeding	Malus ×prunifolia (Willd.) Borkh.	Chinese apple
breeding	Medicago italica (Mill.) Fiori	disc medic
breeding	Medicago littoralis Rohde ex Loisel.	harbinger medic
breeding	Medicago polymorpha L., , p.p.	bur clover
breeding	Medicago rugosa Desr.	gamma medic
breeding	Medicago sativa subsp. falcata (L.) Arcang.	sickle medic
breeding	Medicago sativa subsp. sativa	alfalfa
breeding	Medicago sativa subsp. ×media (Pers.) Schübl. & Mart.	bastard alfalfa
breeding	Medicago scutellata (L.) Mill.	snail medic
breeding	Medicago truncatula Gaertn.	barrel medic
breeding	Melilotus alba Medik.	Hubam clover
breeding	Melilotus dentata (Waldst. & Kit.) Pers.	
breeding	Morus australis Poir.	
breeding	Mucuna Cochinchinensis Group	Lyon bean
breeding	Onobrychis arenaria (Kit. ex Willd.) DC.	sand esparcet
breeding	Onobrychis transcaucasica Grossh.	
breeding	Ornithopus compressus L.	yellow serradella
breeding	Ornithopus sativus Brot.	French serradella
breeding	Pachyrhizus erosus (L.) Urb.	Mexican jicama
breeding	Pisum sativum subsp. sativum	field pea
breeding	Prosopis alba Griseb.	
breeding	Prosopis chilensis (Mol.) Stuntz	Chilean mesquite
breeding	Prunus cerasifera Ehrh.	almond
breeding	Prunus munsoniana Wight & Hedrick ex Hedrick	wild goose plum
breeding	Prunus salicina var. mandshurica (Skvorts.) Skvorts. & A. Baran.	peach plum
breeding	Prunus salicina var. salicina	Asian plum
breeding	Prunus simonii Carrière	apricot plum
breeding	Pyrus bretschneideri Rehder	Chinese white pear
breeding	Pyrus communis L., , p.p., excl. var. pyraster	dessert pears
breeding	Pyrus elaeagrifolia Pallas	
breeding	Pyrus pyraster (L.) Burgsdorf	wild pear
breeding	Pyrus pyrifolia (Burm.) Nakai	nashi
breeding	Pyrus spinosa Forssk.	almond-leaved pear
breeding	Pyrus syriaca Bois.	
breeding	Pyrus ussuriensis Maxim.	Ussurian pear
breeding	Quercus acutissima Carruthers	
breeding	Ribes acicularis Sm.	gooseberry
breeding	Ribes cynosbati L.	dog berry
breeding	Ribes divaricatum Dougl.	coast gooseberry
breeding	Ribes hirtellum Michx.	American gooseberry
breeding	Ribes petraeum Wulfen	rock red currant
breeding	Ribes spicatum Robs.	northern red currant
breeding	Ribes uva-crispa L.	English gooseberry
breeding	Rosa rugosa Thunb.	Japanese rose
breeding	Rosa webbiana Royle	
breeding	Rosa ×centifolia L.	cabbage rose
breeding	Rubus allegheniensis Porter	Allegheny blackberry
breeding	Rubus arcticus L.	alaker berry
breeding	Rubus argutus Link	tall blackberry (USA)
breeding	Rubus baileyanus Britt.	
breeding	Rubus bellobatus L.H. Bailey	Kittatinny blackberry
breeding	Rubus caesius L.	dewberry
breeding	Rubus canadensis L.	hort blackberry (USA)
breeding	Rubus chamaemorus L.	bakeapple (USA)
breeding	Rubus chingii Hu	
breeding	Rubus cockburnianus Hemsley	
breeding	Rubus corchorifolius L.f.	
breeding	Rubus coreanus Miq.	
breeding	Rubus crataegifolius Bunge	hawthorn raspberry
breeding	Rubus cuneifolius Pursh	kneehigh blackberry
breeding	Rubus ellipticus Sm. ex Rees	cheese-berry (USA)
breeding	Rubus frondosus (Torr.) Bigelow	Lawton blackberry
breeding	Rubus glaucus Benth.	Andean black raspberry
breeding	Rubus idaeus L.	Japanese raspberry
breeding	Rubus illecebrosus Focke	balloon-berry
breeding	Rubus innominatus S. Moore	
breeding	Rubus leucodermis Dougl. ex Torr. & Gray	black raspberry
breeding	Rubus macrocarpus Benth.	Columbian blackberry
breeding	Rubus macropetalus Dougl. ex Hook.	dewberry (USA)
breeding	Rubus nitidiformis Sudre	
