crop,country,year,export_value_global
Abaca,World,2010,0.019062226
Abaca,World,2011,0.001115739
Abaca,World,2012,0.000716846
Abaca,World,2013,0.603138839
Adzuki bean,World,2010,0.672512833
Adzuki bean,World,2011,0.695719295
Adzuki bean,World,2012,0.681594351
Adzuki bean,World,2013,0.666579534
Alfalfa,World,2010,0.995135716
Alfalfa,World,2011,0.983778141
Alfalfa,World,2012,0.941002497
Alfalfa,World,2013,0.950071388
Allspice,World,2010,0.888151489
Allspice,World,2011,0.89151732
Allspice,World,2012,0.869732837
Allspice,World,2013,0.863266979
Almonds,World,2010,0.973326155
Almonds,World,2011,0.970669333
Almonds,World,2012,0.973756443
Almonds,World,2013,0.971601983
Anise,World,2010,0.621190646
Anise,World,2011,0.611931875
Anise,World,2012,0.76155002
Anise,World,2013,0.752854702
Apple,World,2010,0.401883495
Apple,World,2011,0.364698304
Apple,World,2012,0.373778643
Apple,World,2013,0.402092231
Apricot,World,2010,0.973685026
Apricot,World,2011,0.965878593
Apricot,World,2012,0.966193202
Apricot,World,2013,0.950076271
Areca nuts,World,2010,0.965519383
Areca nuts,World,2011,0.955993535
Areca nuts,World,2012,0.956492007
Areca nuts,World,2013,0.971873597
Arracacha,World,2010,0.886187771
Arracacha,World,2011,0.898658931
Arracacha,World,2012,0.929584178
Arracacha,World,2013,0.945923247
Arrowroot,World,2010,0.609454288
Arrowroot,World,2011,0.585259337
Arrowroot,World,2012,0.717869772
Arrowroot,World,2013,0.717314368
Artichokes,World,2010,0.232242167
Artichokes,World,2011,0.216726391
Artichokes,World,2012,0.329102255
Artichokes,World,2013,0.381485856
Asparagus,World,2010,0.798209555
Asparagus,World,2011,0.78855718
Asparagus,World,2012,0.78863528
Asparagus,World,2013,0.801391679
Atemoya,World,2010,0.999537939
Atemoya,World,2011,0.999507681
Atemoya,World,2012,0.999970255
Atemoya,World,2013,0.999951947
Avocado,World,2010,0.675402245
Avocado,World,2011,0.639828326
Avocado,World,2012,0.632704103
Avocado,World,2013,0.638394775
Azarole,World,2010,0.780709426
Azarole,World,2011,0.804646471
Azarole,World,2012,0.843501757
Azarole,World,2013,0.827734408
Babaco,World,2010,0.975066397
Babaco,World,2011,0.970636578
Babaco,World,2012,0.969986094
Babaco,World,2013,0.970791688
Badian,World,2010,0.842123398
Badian,World,2011,0.864319157
Badian,World,2012,0.881220342
Badian,World,2013,0.920746424
Bambara bean,World,2012,0.99188876
Bambara bean,World,2013,0.812275986
Bamboo shoot,World,2010,0.865538193
Bamboo shoot,World,2011,0.838506831
Bamboo shoot,World,2012,0.837431461
Bamboo shoot,World,2013,0.832157247
Bananas,World,2010,0.969388536
Bananas,World,2011,0.95622381
Bananas,World,2012,0.943065967
Bananas,World,2013,0.92439728
Barley,World,2010,0.962253481
Barley,World,2011,0.958069741
Barley,World,2012,0.942243046
Barley,World,2013,0.962431546
Bay leaf,World,2010,0.800314141
Bay leaf,World,2011,0.821102258
Bay leaf,World,2012,0.803334937
Bay leaf,World,2013,0.818879529
Beech nut,World,2010,0.704981964
Beech nut,World,2011,0.689951125
Beech nut,World,2012,0.718916767
Beech nut,World,2013,0.771748985
Beets,World,2010,0.342496263
Beets,World,2011,0.33446217
Beets,World,2012,0.349577194
Beets,World,2013,0.3199593
Black gram,World,2010,0.999603049
Black gram,World,2011,0.999679959
Black gram,World,2012,0.999536654
Black gram,World,2013,0.999064917
Black salsify,World,2010,0.759977901
Black salsify,World,2011,0.757173567
Black salsify,World,2012,0.756364014
Black salsify,World,2013,0.753144339
Blueberry,World,2010,0.445813225
Blueberry,World,2011,0.40311276
Blueberry,World,2012,0.443885164
Blueberry,World,2013,0.510890066
Brazil nut,World,2010,0.568198553
Brazil nut,World,2011,0.559871088
Brazil nut,World,2012,0.551143715
Brazil nut,World,2013,0.55222301
