crop,country,year,protein_supply_quantity_global
Babaco,World,2012,0.998978762
Babaco,World,2013,0.998470009
Badian,World,2010,1.347779817
Badian,World,2011,1.392981524
Badian,World,2012,1.364677456
Badian,World,2013,1.341339924
Bambara bean,World,2010,0.952734799
Bambara bean,World,2011,0.946908038
Bambara bean,World,2012,0.949113937
Bambara bean,World,2013,0.964867617
Bamboo shoot,World,2010,0.39836364
Bamboo shoot,World,2011,0.397673921
Bamboo shoot,World,2012,0.394062374
Bamboo shoot,World,2013,0.394820116
Bananas,World,2010,0.935024105
Bananas,World,2011,0.927866283
Bananas,World,2012,0.929188236
Bananas,World,2013,0.940958547
Barley,World,2010,0.721381095
Barley,World,2011,0.730478497
Barley,World,2012,0.743321142
Barley,World,2013,0.714631909
Bay leaf,World,2010,1.001657912
Bay leaf,World,2011,1.002535456
Bay leaf,World,2012,0.987072257
Bay leaf,World,2013,0.983947713
Beech nut,World,2010,1.063278789
Beech nut,World,2011,1.073175022
Beech nut,World,2012,1.067859035
Beech nut,World,2013,1.04683949
Beets,World,2010,1.062197665
Beets,World,2011,1.061713353
Beets,World,2012,1.066150694
Beets,World,2013,1.067236982
Black gram,World,2010,0.903155479
Black gram,World,2011,0.920187051
Black gram,World,2012,0.935369175
Black gram,World,2013,0.940274038
Black salsify,World,2010,1.025958933
Black salsify,World,2011,1.026470959
Black salsify,World,2012,1.028230598
Black salsify,World,2013,1.029133076
Blueberry,World,2010,1.003650768
Blueberry,World,2011,1.001564986
Blueberry,World,2012,0.996694745
Blueberry,World,2013,0.997401116
Brazil nut,World,2010,1.031474423
Brazil nut,World,2011,1.028005613
Brazil nut,World,2012,1.030769487
Brazil nut,World,2013,1.030127675
Breadfruit,World,2010,0.98995371
Breadfruit,World,2011,0.984960634
Breadfruit,World,2012,0.986076412
Breadfruit,World,2013,0.993651687
Buckwheat,World,2010,1.310912569
Buckwheat,World,2011,1.312628096
Buckwheat,World,2012,1.305424946
Buckwheat,World,2013,1.306777471
Butter-nut,World,2010,1.043395276
Butter-nut,World,2011,1.039104736
Butter-nut,World,2012,1.042147822
Butter-nut,World,2013,1.041832652
Butternut squash,World,2010,1.07172195
Butternut squash,World,2011,1.07213385
Butternut squash,World,2012,1.072670049
Butternut squash,World,2013,1.073459289
Cabbages and other brassicas,World,2010,0.37534516
Cabbages and other brassicas,World,2011,0.374449085
Cabbages and other brassicas,World,2012,0.37974407
Cabbages and other brassicas,World,2013,0.38270136
Cabbages,World,2010,0.37534516
Cabbages,World,2011,0.374449085
Cabbages,World,2012,0.37974407
Cabbages,World,2013,0.38270136
Cainito,World,2010,0.996682812
Cainito,World,2011,0.997804122
Cainito,World,2012,0.998155689
Cainito,World,2013,0.998010463
Calabash,World,2010,1.018583981
Calabash,World,2011,1.018387375
Calabash,World,2012,1.018559997
Calabash,World,2013,1.018691158
Canary seed,World,2010,1.054018654
Canary seed,World,2011,1.042001362
Canary seed,World,2012,1.038124134
Canary seed,World,2013,1.034821775
Candlenut,World,2010,1.069836526
Candlenut,World,2011,1.069763222
Candlenut,World,2012,1.069376136
Candlenut,World,2013,1.070091037
Canola,World,2010,1.069311821
Canola,World,2011,1.068996105
Canola,World,2012,1.07145731
Canola,World,2013,1.072449148
Capers,World,2010,1.025958933
Capers,World,2011,1.026470959
Capers,World,2012,1.028230598
Capers,World,2013,1.029133076
Carambola,World,2010,1.042578268
Carambola,World,2011,1.037312654
Carambola,World,2012,1.032557022
Carambola,World,2013,1.03874532
Carapa,World,2010,0.97906464
Carapa,World,2011,0.984945178
Carapa,World,2012,0.979379246
Carapa,World,2013,0.97481864
Cardamoms,World,2010,0.53906562
Cardamoms,World,2011,0.490073773
Cardamoms,World,2012,0.534519345
Cardamoms,World,2013,0.531735053
Carobs,World,2010,1.025958933
Carobs,World,2011,1.026470959
Carobs,World,2012,1.028230598
Carobs,World,2013,1.029133076
Carrots,World,2010,1.085634494
Carrots,World,2011,1.084609572
Carrots,World,2012,1.087004708
Carrots,World,2013,1.087486237
Cashews,World,2010,1.031474423
Cashews,World,2011,1.028005613
Cashews,World,2012,1.030769487
Cashews,World,2013,1.030127675
Cassava,World,2010,0.948349386
Cassava,World,2011,0.950732096
Cassava,World,2012,0.955092292
Cassava,World,2013,0.95743874
Castor bean,World,2010,0.885868293
Castor bean,World,2011,0.743220616
Castor bean,World,2012,0.744208519
Castor bean,World,2013,0.732620997
Celery,World,2010,1.025958933
Celery,World,2011,1.026470959
Celery,World,2012,1.028230598
Celery,World,2013,1.029133076
Cherimoya,World,2010,1.00073435
Cherimoya,World,2011,1.001246681
Cherimoya,World,2012,1.002677574
Cherimoya,World,2013,1.003185266
Cherries,World,2010,0.989791889
Cherries,World,2011,0.988910128
Cherries,World,2012,0.991539293
Cherries,World,2013,0.987854313
Chervil,World,2010,1.041506069
Chervil,World,2011,1.040921066
Chervil,World,2012,1.04337538
Chervil,World,2013,1.042953995
Chestnuts,World,2010,0.889678512
Chestnuts,World,2011,0.919690838
Chestnuts,World,2012,0.90089755
Chestnuts,World,2013,0.913568376
Chickpeas,World,2010,0.586350305
Chickpeas,World,2011,0.576305964
Chickpeas,World,2012,0.591298636
Chickpeas,World,2013,0.552867656
Chicory,World,2010,1.309152046
Chicory,World,2011,1.308037851
Chicory,World,2012,1.310645902
Chicory,World,2013,1.307394923
Chillies and peppers,World,2010,1.001240533
Chillies and peppers,World,2011,0.999627048
Chillies and peppers,World,2012,1.001578963
Chillies and peppers,World,2013,1.004164986
Chinotto,World,2010,1.063050052
Chinotto,World,2011,1.062630141
Chinotto,World,2012,1.062775724
Chinotto,World,2013,1.061837372
Chontadura,World,2010,0.997999178
Chontadura,World,2011,1.003993442
Chontadura,World,2012,0.996953988
Chontadura,World,2013,0.992114859
Chufa,World,2010,1.06415816
Chufa,World,2011,1.064402784
Chufa,World,2012,1.06328081
Chufa,World,2013,1.06321306
Cinnamon,World,2010,0.682767017
Cinnamon,World,2011,0.64798583
Cinnamon,World,2012,0.702129799
Cinnamon,World,2013,0.711359228
Citron,World,2010,1.131535873
Citron,World,2011,1.120447724
Citron,World,2012,1.124433533
Citron,World,2013,1.119507599
Cloves,World,2010,1.073242037
Cloves,World,2011,1.073242037
Cloves,World,2012,0.674131322
Cloves,World,2013,1.073242037
Cocoa,World,2010,0.971715838
Cocoa,World,2011,0.97999937
Cocoa,World,2012,0.971247046
Cocoa,World,2013,0.982073427
Coconuts,World,2010,0.411710719
Coconuts,World,2011,0.431259256
Coconuts,World,2012,0.425116146
Coconuts,World,2013,0.408099034
Coffee,World,2010,1.044181045
Coffee,World,2011,1.0488359
Coffee,World,2012,1.053501929
Coffee,World,2013,1.061956002
Common bean,World,2010,0.932949133
Common bean,World,2011,0.944203465
Common bean,World,2012,0.926447181
Common bean,World,2013,0.921473478
Coriander,World,2010,0.956809812
Coriander,World,2011,0.960995905
Coriander,World,2012,0.929349321
Coriander,World,2013,0.934077951
Cotton,World,2010,1.126341532
Cotton,World,2011,0.940754104
Cotton,World,2012,0.980589782
Cotton,World,2013,0.977228224
Cowpeas,World,2010,0.865426647
Cowpeas,World,2011,0.87013183
Cowpeas,World,2012,0.860721853
Cowpeas,World,2013,0.878773149
Cranberries,World,2010,1.003650768
Cranberries,World,2011,1.001564986
Cranberries,World,2012,0.996694745
Cranberries,World,2013,0.997401116
Cress,World,2010,1.083857422
Cress,World,2011,1.083400176
Cress,World,2012,1.084077579
Cress,World,2013,1.084987581
Cucumbers and gherkins,World,2010,0.38458121
Cucumbers and gherkins,World,2011,0.386078538
Cucumbers and gherkins,World,2012,0.375175611
Cucumbers and gherkins,World,2013,0.370406779
Cumin,World,2010,0.521474028
Cumin,World,2011,0.471962279
Cumin,World,2012,0.506318526
Cumin,World,2013,0.537938908
Currants,World,2010,0.95455475
Currants,World,2011,0.954445324
Currants,World,2012,0.966066918
Currants,World,2013,0.959270403
Cushaw,World,2010,1.01407591
Cushaw,World,2011,1.014321433
Cushaw,World,2012,1.014217282
Cushaw,World,2013,1.014324958
Custard apple,World,2010,0.995653091
Custard apple,World,2011,0.996071536
Custard apple,World,2012,0.99731946
Custard apple,World,2013,0.997358442
Dates,World,2010,0.179242603
Dates,World,2011,0.281927798
Dates,World,2012,0.171670297
Dates,World,2013,0.190358838
Dill,World,2010,1.058326903
Dill,World,2011,1.059582696
Dill,World,2012,1.048315598
Dill,World,2013,1.0419089
Durian,World,2010,0.989071924
Durian,World,2011,0.984050172
Durian,World,2012,0.985159671
Durian,World,2013,0.99272191
Eggplant,World,2010,0.38458121
Eggplant,World,2011,0.386078538
Eggplant,World,2012,0.375175611
Eggplant,World,2013,0.370406779
Elderberry,World,2010,0.964826557
Elderberry,World,2011,0.963495733
Elderberry,World,2012,0.97002036
Elderberry,World,2013,0.964995766
Ethiopian rape,World,2010,1.024382385
Ethiopian rape,World,2011,1.024912054
Ethiopian rape,World,2012,1.024513694
Ethiopian rape,World,2013,1.024687023
Faba beans,World,2010,0.955051667
Faba beans,World,2011,0.95579653
Faba beans,World,2012,0.968383932
Faba beans,World,2013,0.963183317
Feijoa,World,2010,1.00073435
Feijoa,World,2011,1.001246681
Feijoa,World,2012,1.002677574
Feijoa,World,2013,1.003185266
Fennel,World,2010,0.973087633
Fennel,World,2011,0.978361673
Fennel,World,2012,0.945928065
Fennel,World,2013,0.950139301
Fenugreek,World,2010,0.973336127
Fenugreek,World,2011,0.977371116
Fenugreek,World,2012,0.962522631
Fenugreek,World,2013,0.969531286
Fig leaf gourd,World,2010,1.058713575
Fig leaf gourd,World,2011,1.058745224
Fig leaf gourd,World,2012,1.059104942
Fig leaf gourd,World,2013,1.059088739
Figs,World,2010,1.037037081
Figs,World,2011,1.044187126
Figs,World,2012,1.04221616
Figs,World,2013,1.03673905
Finger millet,World,2010,0.977617876
Finger millet,World,2011,0.973312755
Finger millet,World,2012,0.99227779
Finger millet,World,2013,0.989713611
Flax,World,2010,0.783684801
Flax,World,2011,0.700378495
Flax,World,2012,0.685561844
Flax,World,2013,0.637574699
Fonio,World,2010,0.917860569
Fonio,World,2011,0.929701122
Fonio,World,2012,0.926381774
Fonio,World,2013,0.933007599
Foxtail millet,World,2010,0.900886442
Foxtail millet,World,2011,0.831569918
Foxtail millet,World,2012,0.893822628
Foxtail millet,World,2013,0.887281456
Garlic,World,2010,1.012514739
Garlic,World,2011,1.011902924
Garlic,World,2012,1.011783049
Garlic,World,2013,1.011312043
Ginger,World,2010,0.583863666
Ginger,World,2011,0.533163518
Ginger,World,2012,0.581900188
Ginger,World,2013,0.603494875
Gooseberries,World,2010,0.952133746
Gooseberries,World,2011,0.955367331
Gooseberries,World,2012,0.968198029
Gooseberries,World,2013,0.96162089
Grapefruits,World,2010,0.566369904
Grapefruits,World,2011,0.570810904
Grapefruits,World,2012,0.60466055
Grapefruits,World,2013,0.466548965
Grapes,World,2010,0.698627648
Grapes,World,2011,0.693019677
Grapes,World,2012,0.6803835
Grapes,World,2013,0.671257431
Grasspea,World,2010,0.955051667
Grasspea,World,2011,0.95579653
Grasspea,World,2012,0.968383932
Grasspea,World,2013,0.963183317
Groundnuts,World,2010,1.030123779
Groundnuts,World,2011,1.026933547
Groundnuts,World,2012,1.029452316
Groundnuts,World,2013,1.034907195
Guavas,World,2010,0.999747131
Guavas,World,2011,0.999520349
Guavas,World,2012,1.001899681
Guavas,World,2013,1.002610622
Hazelnuts,World,2010,0.858215527
Hazelnuts,World,2011,0.884555508
Hazelnuts,World,2012,0.88028333
Hazelnuts,World,2013,0.875255787
Hemp,World,2010,0.89551746
Hemp,World,2011,0.786455542
Hemp,World,2012,0.787360266
Hemp,World,2013,0.78366606
Horseradish,World,2010,1.044055946
Horseradish,World,2011,1.043206908
Horseradish,World,2012,1.044218046
Horseradish,World,2013,1.044239347
Huckleberry,World,2010,1.003650768
Huckleberry,World,2011,1.001564986
Huckleberry,World,2012,0.996694745
Huckleberry,World,2013,0.997401116
Jack bean,World,2010,1.006819694
Jack bean,World,2011,1.007686639
Jack bean,World,2012,1.007193709
Jack bean,World,2013,1.007054897
Jackfruit,World,2010,1.051257656
Jackfruit,World,2011,1.052001738
Jackfruit,World,2012,1.046400138
Jackfruit,World,2013,1.043680186
Japanese millet,World,2010,0.900886442
Japanese millet,World,2011,0.831569918
Japanese millet,World,2012,0.893822628
Japanese millet,World,2013,0.887281456
Jerusalem artichoke,World,2010,1.02789648
Jerusalem artichoke,World,2011,1.028189738
Jerusalem artichoke,World,2012,1.024391092
Jerusalem artichoke,World,2013,1.024308039
Jicama,World,2010,1.006819694
Jicama,World,2011,1.007686639
Jicama,World,2012,1.007193709
Jicama,World,2013,1.007054897
Jojoba,World,2010,1.05211073
Jojoba,World,2011,1.053688634
Jojoba,World,2012,1.051623848
Jojoba,World,2013,1.051231903
Jujube,World,2010,0.913009833
Jujube,World,2011,0.912137321
Jujube,World,2012,0.902321615
Jujube,World,2013,0.898793754
Kaniwa,World,2010,0.995786969
Kaniwa,World,2011,0.997105173
Kaniwa,World,2012,0.996308343
Kaniwa,World,2013,0.994429698
Kapok,World,2010,0.679155447
Kapok,World,2011,0.743980765
Kapok,World,2012,0.742080552
Kapok,World,2013,0.762796298
Karite nuts,World,2010,0.62789794
Karite nuts,World,2011,0.680872115
Karite nuts,World,2012,0.694780343
Karite nuts,World,2013,0.736507744
Kiwi fruit,World,2010,0.913009833
Kiwi fruit,World,2011,0.912137321
Kiwi fruit,World,2012,0.902321615
Kiwi fruit,World,2013,0.898793754
Kiwicha,World,2010,0.995786969
Kiwicha,World,2011,0.997105173
Kiwicha,World,2012,0.996308343
Kiwicha,World,2013,0.994429698
Kodo millet,World,2010,0.208249077
Kodo millet,World,2011,0.228709161
Kodo millet,World,2012,0.226371082
Kodo millet,World,2013,0.223940412
Kola nuts,World,2010,0.969181028
Kola nuts,World,2011,0.97697924
Kola nuts,World,2012,0.979440071
Kola nuts,World,2013,0.986769125
Kumquat,World,2010,0.834956042
Kumquat,World,2011,0.876220596
Kumquat,World,2012,0.828403573
Kumquat,World,2013,0.882275776
Lablab,World,2010,0.862519933
Lablab,World,2011,0.867224775
Lablab,World,2012,0.857351719
Lablab,World,2013,0.875451017
Leeks and other alliaceous vegetables,World,2010,1.085634494
Leeks and other alliaceous vegetables,World,2011,1.084609572
Leeks and other alliaceous vegetables,World,2012,1.087004708
Leeks and other alliaceous vegetables,World,2013,1.087486237
Lemons and limes,World,2010,1.191570223
Lemons and limes,World,2011,1.224783493
Lemons and limes,World,2012,1.210274507
Lemons and limes,World,2013,1.214659114
Lentils,World,2010,0.586350305
Lentils,World,2011,0.576305964
Lentils,World,2012,0.591298636
Lentils,World,2013,0.552867656
Lettuce,World,2010,1.130367933
Lettuce,World,2011,1.128121397
Lettuce,World,2012,1.133520928
Lettuce,World,2013,1.134171641
Lima bean,World,2010,0.932949133
Lima bean,World,2011,0.944203465
Lima bean,World,2012,0.926447181
Lima bean,World,2013,0.921473478
Litchi,World,2010,0.913009833
Litchi,World,2011,0.912137321
Litchi,World,2012,0.902321615
Litchi,World,2013,0.898793754
Little millet,World,2010,1.037509302
Little millet,World,2011,0.957332942
Little millet,World,2012,1.028061235
Little millet,World,2013,1.020483436
Longan,World,2010,1.051257656
Longan,World,2011,1.052001738
Longan,World,2012,1.046400138
Longan,World,2013,1.043680186
Loquat,World,2010,0.913009833
Loquat,World,2011,0.912137321
Loquat,World,2012,0.902321615
Loquat,World,2013,0.898793754
Lupins,World,2010,0.945022392
Lupins,World,2011,0.956088582
Lupins,World,2012,0.96524921
Lupins,World,2013,0.96400372
Maca,World,2010,0.996341469
Maca,World,2011,0.995403346
Maca,World,2012,0.995887988
Maca,World,2013,0.99649794
Macadamia nut,World,2010,0.993354414
Macadamia nut,World,2011,0.994456189
Macadamia nut,World,2012,0.993983157
Macadamia nut,World,2013,0.993638121
Mahuwa,World,2010,1.191368958
Mahuwa,World,2011,1.191963625
Mahuwa,World,2012,1.192780078
Mahuwa,World,2013,1.192011126
Maize,World,2010,0.870215919
Maize,World,2011,0.871082181
Maize,World,2012,0.870578811
Maize,World,2013,0.872129117
Mamey sapote,World,2010,0.995653091
Mamey sapote,World,2011,0.996071536
Mamey sapote,World,2012,0.99731946
Mamey sapote,World,2013,0.997358442
Mammee,World,2010,1.00073435
Mammee,World,2011,1.001246681
Mammee,World,2012,1.002677574
Mammee,World,2013,1.003185266
Mandarines,World,2010,1.030020928
Mandarines,World,2011,0.982038203
Mandarines,World,2012,0.937874407
Mandarines,World,2013,0.912837181
Mango,World,2010,1.042578268
Mango,World,2011,1.037312654
Mango,World,2012,1.032557022
Mango,World,2013,1.03874532
Mangosteen,World,2010,0.989071924
Mangosteen,World,2011,0.984050172
Mangosteen,World,2012,0.985159671
Mangosteen,World,2013,0.99272191
Maple sugar,World,2010,0.384166172
Maple sugar,World,2011,0.423844103
Maple sugar,World,2012,0.417539892
Maple sugar,World,2013,0.398237853
Marjoram,World,2010,1.018987719
Marjoram,World,2011,1.018781351
Marjoram,World,2012,1.019718111
Marjoram,World,2013,1.020346777
Mashua,World,2010,0.996341469
Mashua,World,2011,0.995403346
Mashua,World,2012,0.995887988
Mashua,World,2013,0.99649794
Mat bean,World,2010,0.903155479
Mat bean,World,2011,0.920187051
Mat bean,World,2012,0.935369175
Mat bean,World,2013,0.940274038
Mate,World,2010,0.929979997
Mate,World,2011,0.937966134
Mate,World,2012,0.940414721
Mate,World,2013,0.940783563
Mauka,World,2010,0.996341469
Mauka,World,2011,0.995403346
Mauka,World,2012,0.995887988
Mauka,World,2013,0.99649794
Medlar,World,2010,0.99651088
Medlar,World,2011,0.99667501
Medlar,World,2012,0.999358746
Medlar,World,2013,0.996789332
Melons,World,2010,1.101071004
Melons,World,2011,1.099937196
Melons,World,2012,1.074636936
Melons,World,2013,1.089962708
Mombin,World,2010,0.996231852
Mombin,World,2011,0.997191804
Mombin,World,2012,0.99995527
Mombin,World,2013,1.000515865
Mulberry,World,2010,1.004301247
Mulberry,World,2011,1.007866382
Mulberry,World,2012,1.008059189
Mulberry,World,2013,1.008010125
Mung bean,World,2010,1.515987345
Mung bean,World,2011,1.549376385
Mung bean,World,2012,1.594304067
Mung bean,World,2013,1.604009965
Myrtle,World,2010,1.051471221
Myrtle,World,2011,1.0515562
Myrtle,World,2012,1.048195244
Myrtle,World,2013,1.042970983
Naranjilla,World,2010,0.998317642
Naranjilla,World,2011,0.999760309
Naranjilla,World,2012,0.998978762
Naranjilla,World,2013,0.998470009
New Zealand Spinach,World,2010,0.400450782
New Zealand Spinach,World,2011,0.398843697
New Zealand Spinach,World,2012,0.401201638
New Zealand Spinach,World,2013,0.402655807
Noog,World,2010,1.010260901
Noog,World,2011,0.98085334
Noog,World,2012,0.988049438
Noog,World,2013,0.999570798
Nutmeg,World,2010,0.53906562
Nutmeg,World,2011,0.490073773
Nutmeg,World,2012,0.534519345
Nutmeg,World,2013,0.531735053
Oats,World,2010,0.697345462
Oats,World,2011,0.704875096
Oats,World,2012,0.698565002
Oats,World,2013,0.717175053
Oca,World,2010,0.996341469
Oca,World,2011,0.995403346
Oca,World,2012,0.995887988
Oca,World,2013,0.99649794
Oil palm,World,2010,1.033691979
Oil palm,World,2011,1.03353933
Oil palm,World,2012,1.026535622
Oil palm,World,2013,1.026605186
Oiticica,World,2010,0.98376446
Oiticica,World,2011,0.989649976
Oiticica,World,2012,0.984051569
Oiticica,World,2013,0.97941442
Okra,World,2010,1.169474972
Okra,World,2011,1.171653906
Okra,World,2012,1.163405991
Okra,World,2013,1.15945674
Olives,World,2010,0.32297921
Olives,World,2011,0.269512224
Olives,World,2012,0.293128754
Olives,World,2013,0.331622102
Onions,World,2010,0.988868086
Onions,World,2011,0.98350887
Onions,World,2012,0.988494407
Onions,World,2013,0.990584558
Orache,World,2010,0.377356876
Orache,World,2011,0.374987532
Orache,World,2012,0.381774173
Orache,World,2013,0.385087922
Oranges,World,2010,1.030020928
Oranges,World,2011,0.982038203
Oranges,World,2012,0.937874407
Oranges,World,2013,0.912837181
Papayas,World,2010,0.999747131
Papayas,World,2011,0.999520349
Papayas,World,2012,1.001899681
Papayas,World,2013,1.002610622
Parsley,World,2010,1.025958933
Parsley,World,2011,1.026470959
Parsley,World,2012,1.028230598
Parsley,World,2013,1.029133076
Parsnip,World,2010,1.069311821
Parsnip,World,2011,1.068996105
Parsnip,World,2012,1.07145731
Parsnip,World,2013,1.072449148
Passionfruit,World,2010,0.999747131
Passionfruit,World,2011,0.999520349
Passionfruit,World,2012,1.001899681
Passionfruit,World,2013,1.002610622
Pawpaw,World,2010,1.003650768
Pawpaw,World,2011,1.001564986
Pawpaw,World,2012,0.996694745
Pawpaw,World,2013,0.997401116
Peaches and nectarines,World,2010,0.913009833
Peaches and nectarines,World,2011,0.912137321
Peaches and nectarines,World,2012,0.902321615
Peaches and nectarines,World,2013,0.898793754
Pearl millet,World,2010,0.192186295
Pearl millet,World,2011,0.21096342
Pearl millet,World,2012,0.209472044
Pearl millet,World,2013,0.207260847
Pears,World,2010,0.865033604
Pears,World,2011,0.855413516
Pears,World,2012,0.849677129
Pears,World,2013,0.853995287
Peas,World,2010,1.015164761
Peas,World,2011,0.992244943
Peas,World,2012,0.98359531
Peas,World,2013,0.971193629
Pecan,World,2010,0.950067055
Pecan,World,2011,0.935019057
Pecan,World,2012,0.952283618
Pecan,World,2013,0.942716598
Pepper,World,2010,1.055645523
Pepper,World,2011,1.045051519
Pepper,World,2012,1.05260254
Pepper,World,2013,1.078400118
Perilla,World,2010,1.292819321
Perilla,World,2011,1.293377995
Perilla,World,2012,1.293798476
Perilla,World,2013,1.293826316
Persimmons,World,2010,0.913009833
Persimmons,World,2011,0.912137321
Persimmons,World,2012,0.902321615
Persimmons,World,2013,0.898793754
Physic nut,World,2010,1.018600746
Physic nut,World,2011,1.018600746
Physic nut,World,2012,1.017287036
Physic nut,World,2013,1.017103982
Pigeonpeas,World,2010,0.735484397
Pigeonpeas,World,2011,0.715976573
Pigeonpeas,World,2012,0.705895303
Pigeonpeas,World,2013,0.680309371
Pili nut,World,2010,1.033653041
Pili nut,World,2011,1.035458563
Pili nut,World,2012,1.042019168
Pili nut,World,2013,1.040394861
Pine nut,World,2010,0.950799059
Pine nut,World,2011,0.961428833
Pine nut,World,2012,0.950387337
Pine nut,World,2013,0.964017637
Pineapples,World,2010,0.927530715
Pineapples,World,2011,0.929474712
Pineapples,World,2012,0.913020875
Pineapples,World,2013,0.912999324
Pistachios,World,2010,0.946335883
Pistachios,World,2011,0.963794347
Pistachios,World,2012,0.957413554
Pistachios,World,2013,0.955295336
Plantains,World,2010,1.04762791
Plantains,World,2011,1.043595396
Plantains,World,2012,1.043307767
Plantains,World,2013,1.042580099
Plums,World,2010,0.865033604
Plums,World,2011,0.855413516
Plums,World,2012,0.849677129
Plums,World,2013,0.853995287
Pomegranate,World,2010,1.060169704
Pomegranate,World,2011,1.065270129
Pomegranate,World,2012,1.059494517
Pomegranate,World,2013,1.056517881
Pongamia oil,World,2010,1.293729529
Pongamia oil,World,2011,1.294833903
Pongamia oil,World,2012,1.295498995
Pongamia oil,World,2013,1.295601339
Poppies,World,2010,1.024524858
Poppies,World,2011,1.042340407
Poppies,World,2012,1.031505043
Poppies,World,2013,0.990415821
Potatoes,World,2010,0.99120231
Potatoes,World,2011,0.991372695
Potatoes,World,2012,0.991923423
Potatoes,World,2013,0.990416808
Prickly pear,World,2010,0.999036828
Prickly pear,World,2011,0.998316416
Prickly pear,World,2012,0.999202014
Prickly pear,World,2013,0.999388056
Proso millet,World,2010,0.947359792
Proso millet,World,2011,0.861378865
Proso millet,World,2012,0.927204722
Proso millet,World,2013,0.920075503
Pumpkin,World,2010,1.031748653
Pumpkin,World,2011,1.031563591
Pumpkin,World,2012,1.032011335
Pumpkin,World,2013,1.03183497
Purging croton,World,2010,2.146016954
Purging croton,World,2011,2.145570586
Purging croton,World,2012,2.164994421
Purging croton,World,2013,2.173753187
Quinces,World,2010,0.997891177
Quinces,World,2011,1.000517168
Quinces,World,2012,1.000589445
Quinces,World,2013,0.999508995
Quinoa,World,2010,0.995937555
Quinoa,World,2011,0.99712417
Quinoa,World,2012,0.997015907
Quinoa,World,2013,0.993667521
Radish,World,2010,1.025958933
Radish,World,2011,1.026470959
Radish,World,2012,1.028230598
Radish,World,2013,1.029133076
Rambutan,World,2010,0.989071924
Rambutan,World,2011,0.984050172
Rambutan,World,2012,0.985159671
Rambutan,World,2013,0.99272191
Rapeseed and Mustards,World,2010,0.987389523
Rapeseed and Mustards,World,2011,0.97712723
Rapeseed and Mustards,World,2012,0.973038781
Rapeseed and Mustards,World,2013,0.963651043
Raspberries,World,2010,0.780273222
Raspberries,World,2011,0.780182947
Raspberries,World,2012,0.777496683
Raspberries,World,2013,0.761172337
Rhubarb,World,2010,0.400918792
Rhubarb,World,2011,0.399397664
Rhubarb,World,2012,0.40171667
Rhubarb,World,2013,0.403123764
Rice (African),World,2010,1.010858292
Rice (African),World,2011,1.010307017
Rice (African),World,2012,1.01068094
Rice (African),World,2013,1.010246727
Rice (Asian),World,2010,0.293604348
Rice (Asian),World,2011,0.296474665
Rice (Asian),World,2012,0.296655344
Rice (Asian),World,2013,0.302619984
Rice bean,World,2010,0.923061429
Rice bean,World,2011,0.937642033
Rice bean,World,2012,0.958604613
Rice bean,World,2013,0.967042238
Runner bean,World,2010,0.933473578
Runner bean,World,2011,0.946270726
Runner bean,World,2012,0.928173482
Runner bean,World,2013,0.924357279
Rye,World,2010,1.018376438
Rye,World,2011,1.020331682
Rye,World,2012,1.017791548
