crop,country,year,genus_count_gini_origin,species_count_gini_origin
Abaca,World,2019,0.17570593,0.023508137
Acerola,World,2019,0.31744186,0.202380952
Achira,World,2019,0.135720601,0.090855195
Ackee,World,2019,0.666666667,0.444444444
Adlay,World,2019,0.184807781,0.162476281
Adzuki bean,World,2019,0.14963871,0.028753596
Aeschynomene,World,2019,0.218651662,0.174342719
African eggplant,World,2019,0.122525759,0.055696555
Agave,World,2019,0.077300297,0.117305459
Agropyron,World,2019,0.1562688,0.128880812
Agrostis,World,2019,0.25627284,0.167950529
Ahipa,World,2019,0.282019114,0.086663207
Albardine,World,2019,0.5,0.5
Alfalfa,World,2019,0.23416775,0.238263076
Allspice,World,2019,0.416666667,0.416666667
Almonds,World,2019,0.184869386,0.09702286
Alopecurus,World,2019,0.22166371,0.173970202
Alysicarpus,World,2019,0.210829083,0.240453692
Amaranth,World,2019,0.086781473,0.05645745
Andropogon,World,2019,0.097123299,0.171445639
Anise,World,2019,0.397372476,0.260199302
Annato,World,2019,0.246534653,0.246031746
Apple,World,2019,0.154820887,0.110790024
Apricot,World,2019,0.184869386,0.126806821
Areca nuts,World,2019,0.566433566,0.303030303
Arracacha,World,2019,0.253382252,0.245528455
Arrhenatherum,World,2019,0.254818973,0.248043156
Arrowroot,World,2019,0.615686275,0.5
Artichokes,World,2019,0.154279117,0.093341566
Asparagus,World,2019,0.294089002,0.222473807
Astragalus,World,2019,0.279184473,0.145389344
Atemoya,World,2019,0.133736421,1
Atriplex,World,2019,0.165469594,0.049762804
Avocado,World,2019,0.124259219,0.123454858
Azarole,World,2019,0.263817381,0.185714286
Babaco,World,2019,0.148717949,0.153846154
Badian,World,2019,0.364035088,0.083333333
Bambara bean,World,2019,0.14963871,0.075112541
Bamboo shoot,World,2019,0.176851852,0.222222222
Bananas,World,2019,0.17570593,0.108547651
Barley,World,2019,0.193737737,0.180887811
Basil,World,2019,0.251281839,0.240065333
Bay leaf,World,2019,0.281144781,0.294466403
Beech nut,World,2019,0.368467282,0.233883058
Beets,World,2019,0.217155942,0.217154091
Black gram,World,2019,0.14963871,0.032031221
Black nightshade,World,2019,0.122525759,0.067638969
Black salsify,World,2019,0.440294284,0.180311891
