crop,country,year,c_area_harvested,c_production,vap_gross_production_value_us
Abaca,World,2013,5,6,4
Abaca,World,2012,5,6,4
Abaca,World,2010,5,6,4
Abaca,World,2011,5,6,4
Adlay,World,2010,58,58,41
Adlay,World,2011,58,58,41
Adlay,World,2012,58,58,41
Adlay,World,2013,58,58,42
Adzuki bean,World,2010,158,159,122
Adzuki bean,World,2011,158,159,123
Adzuki bean,World,2012,159,160,122
Adzuki bean,World,2013,159,160,121
Agave,World,2010,8,8,5
Agave,World,2011,8,8,5
Agave,World,2012,8,8,5
Agave,World,2013,8,8,4
Albardine,World,2010,15,22,14
Albardine,World,2011,15,22,14
Albardine,World,2012,15,22,14
Albardine,World,2013,15,22,14
Alfalfa,World,2010,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA
Allspice,World,2010,139,141,105
Allspice,World,2011,139,141,107
Allspice,World,2012,140,142,106
Allspice,World,2013,140,142,105
Almonds,World,2010,48,48,39
Almonds,World,2011,49,49,38
Almonds,World,2012,48,48,38
Almonds,World,2013,49,49,38
Amaranth,World,2010,58,58,41
Amaranth,World,2011,58,58,41
Amaranth,World,2012,58,58,41
Amaranth,World,2013,58,58,42
Anise,World,2010,39,41,30
Anise,World,2011,39,41,29
Anise,World,2012,39,41,29
Anise,World,2013,39,41,29
Apple,World,2010,95,96,82
Apple,World,2011,95,96,83
Apple,World,2012,95,96,83
Apple,World,2013,95,96,82
Apricot,World,2010,69,71,62
Apricot,World,2011,69,71,63
Apricot,World,2012,69,71,63
Apricot,World,2013,69,71,63
Areca nuts,World,2010,12,13,9
Areca nuts,World,2011,12,13,9
Areca nuts,World,2012,12,13,9
Areca nuts,World,2013,12,13,9
Arracacha,World,2010,75,77,51
Arracacha,World,2011,75,77,51
Arracacha,World,2012,74,76,51
Arracacha,World,2013,74,76,51
Arrhenatherum,World,2010,42,45,NA
Arrhenatherum,World,2011,43,46,NA
Arrhenatherum,World,2012,43,46,NA
Arrhenatherum,World,2013,43,46,NA
Arrowroot,World,2010,75,77,51
Arrowroot,World,2011,75,77,51
Arrowroot,World,2012,74,76,51
Arrowroot,World,2013,74,76,51
Artichokes,World,2010,30,32,23
Artichokes,World,2011,29,31,23
Artichokes,World,2012,29,31,23
Artichokes,World,2013,30,32,23
Asparagus,World,2010,42,45,38
Asparagus,World,2011,43,46,38
Asparagus,World,2012,43,46,38
Asparagus,World,2013,43,46,38
Atemoya,World,2010,72,75,28
Atemoya,World,2011,72,75,28
Atemoya,World,2012,72,75,28
Atemoya,World,2013,72,75,28
Avocado,World,2010,68,69,49
Avocado,World,2011,68,69,49
Avocado,World,2012,68,69,50
Avocado,World,2013,68,69,49
Azarole,World,2010,161,161,95
Azarole,World,2011,161,161,95
Azarole,World,2012,162,162,94
Azarole,World,2013,162,162,94
Babaco,World,2010,161,161,95
Babaco,World,2011,161,161,95
Babaco,World,2012,162,162,94
Babaco,World,2013,162,162,94
Badian,World,2010,39,41,30
Badian,World,2011,39,41,29
Badian,World,2012,39,41,29
Badian,World,2013,39,41,29
Bambara bean,World,2010,5,5,3
Bambara bean,World,2011,5,5,3
Bambara bean,World,2012,5,5,3
Bambara bean,World,2013,5,5,3
Bamboo shoot,World,2010,202,202,127
Bamboo shoot,World,2011,202,202,128
Bamboo shoot,World,2012,203,203,126
Bamboo shoot,World,2013,203,203,126
Bananas,World,2010,129,131,85
Bananas,World,2011,129,131,86
Bananas,World,2012,129,131,87
Bananas,World,2013,129,131,86
Barley,World,2010,104,104,87
Barley,World,2011,104,104,87
Barley,World,2012,104,104,88
Barley,World,2013,104,104,87
Bay leaf,World,2010,65,69,48
Bay leaf,World,2011,65,69,47
Bay leaf,World,2012,65,69,47
Bay leaf,World,2013,65,69,47
Beech nut,World,2010,41,56,29
Beech nut,World,2011,41,56,30
Beech nut,World,2012,41,57,30
Beech nut,World,2013,41,57,30
Beets,World,2010,202,202,127
Beets,World,2011,202,202,128
Beets,World,2012,203,203,126
Beets,World,2013,203,203,126
Black gram,World,2010,158,159,122
Black gram,World,2011,158,159,123
Black gram,World,2012,159,160,122
Black gram,World,2013,159,160,121
Black salsify,World,2010,202,202,127
Black salsify,World,2011,202,202,128
Black salsify,World,2012,203,203,126
Black salsify,World,2013,203,203,126
Blueberry,World,2010,23,25,8
Blueberry,World,2011,23,25,8
Blueberry,World,2012,23,25,10
Blueberry,World,2013,23,25,10
Brazil nut,World,2010,1,4,4
Brazil nut,World,2011,1,5,4
Brazil nut,World,2012,1,4,4
Brazil nut,World,2013,1,4,4
Breadfruit,World,2010,72,75,28
Breadfruit,World,2011,72,75,28
Breadfruit,World,2012,72,75,28
Breadfruit,World,2013,72,75,28
Buckwheat,World,2010,28,28,24
Buckwheat,World,2011,28,28,25
Buckwheat,World,2012,29,29,26
Buckwheat,World,2013,29,29,26
Butter-nut,World,2010,65,71,51
Butter-nut,World,2011,65,71,51
Butter-nut,World,2012,65,71,51
Butter-nut,World,2013,65,71,51
Butternut squash,World,2010,115,117,89
Butternut squash,World,2011,115,117,91
Butternut squash,World,2012,116,118,90
Butternut squash,World,2013,116,118,88
Cabbages,World,2010,151,153,121
Cabbages,World,2011,151,153,122
Cabbages,World,2012,151,153,122
Cabbages,World,2013,151,153,121
Cabbages and other brassicas,World,2010,151,153,121
Cabbages and other brassicas,World,2011,151,153,122
Cabbages and other brassicas,World,2012,151,153,122
Cabbages and other brassicas,World,2013,151,153,121
Caesarweed,World,2010,24,24,12
Caesarweed,World,2011,24,24,12
Caesarweed,World,2012,24,24,12
Caesarweed,World,2013,24,24,12
Cainito,World,2010,72,75,28
Cainito,World,2011,72,75,28
Cainito,World,2012,72,75,28
Cainito,World,2013,72,75,28
Calabash,World,2010,115,117,89
Calabash,World,2011,115,117,91
Calabash,World,2012,116,118,90
Calabash,World,2013,116,118,88
Canary seed,World,2010,11,11,9
Canary seed,World,2011,11,11,9
Canary seed,World,2012,11,11,9
Canary seed,World,2013,11,11,9
Candlenut,World,2010,41,56,29
Candlenut,World,2011,41,56,30
Candlenut,World,2012,41,57,30
Candlenut,World,2013,41,57,30
Canola,World,2010,151,153,121
Canola,World,2011,151,153,122
Canola,World,2012,151,153,122
Canola,World,2013,151,153,121
Capers,World,2010,202,202,127
Capers,World,2011,202,202,128
Capers,World,2012,203,203,126
Capers,World,2013,203,203,126
Carambola,World,2010,72,75,28
Carambola,World,2011,72,75,28
Carambola,World,2012,72,75,28
Carambola,World,2013,72,75,28
Carapa,World,2010,41,56,29
Carapa,World,2011,41,56,30
Carapa,World,2012,41,57,30
Carapa,World,2013,41,57,30
Cardamoms,World,2010,21,21,17
Cardamoms,World,2011,21,21,17
Cardamoms,World,2012,21,21,17
Cardamoms,World,2013,21,21,17
Carneros Yucca,World,2010,15,22,14
Carneros Yucca,World,2011,15,22,14
Carneros Yucca,World,2012,15,22,14
Carneros Yucca,World,2013,15,22,14
Caroa,World,2010,15,22,14
Caroa,World,2011,15,22,14
Caroa,World,2012,15,22,14
Caroa,World,2013,15,22,14
Carobs,World,2010,14,14,14
Carobs,World,2011,14,14,14
Carobs,World,2012,14,14,14
Carobs,World,2013,13,13,13
Carrots,World,2010,128,130,105
Carrots,World,2011,128,130,106
Carrots,World,2012,128,130,106
Carrots,World,2013,128,130,105
Cashews,World,2010,35,34,26
Cashews,World,2011,35,34,26
Cashews,World,2012,34,33,25
Cashews,World,2013,34,33,25
Cassava,World,2011,103,103,71
Cassava,World,2010,103,103,71
Cassava,World,2012,103,103,71
Cassava,World,2013,103,103,71
Castor bean,World,2010,33,33,24
Castor bean,World,2011,33,33,24
Castor bean,World,2012,33,33,23
Castor bean,World,2013,31,31,21
Ceara,World,2010,NA,3,2
Ceara,World,2011,NA,3,2
