crop,country,year,genus_count_origin_supply,species_count_origin_supply
Runner bean,World,2019,180615,6077
Rye,World,2019,20328,18670
Safflower,World,2019,14988,14502
Saffron,World,2019,855,152
Sago palm,World,2019,1,0
Salsify,World,2019,187,55
Salsola,World,2019,125,24
Sapodilla,World,2019,212,201
Savory,World,2019,582,469
Service tree,World,2019,1168,108
Sesame,World,2019,25917,22633
Sesbania,World,2019,2555,609
Shala tree,World,2019,2,1
Sisal,World,2019,738,8
Slippery cabbage,World,2019,12272,862
Snake gourd,World,2019,1079,230
Snake plant,World,2019,30,4
Sorghum,World,2019,169377,163242
Sorrel,World,2019,1134,285
Soursop,World,2019,1428,69
Soybeans,World,2019,99054,90193
Spider plant,World,2019,82,715
Spinach,World,2019,2707,2571
Strawberries,World,2019,8723,2163
Strawberry tree,World,2019,84,20
Stylosanthes,World,2019,9920,3487
Sugar apple,World,2019,1428,87
Sugar beets,World,2019,13479,10676
Sugarcane,World,2019,9685,1662
Sunflowers,World,2019,21557,17411
Sunn hemp,World,2019,3348,390
Sweetpotatoes,World,2019,19986,16807
Sword bean,World,2019,705,84
Tallowtree,World,2019,16,8
Tamarind,World,2019,156,156
Taro,World,2019,2200,2194
Tarragon,World,2019,1030,62
Tea,World,2019,526,488
Teff,World,2019,8595,5744
Tepary bean,World,2019,180615,1605
Thyme,World,2019,810,166
Tobacco,World,2019,16829,13659
Tomatillo,World,2019,2290,1528
Tomatoes,World,2019,122252,39305
Tree tomato,World,2019,122252,333
Tripsacum,World,2019,517,7
Triticale,World,2019,31593,0
Tung nuts,World,2019,12,3
Turmeric,World,2019,109,12
Turnips,World,2019,66531,13409
Ulluco,World,2019,1876,1876
Vanilla,World,2019,309,179
Velvet bean,World,2019,775,552
Velvet leaf,World,2019,405,96
Vetch,World,2019,69380,19593
Walnuts,World,2019,3185,2571
Water dropwort,World,2019,84,3
Watercress,World,2019,103,90
Watermelons,World,2019,11082,10337
Wax gourd,World,2019,1107,1032
West Indian Gherkin,World,2019,29007,328
Wheat,World,2019,662487,507049
Wildrice,World,2019,2,0
Winged bean,World,2019,1700,1512
Yacon,World,2019,334,331
Yams,World,2019,10275,7257
"Yautia, cocoyam",World,2019,311,226
Year bean,World,2019,180615,901
Zornia,World,2019,1911,93
Zucchini,World,2019,29769,8076
