crop,country,year,import_value_global
Abaca,World,2010,0.986367789
Abaca,World,2011,0.933390109
Abaca,World,2012,0.988637477
Abaca,World,2013,0.892328398
Adzuki bean,World,2010,0.770703451
Adzuki bean,World,2011,0.786640623
Adzuki bean,World,2012,0.797976906
Adzuki bean,World,2013,0.801319944
Alfalfa,World,2010,0.515565887
Alfalfa,World,2011,0.584932302
Alfalfa,World,2012,0.510082629
Alfalfa,World,2013,0.585522283
Allspice,World,2010,0.988180454
Allspice,World,2011,0.988243475
Allspice,World,2012,0.987406963
Allspice,World,2013,0.990987101
Almonds,World,2010,0.874625691
Almonds,World,2011,0.880661099
Almonds,World,2012,0.877097052
Almonds,World,2013,0.877788336
Anise,World,2010,0.823608855
Anise,World,2011,0.798030541
Anise,World,2012,0.740701102
Anise,World,2013,0.785215342
Apple,World,2010,0.384442974
Apple,World,2011,0.363343887
Apple,World,2012,0.385666331
Apple,World,2013,0.389007002
Apricot,World,2010,0.840340379
Apricot,World,2011,0.849342546
Apricot,World,2012,0.843593607
Apricot,World,2013,0.837020161
Areca nuts,World,2010,0.914581285
Areca nuts,World,2011,0.877582226
Areca nuts,World,2012,0.871547341
Areca nuts,World,2013,0.906035494
Arracacha,World,2010,0.999562368
Arracacha,World,2011,0.999989568
Arracacha,World,2012,0.999533359
Arracacha,World,2013,0.999583819
Arrowroot,World,2010,0.990617177
Arrowroot,World,2011,0.961385793
Arrowroot,World,2012,0.993127128
Arrowroot,World,2013,0.992993468
Artichokes,World,2010,0.469496188
Artichokes,World,2011,0.515408976
Artichokes,World,2012,0.590710555
Artichokes,World,2013,0.621537156
Asparagus,World,2010,0.593336143
Asparagus,World,2011,0.592625813
Asparagus,World,2012,0.560916387
Asparagus,World,2013,0.602832546
Atemoya,World,2010,0.999903248
Atemoya,World,2011,0.999904691
Atemoya,World,2012,0.999917145
Atemoya,World,2013,0.999893401
Avocado,World,2010,0.983353337
Avocado,World,2011,0.985830801
Avocado,World,2012,0.984517704
Avocado,World,2013,0.98471124
Azarole,World,2010,0.927311532
Azarole,World,2011,0.939642308
Azarole,World,2012,0.954786882
Azarole,World,2013,0.951431768
Babaco,World,2010,0.999662038
Babaco,World,2011,0.999857498
Babaco,World,2012,0.999890551
Babaco,World,2013,0.999872452
Badian,World,2010,0.854948736
Badian,World,2011,0.837388991
Badian,World,2012,0.809777755
Badian,World,2013,0.723477468
Bambara bean,World,2012,0.99926308
Bambara bean,World,2013,0.932251908
Bamboo shoot,World,2010,0.864938726
Bamboo shoot,World,2011,0.85880445
Bamboo shoot,World,2012,0.854192038
Bamboo shoot,World,2013,0.883065846
Bananas,World,2010,0.998270047
Bananas,World,2011,0.998367843
Bananas,World,2012,0.997894217
Bananas,World,2013,0.997546335
Barley,World,2010,0.820095723
Barley,World,2011,0.805400751
Barley,World,2012,0.775858382
Barley,World,2013,0.756447886
Bay leaf,World,2010,0.820585911
Bay leaf,World,2011,0.849192396
Bay leaf,World,2012,0.850986337
Bay leaf,World,2013,0.85337623
Beech nut,World,2010,0.483060358
Beech nut,World,2011,0.519247072
Beech nut,World,2012,0.572086944
Beech nut,World,2013,0.61302086
Beets,World,2010,0.358067522
Beets,World,2011,0.292019484
Beets,World,2012,0.295005456
Beets,World,2013,0.257556022
Black gram,World,2010,0.86324365
Black gram,World,2011,0.871797941
Black gram,World,2012,0.872758741
Black gram,World,2013,0.863994292
Black salsify,World,2010,0.872847709
Black salsify,World,2011,0.879847417
Black salsify,World,2012,0.885505495
Black salsify,World,2013,0.898463805
Blueberry,World,2010,0.238576091
Blueberry,World,2011,0.276286801
Blueberry,World,2012,0.317105271
Blueberry,World,2013,0.298157972
Brazil nut,World,2010,0.977935897
Brazil nut,World,2011,0.98111088
Brazil nut,World,2012,0.967315511
Brazil nut,World,2013,0.984452162
Breadfruit,World,2010,0.940266751
Breadfruit,World,2011,0.937938771
Breadfruit,World,2012,0.97698433
Breadfruit,World,2013,0.990353962
Buckwheat,World,2010,0.651930691
Buckwheat,World,2011,0.706816892
Buckwheat,World,2012,0.714804162
Buckwheat,World,2013,0.769703901
Butter-nut,World,2010,0.995005323
Butter-nut,World,2011,0.993161031
Butter-nut,World,2012,0.994361392
Butter-nut,World,2013,0.994130119
Butternut squash,World,2010,0.740001755
Butternut squash,World,2011,0.71960631
Butternut squash,World,2012,0.778054351
Butternut squash,World,2013,0.73957691
Cabbages and other brassicas,World,2010,0.802246899
Cabbages and other brassicas,World,2011,0.809098606
Cabbages and other brassicas,World,2012,0.717152716
Cabbages and other brassicas,World,2013,0.746789147
Cabbages,World,2010,0.802246899
Cabbages,World,2011,0.809098606
Cabbages,World,2012,0.717152716
Cabbages,World,2013,0.746789147
Cainito,World,2010,0.99953133
Cainito,World,2011,0.999593803
Cainito,World,2012,0.99972345
Cainito,World,2013,0.999758679
Calabash,World,2010,1
Calabash,World,2011,1
Calabash,World,2012,0.999713898
Calabash,World,2013,0.999160981
Canary seed,World,2010,0.802885398
Canary seed,World,2011,0.809139261
Canary seed,World,2012,0.779182705
Canary seed,World,2013,0.824667028
Candlenut,World,2010,0.961680195
Candlenut,World,2011,0.945145382
Candlenut,World,2012,0.9476284
Candlenut,World,2013,0.990404812
Canola,World,2010,0.906552984
Canola,World,2011,0.920535004
Canola,World,2012,0.919991167
Canola,World,2013,0.920197545
Capers,World,2010,0.872847709
Capers,World,2011,0.879847417
Capers,World,2012,0.885505495
Capers,World,2013,0.898463805
Carambola,World,2010,0.939545106
Carambola,World,2011,0.937336661
Carambola,World,2012,0.976395015
Carambola,World,2013,0.989737051
Carapa,World,2010,0.979140773
Carapa,World,2011,0.968575389
Carapa,World,2012,0.978426184
Carapa,World,2013,0.983338534
Cardamoms,World,2010,0.814737319
Cardamoms,World,2011,0.817590613
Cardamoms,World,2012,0.827372911
Cardamoms,World,2013,0.817527119
Carrots,World,2010,0.731943516
Carrots,World,2011,0.751701931
Carrots,World,2012,0.752824193
Carrots,World,2013,0.735209469
Cashews,World,2010,0.999708058
Cashews,World,2011,0.985693385
Cashews,World,2012,0.985544289
Cashews,World,2013,0.992366795
Cassava,World,2010,0.995988811
Cassava,World,2011,0.994711666
Cassava,World,2012,0.996554089
Cassava,World,2013,0.99602332
Castor bean,World,2010,0.978881932
Castor bean,World,2011,0.977941323
Castor bean,World,2012,0.979203332
Castor bean,World,2013,0.978361817
Celery,World,2010,0.872847709
Celery,World,2011,0.879847417
Celery,World,2012,0.885505495
Celery,World,2013,0.898463805
Cherimoya,World,2010,0.999983135
Cherimoya,World,2011,0.99998941
Cherimoya,World,2012,0.999986282
Cherimoya,World,2013,0.999974598
Cherries,World,2010,0.898419213
Cherries,World,2011,0.923502677
Cherries,World,2012,0.945332971
Cherries,World,2013,0.919369963
Chervil,World,2010,0.78172496
Chervil,World,2011,0.766045207
Chervil,World,2012,0.7969209
Chervil,World,2013,0.784873926
Chestnuts,World,2010,0.904145673
Chestnuts,World,2011,0.902244209
Chestnuts,World,2012,0.902183337
Chestnuts,World,2013,0.903325391
Chickpeas,World,2010,0.305122707
Chickpeas,World,2011,0.270645924
