crop,country,year,food_supply_kcal_global
Adlay,World,2010,1.047685595
Adlay,World,2011,1.048131676
Adlay,World,2012,1.06489107
Adlay,World,2013,1.063120673
Adzuki bean,World,2010,1.400689274
Adzuki bean,World,2011,1.433264514
Adzuki bean,World,2012,1.462160131
Adzuki bean,World,2013,1.476625397
Allspice,World,2010,0.996859876
Allspice,World,2011,0.996521983
Allspice,World,2012,0.996410117
Allspice,World,2013,1.000265336
Almonds,World,2010,0.949282131
Almonds,World,2011,0.965318831
Almonds,World,2012,0.961581466
Almonds,World,2013,0.961226691
Amaranth,World,2010,0.969801042
Amaranth,World,2011,0.975862675
Amaranth,World,2012,0.985541657
Amaranth,World,2013,0.988164942
Anise,World,2010,0.96876861
Anise,World,2011,0.969451617
Anise,World,2012,0.94783398
Anise,World,2013,0.951950193
Apple,World,2010,0.485511012
Apple,World,2011,0.466168157
Apple,World,2012,0.417090071
Apple,World,2013,0.442777749
Apricot,World,2010,0.892010944
Apricot,World,2011,0.88511293
Apricot,World,2012,0.870474879
Apricot,World,2013,0.874807097
Areca nuts,World,2010,1.15288416
Areca nuts,World,2011,1.149282074
Areca nuts,World,2012,1.138349942
Areca nuts,World,2013,1.148207379
Arracacha,World,2010,0.999702042
Arracacha,World,2011,0.998582332
Arracacha,World,2012,0.999259739
Arracacha,World,2013,0.999133226
Arrowroot,World,2010,1.013026599
Arrowroot,World,2011,1.01084814
Arrowroot,World,2012,1.008201502
Arrowroot,World,2013,1.005141538
Artichokes,World,2010,1.020406197
Artichokes,World,2011,1.02010974
Artichokes,World,2012,1.021554321
Artichokes,World,2013,1.023037491
Asparagus,World,2010,1.104994793
Asparagus,World,2011,1.100953619
Asparagus,World,2012,1.10624947
Asparagus,World,2013,1.107208077
Atemoya,World,2010,1.00416552
Atemoya,World,2011,1.003068244
Atemoya,World,2012,1.006721793
Atemoya,World,2013,1.00626052
Avocado,World,2010,1.001164
Avocado,World,2011,1.000056467
Avocado,World,2012,1.001421006
Avocado,World,2013,1.001745144
Azarole,World,2010,0.986966106
Azarole,World,2011,0.986534916
Azarole,World,2012,0.992157082
Azarole,World,2013,0.988518713
Babaco,World,2010,0.997079222
Babaco,World,2011,0.998451762
Babaco,World,2012,0.99831757
Babaco,World,2013,0.996595415
Badian,World,2010,1.300427152
Badian,World,2011,1.373427393
Badian,World,2012,1.35374538
Badian,World,2013,1.324639181
Bambara bean,World,2010,0.960175783
Bambara bean,World,2011,0.956275965
Bambara bean,World,2012,0.958858792
Bambara bean,World,2013,0.970726856
Bamboo shoot,World,2010,0.435832049
Bamboo shoot,World,2011,0.440002596
Bamboo shoot,World,2012,0.436492044
Bamboo shoot,World,2013,0.433347008
Bananas,World,2010,0.930260887
Bananas,World,2011,0.922552492
Bananas,World,2012,0.922900568
Bananas,World,2013,0.936606738
Barley,World,2010,0.72470205
Barley,World,2011,0.742494817
Barley,World,2012,0.74946918
Barley,World,2013,0.721087368
Bay leaf,World,2010,1.005134679
Bay leaf,World,2011,1.006370983
Bay leaf,World,2012,0.992232931
Bay leaf,World,2013,0.989515148
Beech nut,World,2010,1.01604667
Beech nut,World,2011,1.041606771
Beech nut,World,2012,1.028445563
Beech nut,World,2013,0.990280164
Beets,World,2010,1.049010281
Beets,World,2011,1.047557128
Beets,World,2012,1.051576804
Beets,World,2013,1.053131417
Black gram,World,2010,0.900005166
Black gram,World,2011,0.915254532
Black gram,World,2012,0.930832851
Black gram,World,2013,0.939626528
Black salsify,World,2010,1.020406197
Black salsify,World,2011,1.02010974
Black salsify,World,2012,1.021554321
Black salsify,World,2013,1.023037491
Blueberry,World,2010,1.007780959
Blueberry,World,2011,1.004897054
Blueberry,World,2012,1.002338625
Blueberry,World,2013,1.002332865
Brazil nut,World,2010,1.03039308
Brazil nut,World,2011,1.026466598
Brazil nut,World,2012,1.029833901
Brazil nut,World,2013,1.029108372
Breadfruit,World,2010,0.985901003
Breadfruit,World,2011,0.980891863
Breadfruit,World,2012,0.982189553
Breadfruit,World,2013,0.98925181
Buckwheat,World,2010,1.306638037
Buckwheat,World,2011,1.308924073
Buckwheat,World,2012,1.301780793
Buckwheat,World,2013,1.303156429
Butter-nut,World,2010,1.039755747
Butter-nut,World,2011,1.03517747
Butter-nut,World,2012,1.039100594
Butter-nut,World,2013,1.038841222
Butternut squash,World,2010,1.065926511
Butternut squash,World,2011,1.065759291
Butternut squash,World,2012,1.067235791
Butternut squash,World,2013,1.06802889
Cabbages and other brassicas,World,2010,0.406093741
Cabbages and other brassicas,World,2011,0.409319848
Cabbages and other brassicas,World,2012,0.4134051
Cabbages and other brassicas,World,2013,0.413361253
Cabbages,World,2010,0.406093741
Cabbages,World,2011,0.409319848
Cabbages,World,2012,0.4134051
Cabbages,World,2013,0.413361253
Cainito,World,2010,0.997220529
Cainito,World,2011,0.997907912
Cainito,World,2012,0.998244964
Cainito,World,2013,0.998138735
Calabash,World,2010,1.018429796
Calabash,World,2011,1.01818623
Calabash,World,2012,1.01829542
Calabash,World,2013,1.018562536
Canary seed,World,2010,1.054005258
Canary seed,World,2011,1.041885479
Canary seed,World,2012,1.038607272
Canary seed,World,2013,1.035273316
Candlenut,World,2010,1.073242037
Candlenut,World,2011,1.073242037
Candlenut,World,2012,1.070178751
Candlenut,World,2013,1.073242037
Canola,World,2010,1.058228711
Canola,World,2011,1.057091171
Canola,World,2012,1.05926908
Canola,World,2013,1.060900233
Capers,World,2010,1.020406197
Capers,World,2011,1.02010974
Capers,World,2012,1.021554321
Capers,World,2013,1.023037491
Carambola,World,2010,1.01494681
Carambola,World,2011,1.0150483
Carambola,World,2012,1.009153196
Carambola,World,2013,1.011999714
Carapa,World,2010,1.003378349
Carapa,World,2011,1.005241851
Carapa,World,2012,1.002231209
Carapa,World,2013,1.002472874
Cardamoms,World,2010,0.551185166
Cardamoms,World,2011,0.490332544
Cardamoms,World,2012,0.528993433
Cardamoms,World,2013,0.530682225
Carobs,World,2010,1.020406197
Carobs,World,2011,1.02010974
Carobs,World,2012,1.021554321
Carobs,World,2013,1.023037491
Carrots,World,2010,1.069524902
Carrots,World,2011,1.066942004
Carrots,World,2012,1.069322672
Carrots,World,2013,1.070247037
Cashews,World,2010,1.03039308
Cashews,World,2011,1.026466598
Cashews,World,2012,1.029833901
Cashews,World,2013,1.029108372
Cassava,World,2010,0.943964615
Cassava,World,2011,0.94767787
Cassava,World,2012,0.954326989
Cassava,World,2013,0.955812398
Castor bean,World,2010,0.994687906
Castor bean,World,2011,0.853389838
Castor bean,World,2012,0.872338924
Castor bean,World,2013,0.820350175
Celery,World,2010,1.020406197
Celery,World,2011,1.02010974
Celery,World,2012,1.021554321
Celery,World,2013,1.023037491
Cherimoya,World,2010,1.002899226
Cherimoya,World,2011,1.002952436
Cherimoya,World,2012,1.005144857
Cherimoya,World,2013,1.00436172
Cherries,World,2010,1.001690596
Cherries,World,2011,1.002179356
Cherries,World,2012,1.005705544
Cherries,World,2013,1.001771877
Chervil,World,2010,1.03097669
Chervil,World,2011,1.029112817
Chervil,World,2012,1.032023353
Chervil,World,2013,1.031440355
Chestnuts,World,2010,0.88512914
Chestnuts,World,2011,0.913696745
Chestnuts,World,2012,0.898422671
Chestnuts,World,2013,0.913290571
Chickpeas,World,2010,0.54870679
Chickpeas,World,2011,0.539483348
Chickpeas,World,2012,0.552794603
Chickpeas,World,2013,0.513720524
Chicory,World,2010,1.285531596
Chicory,World,2011,1.280898369
Chicory,World,2012,1.282610489
Chicory,World,2013,1.282403752
Chillies and peppers,World,2010,1.000123515
Chillies and peppers,World,2011,0.997647248
Chillies and peppers,World,2012,0.998555421
Chillies and peppers,World,2013,0.999507237
Chinotto,World,2010,1.061421522
Chinotto,World,2011,1.062560103
Chinotto,World,2012,1.062293239
Chinotto,World,2013,1.061300476
Chontadura,World,2010,1.0227831
Chontadura,World,2011,1.024682641
Chontadura,World,2012,1.02002803
Chontadura,World,2013,1.020400357
Chufa,World,2010,1.066231687
Chufa,World,2011,1.066192929
Chufa,World,2012,1.064599473
Chufa,World,2013,1.066550019
Cinnamon,World,2010,0.673883728
Cinnamon,World,2011,0.661547565
Cinnamon,World,2012,0.718582061
Cinnamon,World,2013,0.724294739
Citron,World,2010,1.192742834
Citron,World,2011,1.192780078
Citron,World,2012,1.192734766
Citron,World,2013,1.192734521
Cloves,World,2010,1.073242037
Cloves,World,2011,1.073242037
Cloves,World,2012,1.073242037
Cloves,World,2013,1.069670565
Cocoa,World,2010,1.010623964
Cocoa,World,2011,1.012062174
Cocoa,World,2012,1.003508216
Cocoa,World,2013,1.011013628
Coconuts,World,2010,0.553029956
Coconuts,World,2011,0.515641588
Coconuts,World,2012,0.511175371
Coconuts,World,2013,0.447411278
Coffee,World,2010,1.051787553
Coffee,World,2011,1.053947798
Coffee,World,2012,1.057228746
Coffee,World,2013,1.06356302
Common bean,World,2010,0.924199024
Common bean,World,2011,0.93773723
Common bean,World,2012,0.917693502
Common bean,World,2013,0.911657016
Coriander,World,2010,0.960467552
Coriander,World,2011,0.963363823
Coriander,World,2012,0.936272651
Coriander,World,2013,0.939871907
Cotton,World,2010,1.031995366
Cotton,World,2011,1.023142281
Cotton,World,2012,1.02462848
