crop,country,year,genus_count_mls_supply_institutions,species_count_mls_supply_institutions
Abaca,World,2019,0,0
Acerola,World,2019,0,0
Achira,World,2019,0,0
Ackee,World,2019,0,0
Adlay,World,2019,0,0
Adzuki bean,World,2019,0.8686,0.9351
Aeschynomene,World,2019,0,0
African eggplant,World,2019,0,0
Rice (African),World,2019,0.9093,0.9181
Agave,World,2019,0,0
Agropyron,World,2019,0.4974,0.4584
Agrostis,World,2019,0.565,0.6772
Ahipa,World,2019,0,0
Albardine,World,2019,0,0
Alfalfa,World,2019,0.8379,0.8039
Allspice,World,2019,0,0
Almonds,World,2019,0,0
Alopecurus,World,2019,0.5577,0.5434
Alysicarpus,World,2019,0,0
Amaranth,World,2019,0,0
Andropogon,World,2019,0.9562,0.8387
Anise,World,2019,0,0
Annato,World,2019,0,0
Apple,World,2019,0.8394,0.9063
Apricot,World,2019,0,0
Areca nuts,World,2019,0,0
Arracacha,World,2019,0,0
Arrhenatherum,World,2019,0.5211,0.518
Arrowroot,World,2019,0,0
Artichokes,World,2019,0,0
Rice (Asian),World,2019,0.9093,0.9258
Asparagus,World,2019,0.9322,0.951
Astragalus,World,2019,0.8037,0.7131
Atemoya,World,2019,0,0
Atriplex,World,2019,0.9436,0.9345
Avocado,World,2019,0,0
Azarole,World,2019,0,0
Babaco,World,2019,0,0
Badian,World,2019,0,0
Bambara bean,World,2019,0.8686,0.6807
Bamboo shoot,World,2019,0,0
Bananas,World,2019,0.8813,0.9821
Barley,World,2019,0.8938,0.9737
Basil,World,2019,0,0
Bay leaf,World,2019,0,0
Beech nut,World,2019,0,0
Beets,World,2019,0.7529,0.7297
Black gram,World,2019,0.8686,0.6982
Black nightshade,World,2019,0,0
Black salsify,World,2019,0,0
Blueberry,World,2019,0,0
Brachiaria,World,2019,0,0
Brazil nut,World,2019,0,0
Breadfruit,World,2019,0.6203,0.7491
Buckwheat,World,2019,0,0
Butter-nut,World,2019,0,0
Butternut squash,World,2019,0,0
Cabbages,World,2019,0.9082,0.8883
Cabbages and other brassicas,World,2019,0.9082,0.9129
Caesarweed,World,2019,0,0
Cainito,World,2019,0,0
Calabash,World,2019,0,0
Calopogonium,World,2019,0,0
Canary seed,World,2019,0,0
Candlenut,World,2019,0,0
Canola,World,2019,0.9082,0.8664
Capers,World,2019,0,0
Carambola,World,2019,0,0
Carapa,World,2019,0,0
Caraway,World,2019,0,0
Cardamoms,World,2019,0,0
Carneros Yucca,World,2019,0,0
Caroa,World,2019,0,0
Carobs,World,2019,0,0
Carrots,World,2019,0.8124,0.8029
Cashews,World,2019,0,0
Cassava,World,2019,0.8945,0.9079
Castor bean,World,2019,0,0
Ceara,World,2019,0,0
Celery,World,2019,0,0
Centrosema,World,2019,0,0
Ceylon-spinach,World,2019,0,0
Chayote,World,2019,0,0
Cherimoya,World,2019,0,0
Cherries,World,2019,0,0
Chervil,World,2019,0,0
Chestnuts,World,2019,0,0
Chickpeas,World,2019,0.9068,0.9074
Chicle,World,2019,0,0
Chicory,World,2019,0,0
Chillies and peppers,World,2019,0,0
Chinotto,World,2019,0.8609,1
Chontadura,World,2019,0,0
Chufa,World,2019,0,0
Cinnamon,World,2019,0,0
Citron,World,2019,0,0
Citronella,World,2019,0,0
Clovers,World,2019,0.73,0.658
Cloves,World,2019,0,0
Cocoa,World,2019,0,0
Coconuts,World,2019,0,0
Coffee,World,2019,0,0
Common bean,World,2019,0.8599,0.8577
Coriander,World,2019,0,0
Coronilla,World,2019,0.7838,0.7386
Cotton,World,2019,0,0
Cowpeas,World,2019,0.8686,0.8791
Crambe,World,2019,0.9611,0.9547
Cranberries,World,2019,0,0
Cress,World,2019,0,0
crop,World,2019,0,0
Cucumbers and gherkins,World,2019,0,0
Cumin,World,2019,0,0
Currants,World,2019,0,0
Cushaw,World,2019,0,0
Custard apple,World,2019,0,0
Dactylis,World,2019,0.8014,0.7985
Dates,World,2019,0,0
Desmodium,World,2019,0,0
Devil's cotton,World,2019,0,0
Dill,World,2019,0,0
Durian,World,2019,0,0
Eggplant,World,2019,0.8425,0.7401
Elderberry,World,2019,0,0
Esparto,World,2019,0,0
Ethiopian rape,World,2019,0.9082,0.9709
Faba beans,World,2019,0.7969,0.9207
Feijoa,World,2019,0,0
Fennel,World,2019,0,0
Fenugreek,World,2019,0,0
Festuca,World,2019,0,0
Fig leaf gourd,World,2019,0,0
Figs,World,2019,0,0
Finger millet,World,2019,0.9296,0.9383
Fique,World,2019,0,0
Flax,World,2019,0,0
Fonio,World,2019,0,0
Foxtail millet,World,2019,0,0
Galactia,World,2019,0,0
Garlic,World,2019,0,0
Giant cabuya,World,2019,0,0
Ginger,World,2019,0,0
Gooseberries,World,2019,0,0
Grapefruits,World,2019,0,0
Grapes,World,2019,0,0
Grasspea,World,2019,0.7834,0.8292
Groundnuts,World,2019,0,0
Guavas,World,2019,0,0
Guayule,World,2019,0,0
Gutta-percha,World,2019,0,0
Hazelnuts,World,2019,0,0
Hedysarum,World,2019,0.8209,0.8615
Hemp,World,2019,0,0
Hops,World,2019,0,0
Horseradish,World,2019,0,0
Huckleberry,World,2019,0,0
Indigofera,World,2019,0,0
Jack bean,World,2019,0.8681,0.9212
Jackfruit,World,2019,0,0
Japanese millet,World,2019,0,0
Jelutong,World,2019,0,0
Jerusalem artichoke,World,2019,0.8025,0.869
Jicama,World,2019,0,0
Jojoba,World,2019,0,0
Jujube,World,2019,0,0
Jute,World,2019,0,0
Kaniwa,World,2019,0,0
Kapok,World,2019,0,0
Karite nuts,World,2019,0,0
Kenaf,World,2019,0,0
Kiwi fruit,World,2019,0,0
Kiwicha,World,2019,0,0
Kodo millet,World,2019,0,0
Kola nuts,World,2019,0,0
Kumquat,World,2019,1,1
Lablab,World,2019,0,0
Lavender,World,2019,0,0
Leeks and other alliaceous vegetables,World,2019,0,0
Lemons and limes,World,2019,0,0
Lentils,World,2019,0.8345,0.8365
Lespedeza,World,2019,0.8185,0.9337
Lettuce,World,2019,0,0
Leucaena,World,2019,0,0
Licorice,World,2019,0,0
Lima bean,World,2019,0.8599,0.9138
Litchi,World,2019,0,0
Little millet,World,2019,0,0
Lolium,World,2019,0.7618,0.7714
Longan,World,2019,0,0
Loquat,World,2019,0,0
Lotus,World,2019,0.7307,0.6743
Lupins,World,2019,0.7402,0.7094
Maca,World,2019,0,0
Macadamia nut,World,2019,0,0
Macroptilium,World,2019,0,0
Mahuwa,World,2019,0,0
Maize,World,2019,0.6922,0.6853
Malabar spinach,World,2019,0,0
Mamey sapote,World,2019,0,0
Mammee,World,2019,0,0
Mandarines,World,2019,0.8664,0.8685
Mango,World,2019,0,0
Mangosteen,World,2019,0,0
Maple sugar,World,2019,0,0
Marjoram,World,2019,0,0
Mashua,World,2019,0,0
Mat bean,World,2019,0.8686,0.9261
Mate,World,2019,0,0
Mauka,World,2019,0,0
Medlar,World,2019,0,0
Melilotus,World,2019,0.6973,0.6331
Melons,World,2019,0,0
Mombin,World,2019,0,0
Mulberry,World,2019,0,0
Mung bean,World,2019,0.8686,0.8812
Myrtle,World,2019,0,0
Naranjilla,World,2019,0,0
Neonotonia,World,2019,0,0
New Zealand flax,World,2019,0,0
New Zealand spinach,World,2019,0,0
Noog,World,2019,0,0
Nutmeg,World,2019,0,0
Oats,World,2019,0.8784,0.847
Oca,World,2019,0,0
Oil palm,World,2019,0,0
Oiticica,World,2019,0,0
Okra,World,2019,0,0
Olives,World,2019,0,0
Onions,World,2019,0,0
Onobrychis,World,2019,0.7126,0.8018
Orache,World,2019,0,0
Oranges,World,2019,0.8664,0.9923
Oregano,World,2019,0,0
Ornithopus,World,2019,0.866,0.7243
Papayas,World,2019,0,0
Parsley,World,2019,0,0
Parsnip,World,2019,0,0
Passionfruit,World,2019,0,0
Pawpaw,World,2019,0,0
Peaches and nectarines,World,2019,0,0
Pearl millet,World,2019,0.9112,0.9463
Pears,World,2019,0,0
Peas,World,2019,0.9535,0.9561
Pecan,World,2019,0,0
Pepino,World,2019,0,0
Pepper,World,2019,0,0
Peppermint,World,2019,0,0
Perilla,World,2019,0,0
Persimmons,World,2019,0,0
Phalaris,World,2019,0.7623,0.7546
Phleum,World,2019,0.6596,0.6464
Physic nut,World,2019,0,0
Pigeonpeas,World,2019,0.9672,0.9732
Pili nut,World,2019,0,0
Pine nut,World,2019,0,0
Pineapples,World,2019,0,0
Pistachios,World,2019,0,0
Plantains,World,2019,0.8813,0.8487
Plums,World,2019,0,0
Poa,World,2019,0.7209,0.7144
Pomegranate,World,2019,0,0
Pongamia oil,World,2019,0,0
Poppies,World,2019,0,0
Potatoes,World,2019,0.8425,0.8824
Prickly pear,World,2019,0,0
Proso millet,World,2019,0,0
Prosopis,World,2019,0.4609,0.9808
Pueraria,World,2019,0.6182,0.6315
Pumpkin,World,2019,0,0
Purging croton,World,2019,0,0
Pyrethrum,World,2019,0,0
Quinces,World,2019,0,0
Quinoa,World,2019,0,0
Radish,World,2019,0,0
Rambutan,World,2019,0,0
Ramie,World,2019,0,0
Rapeseed and mustards,World,2019,0,0
Raspberries,World,2019,0,0
Rhubarb,World,2019,0,0
Rhynchosia,World,2019,0,0
Rice bean,World,2019,0.8686,0.9705
Roselle,World,2019,0,0
Rosemary,World,2019,0,0
"Rubber, natural",World,2019,0,0
Runner bean,World,2019,0.8599,0.8503
Rye,World,2019,0.7806,0.779
Safflower,World,2019,0,0
Saffron,World,2019,0,0
Sago palm,World,2019,0,0
Salsify,World,2019,0,0
Salsola,World,2019,0.784,1
Sapodilla,World,2019,0,0
Savory,World,2019,0,0
Service tree,World,2019,0,0
Sesame,World,2019,0,0
Sesbania,World,2019,0,0
Shala tree,World,2019,0,0
Sisal,World,2019,0,0
Slippery cabbage,World,2019,0,0
Snake gourd,World,2019,0,0
Snake plant,World,2019,0,0
Sorghum,World,2019,0.945,0.9495
Sorrel,World,2019,0,0
Soursop,World,2019,0,0
Soybeans,World,2019,0,0
Spider plant,World,2019,0,0
Spinach,World,2019,0,0
Strawberries,World,2019,0.8267,0.4226
Strawberry tree,World,2019,0,0
Stylosanthes,World,2019,0,0
Sugar apple,World,2019,0,0
Sugar beets,World,2019,0,0
Sugarcane,World,2019,0,0
Sunflowers,World,2019,0.8025,0.8372
Sunn hemp,World,2019,0,0
Sweetpotatoes,World,2019,0.7707,0.7671
Sword bean,World,2019,0,0
Tallowtree,World,2019,0,0
Tamarind,World,2019,0,0
Taro,World,2019,0.7514,0.7507
Tarragon,World,2019,0,0
Tea,World,2019,0,0
Teff,World,2019,0,0
Tepary bean,World,2019,0.8599,0.8361
Thyme,World,2019,0,0
Tobacco,World,2019,0,0
Tomatillo,World,2019,0,0
Tomatoes,World,2019,0,0
Tree tomato,World,2019,0,0
Tripsacum,World,2019,0.9981,1
Triticale,World,2019,0.8838,0
Tung nuts,World,2019,0,0
Turmeric,World,2019,0,0
Turnips,World,2019,0,0
Ulluco,World,2019,0,0
Vanilla,World,2019,0,0
Velvet bean,World,2019,0,0
Velvet leaf,World,2019,0,0
Vetch,World,2019,0.7969,0.6307
Walnuts,World,2019,0,0
Water dropwort,World,2019,0,0
Watercress,World,2019,0,0
