crop,country,year,production_global
Cowpeas,World,2013,0.035895537
Cranberries,World,2010,0.297715226
Cranberries,World,2011,0.311844956
Cranberries,World,2012,0.293155148
Cranberries,World,2013,0.279566377
Cress,World,2010,0.976963545
Cress,World,2011,0.977066089
Cress,World,2012,0.977376249
Cress,World,2013,0.977107341
Cucumbers and gherkins,World,2010,0.178825175
Cucumbers and gherkins,World,2011,0.183837349
Cucumbers and gherkins,World,2012,0.177649104
Cucumbers and gherkins,World,2013,0.172755578
Cumin,World,2010,0.422744918
Cumin,World,2011,0.381339431
Cumin,World,2012,0.367557169
Cumin,World,2013,0.361307499
Currants,World,2010,0.009591011
Currants,World,2011,0.009355851
Currants,World,2012,0.011228655
Currants,World,2013,0.010927581
Cushaw,World,2010,0.983364762
Cushaw,World,2011,0.983970279
Cushaw,World,2012,0.982870893
Cushaw,World,2013,0.983831175
Custard apple,World,2010,0.979710815
Custard apple,World,2011,0.980251105
Custard apple,World,2012,0.980229454
Custard apple,World,2013,0.980736393
Dates,World,2010,0.111495234
Dates,World,2011,0.117645096
Dates,World,2012,0.115416536
Dates,World,2013,0.11537218
Devil's cotton,World,2010,0.780146588
Devil's cotton,World,2011,0.777210217
Devil's cotton,World,2012,0.783305687
Devil's cotton,World,2013,0.797300987
Dill,World,2010,0.900710044
Dill,World,2011,0.862368334
Dill,World,2012,0.850548027
Dill,World,2013,0.834902389
Durian,World,2010,0.682423304
Durian,World,2011,0.710688822
Durian,World,2012,0.672925466
Durian,World,2013,0.704200146
Eggplant,World,2010,0.104943875
Eggplant,World,2011,0.100554224
Eggplant,World,2012,0.095599219
Eggplant,World,2013,0.097448373
Elderberry,World,2010,0.979745606
Elderberry,World,2011,0.978940291
Elderberry,World,2012,0.976819306
Elderberry,World,2013,0.974614563
Esparto,World,2010,1
Esparto,World,2011,1
Esparto,World,2012,1
Esparto,World,2013,1
Ethiopian rape,World,2010,0.990551176
Ethiopian rape,World,2011,0.992686031
Ethiopian rape,World,2012,0.992597182
Ethiopian rape,World,2013,0.991083189
Faba beans,World,2010,0.983668331
Faba beans,World,2011,0.987209433
Faba beans,World,2012,0.987348571
Faba beans,World,2013,0.988208627
Feijoa,World,2010,0.92722978
Feijoa,World,2011,0.932225172
Feijoa,World,2012,0.941712352
Feijoa,World,2013,0.940729984
Fennel,World,2010,0.67236452
Fennel,World,2011,0.708944996
Fennel,World,2012,0.707196672
Fennel,World,2013,0.738757073
Fenugreek,World,2010,0.931638133
Fenugreek,World,2011,0.915763393
Fenugreek,World,2012,0.90492702
Fenugreek,World,2013,0.895950287
Fig leaf gourd,World,2010,0.96037587
Fig leaf gourd,World,2011,0.960767256
Fig leaf gourd,World,2012,0.95708395
Fig leaf gourd,World,2013,0.957994261
Figs,World,2010,0.255139957
Figs,World,2011,0.257880839
Figs,World,2012,0.264777154
Figs,World,2013,0.259556654
Finger millet,World,2010,0.939794808
Finger millet,World,2011,0.921600403
Finger millet,World,2012,0.931166304
Finger millet,World,2013,0.900194395
Fique,World,2010,0.640763338
Fique,World,2011,0.646539225
Fique,World,2012,0.649241011
Fique,World,2013,0.65006642
Flax,World,2010,0.510641099
Flax,World,2011,0.430350505
Flax,World,2012,0.451545521
Flax,World,2013,0.469592179
Fonio,World,2010,0
Fonio,World,2011,0
Fonio,World,2012,0
Fonio,World,2013,0
Foxtail millet,World,2010,0.513689906
Foxtail millet,World,2011,0.453325745
Foxtail millet,World,2012,0.488734336
Foxtail millet,World,2013,0.483780192
Garlic,World,2010,0.991581917
Garlic,World,2011,0.989235944
Garlic,World,2012,0.988557178
Garlic,World,2013,0.987665818
Giant cabuya,World,2010,0.640763338
Giant cabuya,World,2011,0.646539225
Giant cabuya,World,2012,0.649241011
Giant cabuya,World,2013,0.65006642
Ginger,World,2010,0.675991182
Ginger,World,2011,0.64200012
Ginger,World,2012,0.626951737
Ginger,World,2013,0.649421107
Gooseberries,World,2010,5.81E-05
Gooseberries,World,2011,3.19E-05
Gooseberries,World,2012,2.78E-05
Gooseberries,World,2013,2.25E-05
Grapefruits,World,2010,0.416781429
Grapefruits,World,2011,0.38542775
Grapefruits,World,2012,0.387251375
Grapefruits,World,2013,0.361522818
Grapes,World,2010,0.575422071
Grapes,World,2011,0.580319873
Grapes,World,2012,0.543961583
Grapes,World,2013,0.553803574
Grasspea,World,2010,0.929674226
Grasspea,World,2011,0.937669026
Grasspea,World,2012,0.940203958
Grasspea,World,2013,0.948206235
Groundnuts,World,2010,0.994396971
Groundnuts,World,2011,0.99337192
Groundnuts,World,2012,0.993292802
Groundnuts,World,2013,0.992597984
Guavas,World,2010,0.905420805
Guavas,World,2011,0.897022684
Guavas,World,2012,0.90780594
Guavas,World,2013,0.905130579
Guayule,World,2010,0.016997427
Guayule,World,2011,0.014431874
Guayule,World,2012,0.011721019
Guayule,World,2013,0.010778143
Gutta-percha,World,2010,1
Gutta-percha,World,2011,1
Gutta-percha,World,2012,1
Gutta-percha,World,2013,1
Hazelnuts,World,2010,0.316559685
Hazelnuts,World,2011,0.311160525
Hazelnuts,World,2012,0.326937107
Hazelnuts,World,2013,0.32007351
Hemp,World,2010,0.988956253
Hemp,World,2011,0.989837967
Hemp,World,2012,0.992496737
Hemp,World,2013,0.990956358
Hops,World,2010,0.440285933
Hops,World,2011,0.443360611
Hops,World,2012,0.432280684
Hops,World,2013,0.511746339
Horseradish,World,2010,0.986734132
Horseradish,World,2011,0.988171454
Horseradish,World,2012,0.988054
Horseradish,World,2013,0.988007267
Huckleberry,World,2010,0.96467656
Huckleberry,World,2011,0.966422662
Huckleberry,World,2012,0.968027375
Huckleberry,World,2013,0.96743401
Jack bean,World,2010,0.992634627
Jack bean,World,2011,0.993352889
Jack bean,World,2012,0.994105409
Jack bean,World,2013,0.994429753
Jackfruit,World,2010,0.776718798
Jackfruit,World,2011,0.791408422
Jackfruit,World,2012,0.800668702
Jackfruit,World,2013,0.776917853
Japanese millet,World,2010,0.513689906
Japanese millet,World,2011,0.453325745
Japanese millet,World,2012,0.488734336
Japanese millet,World,2013,0.483780192
Jelutong,World,2010,1
Jelutong,World,2011,1
Jelutong,World,2012,1
Jelutong,World,2013,1
Jerusalem artichoke,World,2010,1
Jerusalem artichoke,World,2011,1
Jerusalem artichoke,World,2012,1
Jerusalem artichoke,World,2013,1
Jicama,World,2010,0.992634627
Jicama,World,2011,0.993352889
Jicama,World,2012,0.994105409
Jicama,World,2013,0.994429753
Jojoba,World,2010,0
Jojoba,World,2011,0
Jojoba,World,2012,0
Jojoba,World,2013,0
Jujube,World,2010,0.842276823
Jujube,World,2011,0.83970093
Jujube,World,2012,0.842573417
Jujube,World,2013,0.843558571
Jute,World,2010,0.042348407
Jute,World,2011,0.034379082
Jute,World,2012,0.032774562
Jute,World,2013,0.029906121
Kaniwa,World,2010,0.998597397
Kaniwa,World,2011,0.998301124
Kaniwa,World,2012,0.998559623
Kaniwa,World,2013,0.998709805
Kapok,World,2010,1
Kapok,World,2011,1
Kapok,World,2012,1
Kapok,World,2013,1
Karite nuts,World,2010,0
Karite nuts,World,2011,0
Karite nuts,World,2012,0
Karite nuts,World,2013,0
Kenaf,World,2010,0.68970042
Kenaf,World,2011,0.678460122
Kenaf,World,2012,0.671960784
Kenaf,World,2013,0.677304746
Kiwi fruit,World,2010,0.432899585
Kiwi fruit,World,2011,0.441452672
Kiwi fruit,World,2012,0.403041136
Kiwi fruit,World,2013,0.36749075
Kiwicha,World,2010,0.998597397
Kiwicha,World,2011,0.998301124
Kiwicha,World,2012,0.998559623
Kiwicha,World,2013,0.998709805
Kodo millet,World,2010,0.198961211
Kodo millet,World,2011,0.292741466
Kodo millet,World,2012,0.258950037
Kodo millet,World,2013,0.303969939
Kola nuts,World,2010,0
Kola nuts,World,2011,0
Kola nuts,World,2012,0
Kola nuts,World,2013,0
Kumquat,World,2010,0.408569973
Kumquat,World,2011,0.460467441
Kumquat,World,2012,0.418071566
Kumquat,World,2013,0.331549164
Lablab,World,2010,0.758886179
Lablab,World,2011,0.764309875
Lablab,World,2012,0.784319764
Lablab,World,2013,0.797656
Leeks and other alliaceous vegetables,World,2010,0.620448046
Leeks and other alliaceous vegetables,World,2011,0.604059676
Leeks and other alliaceous vegetables,World,2012,0.627003253
Leeks and other alliaceous vegetables,World,2013,0.616380024
Lemons and limes,World,2010,0.643441083
Lemons and limes,World,2011,0.699249087
Lemons and limes,World,2012,0.673019772
Lemons and limes,World,2013,0.661420878
Lentils,World,2010,0.586354264
Lentils,World,2011,0.570556851
Lentils,World,2012,0.543510951
Lentils,World,2013,0.574549619
Lettuce,World,2010,0.832963908
Lettuce,World,2011,0.836710288
Lettuce,World,2012,0.845457193
Lettuce,World,2013,0.849302042
Lima bean,World,2010,0.964444875
Lima bean,World,2011,0.972346923
Lima bean,World,2012,0.964487442
Lima bean,World,2013,0.961950809
Litchi,World,2010,0.842276823
Litchi,World,2011,0.83970093
Litchi,World,2012,0.842573417
Litchi,World,2013,0.843558571
Little millet,World,2010,0.507499632
Little millet,World,2011,0.44586844
Little millet,World,2012,0.481378578
Little millet,World,2013,0.475881
Longan,World,2010,0.776718798
Longan,World,2011,0.791408422
Longan,World,2012,0.800668702
Longan,World,2013,0.776917853
Loquat,World,2010,0.842276823
Loquat,World,2011,0.83970093
Loquat,World,2012,0.842573417
Loquat,World,2013,0.843558571
Lupins,World,2010,0.884642776
Lupins,World,2011,0.897993592
Lupins,World,2012,0.91590306
Lupins,World,2013,0.864379805
Maca,World,2010,0.961209464
Maca,World,2011,0.960364124
Maca,World,2012,0.9593191
Maca,World,2013,0.959577179
Macadamia nut,World,2010,0.96102792
Macadamia nut,World,2011,0.968570751
Macadamia nut,World,2012,0.971006654
Macadamia nut,World,2013,0.969803447
Mahuwa,World,2010,0.935425358
Mahuwa,World,2011,0.943845442
Mahuwa,World,2012,0.948393662
Mahuwa,World,2013,0.951074512
Maize,World,2010,0.967934929
Maize,World,2011,0.974253822
Maize,World,2012,0.969402897
Maize,World,2013,0.972877902
Mamey sapote,World,2010,0.979710815
Mamey sapote,World,2011,0.980251105
Mamey sapote,World,2012,0.980229454
Mamey sapote,World,2013,0.980736393
Mammee,World,2010,0.92722978
Mammee,World,2011,0.932225172
Mammee,World,2012,0.941712352
Mammee,World,2013,0.940729984
Mandarines,World,2010,0.701025106
Mandarines,World,2011,0.661489468
Mandarines,World,2012,0.645312691
Mandarines,World,2013,0.642522686
Mango,World,2010,0.491054743
Mango,World,2011,0.487308119
Mango,World,2012,0.467647507
Mango,World,2013,0.462291576
Mangosteen,World,2010,0.867831043
Mangosteen,World,2011,0.84809442
Mangosteen,World,2012,0.83647032
Mangosteen,World,2013,0.84788476
Maple sugar,World,2010,1
Maple sugar,World,2011,1
Maple sugar,World,2012,1
Maple sugar,World,2013,1
Marjoram,World,2010,0.991987446
Marjoram,World,2011,0.990809494
Marjoram,World,2012,0.991395338
Marjoram,World,2013,0.991102641
Mashua,World,2010,0.961209464
Mashua,World,2011,0.960364124
Mashua,World,2012,0.9593191
Mashua,World,2013,0.959577179
Mat bean,World,2010,0.913610737
Mat bean,World,2011,0.922083114
Mat bean,World,2012,0.932613449
Mat bean,World,2013,0.934206776
Mate,World,2010,0
Mate,World,2011,0
Mate,World,2012,0
Mate,World,2013,0
Mauka,World,2010,0.961209464
Mauka,World,2011,0.960364124
Mauka,World,2012,0.9593191
Mauka,World,2013,0.959577179
Medlar,World,2010,0.950197578
Medlar,World,2011,0.949508342
Medlar,World,2012,0.945132572
Medlar,World,2013,0.942277914
Melons,World,2010,0.227754011
Melons,World,2011,0.231949904
Melons,World,2012,0.273429318
Melons,World,2013,0.259550074
Mombin,World,2010,0.906940595
Mombin,World,2011,0.912476278
Mombin,World,2012,0.921941806
Mombin,World,2013,0.921466377
Mulberry,World,2010,0.89151993
Mulberry,World,2011,0.898412868
Mulberry,World,2012,0.899311819
Mulberry,World,2013,0.900843295
Mung bean,World,2010,0.320413965
Mung bean,World,2011,0.316224782
Mung bean,World,2012,0.318277042
Mung bean,World,2013,0.319099635
Myrtle,World,2010,0.713606816
Myrtle,World,2011,0.733106769
Myrtle,World,2012,0.73429726
Myrtle,World,2013,0.742894056
Naranjilla,World,2010,0.967927505
Naranjilla,World,2011,0.970575983
Naranjilla,World,2012,0.972335323
Naranjilla,World,2013,0.972480257
New Zealand flax,World,2010,0.987341181
New Zealand flax,World,2011,0.987304085
New Zealand flax,World,2012,0.987163904
New Zealand flax,World,2013,0.986956038
New Zealand Spinach,World,2010,0.061379655
New Zealand Spinach,World,2011,0.058456523
New Zealand Spinach,World,2012,0.052955715
New Zealand Spinach,World,2013,0.054396237
Noog,World,2010,0.92689292
Noog,World,2011,0.930827237
Noog,World,2012,0.932738251
Noog,World,2013,0.939774407
Nutmeg,World,2010,0.379820225
Nutmeg,World,2011,0.386686107
Nutmeg,World,2012,0.413813072
Nutmeg,World,2013,0.420419049
Oats,World,2010,0.57755057
Oats,World,2011,0.575196304
Oats,World,2012,0.557655193
Oats,World,2013,0.582017372
Oca,World,2010,0.961209464
Oca,World,2011,0.960364124
Oca,World,2012,0.9593191
Oca,World,2013,0.959577179
Oil palm,World,2010,0.946053421
Oil palm,World,2011,0.949894722
Oil palm,World,2012,0.950806927
Oil palm,World,2013,0.952670519
Oiticica,World,2010,0.99381377
Oiticica,World,2011,0.994748138
Oiticica,World,2012,0.994867139
Oiticica,World,2013,0.994919398
Okra,World,2010,0.354242607
Okra,World,2011,0.278175463
Okra,World,2012,0.354304517
Okra,World,2013,0.339672925
Olives,World,2010,0.031049342
Olives,World,2011,0.025611976
Olives,World,2012,0.03558287
Olives,World,2013,0.029826808
Onions,World,2010,0.908146076
Onions,World,2011,0.900665638
Onions,World,2012,0.904553421
Onions,World,2013,0.904167664
Orache,World,2010,0.026603651
Orache,World,2011,0.027379476
Orache,World,2012,0.025115194
Orache,World,2013,0.025188095
Oranges,World,2010,0.701025106
Oranges,World,2011,0.661489468
Oranges,World,2012,0.645312691
Oranges,World,2013,0.642522686
Papayas,World,2010,0.714447242
Papayas,World,2011,0.731279509
Papayas,World,2012,0.766195507
Papayas,World,2013,0.759478924
Parsley,World,2010,0.982014872
Parsley,World,2011,0.982195032
Parsley,World,2012,0.983406377
Parsley,World,2013,0.98281308
Parsnip,World,2010,0.971441764
Parsnip,World,2011,0.973096994
Parsnip,World,2012,0.974189485
Parsnip,World,2013,0.973700125
Passionfruit,World,2010,0.910622593
Passionfruit,World,2011,0.916004311
Passionfruit,World,2012,0.925449093
Passionfruit,World,2013,0.924934333
Pawpaw,World,2010,0.999982321
Pawpaw,World,2011,0.999975072
Pawpaw,World,2012,0.999970228
Pawpaw,World,2013,0.999973198
Peaches and nectarines,World,2010,0.34968044
Peaches and nectarines,World,2011,0.346656291
Peaches and nectarines,World,2012,0.331914142
Peaches and nectarines,World,2013,0.325581816
Pearl millet,World,2010,0.205151485
Pearl millet,World,2011,0.300198771
Pearl millet,World,2012,0.266305796
Pearl millet,World,2013,0.311869131
Pears,World,2010,0.170534879
Pears,World,2011,0.179765376
Pears,World,2012,0.152244908
Pears,World,2013,0.163846786
Peas,World,2010,0.913702286
Peas,World,2011,0.926110229
Peas,World,2012,0.935407859
Peas,World,2013,0.933710807
Pecan,World,2010,0.862193152
Pecan,World,2011,0.880091509
Pecan,World,2012,0.868965175
Pecan,World,2013,0.885430448
Pepper,World,2010,0.828473338
Pepper,World,2011,0.827916208
Pepper,World,2012,0.852929698
Pepper,World,2013,0.830123152
Peppermint,World,2010,0.088320111
Peppermint,World,2011,0.113340004
Peppermint,World,2012,0.067059476
Peppermint,World,2013,0.074765472
Perilla,World,2010,0.89003356
Perilla,World,2011,0.905579976
Perilla,World,2012,0.913242727
Perilla,World,2013,0.916641616
Persimmons,World,2010,0.084286806
Persimmons,World,2011,0.082010389
Persimmons,World,2012,0.083846423
Persimmons,World,2013,0.090616732
Physic nut,World,2010,0.995545334
Physic nut,World,2011,0.996932562
Physic nut,World,2012,0.997815784
Physic nut,World,2013,0.998162163
Pigeonpeas,World,2010,0.362639671
Pigeonpeas,World,2011,0.310098165
Pigeonpeas,World,2012,0.329212313
Pigeonpeas,World,2013,0.319494485
Pili nut,World,2010,0.860783413
Pili nut,World,2011,0.866763116
Pili nut,World,2012,0.871869287
Pili nut,World,2013,0.855617042
Pine nut,World,2010,0.948369234
Pine nut,World,2011,0.951047217
Pine nut,World,2012,0.949336182
Pine nut,World,2013,0.951540413
Pineapples,World,2010,0.851155378
Pineapples,World,2011,0.84938598
Pineapples,World,2012,0.848280996
Pineapples,World,2013,0.848127613
Pistachios,World,2010,0.627421802
Pistachios,World,2011,0.662855058
Pistachios,World,2012,0.667475877
Pistachios,World,2013,0.620912043
Plantains,World,2010,0.890904739
Plantains,World,2011,0.892020998
Plantains,World,2012,0.895807517
Plantains,World,2013,0.896160194
Plums,World,2010,0.273972139
Plums,World,2011,0.250433332
Plums,World,2012,0.251652238
Plums,World,2013,0.234245656
Pomegranate,World,2010,0.702478511
Pomegranate,World,2011,0.697985054
Pomegranate,World,2012,0.681193296
Pomegranate,World,2013,0.663581101
Pongamia oil,World,2010,0.889988263
Pongamia oil,World,2011,0.905542144
Pongamia oil,World,2012,0.913207897
Pongamia oil,World,2013,0.916607746
Poppies,World,2010,0.465340746
Poppies,World,2011,0.465081172
Poppies,World,2012,0.547490807
