crop,country,year,production_global
Abaca,World,2010,0.502387654
Abaca,World,2011,0.501431673
Abaca,World,2012,0.503399158
Abaca,World,2013,0.521521741
Adlay,World,2010,0.961682404
Adlay,World,2011,0.957129162
Adlay,World,2012,0.96018263
Adlay,World,2013,0.963659478
Adzuki bean,World,2010,0.405482217
Adzuki bean,World,2011,0.404369921
Adzuki bean,World,2012,0.406906136
Adzuki bean,World,2013,0.411326291
Agave,World,2010,0.792157864
Agave,World,2011,0.790535251
Agave,World,2012,0.787336997
Agave,World,2013,0.784886078
Albardine,World,2010,1
Albardine,World,2011,1
Albardine,World,2012,1
Albardine,World,2013,1
Allspice,World,2010,0.951104879
Allspice,World,2011,0.955703832
Allspice,World,2012,0.951900967
Allspice,World,2013,0.953864693
Almonds,World,2010,0.862779163
Almonds,World,2011,0.862549993
Almonds,World,2012,0.86173624
Almonds,World,2013,0.856215977
Amaranth,World,2010,0.997934386
Amaranth,World,2011,0.997586121
Amaranth,World,2012,0.997805508
Amaranth,World,2013,0.997988046
Anise,World,2010,0.742301196
Anise,World,2011,0.760850187
Anise,World,2012,0.748681305
Anise,World,2013,0.76972457
Apple,World,2010,0.223941096
Apple,World,2011,0.22500658
Apple,World,2012,0.210523151
Apple,World,2013,0.212789684
Apricot,World,2010,0.828048458
Apricot,World,2011,0.83958696
Apricot,World,2012,0.839568161
Apricot,World,2013,0.827871752
Areca nuts,World,2010,0.217239836
Areca nuts,World,2011,0.211144224
Areca nuts,World,2012,0.169481298
Areca nuts,World,2013,0.19238812
Arracacha,World,2010,0.961209464
Arracacha,World,2011,0.960364124
Arracacha,World,2012,0.9593191
Arracacha,World,2013,0.959577179
Arrhenatherum,World,2010,0.979095679
Arrhenatherum,World,2011,0.979501657
Arrhenatherum,World,2012,0.98015271
Arrhenatherum,World,2013,0.979783144
Arrowroot,World,2010,0.918144631
Arrowroot,World,2011,0.921010493
Arrowroot,World,2012,0.920060161
Arrowroot,World,2013,0.923415061
Artichokes,World,2010,0.386322301
Artichokes,World,2011,0.411243083
Artichokes,World,2012,0.379203819
Artichokes,World,2013,0.343449195
Asparagus,World,2010,0.979095679
Asparagus,World,2011,0.979501657
Asparagus,World,2012,0.98015271
Asparagus,World,2013,0.979783144
Atemoya,World,2010,0.910622593
Atemoya,World,2011,0.916004311
Atemoya,World,2012,0.925449093
Atemoya,World,2013,0.924934333
Avocado,World,2010,0.737430891
Avocado,World,2011,0.723199776
Avocado,World,2012,0.734297502
Avocado,World,2013,0.718758763
Azarole,World,2010,0.951097123
Azarole,World,2011,0.951380542
Azarole,World,2012,0.945981305
Azarole,World,2013,0.946209651
Babaco,World,2010,0.965038548
Babaco,World,2011,0.967120154
Babaco,World,2012,0.976046149
Babaco,World,2013,0.973832066
Badian,World,2010,0.903737587
Badian,World,2011,0.912657794
Badian,World,2012,0.907032723
Badian,World,2013,0.904402155
Bambara bean,World,2010,1
Bambara bean,World,2011,1
Bambara bean,World,2012,1
Bambara bean,World,2013,1
Bamboo shoot,World,2010,0.20011484
Bamboo shoot,World,2011,0.188418042
Bamboo shoot,World,2012,0.192018129
Bamboo shoot,World,2013,0.198222741
Bananas,World,2010,0.842244152
Bananas,World,2011,0.840734993
Bananas,World,2012,0.839768793
Bananas,World,2013,0.844085396
Barley,World,2010,0.771808272
Barley,World,2011,0.740754952
Barley,World,2012,0.76712111
Barley,World,2013,0.752369226
Bay leaf,World,2010,0.903543815
Bay leaf,World,2011,0.864921291
Bay leaf,World,2012,0.853319655
Bay leaf,World,2013,0.83754002
Beech nut,World,2010,0.936149867
Beech nut,World,2011,0.944496966
Beech nut,World,2012,0.951162107
Beech nut,World,2013,0.939024666
Beets,World,2010,0.963978032
Beets,World,2011,0.964002269
Beets,World,2012,0.965896633
Beets,World,2013,0.965466972
Black gram,World,2010,0.913610737
Black gram,World,2011,0.922083114
Black gram,World,2012,0.932613449
Black gram,World,2013,0.934206776
Black salsify,World,2010,0.982014872
Black salsify,World,2011,0.982195032
Black salsify,World,2012,0.983406377
Black salsify,World,2013,0.98281308
Blueberry,World,2010,0.189975623
Blueberry,World,2011,0.185252205
Blueberry,World,2012,0.183331499
Blueberry,World,2013,0.194131739
Brazil nut,World,2010,0.418945449
Brazil nut,World,2011,0.420050413
Brazil nut,World,2012,0.432284712
Brazil nut,World,2013,0.43475572
Breadfruit,World,2010,0.681400654
Breadfruit,World,2011,0.709737987
Breadfruit,World,2012,0.672021941
Breadfruit,World,2013,0.703329568
Buckwheat,World,2010,0.573550961
Buckwheat,World,2011,0.605259672
Buckwheat,World,2012,0.636133974
Buckwheat,World,2013,0.665093089
Butter-nut,World,2010,0.8460789
Butter-nut,World,2011,0.856660472
Butter-nut,World,2012,0.85722545
Butter-nut,World,2013,0.854037983
Butternut squash,World,2010,0.945538427
Butternut squash,World,2011,0.946195181
Butternut squash,World,2012,0.94097793
Butternut squash,World,2013,0.945493339
Cabbages and other brassicas,World,2010,0.311405011
Cabbages and other brassicas,World,2011,0.319016798
Cabbages and other brassicas,World,2012,0.323483276
Cabbages and other brassicas,World,2013,0.328878069
Cabbages,World,2010,0.311405011
Cabbages,World,2011,0.319016798
Cabbages,World,2012,0.323483276
Cabbages,World,2013,0.328878069
Caesarweed,World,2010,0.739412225
Caesarweed,World,2011,0.7319434
Caesarweed,World,2012,0.756471566
Caesarweed,World,2013,0.766807901
Cainito,World,2010,0.996318002
Cainito,World,2011,0.996471967
Cainito,World,2012,0.996492713
Cainito,World,2013,0.996532045
Calabash,World,2010,0.992684241
Calabash,World,2011,0.992900881
Calabash,World,2012,0.99272149
Calabash,World,2013,0.992804106
Canary seed,World,2010,0.9987364
Canary seed,World,2011,0.999252416
Canary seed,World,2012,0.999379703
Canary seed,World,2013,0.995828808
Candlenut,World,2010,0.954608202
Candlenut,World,2011,0.961734534
Candlenut,World,2012,0.964849065
Candlenut,World,2013,0.965567105
Canola,World,2010,0.934741132
Canola,World,2011,0.937690217
Canola,World,2012,0.936087225
Canola,World,2013,0.938256203
Capers,World,2010,0.982014872
Capers,World,2011,0.982195032
Capers,World,2012,0.983406377
Capers,World,2013,0.98281308
Carambola,World,2010,0.459142102
Carambola,World,2011,0.502097245
Carambola,World,2012,0.473594168
Carambola,World,2013,0.481117999
Carapa,World,2010,0.99381377
Carapa,World,2011,0.994748138
Carapa,World,2012,0.994867139
Carapa,World,2013,0.994919398
Cardamoms,World,2010,0.379820225
Cardamoms,World,2011,0.386686107
Cardamoms,World,2012,0.413813072
Cardamoms,World,2013,0.420419049
Carneros Yucca,World,2010,1
Carneros Yucca,World,2011,1
Carneros Yucca,World,2012,1
Carneros Yucca,World,2013,1
Caroa,World,2010,0.641676009
Caroa,World,2011,0.647491684
Caroa,World,2012,0.650253928
Caroa,World,2013,0.651074884
Carobs,World,2010,0.077826227
Carobs,World,2011,0.07323667
Carobs,World,2012,0.083539021
Carobs,World,2013,0.092098967
Carrots,World,2010,0.821393711
Carrots,World,2011,0.816992564
Carrots,World,2012,0.810860915
Carrots,World,2013,0.814743655
Cashews,World,2010,0.691665793
Cashews,World,2011,0.687452724
Cashews,World,2012,0.701703867
Cashews,World,2013,0.699579748
Cassava,World,2010,0.878559172
Cassava,World,2011,0.883975043
Cassava,World,2012,0.895400679
Cassava,World,2013,0.898155263
Castor bean,World,2010,0.279751593
Castor bean,World,2011,0.21011134
Castor bean,World,2012,0.159434826
Castor bean,World,2013,0.121133819
Ceara,World,2010,0.983002573
Ceara,World,2011,0.985568126
Ceara,World,2012,0.988278981
Ceara,World,2013,0.989221857
Celery,World,2010,0.982014872
Celery,World,2011,0.982195032
Celery,World,2012,0.983406377
Celery,World,2013,0.98281308
Cherimoya,World,2010,0.92722978
Cherimoya,World,2011,0.932225172
Cherimoya,World,2012,0.941712352
Cherimoya,World,2013,0.940729984
Cherries,World,2010,0.535919421
Cherries,World,2011,0.542655862
Cherries,World,2012,0.522283596
Cherries,World,2013,0.525992731
Chervil,World,2010,0.96569041
Chervil,World,2011,0.967382976
Chervil,World,2012,0.967748688
Chervil,World,2013,0.966721314
Chestnuts,World,2010,0.947158043
Chestnuts,World,2011,0.947386179
Chestnuts,World,2012,0.949472606
Chestnuts,World,2013,0.948508528
Chickpeas,World,2010,0.207480431
Chickpeas,World,2011,0.203441968
Chickpeas,World,2012,0.252981127
Chickpeas,World,2013,0.233868068
Chicle,World,2010,0.016997427
Chicle,World,2011,0.014431874
Chicle,World,2012,0.011721019
Chicle,World,2013,0.010778143
Chicory,World,2010,0.806498857
Chicory,World,2011,0.81016288
Chicory,World,2012,0.818978111
Chicory,World,2013,0.821603686
Chillies and peppers,World,2010,0.944591817
Chillies and peppers,World,2011,0.948133004
Chillies and peppers,World,2012,0.945765809
Chillies and peppers,World,2013,0.94769937
Chinotto,World,2010,0.979527216
Chinotto,World,2011,0.974920647
Chinotto,World,2012,0.980039937
Chinotto,World,2013,0.982509287
Chontadura,World,2010,0.989359104
Chontadura,World,2011,0.9916807
Chontadura,World,2012,0.992682923
Chontadura,World,2013,0.993081561
Chufa,World,2010,0.993887258
Chufa,World,2011,0.994424344
Chufa,World,2012,0.994432795
Chufa,World,2013,0.994450558
Cinnamon,World,2010,0.010724747
Cinnamon,World,2011,0.009578587
Cinnamon,World,2012,0.009732538
Cinnamon,World,2013,0.009371826
Citron,World,2010,0.956270073
Citron,World,2011,0.962429684
Citron,World,2012,0.94762004
Citron,World,2013,0.964841001
Cloves,World,2010,0.232829505
Cloves,World,2011,0.300327072
Cloves,World,2012,0.242043424
Cloves,World,2013,0.238071781
Cocoa,World,2010,0.881448673
Cocoa,World,2011,0.868990117
Cocoa,World,2012,0.880778859
Cocoa,World,2013,0.876276599
Coconuts,World,2010,0.124745334
Coconuts,World,2011,0.131544584
Coconuts,World,2012,0.122892586
Coconuts,World,2013,0.124659141
Coffee,World,2010,0.896818012
Coffee,World,2011,0.908547594
Coffee,World,2012,0.913934167
Coffee,World,2013,0.903377084
Common bean,World,2010,0.964444875
Common bean,World,2011,0.972346923
Common bean,World,2012,0.964487442
Common bean,World,2013,0.961950809
Coriander,World,2010,0.675875805
Coriander,World,2011,0.713779235
Coriander,World,2012,0.709603776
Coriander,World,2013,0.740190071
Cotton,World,2010,0.95065283
Cotton,World,2011,0.931718944
Cotton,World,2012,0.928278759
Cotton,World,2013,0.943028328
Cowpeas,World,2010,0.057804156
Cowpeas,World,2011,0.064492474
Cowpeas,World,2012,0.043576223
