crop,country,year,genus_count_gbif_research_supply,species_count_gbif_research_supply
Medlar,World,2019,7,7
Melilotus,World,2019,111,26
Melons,World,2019,1056,557
Mombin,World,2019,7,4
Mulberry,World,2019,20,15
Mung bean,World,2019,5211,454
Myrtle,World,2019,5,4
Naranjilla,World,2019,8000,56
Neonotonia,World,2019,89,86
New Zealand flax,World,2019,22,10
New Zealand spinach,World,2019,3,2
Noog,World,2019,20,3
Nutmeg,World,2019,1,1
Oats,World,2019,370,97
Oca,World,2019,366,285
Oil palm,World,2019,15,14
Oiticica,World,2019,5,0
Okra,World,2019,2446,1828
Olives,World,2019,15,12
Onions,World,2019,1708,547
Onobrychis,World,2019,258,18
Orache,World,2019,74,10
Oranges,World,2019,1177,0
Oregano,World,2019,37,17
Ornithopus,World,2019,97,15
Papayas,World,2019,55,46
Parsley,World,2019,35,35
Parsnip,World,2019,14,13
Passionfruit,World,2019,1047,157
Pawpaw,World,2019,5,5
Peaches and nectarines,World,2019,1169,91
Pearl millet,World,2019,5976,5102
Pears,World,2019,351,141
Peas,World,2019,710,507
Pecan,World,2019,24,0
Pepino,World,2019,8000,6
Pepper,World,2019,62,4
Peppermint,World,2019,41,3
Perilla,World,2019,10,10
Persimmons,World,2019,55,5
Phalaris,World,2019,56,16
Phleum,World,2019,53,29
Physic nut,World,2019,21,5
Pigeonpeas,World,2019,904,704
Pili nut,World,2019,3,1
Pine nut,World,2019,443,7
Pineapples,World,2019,144,66
Pistachios,World,2019,73,47
Plantains,World,2019,983,29
Plums,World,2019,1169,156
Poa,World,2019,114,38
Pomegranate,World,2019,73,65
Pongamia oil,World,2019,8,0
Poppies,World,2019,77,6
Potatoes,World,2019,8000,1120
Prickly pear,World,2019,61,5
Proso millet,World,2019,490,84
Prosopis,World,2019,939,4
Pueraria,World,2019,241,199
Pumpkin,World,2019,1386,391
Purging croton,World,2019,14,1
Pyrethrum,World,2019,46,1
Quinces,World,2019,4,4
Quinoa,World,2019,35,4
Radish,World,2019,273,210
Rambutan,World,2019,390,243
Ramie,World,2019,10,5
Rapeseed and mustards,World,2019,1499,310
Raspberries,World,2019,135,7
Rhubarb,World,2019,46,7
Rhynchosia,World,2019,146,77
Rice bean,World,2019,5211,61
Roselle,World,2019,483,87
Rosemary,World,2019,5,2
"Rubber, natural",World,2019,3,3
Runner bean,World,2019,5800,259
Rye,World,2019,640,627
Safflower,World,2019,30,24
Saffron,World,2019,642,6
Sago palm,World,2019,0,0
Salsify,World,2019,8,2
Salsola,World,2019,1,0
Sapodilla,World,2019,27,22
Savory,World,2019,17,7
Service tree,World,2019,356,4
Sesame,World,2019,1849,104
Sesbania,World,2019,304,119
Shala tree,World,2019,1,0
Sisal,World,2019,72,2
Slippery cabbage,World,2019,2446,176
Snake gourd,World,2019,49,12
Snake plant,World,2019,23,3
Sorghum,World,2019,9196,8630
Sorrel,World,2019,31,5
Soursop,World,2019,112,7
Soybeans,World,2019,1114,355
Spider plant,World,2019,42,42
Spinach,World,2019,52,41
Strawberries,World,2019,53,2
Strawberry tree,World,2019,19,9
Stylosanthes,World,2019,529,246
Sugar apple,World,2019,112,35
Sugar beets,World,2019,931,494
Sugarcane,World,2019,672,164
Sunflowers,World,2019,468,177
Sunn hemp,World,2019,371,4
Sweetpotatoes,World,2019,4252,3561
Sword bean,World,2019,96,7
Tallowtree,World,2019,9,5
Tamarind,World,2019,17,17
Taro,World,2019,575,572
