crop,country,year,gross_production_value_global
Abaca,World,2010,0.568685179
Abaca,World,2011,0.576673404
Abaca,World,2012,0.603683946
Abaca,World,2013,0.624365508
Adlay,World,2010,0.984376009
Adlay,World,2011,0.980701551
Adlay,World,2012,0.984349626
Adlay,World,2013,0.988974786
Adzuki bean,World,2010,0.404099829
Adzuki bean,World,2011,0.311748295
Adzuki bean,World,2012,0.372618072
Adzuki bean,World,2013,0.34528691
Agave,World,2010,0.851555517
Agave,World,2011,0.850574845
Agave,World,2012,0.852976064
Agave,World,2013,0.903373526
Albardine,World,2010,1
Albardine,World,2011,1
Albardine,World,2012,1
Albardine,World,2013,1
Allspice,World,2010,0.981635764
Allspice,World,2011,0.972870078
Allspice,World,2012,0.971019304
Allspice,World,2013,0.971038119
Almonds,World,2010,0.922149533
Almonds,World,2011,0.917832146
Almonds,World,2012,0.921523396
Almonds,World,2013,0.923680658
Amaranth,World,2010,0.994356215
Amaranth,World,2011,0.991692148
Amaranth,World,2012,0.993948022
Amaranth,World,2013,0.991395927
Anise,World,2010,0.507035567
Anise,World,2011,0.548499661
Anise,World,2012,0.564838301
Anise,World,2013,0.550807806
Apple,World,2010,0.132721644
Apple,World,2011,0.246145267
Apple,World,2012,0.167429322
Apple,World,2013,0.21230648
Apricot,World,2010,0.870301394
Apricot,World,2011,0.838273257
Apricot,World,2012,0.798228871
Apricot,World,2013,0.826324243
Areca nuts,World,2010,0.000151103
Areca nuts,World,2011,0.000135879
Areca nuts,World,2012,0.00011821
Areca nuts,World,2013,0.000157405
Arracacha,World,2010,0.95482776
Arracacha,World,2011,0.946567059
Arracacha,World,2012,0.943460334
Arracacha,World,2013,0.951231381
Arrowroot,World,2010,0.854930127
Arrowroot,World,2011,0.875986277
Arrowroot,World,2012,0.886895884
Arrowroot,World,2013,0.895031704
Artichokes,World,2010,0.329969019
Artichokes,World,2011,0.375653565
Artichokes,World,2012,0.406047621
Artichokes,World,2013,0.376596092
Asparagus,World,2010,0.916721686
Asparagus,World,2011,0.924504907
Asparagus,World,2012,0.926631883
Asparagus,World,2013,0.928830435
Atemoya,World,2010,0.944447658
Atemoya,World,2011,0.949544216
Atemoya,World,2012,0.960301263
Atemoya,World,2013,0.961827181
Avocado,World,2010,0.759254889
Avocado,World,2011,0.727423305
Avocado,World,2012,0.769242468
Avocado,World,2013,0.759639282
Azarole,World,2010,0.956124439
Azarole,World,2011,0.959687161
Azarole,World,2012,0.959292233
Azarole,World,2013,0.959035099
Babaco,World,2010,0.96610559
Babaco,World,2011,0.968909676
Babaco,World,2012,0.977731986
Babaco,World,2013,0.975700492
Badian,World,2010,0.938557869
Badian,World,2011,0.931698791
Badian,World,2012,0.915273105
Badian,World,2013,0.908115011
Bambara bean,World,2010,1
Bambara bean,World,2011,1
Bambara bean,World,2012,1
Bambara bean,World,2013,1
Bamboo shoot,World,2010,0.30299586
Bamboo shoot,World,2011,0.266323816
Bamboo shoot,World,2012,0.256232672
Bamboo shoot,World,2013,0.248562043
Bananas,World,2010,0.861992267
Bananas,World,2011,0.874199434
Bananas,World,2012,0.885890331
Bananas,World,2013,0.865292167
Barley,World,2010,0.740984981
Barley,World,2011,0.750183373
Barley,World,2012,0.767797339
Barley,World,2013,0.748269905
Bay leaf,World,2010,0.684942402
Bay leaf,World,2011,0.712658989
Bay leaf,World,2012,0.678527638
Bay leaf,World,2013,0.659811863
Beech nut,World,2010,0.87286003
Beech nut,World,2011,0.915184356
Beech nut,World,2012,0.94116474
Beech nut,World,2013,0.945341301
Beets,World,2010,0.931198917
Beets,World,2011,0.938910476
Beets,World,2012,0.943789314
Beets,World,2013,0.940260358
Black gram,World,2010,0.932954379
Black gram,World,2011,0.950953643
Black gram,World,2012,0.953583397
Black gram,World,2013,0.96346539
Black salsify,World,2010,0.965845815
Black salsify,World,2011,0.972861399
Black salsify,World,2012,0.975465813
Black salsify,World,2013,0.97378625
Blueberry,World,2010,0.054508198
Blueberry,World,2011,0.053080891
Blueberry,World,2012,0.116644233
Blueberry,World,2013,0.145673463
Brazil nut,World,2010,0.262711465
Brazil nut,World,2011,0.241737164
Brazil nut,World,2012,0.294372024
Brazil nut,World,2013,0.321643752
Breadfruit,World,2010,0.737157037
Breadfruit,World,2011,0.779757315
Breadfruit,World,2012,0.744650017
Breadfruit,World,2013,0.774511795
Buckwheat,World,2010,0.345235346
Buckwheat,World,2011,0.518489873
Buckwheat,World,2012,0.553986073
Buckwheat,World,2013,0.542731571
Butter-nut,World,2010,0.846989962
Butter-nut,World,2011,0.842699198
Butter-nut,World,2012,0.884939157
Butter-nut,World,2013,0.880722021
Butternut squash,World,2010,0.932246725
Butternut squash,World,2011,0.930148009
Butternut squash,World,2012,0.925807189
Butternut squash,World,2013,0.928857723
Cabbages and other brassicas,World,2010,0.340161292
Cabbages and other brassicas,World,2011,0.432486935
Cabbages and other brassicas,World,2012,0.372472183
Cabbages and other brassicas,World,2013,0.330405387
Cabbages,World,2010,0.340161292
Cabbages,World,2011,0.432486935
Cabbages,World,2012,0.372472183
Cabbages,World,2013,0.330405387
Caesarweed,World,2010,0.652085141
Caesarweed,World,2011,0.616907968
Caesarweed,World,2012,0.640073897
Caesarweed,World,2013,0.618206211
Cainito,World,2010,0.998007042
Cainito,World,2011,0.998348486
Cainito,World,2012,0.998255192
Cainito,World,2013,0.998391914
Calabash,World,2010,0.990892175
Calabash,World,2011,0.990611855
Calabash,World,2012,0.992018395
Calabash,World,2013,0.992204826
Canary seed,World,2010,0.998634491
Canary seed,World,2011,0.999616233
Canary seed,World,2012,0.999645621
Canary seed,World,2013,0.991223278
Candlenut,World,2010,0.99767959
Candlenut,World,2011,0.998242042
Candlenut,World,2012,0.998440852
Candlenut,World,2013,0.998517858
Canola,World,2010,0.912521012
Canola,World,2011,0.897084552
Canola,World,2012,0.90274825
Canola,World,2013,0.926975457
Capers,World,2010,0.965845815
Capers,World,2011,0.972861399
Capers,World,2012,0.975465813
Capers,World,2013,0.97378625
Carambola,World,2010,0.482368767
Carambola,World,2011,0.571332476
Carambola,World,2012,0.556213211
Carambola,World,2013,0.585523517
Carapa,World,2010,0.99331826
Carapa,World,2011,0.994447915
Carapa,World,2012,0.995802462
Carapa,World,2013,0.996344012
Cardamoms,World,2010,0.052820967
Cardamoms,World,2011,0.041228671
Cardamoms,World,2012,0.039968106
Cardamoms,World,2013,0.025538095
Carneros Yucca,World,2010,1
Carneros Yucca,World,2011,1
Carneros Yucca,World,2012,1
Carneros Yucca,World,2013,1
Caroa,World,2010,0.426041938
Caroa,World,2011,0.412749035
Caroa,World,2012,0.485979395
Caroa,World,2013,0.512201404
Carobs,World,2010,0.194613165
Carobs,World,2011,0.158540391
Carobs,World,2012,0.178818095
Carobs,World,2013,0.161131633
Carrots,World,2010,0.821845676
Carrots,World,2011,0.815362818
Carrots,World,2012,0.818429548
Carrots,World,2013,0.849492495
Cashews,World,2010,0.77800981
Cashews,World,2011,0.757084771
Cashews,World,2012,0.810356815
Cashews,World,2013,0.814757231
Cassava,World,2010,0.895927348
Cassava,World,2011,0.903138111
Cassava,World,2012,0.911056897
Cassava,World,2013,0.913874824
Castor bean,World,2010,0.224718716
Castor bean,World,2011,0.18857269
Castor bean,World,2012,0.14209034
Castor bean,World,2013,0.13218259
Ceara,World,2010,0.994886088
Ceara,World,2011,0.995884718
Ceara,World,2012,0.997336089
Ceara,World,2013,0.998018361
Celery,World,2010,0.965845815
Celery,World,2011,0.972861399
Celery,World,2012,0.975465813
Celery,World,2013,0.97378625
Cherimoya,World,2010,0.96494572
Cherimoya,World,2011,0.968467733
Cherimoya,World,2012,0.978555212
Cherimoya,World,2013,0.979681715
Cherries,World,2010,0.628515286
Cherries,World,2011,0.597862737
Cherries,World,2012,0.586119088
Cherries,World,2013,0.607797528
Chervil,World,2010,0.953315624
Chervil,World,2011,0.960223403
Chervil,World,2012,0.966281798
Chervil,World,2013,0.962095747
Chestnuts,World,2010,0.908424263
Chestnuts,World,2011,0.922596313
Chestnuts,World,2012,0.945489918
Chestnuts,World,2013,0.933860634
Chickpeas,World,2010,0.154126434
Chickpeas,World,2011,0.149642885
Chickpeas,World,2012,0.203180107
Chickpeas,World,2013,0.196282598
Chicle,World,2010,0.005113912
Chicle,World,2011,0.004115282
Chicle,World,2012,0.002663911
Chicle,World,2013,0.001981639
Chicory,World,2010,0.777927234
Chicory,World,2011,0.763686726
Chicory,World,2012,0.748742636
Chicory,World,2013,0.77938106
Chillies and peppers,World,2010,0.963280885
Chillies and peppers,World,2011,0.957552014
Chillies and peppers,World,2012,0.958711432
Chillies and peppers,World,2013,0.961092571
Chinotto,World,2010,0.986593688
Chinotto,World,2011,0.984431078
Chinotto,World,2012,0.988512821
Chinotto,World,2013,0.990921045
Chontadura,World,2010,0.99331826
Chontadura,World,2011,0.994447915
Chontadura,World,2012,0.995802462
Chontadura,World,2013,0.996344012
Chufa,World,2010,0.995225598
Chufa,World,2011,0.996265676
Chufa,World,2012,0.996477635
Chufa,World,2013,0.995535456
Cinnamon,World,2010,0.074850301
Cinnamon,World,2011,0.065780061
Cinnamon,World,2012,0.060385013
Cinnamon,World,2013,0.062377877
Citron,World,2010,0.945906689
Citron,World,2011,0.957086321
Citron,World,2012,0.945045418
Citron,World,2013,0.969386215
Cloves,World,2010,0.569591257
Cloves,World,2011,0.712213313
Cloves,World,2012,0.658010719
Cloves,World,2013,0.663189168
Cocoa,World,2010,0.89167021
Cocoa,World,2011,0.824561137
Cocoa,World,2012,0.828478169
Cocoa,World,2013,0.828261853
Coconuts,World,2010,0.225197283
Coconuts,World,2011,0.226147455
Coconuts,World,2012,0.212886262
Coconuts,World,2013,0.212377044
Coffee,World,2010,0.952173704
Coffee,World,2011,0.96837528
Coffee,World,2012,0.963059945
Coffee,World,2013,0.951673644
Common bean,World,2010,0.965296766
Common bean,World,2011,0.976964366
Common bean,World,2012,0.965063678
Common bean,World,2013,0.971292835
Coriander,World,2010,0.446802338
Coriander,World,2011,0.51548249
Coriander,World,2012,0.533061277
Coriander,World,2013,0.525368795
Cotton,World,2010,0.968725994
Cotton,World,2011,0.9592454
Cotton,World,2012,0.938301228
Cotton,World,2013,0.949933327
Cowpeas,World,2010,0.058504464
Cowpeas,World,2011,0.078162238
Cowpeas,World,2012,0.053843001
Cowpeas,World,2013,0.047862844
Cranberries,World,2010,0.019519
Cranberries,World,2011,0.021523205
Cranberries,World,2012,0.577467529
Cranberries,World,2013,0.631712312
Cress,World,2010,0.979518869
Cress,World,2011,0.982286746
Cress,World,2012,0.985567471
Cress,World,2013,0.984413762
Cucumbers and gherkins,World,2010,0.33553947
Cucumbers and gherkins,World,2011,0.262339349
Cucumbers and gherkins,World,2012,0.264593374
Cucumbers and gherkins,World,2013,0.267329273
Cumin,World,2010,0.28926787
Cumin,World,2011,0.258652897
Cumin,World,2012,0.254320334
Cumin,World,2013,0.26752395
Currants,World,2010,0.005703025
Currants,World,2011,0.004905561
Currants,World,2012,0.005510799
Currants,World,2013,0.006394647
Cushaw,World,2010,0.988858358
Cushaw,World,2011,0.989327193
Cushaw,World,2012,0.985442324
Cushaw,World,2013,0.987805254
Custard apple,World,2010,0.977508979
Custard apple,World,2011,0.979424968
Custard apple,World,2012,0.980001242
Custard apple,World,2013,0.98053738
Dates,World,2010,0.127196554
Dates,World,2011,0.172712165
Dates,World,2012,0.133661943
Dates,World,2013,0.056729234
Devil's cotton,World,2010,0.720756353
Devil's cotton,World,2011,0.69990507
Devil's cotton,World,2012,0.680092234
Devil's cotton,World,2013,0.66346386
Dill,World,2010,0.683658869
Dill,World,2011,0.711152628
Dill,World,2012,0.67684715
Dill,World,2013,0.658118289
Durian,World,2010,0.737280213
Durian,World,2011,0.779879966
Durian,World,2012,0.74476891
Durian,World,2013,0.774624067
Eggplant,World,2010,0.104335369
Eggplant,World,2011,0.113533289
Eggplant,World,2012,0.068151092
Eggplant,World,2013,0.090087414
Elderberry,World,2010,0.972466551
Elderberry,World,2011,0.97225555
Elderberry,World,2012,0.974887626
Elderberry,World,2013,0.971894049
Esparto,World,2010,1
Esparto,World,2011,1
Esparto,World,2012,1
Esparto,World,2013,1
Ethiopian rape,World,2010,0.996016922
Ethiopian rape,World,2011,0.996603302
Ethiopian rape,World,2012,0.993867884
Ethiopian rape,World,2013,0.993486936
Faba beans,World,2010,0.992068547
Faba beans,World,2011,0.990693729
Faba beans,World,2012,0.987474275
Faba beans,World,2013,0.990432884
Feijoa,World,2010,0.96494572
Feijoa,World,2011,0.968467733
Feijoa,World,2012,0.978555212
Feijoa,World,2013,0.979681715
Fennel,World,2010,0.443442854
Fennel,World,2011,0.510050077
Fennel,World,2012,0.529860164
Fennel,World,2013,0.5234245
Fenugreek,World,2010,0.836457208
Fenugreek,World,2011,0.849265745
Fenugreek,World,2012,0.831681742
Fenugreek,World,2013,0.821113494
Fig leaf gourd,World,2010,0.973455561
Fig leaf gourd,World,2011,0.974665311
Fig leaf gourd,World,2012,0.963909869
Fig leaf gourd,World,2013,0.965387751
Figs,World,2010,0.318908069
Figs,World,2011,0.3201172
Figs,World,2012,0.312656525
Figs,World,2013,0.312847981
Finger millet,World,2010,0.927010924
Finger millet,World,2011,0.911327582
Finger millet,World,2012,0.930038654
Finger millet,World,2013,0.876691458
Fique,World,2010,0.424341061
Fique,World,2011,0.41114416
Fique,World,2012,0.484115643
Fique,World,2013,0.510468584
Flax,World,2010,0.380125575
Flax,World,2011,0.432001357
Flax,World,2012,0.331564625
Flax,World,2013,0.331307998
Fonio,World,2010,0
Fonio,World,2011,0
Fonio,World,2012,0
Fonio,World,2013,0
Foxtail millet,World,2010,0.502979474
Foxtail millet,World,2011,0.435099504
Foxtail millet,World,2012,0.465715393
Foxtail millet,World,2013,0.502127906
Garlic,World,2010,0.982020017
Garlic,World,2011,0.977876499
Garlic,World,2012,0.976831425
Garlic,World,2013,0.976738705
Giant cabuya,World,2010,0.424341061
Giant cabuya,World,2011,0.41114416
Giant cabuya,World,2012,0.484115643
Giant cabuya,World,2013,0.510468584
Ginger,World,2010,0.731642657
Ginger,World,2011,0.718642973
Ginger,World,2012,0.569893476
Ginger,World,2013,0.768656789
Gooseberries,World,2010,3.47E-05
Gooseberries,World,2011,1.97E-05
Gooseberries,World,2012,1.47E-05
Gooseberries,World,2013,1.51E-05
Grapefruits,World,2010,0.293361842
Grapefruits,World,2011,0.206374933
Grapefruits,World,2012,0.208836131
Grapefruits,World,2013,0.146446856
Grapes,World,2010,0.589307305
Grapes,World,2011,0.5212236
Grapes,World,2012,0.551175214
Grapes,World,2013,0.627496347
Grasspea,World,2010,0.929319843
Grasspea,World,2011,0.940314588
Grasspea,World,2012,0.935796187
Grasspea,World,2013,0.935957022
Groundnuts,World,2010,0.996756581
Groundnuts,World,2011,0.996535046
Groundnuts,World,2012,0.997362519
Groundnuts,World,2013,0.995133578
Guavas,World,2010,0.96796415
Guavas,World,2011,0.959492607
Guavas,World,2012,0.963542065
Guavas,World,2013,0.9679969
Guayule,World,2010,0.005113912
Guayule,World,2011,0.004115282
Guayule,World,2012,0.002663911
