crop,country,year,gross_production_value_global
Guayule,World,2013,0.001981639
Gutta-percha,World,2010,1
Gutta-percha,World,2011,1
Gutta-percha,World,2012,1
Gutta-percha,World,2013,1
Hazelnuts,World,2010,0.316427886
Hazelnuts,World,2011,0.306415277
Hazelnuts,World,2012,0.321117817
Hazelnuts,World,2013,0.316544747
Hemp,World,2010,0.98365083
Hemp,World,2011,0.98491166
Hemp,World,2012,0.977414065
Hemp,World,2013,0.966582553
Hops,World,2010,0.419269086
Hops,World,2011,0.392104663
Hops,World,2012,0.514779824
Hops,World,2013,0.564384799
Horseradish,World,2010,0.98664611
Horseradish,World,2011,0.988875718
Horseradish,World,2012,0.989355016
Horseradish,World,2013,0.987917973
Huckleberry,World,2010,0.956201673
Huckleberry,World,2011,0.960093574
Huckleberry,World,2012,0.962389768
Huckleberry,World,2013,0.957684362
Jack bean,World,2010,0.997721386
Jack bean,World,2011,0.998757094
Jack bean,World,2012,0.998386605
Jack bean,World,2013,0.997708716
Jackfruit,World,2010,0.745088554
Jackfruit,World,2011,0.79145251
Jackfruit,World,2012,0.811444301
Jackfruit,World,2013,0.81089945
Japanese millet,World,2010,0.502979474
Japanese millet,World,2011,0.435099504
Japanese millet,World,2012,0.465715393
Japanese millet,World,2013,0.502127906
Jelutong,World,2010,1
Jelutong,World,2011,1
Jelutong,World,2012,1
Jelutong,World,2013,1
Jerusalem artichoke,World,2010,1
Jerusalem artichoke,World,2011,1
Jerusalem artichoke,World,2012,1
Jerusalem artichoke,World,2013,1
Jicama,World,2010,0.997721386
Jicama,World,2011,0.998757094
Jicama,World,2012,0.998386605
Jicama,World,2013,0.997708716
Jujube,World,2010,0.653376666
Jujube,World,2011,0.616402795
Jujube,World,2012,0.590063009
Jujube,World,2013,0.566951979
Jute,World,2010,0.024267868
Jute,World,2011,0.041711648
Jute,World,2012,0.032306774
Jute,World,2013,0.006913861
Kaniwa,World,2010,0.994356215
Kaniwa,World,2011,0.991692148
Kaniwa,World,2012,0.993948022
Kaniwa,World,2013,0.991395927
Kapok,World,2010,1
Kapok,World,2011,1
Kapok,World,2012,1
Kapok,World,2013,1
Karite nuts,World,2010,0
Karite nuts,World,2011,0
Karite nuts,World,2012,0
Karite nuts,World,2013,0
Kenaf,World,2010,0.428630387
Kenaf,World,2011,0.458700056
Kenaf,World,2012,0.444932352
Kenaf,World,2013,0.483999304
Kiwi fruit,World,2010,0.945065527
Kiwi fruit,World,2011,0.927447997
Kiwi fruit,World,2012,0.914121765
Kiwi fruit,World,2013,0.947511156
Kiwicha,World,2010,0.994356215
Kiwicha,World,2011,0.991692148
Kiwicha,World,2012,0.993948022
Kiwicha,World,2013,0.991395927
Kodo millet,World,2010,0.320935197
Kodo millet,World,2011,0.411446296
Kodo millet,World,2012,0.416028798
Kodo millet,World,2013,0.446215341
Kola nuts,World,2010,0
Kola nuts,World,2011,0
Kola nuts,World,2012,0
Kola nuts,World,2013,0
Kumquat,World,2010,0.317548498
Kumquat,World,2011,0.325189564
Kumquat,World,2012,0.29196964
Kumquat,World,2013,0.199108838
Lablab,World,2010,0.897140435
Lablab,World,2011,0.895824107
Lablab,World,2012,0.897511481
Lablab,World,2013,0.90175784
Leeks and other alliaceous vegetables,World,2010,0.578210617
Leeks and other alliaceous vegetables,World,2011,0.594045687
Leeks and other alliaceous vegetables,World,2012,0.596860765
Leeks and other alliaceous vegetables,World,2013,0.597848999
Lemons and limes,World,2010,0.398093066
Lemons and limes,World,2011,0.349546236
Lemons and limes,World,2012,0.370582928
Lemons and limes,World,2013,0.354128347
Lentils,World,2010,0.559850508
Lentils,World,2011,0.566713091
Lentils,World,2012,0.540331858
Lentils,World,2013,0.591253431
Lettuce,World,2010,0.794535467
Lettuce,World,2011,0.784950894
Lettuce,World,2012,0.76871283
Lettuce,World,2013,0.796091265
Lima bean,World,2010,0.965296766
Lima bean,World,2011,0.976964366
Lima bean,World,2012,0.965063678
Lima bean,World,2013,0.971292835
Litchi,World,2010,0.653376666
Litchi,World,2011,0.616402795
Litchi,World,2012,0.590063009
Litchi,World,2013,0.566951979
Little millet,World,2010,0.5028023
Little millet,World,2011,0.434808868
Little millet,World,2012,0.465557193
Little millet,World,2013,0.502011994
Longan,World,2010,0.745088554
Longan,World,2011,0.79145251
Longan,World,2012,0.811444301
Longan,World,2013,0.81089945
Loquat,World,2010,0.653376666
Loquat,World,2011,0.616402795
Loquat,World,2012,0.590063009
Loquat,World,2013,0.566951979
Lupins,World,2010,0.857540595
Lupins,World,2011,0.869389214
Lupins,World,2012,0.876173219
Lupins,World,2013,0.800077464
Maca,World,2010,0.95482776
Maca,World,2011,0.946567059
Maca,World,2012,0.943460334
Maca,World,2013,0.951231381
Macadamia nut,World,2010,0.966405677
Macadamia nut,World,2011,0.963613802
Macadamia nut,World,2012,0.955283666
Macadamia nut,World,2013,0.958648853
Mahuwa,World,2010,0.961684159
Mahuwa,World,2011,0.913482484
Mahuwa,World,2012,0.926305278
Mahuwa,World,2013,0.935279387
Maize,World,2010,0.967802989
Maize,World,2011,0.970585583
Maize,World,2012,0.97156748
Maize,World,2013,0.976991686
Mamey sapote,World,2010,0.977508979
Mamey sapote,World,2011,0.979424968
Mamey sapote,World,2012,0.980001242
Mamey sapote,World,2013,0.98053738
Mammee,World,2010,0.96494572
Mammee,World,2011,0.968467733
Mammee,World,2012,0.978555212
Mammee,World,2013,0.979681715
Mandarines,World,2010,0.682488521
Mandarines,World,2011,0.560791957
Mandarines,World,2012,0.543675742
Mandarines,World,2013,0.477759449
Mango,World,2010,0.580907922
Mango,World,2011,0.59632903
Mango,World,2012,0.582849559
Mango,World,2013,0.595442571
Mangosteen,World,2010,0.925528489
Mangosteen,World,2011,0.904925935
Mangosteen,World,2012,0.894961743
Mangosteen,World,2013,0.89699004
Maple sugar,World,2010,1
Maple sugar,World,2011,1
Maple sugar,World,2012,1
Maple sugar,World,2013,1
Marjoram,World,2010,0.988628369
Marjoram,World,2011,0.989112851
Marjoram,World,2012,0.990733936
Marjoram,World,2013,0.989864616
Mashua,World,2010,0.95482776
Mashua,World,2011,0.946567059
Mashua,World,2012,0.943460334
Mashua,World,2013,0.951231381
Mat bean,World,2010,0.932954379
Mat bean,World,2011,0.950953643
Mat bean,World,2012,0.953583397
Mat bean,World,2013,0.96346539
Mate,World,2010,0
Mate,World,2011,0
Mate,World,2012,0
Mate,World,2013,0
Mauka,World,2010,0.95482776
Mauka,World,2011,0.946567059
Mauka,World,2012,0.943460334
Mauka,World,2013,0.951231381
Medlar,World,2010,0.965613062
Medlar,World,2011,0.964398146
Medlar,World,2012,0.957824293
Medlar,World,2013,0.955710458
Melons,World,2010,0.281861382
Melons,World,2011,0.259520541
Melons,World,2012,0.284757981
Melons,World,2013,0.139547105
Mombin,World,2010,0.942454699
Mombin,World,2011,0.947892702
Mombin,World,2012,0.958556455
Mombin,World,2013,0.960219095
Mulberry,World,2010,0.886838039
Mulberry,World,2011,0.896891305
Mulberry,World,2012,0.886075001
Mulberry,World,2013,0.904192495
Mung bean,World,2010,0.373986769
Mung bean,World,2011,0.291925826
Mung bean,World,2012,0.350914269
Mung bean,World,2013,0.317712396
Myrtle,World,2010,0.655283832
Myrtle,World,2011,0.687816068
Myrtle,World,2012,0.66251061
Myrtle,World,2013,0.721202487
Naranjilla,World,2010,0.998954395
Naranjilla,World,2011,0.999399262
Naranjilla,World,2012,0.999569678
Naranjilla,World,2013,0.999588883
New Zealand flax,World,2010,0.915295769
New Zealand flax,World,2011,0.915341254
New Zealand flax,World,2012,0.90914849
New Zealand flax,World,2013,0.891587849
New Zealand Spinach,World,2010,0.125174899
New Zealand Spinach,World,2011,0.079408895
New Zealand Spinach,World,2012,0.045937913
New Zealand Spinach,World,2013,0.077057662
Noog,World,2010,0.961065706
Noog,World,2011,0.962964127
Noog,World,2012,0.953483131
Noog,World,2013,0.967350729
Nutmeg,World,2010,0.052820967
Nutmeg,World,2011,0.041228671
Nutmeg,World,2012,0.039968106
Nutmeg,World,2013,0.025538095
Oats,World,2010,0.65429424
Oats,World,2011,0.620251236
Oats,World,2012,0.599466985
Oats,World,2013,0.619977622
Oca,World,2010,0.95482776
Oca,World,2011,0.946567059
Oca,World,2012,0.943460334
Oca,World,2013,0.951231381
Oil palm,World,2010,0.95443033
Oil palm,World,2011,0.960325369
Oil palm,World,2012,0.958768093
Oil palm,World,2013,0.954193916
Oiticica,World,2010,0.99331826
Oiticica,World,2011,0.994447915
Oiticica,World,2012,0.995802462
Oiticica,World,2013,0.996344012
Okra,World,2010,0.405769707
Okra,World,2011,0.294979474
Okra,World,2012,0.381540726
Okra,World,2013,0.390256256
Olives,World,2010,0.017577588
Olives,World,2011,0.017167793
Olives,World,2012,0.023813949
Olives,World,2013,0.024912197
Onions,World,2010,0.939629303
Onions,World,2011,0.925591599
Onions,World,2012,0.949070297
Onions,World,2013,0.960700329
Orache,World,2010,0.057699351
Orache,World,2011,0.039451004
Orache,World,2012,0.023933248
Orache,World,2013,0.03998065
Oranges,World,2010,0.682488521
Oranges,World,2011,0.560791957
Oranges,World,2012,0.543675742
Oranges,World,2013,0.477759449
Papayas,World,2010,0.63220282
Papayas,World,2011,0.621887659
Papayas,World,2012,0.696062068
Papayas,World,2013,0.69241744
Parsley,World,2010,0.965845815
Parsley,World,2011,0.972861399
Parsley,World,2012,0.975465813
Parsley,World,2013,0.97378625
Parsnip,World,2010,0.95805788
Parsnip,World,2011,0.966587657
Parsnip,World,2012,0.969095169
Parsnip,World,2013,0.966496001
Passionfruit,World,2010,0.944447658
Passionfruit,World,2011,0.949544216
Passionfruit,World,2012,0.960301263
Passionfruit,World,2013,0.961827181
Pawpaw,World,2010,0.999951383
Pawpaw,World,2011,0.999935914
Pawpaw,World,2012,0.999913841
Pawpaw,World,2013,0.999924042
Peaches and nectarines,World,2010,0.463361006
Peaches and nectarines,World,2011,0.226690935
Peaches and nectarines,World,2012,0.225196444
Peaches and nectarines,World,2013,0.243218142
Pearl millet,World,2010,0.321112371
Pearl millet,World,2011,0.411736932
Pearl millet,World,2012,0.416186998
Pearl millet,World,2013,0.446331253
Pears,World,2010,0.21789156
Pears,World,2011,0.089710232
Pears,World,2012,0.115803774
Pears,World,2013,0.138468302
Peas,World,2010,0.872763814
Peas,World,2011,0.936361516
Peas,World,2012,0.938638995
Peas,World,2013,0.918474074
Pecan,World,2010,0.687285904
Pecan,World,2011,0.74434371
Pecan,World,2012,0.798949769
Pecan,World,2013,0.80986745
Pepper,World,2010,0.863041924
Pepper,World,2011,0.85377034
Pepper,World,2012,0.888202024
Pepper,World,2013,0.89605102
Peppermint,World,2010,0
Peppermint,World,2011,0
Peppermint,World,2012,0
Peppermint,World,2013,0
Perilla,World,2010,0.959363749
Perilla,World,2011,0.911724526
Perilla,World,2012,0.92474613
Perilla,World,2013,0.933797245
Persimmons,World,2010,0.087842386
Persimmons,World,2011,0.09402879
Persimmons,World,2012,0.083119262
Persimmons,World,2013,0.108520113
Physic nut,World,2010,1
Physic nut,World,2011,1
Physic nut,World,2012,1
Physic nut,World,2013,1
Pigeonpeas,World,2010,0.138240502
Pigeonpeas,World,2011,0.110656861
Pigeonpeas,World,2012,0.142575373
Pigeonpeas,World,2013,0.130909461
Pili nut,World,2010,0.940291099
Pili nut,World,2011,0.947196583
Pili nut,World,2012,0.936673967
Pili nut,World,2013,0.930025007
Pine nut,World,2010,0.971559957
Pine nut,World,2011,0.97218069
Pine nut,World,2012,0.968994762
Pine nut,World,2013,0.967930857
Pineapples,World,2010,0.771351583
Pineapples,World,2011,0.771679321
Pineapples,World,2012,0.775624064
Pineapples,World,2013,0.780374048
Pistachios,World,2010,0.597315362
Pistachios,World,2011,0.632991394
Pistachios,World,2012,0.572251535
Pistachios,World,2013,0.504696641
Plantains,World,2010,1
Plantains,World,2011,1
Plantains,World,2012,1
Plantains,World,2013,1
Plums,World,2010,0.280606091
Plums,World,2011,0.237291108
Plums,World,2012,0.237220912
Plums,World,2013,0.07666013
Pomegranate,World,2010,0.720289726
Pomegranate,World,2011,0.726262759
Pomegranate,World,2012,0.716774787
Pomegranate,World,2013,0.728096953
Pongamia oil,World,2010,0.959363749
Pongamia oil,World,2011,0.911724526
Pongamia oil,World,2012,0.92474613
Pongamia oil,World,2013,0.933797245
Poppies,World,2010,0.42692729
Poppies,World,2011,0.44465318
Poppies,World,2012,0.594393734
Poppies,World,2013,0.459523781
Potatoes,World,2010,0.981788726
Potatoes,World,2011,0.985512261
Potatoes,World,2012,0.979957336
Potatoes,World,2013,0.983270875
Prickly pear,World,2010,0.979991556
Prickly pear,World,2011,0.980721394
Prickly pear,World,2012,0.978689589
Prickly pear,World,2013,0.977227227
