crop,country,year,common_name,genus,taxon
Phleum,World,2019,293,293,230
Physic nut,World,2019,460,11900,7600
Pigeonpeas,World,2019,2810,2430,2240
Pili nut,World,2019,10,456,33
Pine nut,World,2019,217,16800,522
Pineapples,World,2019,4950,2300,1800
Pistachios,World,2019,2540,2160,635
Plantains,World,2019,1920,9020,323
Plums,World,2019,4440,8320,594
Poa,World,2019,1410,1410,11
Pomegranate,World,2019,7160,3710,3250
Pongamia oil,World,2019,241,1250,82
Poppies,World,2019,1300,899,453
Potatoes,World,2019,23700,16500,6160
Prickly pear,World,2019,461,3360,1570
Proso millet,World,2019,301,2840,425
Prosopis,World,2019,2570,2570,22
Pueraria,World,2019,1120,1120,97
Pumpkin,World,2019,4070,3510,537
Purging croton,World,2019,0,1910,63
Pyrethrum,World,2019,408,5290,14
Quinces,World,2019,1600,406,336
Quinoa,World,2019,3800,3650,1970
Radish,World,2019,2980,2000,1810
Rambutan,World,2019,926,514,443
Ramie,World,2019,1290,415,326
Rapeseed and Mustards,World,2019,7000,17500,6940
Raspberries,World,2019,7640,3320,399
Rhubarb,World,2019,1010,1020,44
Rhynchosia,World,2019,196,196,28
Rice (African),World,2019,316,15700,200
Rice (Asian),World,2019,60000,15700,15400
Rice bean,World,2019,353,11300,138
Roselle,World,2019,1150,5940,2670
Rosemary,World,2019,2960,2140,1980
"Rubber, natural",World,2019,20400,3020,2440
Runner bean,World,2019,89,9870,172
Rye,World,2019,3820,782,567
Safflower,World,2019,3220,1910,1660
Saffron,World,2019,3070,2200,1700
Sago palm,World,2019,254,466,417
Salsify,World,2019,26,181,31
Salsola,World,2019,437,437,21
Sapodilla,World,2019,117,602,268
Savory,World,2019,623,1530,543
Service tree,World,2019,392,938,86
Sesame,World,2019,6480,2790,2550
Sesbania,World,2019,1010,1010,148
Shala tree,World,2019,0,894,256
Sisal,World,2019,2250,2710,235
Slippery cabbage,World,2019,1,3180,234
Snake gourd,World,2019,85,647,124
Snake plant,World,2019,43,461,163
Sorghum,World,2019,15800,15800,4550
Sorrel,World,2019,228,1180,110
Soursop,World,2019,468,3960,1670
Soybeans,World,2019,37600,15700,9460
Spider plant,World,2019,276,45,33
Spinach,World,2019,3590,845,774
Strawberries,World,2019,11200,3400,14
Strawberry tree,World,2019,158,447,325
Stylosanthes,World,2019,534,534,30
Sugar apple,World,2019,263,3960,1050
Sugar beets,World,2019,6350,44300,2380
Sugarcane,World,2019,17100,3790,1840
Sunflowers,World,2019,14100,5370,3710
Sunn hemp,World,2019,152,1040,345
Sweetpotatoes,World,2019,2160,5370,2960
Sword bean,World,2019,45,905,64
Tallowtree,World,2019,21,112,90
Tamarind,World,2019,1220,1150,1130
Taro,World,2019,1710,1530,1300
Tarragon,World,2019,149,7470,240
Tea,World,2019,29600,6980,3540
Teff,World,2019,588,692,321
Tepary bean,World,2019,71,9870,93
Thyme,World,2019,1890,7820,1430
Tobacco,World,2019,41600,4900,2620
Tomatillo,World,2019,68,2570,29
Tomatoes,World,2019,29600,16500,4740
Tree tomato,World,2019,104,16500,366
Tripsacum,World,2019,76,76,13
Triticale,World,2019,476,476,0
Tung nuts,World,2019,6,118,92
Turmeric,World,2019,3610,6360,2990
Turnips,World,2019,998,17500,2760
Ulluco,World,2019,12,78,74
Vanilla,World,2019,1470,1470,417
Velvet bean,World,2019,148,1570,860
Velvet leaf,World,2019,21,605,167
Vetch,World,2019,1300,4470,487
Walnuts,World,2019,5910,2530,1590
Water dropwort,World,2019,71,390,129
Watercress,World,2019,314,374,268
Watermelons,World,2019,5140,2440,1330
Wax gourd,World,2019,107,365,277
West Indian Gherkin,World,2019,7,6040,83
Wheat,World,2019,41700,15000,12700
Wildrice,World,2019,13,324,41
Winged bean,World,2019,151,196,175
Yacon,World,2019,777,706,624
Yams,World,2019,4290,3880,401
"Yautia, cocoyam",World,2019,2,556,320
Year bean,World,2019,28,9870,7
Zornia,World,2019,60,60,3
Zucchini,World,2019,829,3510,1380
