crop,country,year,export_quantity_global
Abaca,World,2010,0.072237153
Abaca,World,2011,9.50E-05
Abaca,World,2012,0
Abaca,World,2013,0.597596209
Adzuki bean,World,2010,0.641243831
Adzuki bean,World,2011,0.681434335
Adzuki bean,World,2012,0.679212324
Adzuki bean,World,2013,0.708982415
Alfalfa,World,2010,0.993080479
Alfalfa,World,2011,0.983425183
Alfalfa,World,2012,0.971951372
Alfalfa,World,2013,0.948000656
Allspice,World,2010,0.815112029
Allspice,World,2011,0.808903229
Allspice,World,2012,0.796707744
Allspice,World,2013,0.791402702
Almonds,World,2010,0.984111916
Almonds,World,2011,0.982811835
Almonds,World,2012,0.981417284
Almonds,World,2013,0.977363708
Anise,World,2010,0.690205527
Anise,World,2011,0.601758304
Anise,World,2012,0.773455939
Anise,World,2013,0.728240099
Apple,World,2010,0.383954734
Apple,World,2011,0.36060008
Apple,World,2012,0.356893905
Apple,World,2013,0.380725393
Apricot,World,2010,0.933979081
Apricot,World,2011,0.90427952
Apricot,World,2012,0.92024085
Apricot,World,2013,0.87369205
Areca nuts,World,2010,0.788256107
Areca nuts,World,2011,0.845848352
Areca nuts,World,2012,0.802302532
Areca nuts,World,2013,0.893819582
Arracacha,World,2010,0.8875
Arracacha,World,2011,0.875894451
Arracacha,World,2012,0.940816574
Arracacha,World,2013,0.969072842
Arrowroot,World,2010,0.515883028
Arrowroot,World,2011,0.46878827
Arrowroot,World,2012,0.718945494
Arrowroot,World,2013,0.681992625
Artichokes,World,2010,0.242256569
Artichokes,World,2011,0.22451748
Artichokes,World,2012,0.273705521
Artichokes,World,2013,0.349042846
Asparagus,World,2010,0.863184739
Asparagus,World,2011,0.856498318
Asparagus,World,2012,0.840433313
Asparagus,World,2013,0.85780267
Atemoya,World,2010,0.999801117
Atemoya,World,2011,0.999706329
Atemoya,World,2012,0.99996705
Atemoya,World,2013,0.999896479
Avocado,World,2010,0.685162287
Avocado,World,2011,0.677543615
Avocado,World,2012,0.612420332
Avocado,World,2013,0.61895842
Azarole,World,2010,0.847367681
Azarole,World,2011,0.854254218
Azarole,World,2012,0.884023382
Azarole,World,2013,0.847142344
Babaco,World,2010,0.993375178
Babaco,World,2011,0.990194101
Babaco,World,2012,0.990445384
Babaco,World,2013,0.991650467
Badian,World,2010,0.878583516
Badian,World,2011,0.914193262
Badian,World,2012,0.930582137
Badian,World,2013,0.943726474
Bambara bean,World,2012,0.994643814
Bambara bean,World,2013,0.822199383
Bamboo shoot,World,2010,0.73013478
Bamboo shoot,World,2011,0.723258111
Bamboo shoot,World,2012,0.690831441
Bamboo shoot,World,2013,0.667416173
Bananas,World,2010,0.932554353
