crop,country,year,export_quantity_global
Bananas,World,2011,0.917976843
Bananas,World,2012,0.897915123
Bananas,World,2013,0.879040468
Barley,World,2010,0.929622881
Barley,World,2011,0.932278182
Barley,World,2012,0.911783118
Barley,World,2013,0.94273805
Bay leaf,World,2010,0.821460696
Bay leaf,World,2011,0.830211722
Bay leaf,World,2012,0.820762185
Bay leaf,World,2013,0.834572762
Beech nut,World,2010,0.877336258
Beech nut,World,2011,0.911532841
Beech nut,World,2012,0.838754082
Beech nut,World,2013,0.814846816
Beets,World,2010,0.298705739
Beets,World,2011,0.32779201
Beets,World,2012,0.318645248
Beets,World,2013,0.308913915
Black gram,World,2010,0.999660186
Black gram,World,2011,0.999772844
Black gram,World,2012,0.999556866
Black gram,World,2013,0.999147805
Black salsify,World,2010,0.848994459
Black salsify,World,2011,0.850631224
Black salsify,World,2012,0.854255154
Black salsify,World,2013,0.837670679
Blueberry,World,2010,0.281366357
Blueberry,World,2011,0.260003854
Blueberry,World,2012,0.331408065
Blueberry,World,2013,0.350400881
Brazil nut,World,2010,0.578364167
Brazil nut,World,2011,0.58252183
Brazil nut,World,2012,0.549501009
Brazil nut,World,2013,0.552321258
Breadfruit,World,2010,0.730750679
Breadfruit,World,2011,0.671115122
Breadfruit,World,2012,0.657511155
Breadfruit,World,2013,0.670247608
Buckwheat,World,2010,0.296795314
Buckwheat,World,2011,0.337579281
Buckwheat,World,2012,0.467480554
Buckwheat,World,2013,0.654116014
Butter-nut,World,2010,0.983207819
Butter-nut,World,2011,0.985376992
Butter-nut,World,2012,0.983077445
Butter-nut,World,2013,0.978615649
Butternut squash,World,2010,0.922550156
Butternut squash,World,2011,0.926111955
Butternut squash,World,2012,0.866188005
Butternut squash,World,2013,0.646448625
Cabbages and other brassicas,World,2010,0.517331797
Cabbages and other brassicas,World,2011,0.494683956
Cabbages and other brassicas,World,2012,0.480829574
Cabbages and other brassicas,World,2013,0.482814076
Cabbages,World,2010,0.517331797
Cabbages,World,2011,0.494683956
Cabbages,World,2012,0.480829574
Cabbages,World,2013,0.482814076
Cainito,World,2010,0.99956223
Cainito,World,2011,0.999537441
Cainito,World,2012,0.994120136
Cainito,World,2013,0.991803463
Calabash,World,2010,1
Calabash,World,2011,1
Calabash,World,2012,0.992139667
Calabash,World,2013,0.991085211
Canary seed,World,2010,0.98693948
Canary seed,World,2011,0.979309627
Canary seed,World,2012,0.956163278
Canary seed,World,2013,0.97527078
Candlenut,World,2010,0.680368527
Candlenut,World,2011,0.479729973
Candlenut,World,2012,0.741214258
Candlenut,World,2013,0.786590751
Canola,World,2010,0.723875812
Canola,World,2011,0.732381507
Canola,World,2012,0.751493075
Canola,World,2013,0.767510669
Capers,World,2010,0.848994459
Capers,World,2011,0.850631224
Capers,World,2012,0.854255154
Capers,World,2013,0.837670679
Carambola,World,2010,0.730551796
Carambola,World,2011,0.670912887
Carambola,World,2012,0.657373285
Carambola,World,2013,0.67014993
Carapa,World,2010,0.985265617
Carapa,World,2011,0.987646653
Carapa,World,2012,0.993602166
Carapa,World,2013,0.979898418
Cardamoms,World,2010,0.472026455
Cardamoms,World,2011,0.431457391
Cardamoms,World,2012,0.518016798
Cardamoms,World,2013,0.543556025
Carrots,World,2010,0.714309317
Carrots,World,2011,0.714588729
Carrots,World,2012,0.755417712
Carrots,World,2013,0.72339964
Cashews,World,2010,0.961173584
Cashews,World,2011,0.981418646
Cashews,World,2012,0.983169235
Cashews,World,2013,0.98813489
Cassava,World,2010,0.983367292
Cassava,World,2011,0.983888998
Cassava,World,2012,0.988190978
Cassava,World,2013,0.985662701
Castor bean,World,2010,0.194439964
Castor bean,World,2011,0.204807683
Castor bean,World,2012,0.156079507
Castor bean,World,2013,0.130235051
Celery,World,2010,0.848994459
Celery,World,2011,0.850631224
Celery,World,2012,0.854255154
Celery,World,2013,0.837670679
Cherimoya,World,2010,0.999945136
Cherimoya,World,2011,0.999983864
Cherimoya,World,2012,0.999982658
Cherimoya,World,2013,0.999978294
Cherries,World,2010,0.680046703
Cherries,World,2011,0.754054412
Cherries,World,2012,0.750520451
Cherries,World,2013,0.706855127
Chervil,World,2010,0.856638361
Chervil,World,2011,0.850323208
Chervil,World,2012,0.843654516
Chervil,World,2013,0.811625687
Chestnuts,World,2010,0.907785054
Chestnuts,World,2011,0.881452462
Chestnuts,World,2012,0.854233265
Chestnuts,World,2013,0.840207075
Chickpeas,World,2010,0.693692072
Chickpeas,World,2011,0.786645377
Chickpeas,World,2012,0.88972378
Chickpeas,World,2013,0.737020754
Chicory,World,2010,0.328520812
Chicory,World,2011,0.33730939
Chicory,World,2012,0.358655823
Chicory,World,2013,0.372016985
Chillies and peppers,World,2010,0.801953133
Chillies and peppers,World,2011,0.795641543
Chillies and peppers,World,2012,0.783442496
Chillies and peppers,World,2013,0.780160187
Chinotto,World,2010,0.709615765
Chinotto,World,2011,0.721435454
Chinotto,World,2012,0.706859758
Chinotto,World,2013,0.746408895
Chontadura,World,2010,0.911472308
Chontadura,World,2011,0.940046751
Chontadura,World,2012,0.976473467
Chontadura,World,2013,0.953853718
Chufa,World,2010,0.958358818
Chufa,World,2011,0.960959938
Chufa,World,2012,0.98355926
Chufa,World,2013,0.974125717
Cinnamon,World,2010,0.093536313
Cinnamon,World,2011,0.08518497
Cinnamon,World,2012,0.096906428
Cinnamon,World,2013,0.081828742
Citron,World,2010,0.993209312
Citron,World,2011,0.994561759
Citron,World,2012,0.995489777
Citron,World,2013,0.993803252
Citronella,World,2010,1
Citronella,World,2011,1
Citronella,World,2012,1
Citronella,World,2013,1
Cloves,World,2010,0.725327561
Cloves,World,2011,0.762385156
Cloves,World,2012,0.692461338
Cloves,World,2013,0.781382854
Cocoa,World,2010,0.949990967
Cocoa,World,2011,0.948887212
Cocoa,World,2012,0.951034693
Cocoa,World,2013,0.949221381
Coconuts,World,2010,0.105981261
Coconuts,World,2011,0.125346547
Coconuts,World,2012,0.125347486
Coconuts,World,2013,0.113205743
Coffee,World,2010,0.925488345
Coffee,World,2011,0.941442927
Coffee,World,2012,0.932543679
Coffee,World,2013,0.928968233
Common bean,World,2010,0.957923607
Common bean,World,2011,0.960315452
Common bean,World,2012,0.966107681
Common bean,World,2013,0.95671316
Coriander,World,2010,0.577414018
Coriander,World,2011,0.495864409
Coriander,World,2012,0.668659573
Coriander,World,2013,0.665482425
Cotton,World,2010,0.899111855
Cotton,World,2011,0.885465757
Cotton,World,2012,0.856589645
Cotton,World,2013,0.897351001
Cranberries,World,2010,0.709023509
Cranberries,World,2011,0.76741573
Cranberries,World,2012,0.681960239
Cranberries,World,2013,0.70570516
Cress,World,2010,0.822714871
Cress,World,2011,0.830856904
Cress,World,2012,0.886755953
Cress,World,2013,0.873626614
Cucumbers and gherkins,World,2010,0.948062761
Cucumbers and gherkins,World,2011,0.942931428
Cucumbers and gherkins,World,2012,0.927716866
Cucumbers and gherkins,World,2013,0.928212016
Cumin,World,2010,0.544688186
Cumin,World,2011,0.550079677
Cumin,World,2012,0.456896311
Cumin,World,2013,0.4096073
Currants,World,2010,0.020537313
Currants,World,2011,0.005136358
Currants,World,2012,0.014013675
Currants,World,2013,0.022560185
Cushaw,World,2010,0.92829984
Cushaw,World,2011,0.928066152
Cushaw,World,2012,0.937718949
Cushaw,World,2013,0.697757446
Custard apple,World,2010,0.999418211
Custard apple,World,2011,0.999259905
Custard apple,World,2012,0.994104528
Custard apple,World,2013,0.991721648
Dates,World,2010,0.083390568
Dates,World,2011,0.079709428
Dates,World,2012,0.076438199
Dates,World,2013,0.068247449
Dill,World,2010,0.705474587
Dill,World,2011,0.721111365
Dill,World,2012,0.711850049
Dill,World,2013,0.725269393
Durian,World,2010,0.730751822
Durian,World,2011,0.671115122
Durian,World,2012,0.657511155
Durian,World,2013,0.670247608
Eggplant,World,2010,0.921700511
Eggplant,World,2011,0.906624326
Eggplant,World,2012,0.948352731
Eggplant,World,2013,0.958797449
Elderberry,World,2010,0.839137517
Elderberry,World,2011,0.854997787
Elderberry,World,2012,0.89258733
Elderberry,World,2013,0.880284687
Ethiopian rape,World,2010,0.999371834
Ethiopian rape,World,2011,0.99927673
Ethiopian rape,World,2012,0.999436686
Ethiopian rape,World,2013,0.999274675
Faba beans,World,2010,0.993311446
Faba beans,World,2011,0.996131667
Faba beans,World,2012,0.998191947
Faba beans,World,2013,0.996534906
Feijoa,World,2010,0.999945136
Feijoa,World,2011,0.999983864
Feijoa,World,2012,0.999982658
Feijoa,World,2013,0.999978294
Fennel,World,2010,0.553379216
Fennel,World,2011,0.472584771
Fennel,World,2012,0.643313488
Fennel,World,2013,0.644042248
Fenugreek,World,2010,0.869714384
Fenugreek,World,2011,0.878389609
Fenugreek,World,2012,0.865820411
Fenugreek,World,2013,0.849765911
Fig leaf gourd,World,2010,0.920456876
Fig leaf gourd,World,2011,0.926111955
Fig leaf gourd,World,2012,0.931237529
Fig leaf gourd,World,2013,0.690856286
Figs,World,2010,0.371906698
Figs,World,2011,0.383303134
Figs,World,2012,0.398571801
Figs,World,2013,0.379271782
Finger millet,World,2010,0.993847188
Finger millet,World,2011,0.994534616
Finger millet,World,2012,0.994668329
Finger millet,World,2013,0.996233755
Flax,World,2010,0.322605399
Flax,World,2011,0.213914123
Flax,World,2012,0.190096276
Flax,World,2013,0.219329027
Fonio,World,2012,1
Fonio,World,2013,1
Foxtail millet,World,2010,0.564051333
Foxtail millet,World,2011,0.656946708
Foxtail millet,World,2012,0.715971248
Foxtail millet,World,2013,0.692310724
Garlic,World,2010,0.999359131
Garlic,World,2011,0.999607021
Garlic,World,2012,0.999036947
Garlic,World,2013,0.99934194
Ginger,World,2010,0.932157156
Ginger,World,2011,0.949882538
Ginger,World,2012,0.921605388
Ginger,World,2013,0.937516862
Gooseberries,World,2010,0
Gooseberries,World,2011,0
Gooseberries,World,2012,0.007889546
Gooseberries,World,2013,0.011415525
Grapefruits,World,2010,0.882433325
Grapefruits,World,2011,0.87899191
Grapefruits,World,2012,0.85747261
Grapefruits,World,2013,0.82149458
Grapes,World,2010,0.895410616
Grapes,World,2011,0.897847348
Grapes,World,2012,0.89971503
Grapes,World,2013,0.896663233
Groundnuts,World,2010,0.960520499
Groundnuts,World,2011,0.963066307
Groundnuts,World,2012,0.951513263
Groundnuts,World,2013,0.939957485
Guavas,World,2010,0.625238568
Guavas,World,2011,0.618303908
Guavas,World,2012,0.622744324
Guavas,World,2013,0.629945202
Hazelnuts,World,2010,0.299295199
Hazelnuts,World,2011,0.283389916
Hazelnuts,World,2012,0.294806728
Hazelnuts,World,2013,0.28048529
Hops,World,2010,0.220072984
Hops,World,2011,0.206506747
Hops,World,2012,0.201669091
Hops,World,2013,0.215215707
Horseradish,World,2010,0.877587622
Horseradish,World,2011,0.872578575
Horseradish,World,2012,0.918346
Horseradish,World,2013,0.921666978
Jackfruit,World,2010,0.999799974
Jackfruit,World,2011,0.999797765
Jackfruit,World,2012,0.99986213
Jackfruit,World,2013,0.999902323
Japanese millet,World,2010,0.564051333
Japanese millet,World,2011,0.656946708
Japanese millet,World,2012,0.715971248
Japanese millet,World,2013,0.692310724
Jerusalem artichoke,World,2010,0.999910805
Jerusalem artichoke,World,2011,0.999472803
Jerusalem artichoke,World,2012,0.990753854
Jerusalem artichoke,World,2013,0.993783604
Jujube,World,2010,0.751077962
Jujube,World,2011,0.740585873
Jujube,World,2012,0.742724846
Jujube,World,2013,0.776873187
Jute,World,2010,0.111084254
Jute,World,2011,0.053192256
Jute,World,2012,0.065564748
Jute,World,2013,0.117254202
Kiwi fruit,World,2010,0.989979547
Kiwi fruit,World,2011,0.98405197
Kiwi fruit,World,2012,0.987700701
Kiwi fruit,World,2013,0.992458746
Kodo millet,World,2010,0.54396833
Kodo millet,World,2011,0.709803167
Kodo millet,World,2012,0.775555966
Kodo millet,World,2013,0.754785918
Kola nuts,World,2010,0.000853515
Kola nuts,World,2011,0
Kola nuts,World,2012,0.013553384
Kola nuts,World,2013,0.010728175
Kumquat,World,2010,0.856726942
Kumquat,World,2011,0.852338461
Kumquat,World,2012,0.826639846
Kumquat,World,2013,0.79128376
Leeks and other alliaceous vegetables,World,2010,0.789811506
Leeks and other alliaceous vegetables,World,2011,0.811679245
Leeks and other alliaceous vegetables,World,2012,0.806392562
Leeks and other alliaceous vegetables,World,2013,0.743145769
Lemons and limes,World,2010,0.980546386
Lemons and limes,World,2011,0.985602173
Lemons and limes,World,2012,0.982650819
Lemons and limes,World,2013,0.982006907
Lentils,World,2010,0.744961577
Lentils,World,2011,0.784910547
Lentils,World,2012,0.793804484
Lentils,World,2013,0.846007401
Lettuce,World,2010,0.329694651
Lettuce,World,2011,0.338541515
Lettuce,World,2012,0.359793864
Lettuce,World,2013,0.373644995
Lima bean,World,2010,0.957923607
Lima bean,World,2011,0.960315452
Lima bean,World,2012,0.966107681
Lima bean,World,2013,0.95671316
Litchi,World,2010,0.751077962
Litchi,World,2011,0.740585873
Litchi,World,2012,0.742724846
Litchi,World,2013,0.776873187
Little millet,World,2010,0.476628184
Little millet,World,2011,0.646482548
Little millet,World,2012,0.714252926
Little millet,World,2013,0.689338261
Longan,World,2010,0.999799974
Longan,World,2011,0.999797765
Longan,World,2012,0.99986213
Longan,World,2013,0.999902323
Loquat,World,2010,0.751077962
Loquat,World,2011,0.740585873
Loquat,World,2012,0.742724846
Loquat,World,2013,0.776873187
Maca,World,2010,0.8875
Maca,World,2011,0.875894451
Maca,World,2012,0.940816574
Maca,World,2013,0.969072842
Macadamia nut,World,2010,0.948376369
Macadamia nut,World,2011,0.98495699
Macadamia nut,World,2012,0.977853387
Macadamia nut,World,2013,0.957004994
Mahuwa,World,2010,0.957808177
Mahuwa,World,2011,0.938321997
Mahuwa,World,2012,0.958208362
Mahuwa,World,2013,0.963921217
Maize,World,2010,0.993193548
Maize,World,2011,0.996700711
Maize,World,2012,0.991616954
Maize,World,2013,0.993309087
Mamey sapote,World,2010,0.999418211
Mamey sapote,World,2011,0.999259905
Mamey sapote,World,2012,0.994104528
Mamey sapote,World,2013,0.991721648
Mammee,World,2010,0.999945136
Mammee,World,2011,0.999983864
Mammee,World,2012,0.999982658
Mammee,World,2013,0.999978294
Mandarines,World,2010,0.889588908
Mandarines,World,2011,0.89586871
Mandarines,World,2012,0.879937991
Mandarines,World,2013,0.895462538
Mango,World,2010,0.711338071
Mango,World,2011,0.743973128
Mango,World,2012,0.734170324
Mango,World,2013,0.705214745
Mangosteen,World,2010,0.884352274
Mangosteen,World,2011,0.883819852
Mangosteen,World,2012,0.863371342
Mangosteen,World,2013,0.84695468
Maple sugar,World,2012,1
Maple sugar,World,2013,1
Marjoram,World,2010,0.959503993
Marjoram,World,2011,0.957692707
Marjoram,World,2012,0.96946358
Marjoram,World,2013,0.967126328
Mashua,World,2010,0.8875
Mashua,World,2011,0.875894451
Mashua,World,2012,0.940816574
Mashua,World,2013,0.969072842
Mat bean,World,2010,0.999660186
Mat bean,World,2011,0.999772844
Mat bean,World,2012,0.999556866
Mat bean,World,2013,0.999147805
Mate,World,2010,0.730845644
Mate,World,2011,0.731135564
Mate,World,2012,0.754940863
Mate,World,2013,0.74844573
Mauka,World,2010,0.8875
Mauka,World,2011,0.875894451
Mauka,World,2012,0.940816574
Mauka,World,2013,0.969072842
Medlar,World,2010,0.897896439
Medlar,World,2011,0.90583751
Medlar,World,2012,0.905781675
Medlar,World,2013,0.869821051
Melons,World,2010,0.866663958
Melons,World,2011,0.89017704
Melons,World,2012,0.890467721
Melons,World,2013,0.898569949
Mombin,World,2010,0.999363347
Mombin,World,2011,0.99924377
Mombin,World,2012,0.994087186
Mombin,World,2013,0.991699942
Mung bean,World,2010,0.445317998
Mung bean,World,2011,0.403680334
Mung bean,World,2012,0.443975076
Mung bean,World,2013,0.449259208
Naranjilla,World,2010,0.999998857
Naranjilla,World,2011,0.99999247
Naranjilla,World,2012,0.999996532
Naranjilla,World,2013,0.999997495
New Zealand Spinach,World,2010,0.874556302
New Zealand Spinach,World,2011,0.912025947
New Zealand Spinach,World,2012,0.903441727
New Zealand Spinach,World,2013,0.933861944
Noog,World,2010,0.894349866
Noog,World,2011,0.957487016
Noog,World,2012,0.926262016
Noog,World,2013,0.951130386
Nutmeg,World,2010,0.472026455
Nutmeg,World,2011,0.431457391
Nutmeg,World,2012,0.518016798
Nutmeg,World,2013,0.543556025
Oats,World,2010,0.696279852
Oats,World,2011,0.715197961
Oats,World,2012,0.673290623
Oats,World,2013,0.646082171
Oca,World,2010,0.8875
Oca,World,2011,0.875894451
Oca,World,2012,0.940816574
Oca,World,2013,0.969072842
Oil palm,World,2010,0.986344942
Oil palm,World,2011,0.987168351
Oil palm,World,2012,0.987628003
Oil palm,World,2013,0.987201003
Oiticica,World,2010,0.985265617
Oiticica,World,2011,0.987646653
Oiticica,World,2012,0.993600636
Oiticica,World,2013,0.979897225
Olives,World,2010,0.078180371
Olives,World,2011,0.07489292
Olives,World,2012,0.080812
Olives,World,2013,0.079233441
Onions,World,2010,0.894243097
Onions,World,2011,0.905216667
Onions,World,2012,0.931723224
Onions,World,2013,0.923376446
Orache,World,2010,0.654698618
Orache,World,2011,0.683780736
Orache,World,2012,0.593940367
Orache,World,2013,0.642576605
Oranges,World,2010,0.889588908
Oranges,World,2011,0.89586871
Oranges,World,2012,0.879937991
Oranges,World,2013,0.895462538
Papayas,World,2010,0.280600529
Papayas,World,2011,0.33112132
Papayas,World,2012,0.344513583
Papayas,World,2013,0.311883347
Parsley,World,2010,0.848994459
Parsley,World,2011,0.850631224
Parsley,World,2012,0.854255154
Parsley,World,2013,0.837670679
Parsnip,World,2010,0.730788861
Parsnip,World,2011,0.729800258
Parsnip,World,2012,0.779058994
Parsnip,World,2013,0.766571911
Passionfruit,World,2010,0.999801117
Passionfruit,World,2011,0.999706329
Passionfruit,World,2012,0.99996705
Passionfruit,World,2013,0.999896479
Pawpaw,World,2010,0.980483807
Pawpaw,World,2011,0.981832569
Pawpaw,World,2012,0.985148918
Pawpaw,World,2013,0.986836386
Peaches and nectarines,World,2010,0.97109042
Peaches and nectarines,World,2011,0.959532819
Peaches and nectarines,World,2012,0.95750612
Peaches and nectarines,World,2013,0.965456746
Pearl millet,World,2010,0.631391478
Pearl millet,World,2011,0.720267327
Pearl millet,World,2012,0.777274288
Pearl millet,World,2013,0.75775838
Pears,World,2010,0.689481266
Pears,World,2011,0.726230145
Pears,World,2012,0.709950098
Pears,World,2013,0.719479172
Peas,World,2010,0.926149047
Peas,World,2011,0.91817517
Peas,World,2012,0.910838165
Peas,World,2013,0.914930215
Pecan,World,2010,0.782971291
Pecan,World,2011,0.7540299
Pecan,World,2012,0.807193921
Pecan,World,2013,0.815846426
Pepper,World,2010,0.891880544
Pepper,World,2011,0.875394395
Pepper,World,2012,0.888857467
Pepper,World,2013,0.846964504
Perilla,World,2010,0.638176704
Perilla,World,2011,0.41805197
Perilla,World,2012,0.69942262
Perilla,World,2013,0.750511967
Persimmons,World,2010,0.697576396
Persimmons,World,2011,0.681174089
Persimmons,World,2012,0.895774381
Persimmons,World,2013,0.884279422
Physic nut,World,2010,0.926206692
Physic nut,World,2011,0.952400099
Physic nut,World,2012,0.982871302
Physic nut,World,2013,0.9739553
Pili nut,World,2010,0.807793815
Pili nut,World,2011,0.858722235
Pili nut,World,2012,0.824210541
Pili nut,World,2013,0.915287171
Pine nut,World,2010,0.977961672
Pine nut,World,2011,0.986892192
Pine nut,World,2012,0.988712179
Pine nut,World,2013,0.98910103
Pineapples,World,2010,0.977524252
Pineapples,World,2011,0.98019768
Pineapples,World,2012,0.986368317
Pineapples,World,2013,0.988489418
Pistachios,World,2010,0.645415392
Pistachios,World,2011,0.688713651
Pistachios,World,2012,0.759806467
Pistachios,World,2013,0.834686041
Plantains,World,2010,1
Plantains,World,2011,1
Plantains,World,2012,0.998032373
Plantains,World,2013,0.995206329
Plums,World,2010,0.842518799
Plums,World,2011,0.828572356
Plums,World,2012,0.818740338
Plums,World,2013,0.806149348
Pomegranate,World,2010,0.910441694
Pomegranate,World,2011,0.920518393
Pomegranate,World,2012,0.916038097
Pomegranate,World,2013,0.89815974
Pongamia oil,World,2010,0.638149495
Pongamia oil,World,2011,0.418036719
Pongamia oil,World,2012,0.699398148
Pongamia oil,World,2013,0.750473779
Poppies,World,2010,0.652525757
Poppies,World,2011,0.581761472
Poppies,World,2012,0.617703427
Poppies,World,2013,0.608123287
Potatoes,World,2010,0.999610278
Potatoes,World,2011,0.998961133
Potatoes,World,2012,0.999542168
Potatoes,World,2013,0.999890917
Prickly pear,World,2010,0.988108473
Prickly pear,World,2011,0.991539435
Prickly pear,World,2012,0.988173532
Prickly pear,World,2013,0.987763098
Proso millet,World,2010,0.436287119
Proso millet,World,2011,0.458518948
Proso millet,World,2012,0.432350749
Proso millet,World,2013,0.440284748
Pumpkin,World,2010,0.994250316
Pumpkin,World,2011,0.998045803
Pumpkin,World,2012,0.9966395
Pumpkin,World,2013,0.996426795
Purging croton,World,2010,0.465137695
Purging croton,World,2011,0.286056939
Purging croton,World,2012,0.546789229
Purging croton,World,2013,0.616788234
Pyrethrum,World,2010,1
Pyrethrum,World,2011,1
Pyrethrum,World,2012,1
Pyrethrum,World,2013,1
Quinces,World,2010,0.758190804
Quinces,World,2011,0.725167081
Quinces,World,2012,0.740765019
Quinces,World,2013,0.778985046
Radish,World,2010,0.848994459
Radish,World,2011,0.850631224
Radish,World,2012,0.854255154
Radish,World,2013,0.837670679
Rambutan,World,2010,0.730751822
Rambutan,World,2011,0.671115122
Rambutan,World,2012,0.657511155
Rambutan,World,2013,0.670247608
Rapeseed and Mustards,World,2010,0.907786526
Rapeseed and Mustards,World,2011,0.898189564
Rapeseed and Mustards,World,2012,0.92875867
Rapeseed and Mustards,World,2013,0.933904503
Rhubarb,World,2010,0.759760204
Rhubarb,World,2011,0.74661483
Rhubarb,World,2012,0.711575303
Rhubarb,World,2013,0.691105534
Rice (African),World,2010,0.980975843
Rice (African),World,2011,0.996243463
Rice (African),World,2012,0.995461277
Rice (African),World,2013,0.993400479
Rice (Asian),World,2010,0.421763695
Rice (Asian),World,2011,0.352371457
Rice (Asian),World,2012,0.346232236
Rice (Asian),World,2013,0.366696524
Rice bean,World,2010,0.803734354
Rice bean,World,2011,0.722018842
Rice bean,World,2012,0.764319617
Rice bean,World,2013,0.739424598
"Rubber, natural",World,2010,0.998800468
"Rubber, natural",World,2011,0.998870824
"Rubber, natural",World,2012,0.998723622
"Rubber, natural",World,2013,0.999492433
Runner bean,World,2010,0.975029125
Runner bean,World,2011,0.974892297
Runner bean,World,2012,0.97778917
Runner bean,World,2013,0.96947045
Rye,World,2010,0.999999294
Rye,World,2011,0.999999081
Rye,World,2012,0.998543797
Rye,World,2013,0.999999474
Safflower,World,2010,0.986663804
Safflower,World,2011,0.991239771
Safflower,World,2012,0.983779071
Safflower,World,2013,0.992697973
Saffron,World,2010,0.856688241
Saffron,World,2011,0.860569836
Saffron,World,2012,0.851471176
Saffron,World,2013,0.867216468
Sago palm,World,2010,0.947859327
Sago palm,World,2011,0.943513001
Sago palm,World,2012,0.96871687
Sago palm,World,2013,0.970621077
Salsify,World,2010,0.885283687
Salsify,World,2011,0.886348058
Salsify,World,2012,0.878333733
Salsify,World,2013,0.863310095
Sapodilla,World,2010,0.999418211
Sapodilla,World,2011,0.999259905
Sapodilla,World,2012,0.994104528
Sapodilla,World,2013,0.991721648
Savory,World,2010,0.848994459
Savory,World,2011,0.850631224
Savory,World,2012,0.854255154
Savory,World,2013,0.837670679
Service tree,World,2010,0.858653709
Service tree,World,2011,0.873165219
Service tree,World,2012,0.907438412
Service tree,World,2013,0.893448301
Sesame,World,2010,0.461385501
Sesame,World,2011,0.435884899
Sesame,World,2012,0.427673562
Sesame,World,2013,0.484439411
Shala tree,World,2010,0.957808177
Shala tree,World,2011,0.938321997
Shala tree,World,2012,0.958208362
Shala tree,World,2013,0.963921217
Sorghum,World,2010,0.98502305
Sorghum,World,2011,0.990443835
Sorghum,World,2012,0.992873632
Sorghum,World,2013,0.97657282
Sorrel,World,2010,0.728970321
Sorrel,World,2011,0.720660331
Sorrel,World,2012,0.729385091
Sorrel,World,2013,0.704902083
Soursop,World,2010,0.999418211
Soursop,World,2011,0.999259905
Soursop,World,2012,0.994104528
Soursop,World,2013,0.991721648
Soybeans,World,2010,0.983390714
Soybeans,World,2011,0.989142678
Soybeans,World,2012,0.978086178
Soybeans,World,2013,0.981746824
Spinach,World,2010,0.984043528
Spinach,World,2011,0.984030162
Spinach,World,2012,0.965014343
Spinach,World,2013,0.967931379
Strawberries,World,2010,0.842634495
Strawberries,World,2011,0.831586136
Strawberries,World,2012,0.835653263
Strawberries,World,2013,0.828727389
Strawberry tree,World,2010,0.837696721
Strawberry tree,World,2011,0.856179602
Strawberry tree,World,2012,0.88955279
Strawberry tree,World,2013,0.871064161
Sugar apple,World,2010,0.999418211
Sugar apple,World,2011,0.999259905
Sugar apple,World,2012,0.994104528
Sugar apple,World,2013,0.991721648
Sugar beets,World,2010,0.02354188
Sugar beets,World,2011,0.164185402
Sugar beets,World,2012,0.297912282
