crop,country,year,clp_export_quantity,clp_export_value,clp_import_quantity,clp_import_value
Abaca,World,2019,0.00594804,0.005388882,0.006194396,0.005842497
Adlay,World,2019,NA,NA,NA,NA
Adzuki bean,World,2019,0.029245108,0.030113823,0.080580993,0.075082737
Agave,World,2019,NA,NA,NA,NA
Albardine,World,2019,NA,NA,NA,NA
Alfalfa,World,2019,0.020105018,0.021262756,0.043561268,0.044503891
Allspice,World,2019,0.03334307,0.033134266,0.052012996,0.04677444
Almonds,World,2019,0.010633638,0.011036953,0.054921515,0.055354023
Amaranth,World,2019,NA,NA,NA,NA
Anise,World,2019,0.028924637,0.030034714,0.074104884,0.079511786
Apple,World,2019,0.038048453,0.032602561,0.091107494,0.086343177
Apricot,World,2019,0.028742699,0.023289513,0.045911855,0.048750234
Areca nuts,World,2019,0.031660875,0.027617116,0.036877629,0.037408079
Arracacha,World,2019,0.0333979,0.039511249,0.038189391,0.036365597
Arrhenatherum,World,2019,NA,NA,NA,NA
Arrowroot,World,2019,0.0333979,0.039511249,0.038189391,0.036365597
Artichokes,World,2019,0.012361124,0.011829207,0.018359111,0.019374769
Asparagus,World,2019,0.012774262,0.015081148,0.019148783,0.021890459
Atemoya,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Avocado,World,2019,0.016163293,0.014896031,0.025471754,0.023846196
Azarole,World,2019,0.029292428,0.039659603,0.028903626,0.036757099
Babaco,World,2019,0.029292428,0.039659603,0.028903626,0.036757099
Badian,World,2019,0.028924637,0.030034714,0.074104884,0.079511786
Bambara bean,World,2019,0.014968698,0.015005377,0.019355463,0.011701962
Bamboo shoot,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Bananas,World,2019,0.026002246,0.029548054,0.049849741,0.047104881
Barley,World,2019,0.041472245,0.045718492,0.066923418,0.073936807
Bay leaf,World,2019,0.038218373,0.039877073,0.101220375,0.09238228
Beech nut,World,2019,0.037570342,0.059653975,0.055598927,0.06306887
Beets,World,2019,0.023459779,0.023503427,0.031997166,0.031811186
Black gram,World,2019,0.029245108,0.030113823,0.080580993,0.075082737
Black salsify,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Blueberry,World,2019,0.011642139,0.014688756,0.0094303,0.011049743
Brazil nut,World,2019,0.01017436,0.009121633,0.026747942,0.026849455
Breadfruit,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Buckwheat,World,2019,0.016260145,0.015866302,0.028312143,0.02754476
Butter-nut,World,2019,0.031526814,0.027528689,0.036735476,0.037240077
Butternut squash,World,2019,0.022813577,0.01921623,0.024655959,0.025042784
Cabbages,World,2019,0.032108513,0.028303333,0.048355366,0.048314308
Cabbages and other brassicas,World,2019,0.032108513,0.028303333,0.048355366,0.048314308
Caesarweed,World,2019,NA,NA,NA,NA
Cainito,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Calabash,World,2019,0.022813577,0.01921623,0.024655959,0.025042784
Canary seed,World,2019,0.006336915,0.006381918,0.038002513,0.038119798
Candlenut,World,2019,0.037570342,0.059653975,0.055598927,0.06306887
Canola,World,2019,0.032108513,0.028303333,0.048355366,0.048314308
Capers,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Carambola,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Carapa,World,2019,0.037570342,0.059653975,0.055598927,0.06306887
Cardamoms,World,2019,0.013797868,0.016312121,0.050939332,0.051742619
Carneros Yucca,World,2019,NA,NA,NA,NA
Caroa,World,2019,NA,NA,NA,NA
Carobs,World,2019,NA,NA,NA,NA
Carrots,World,2019,0.028597944,0.027394715,0.054363748,0.053667808
Cashews,World,2019,0.021482675,0.018609782,0.020093822,0.036188726
Cassava,World,2019,0.005033058,0.006280903,0.010457483,0.011932042
Castor bean,World,2019,0.004793429,0.005686358,0.02191619,0.024601404
Ceara,World,2019,NA,NA,NA,NA
Celery,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Cherimoya,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Cherries,World,2019,0.034491799,0.025145571,0.038352287,0.033139486
Chervil,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Chestnuts,World,2019,0.01788079,0.017854993,0.044317421,0.037617848
Chickpeas,World,2019,0.017043368,0.018673863,0.038598248,0.044572953
Chicle,World,2019,NA,NA,NA,NA
Chicory,World,2019,0.02251639,0.020345559,0.042470893,0.039066484
Chillies and peppers,World,2019,0.03334307,0.033134266,0.052012996,0.04677444
Chinotto,World,2019,0.02925971,0.029580693,0.051710486,0.045844671
Chontadura,World,2019,0.037570342,0.059653975,0.055598927,0.06306887
Chufa,World,2019,0.0333979,0.039511249,0.038189391,0.036365597
Cinnamon,World,2019,0.014711821,0.016556941,0.069801535,0.068968239
Citron,World,2019,0.02925971,0.029580693,0.051710486,0.045844671
Citronella,World,2019,0.011639733,0.009936261,0.006289826,0.005430587
Cloves,World,2019,0.017667465,0.016498435,0.046645135,0.03275077
Cocoa,World,2019,0.053933126,0.053230527,0.069779451,0.074333713
Coconuts,World,2019,0.014951693,0.015601054,0.040797419,0.045969554
Coffee,World,2019,0.04184287,0.049059588,0.058466276,0.058119281
Common bean,World,2019,0.029245108,0.030113823,0.080580993,0.075082737
Coriander,World,2019,0.028924637,0.030034714,0.074104884,0.079511786
Cotton,World,2019,0.033505373,0.028739893,0.031934211,0.02592768
Cowpeas,World,2019,NA,NA,NA,NA
Cranberries,World,2019,0.006053091,0.005365511,0.010329241,0.014314203
Cress,World,2019,0.040792915,0.042780602,0.062995653,0.060140572
Cucumbers and gherkins,World,2019,0.025407194,0.022669084,0.032108725,0.028666201
Cumin,World,2019,0.028924637,0.030034714,0.074104884,0.079511786
Currants,World,2019,0.014417596,0.013922444,0.014749834,0.024694122
Cushaw,World,2019,0.022813577,0.01921623,0.024655959,0.025042784
Custard apple,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Dates,World,2019,0.020470556,0.026093364,0.054906899,0.06587746
Devil's cotton,World,2019,NA,NA,NA,NA
Dill,World,2019,0.038218373,0.039877073,0.101220375,0.09238228
Durian,World,2019,0.01007882,0.012460427,0.008923459,0.00877711
Eggplant,World,2019,0.026481102,0.022454883,0.041208131,0.036399041
