crop,country,year,crop_count_recipients_distributions
Abaca,World,2014,149
Abaca,World,2015,92
Abaca,World,2016,177
Abaca,World,2017,522
Acerola,World,2014,4
Acerola,World,2017,35
Achira,World,2015,9
Ackee,World,2015,1
Ackee,World,2017,1
Adlay,World,2014,24
Adlay,World,2015,32
Adlay,World,2016,8
Adlay,World,2017,28
Adzuki bean,World,2014,3151
Adzuki bean,World,2015,2908
Adzuki bean,World,2016,1847
Adzuki bean,World,2017,9809
Aeschynomene,World,2014,4
Aeschynomene,World,2015,8
Aeschynomene,World,2016,15
Aeschynomene,World,2017,5
African eggplant,World,2014,7566
African eggplant,World,2015,10405
African eggplant,World,2016,12967
African eggplant,World,2017,11532
African rice,World,2014,14777
African rice,World,2015,86644
African rice,World,2016,9448
African rice,World,2017,9637
Agave,World,2014,19
Agave,World,2015,20
Agave,World,2016,24
Agave,World,2017,13
Agropyron,World,2014,160
Agropyron,World,2015,903
Agropyron,World,2016,306
Agropyron,World,2017,123
Agrostis,World,2014,108
Agrostis,World,2015,43
Agrostis,World,2016,65
Agrostis,World,2017,35
Ahipa,World,2014,5
Ahipa,World,2015,7
Ahipa,World,2016,4
Ahipa,World,2017,10
Alfalfa,World,2014,5832
Alfalfa,World,2015,5837
Alfalfa,World,2016,4038
Alfalfa,World,2017,5471
Allspice,World,2014,3
Allspice,World,2015,3
Allspice,World,2016,2
Allspice,World,2017,12
Almonds,World,2014,2042
Almonds,World,2015,1269
Almonds,World,2016,743
Almonds,World,2017,1534
Alopecurus,World,2014,20
Alopecurus,World,2015,4
Alopecurus,World,2016,19
Alopecurus,World,2017,34
Alysicarpus,World,2015,1
Alysicarpus,World,2016,4
Alysicarpus,World,2017,1
Amaranth,World,2014,1370
Amaranth,World,2015,1741
Amaranth,World,2016,4618
Amaranth,World,2017,7330
Andropogon,World,2014,21
Andropogon,World,2015,105
Andropogon,World,2016,6
Andropogon,World,2017,46
Anise,World,2014,2
Anise,World,2015,8
Anise,World,2016,1
Anise,World,2017,6
Annato,World,2014,3
Annato,World,2015,2
Annato,World,2016,1
Apple,World,2014,5221
Apple,World,2015,5312
Apple,World,2016,5315
Apple,World,2017,6006
Apricot,World,2014,2045
Apricot,World,2015,1269
Apricot,World,2016,743
Apricot,World,2017,1534
Areca nuts,World,2016,1
Areca nuts,World,2017,1
Arrhenatherum,World,2014,18
Arrhenatherum,World,2015,5
Arrhenatherum,World,2016,8
Arrhenatherum,World,2017,72
Asian rice,World,2014,14777
Asian rice,World,2015,86644
Asian rice,World,2016,9448
Asian rice,World,2017,9637
Asparagus,World,2014,121
Asparagus,World,2015,116
Asparagus,World,2016,86
Asparagus,World,2017,48
Astragalus,World,2014,60
Astragalus,World,2015,32
Astragalus,World,2016,718
Astragalus,World,2017,452
Atemoya,World,2014,29
Atemoya,World,2015,1
Atemoya,World,2016,40
Atemoya,World,2017,172
Atriplex,World,2014,549
Atriplex,World,2015,45
Atriplex,World,2016,37
Atriplex,World,2017,79
Avocado,World,2014,3
Avocado,World,2015,9
Avocado,World,2016,22
Avocado,World,2017,268
Azarole,World,2015,9
Azarole,World,2016,54
Azarole,World,2017,60
Babaco,World,2014,20
Babaco,World,2015,13
Babaco,World,2016,7
Babaco,World,2017,41
Badian,World,2016,1
Badian,World,2017,2
Bambara bean,World,2014,4094
Bambara bean,World,2015,3705
Bambara bean,World,2016,2136
Bambara bean,World,2017,10828
Bamboo shoot,World,2014,31
Bamboo shoot,World,2015,21
Bamboo shoot,World,2016,31
Bamboo shoot,World,2017,56
Bananas,World,2014,903
Bananas,World,2015,785
Bananas,World,2016,1249
Bananas,World,2017,1338
Barley,World,2014,14110
Barley,World,2015,134890
Barley,World,2016,21686
Barley,World,2017,23021
Basil,World,2014,454
Basil,World,2015,249
Basil,World,2016,184
Basil,World,2017,453
Bay leaf,World,2017,22
Beech nut,World,2015,1
Beech nut,World,2016,10
Beech nut,World,2017,1
Beets,World,2014,2185
Beets,World,2015,1195
Beets,World,2016,2966
Beets,World,2017,822
Black gram,World,2014,3151
Black gram,World,2015,2908
Black gram,World,2016,1847
Black gram,World,2017,9808
Black nightshade,World,2014,7563
Black nightshade,World,2015,10405
Black nightshade,World,2016,12965
Black nightshade,World,2017,11532
Black salsify,World,2014,7
Black salsify,World,2015,9
Black salsify,World,2016,7
Black salsify,World,2017,7
Blueberry,World,2014,1220
Blueberry,World,2015,1067
Blueberry,World,2016,1032
Blueberry,World,2017,1419
Brachiaria,World,2014,33
Brachiaria,World,2015,29
Brachiaria,World,2016,9
Brachiaria,World,2017,27
Breadfruit,World,2014,34
Breadfruit,World,2015,6
Breadfruit,World,2016,12
Breadfruit,World,2017,38
Buckwheat,World,2014,405
Buckwheat,World,2015,370
Buckwheat,World,2016,262
Buckwheat,World,2017,351
Butternut squash,World,2014,4348
Butternut squash,World,2015,2072
Butternut squash,World,2016,2619
Butternut squash,World,2017,3037
Cabbages,World,2014,5644
Cabbages,World,2015,6703
Cabbages,World,2016,5189
Cabbages,World,2017,9185
Cabbages and other brassicas,World,2014,9366
Cabbages and other brassicas,World,2015,13165
