crop,country,year,genus_count_mls_supply_accessions,species_count_mls_supply_accessions
Abaca,World,2019,0.0998,0.5714
Acerola,World,2019,0.0233,0
Achira,World,2019,0.2155,0.2486
Ackee,World,2019,0,0
Adlay,World,2019,0.0276,0.0282
Adzuki bean,World,2019,0.1655,0.4688
Aeschynomene,World,2019,0.7254,0.6474
African eggplant,World,2019,0.3185,0.4121
Rice (African),World,2019,0.2679,0.1717
Agave,World,2019,0.0149,0.0488
Agropyron,World,2019,0.0507,0.0532
Agrostis,World,2019,0.1507,0.2465
Ahipa,World,2019,0.2587,0.4681
Albardine,World,2019,0,0
Alfalfa,World,2019,0.429,0.4143
Allspice,World,2019,0,0
Almonds,World,2019,0.1596,0.0118
Alopecurus,World,2019,0.1952,0.277
Alysicarpus,World,2019,0.6584,0.6764
Amaranth,World,2019,0.0497,0.0599
Andropogon,World,2019,0.1384,0.6935
Anise,World,2019,0.0096,0.0101
Annato,World,2019,0,0
Apple,World,2019,0.4212,0.5702
Apricot,World,2019,0.1596,0.0986
Areca nuts,World,2019,0,0
Arracacha,World,2019,0.0112,0.0114
Arrhenatherum,World,2019,0.2283,0.2323
Arrowroot,World,2019,0.0588,0
Artichokes,World,2019,0.0237,0.0295
Rice (Asian),World,2019,0.2679,0.2701
Asparagus,World,2019,0.2234,0.3215
Astragalus,World,2019,0.1961,0.2807
Atemoya,World,2019,0,0
Atriplex,World,2019,0.3335,0.6741
Avocado,World,2019,0.0016,0
Azarole,World,2019,0.0101,0
Babaco,World,2019,0,0
Badian,World,2019,0,0
Bambara bean,World,2019,0.1655,0.0078
Bamboo shoot,World,2019,0.0875,0
Bananas,World,2019,0.0998,0.0602
Barley,World,2019,0.3528,0.3711
Basil,World,2019,0.1335,0.0883
Bay leaf,World,2019,0.0741,0.087
Beech nut,World,2019,0.2121,0.3621
Beets,World,2019,0.3047,0.2359
Black gram,World,2019,0.1655,0.1523
Black nightshade,World,2019,0.3185,0.3312
Black salsify,World,2019,0.0269,0.0617
Blueberry,World,2019,0.0115,0.0378
Brachiaria,World,2019,0.5263,0.5408
Brazil nut,World,2019,0,0
Breadfruit,World,2019,0.0038,0.0034
Buckwheat,World,2019,0.0182,0.0185
Butter-nut,World,2019,0,0
Butternut squash,World,2019,0.0653,0.0857
Cabbages,World,2019,0.2675,0.426
Cabbages and other brassicas,World,2019,0.2675,0.2886
Caesarweed,World,2019,0.0128,0.013
Cainito,World,2019,0.0333,0
Calabash,World,2019,0.0727,0.0826
Calopogonium,World,2019,0.6673,0.6616
Canary seed,World,2019,0.2481,0.0821
Candlenut,World,2019,0,0
Canola,World,2019,0.2675,0.0563
Capers,World,2019,0.0014,0
Carambola,World,2019,0.0067,0.0076
Carapa,World,2019,0,0
Caraway,World,2019,0.0182,0.0224
Cardamoms,World,2019,0.0064,0
Carneros Yucca,World,2019,0.0354,0
Caroa,World,2019,0,0
Carobs,World,2019,0.0417,0.0423
Carrots,World,2019,0.3913,0.395
Cashews,World,2019,0.0034,0.0037
Cassava,World,2019,0.3517,0.3406
Castor bean,World,2019,0.0009,0.0008
Ceara,World,2019,0.3517,0.3846
Celery,World,2019,0.0769,0.0791
Centrosema,World,2019,0.7858,0.3043
Ceylon-spinach,World,2019,0.3462,0
Chayote,World,2019,0,0
Cherimoya,World,2019,0,0
Cherries,World,2019,0.1596,0.334
Chervil,World,2019,0.0188,0.0545
Chestnuts,World,2019,0.0933,0.1191
Chickpeas,World,2019,0.1798,0.1803
Chicle,World,2019,0,0
Chicory,World,2019,0.1178,0.1321
Chillies and peppers,World,2019,0.2109,0.2175
Chinotto,World,2019,0.1175,0.1538
Chontadura,World,2019,0,0
Chufa,World,2019,0.026,0.0345
Cinnamon,World,2019,0,0
Citron,World,2019,0.1175,0.0556
Citronella,World,2019,0.2702,0.0435
Clovers,World,2019,0.3262,0.2809
Cloves,World,2019,0.0208,0
Cocoa,World,2019,0,0
Coconuts,World,2019,0,0
Coffee,World,2019,0,0
Common bean,World,2019,0.3391,0.3314
Coriander,World,2019,0.0204,0.023
Coronilla,World,2019,0.2657,0.3959
Cotton,World,2019,0.0013,0.0009
Cowpeas,World,2019,0.1655,0.0691
Crambe,World,2019,0.1566,0.1531
Cranberries,World,2019,0.0115,0
Cress,World,2019,0.1438,0.3136
crop,World,2019,0,0
Cucumbers and gherkins,World,2019,0.061,0.1093
Cumin,World,2019,0.0097,0.0099
Currants,World,2019,0.0929,0.0981
Cushaw,World,2019,0.0653,0.0814
Custard apple,World,2019,0,0
Dactylis,World,2019,0.4493,0.4544
Dates,World,2019,0.0009,0
Desmodium,World,2019,0.6508,0.5375
Devil's cotton,World,2019,0,0
Dill,World,2019,0.0402,0.0415
Durian,World,2019,0,0
Eggplant,World,2019,0.3185,0.2135
Elderberry,World,2019,0.0124,0.0114
Esparto,World,2019,0.0118,0
Ethiopian rape,World,2019,0.2675,0.2283
Faba beans,World,2019,0.4071,0.4879
Feijoa,World,2019,0,0
Fennel,World,2019,0.0213,0.0246
Fenugreek,World,2019,0.1408,0.09
Festuca,World,2019,0.3709,0.4086
Fig leaf gourd,World,2019,0.0653,0.0286
Figs,World,2019,0.0174,0.0006
Finger millet,World,2019,0.0039,0.0016
Fique,World,2019,0,0
Flax,World,2019,0.0635,0.0717
Fonio,World,2019,0.2452,0.0446
Foxtail millet,World,2019,0.0261,0.0056
Galactia,World,2019,0.8188,0.8915
Garlic,World,2019,0.0853,0.2434
Giant cabuya,World,2019,0,0
Ginger,World,2019,0,0
Gooseberries,World,2019,0.0929,0.2432
Grapefruits,World,2019,0.117,0.1503
Grapes,World,2019,0.0933,0.1091
Grasspea,World,2019,0.1843,0.1901
Groundnuts,World,2019,0.0046,0.0004
Guavas,World,2019,0,0
Guayule,World,2019,0,0
Gutta-percha,World,2019,0,0
Hazelnuts,World,2019,0.0154,0.0171
Hedysarum,World,2019,0.2988,0.3524
Hemp,World,2019,0.0206,0.0211
Hops,World,2019,0.1333,0.1346
Horseradish,World,2019,0.6782,0.6745
Huckleberry,World,2019,0,0
Indigofera,World,2019,0.4953,0.7171
Jack bean,World,2019,0.3617,0.0996
Jackfruit,World,2019,0.0038,0.0127
Japanese millet,World,2019,0.0317,0.0046
Jelutong,World,2019,0,0
Jerusalem artichoke,World,2019,0.0533,0.3026
Jicama,World,2019,0.2587,0.2377
Jojoba,World,2019,0.0169,0.017
Jujube,World,2019,0.0169,0.0132
Jute,World,2019,0.0227,0.0256
