"use","taxon"
"1","Auricularia fuscosuccinea (Mont.) Farlow."
"1","Auricularia polytricha (Mont.) Sacc."
"1","Bauhinia esculenta Burch."
"1","Bauhinia vahlii Wight & Arn."
"1","Berberis canadensis Mill."
"1","Berberis empetrifolia Lam."
"1","Berberis integerrima Bunge"
"1","Beta vulgaris convar. cicla (L.) Alef., , p.p., excl. var. maritima et var. macrocarpa"
"1","Beta vulgaris convar. cicla (L.) Alef., , p.p., excl. var. maritima et var. macrocarpa"
"1","Beta vulgaris convar. vulgaris"
"1","Beta vulgaris convar. vulgaris"
"1","Beta vulgaris subsp. vulgaris"
"1","Beta vulgaris var. lutea DC."
"1","Beta vulgaris var. lutea DC."
"1","Beta vulgaris var. vulgaris"
"1","Beta vulgaris var. vulgaris"
"1","Betaphycus (Doty) al."
"1","Betaphycus gelatinum (Esper) Doty"
"1","Boletus aereus Bull.: Fr."
"1","Boletus aestivalis Fr."
"1","Boletus edulis Bull.: Fr."
"1","Boletus reticulatus Boud."
"1","Brosimum alicastrum O. Sw."
"1","Calopogonium caeruleum (Benth.) Sauvalle"
"1","Canavalia ensiformis (L.) DC."
"1","Canavalia plagiosperma Piper ex Piper & Dunn"
"1","Canavalia regalis Dunn"
"1","Cannabis sativa subsp. sativa"
"1","Cantharellus cibarius Fr."
"1","Carya cathayensis Sarg."
"1","Carya illinoinensis (Wangenh.) K. Koch"
"1","Carya laciniosa (Michx.f.) Loudon"
"1","Cassia fistula L."
"1","Castanea crenata Siebold & Zucc."
"1","Castanea dentata Borkh."
"1","Castanea mollissima Blume"
"1","Castanea pumila (L.) Mill."
"1","Castanea sativa Mill."
"1","Castanopsis sumatrana DC."
"1","Celosia argentea L."
"1","Celtis morifolia Planch."
"1","Cerasus avium subsp. duracina (L.) Janchen"
"1","Cerasus besseyi (L.H. Bailey) Lunell"
"1","Cerasus fruticosa (Pall.) Voronov"
"1","Cerasus hirtipes (Hemsl.) Ohle ex J. Schultze-Motel"
"1","Cerasus humilis (Bunge.) Sok."
"1","Cerasus tomentosa (Thunb.) Loisel."
