"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us"
"Abaca","","World","2010",0.000225237659247644,5.33531927391421e-05,3.04846532441162e-05,0.000113794475630442,3.32642401194086e-05,0.000118141772802206,NA,NA,NA,NA,0.000242939330317345
"Abaca","","World","2011",0.000232406256541838,5.49501969708052e-05,2.95013654412418e-05,0.000131450171097523,2.85125928216285e-05,0.000116001898448207,NA,NA,NA,NA,0.000301368398653636
"Abaca","","World","2012",0.000232109987746752,5.50101437875354e-05,1.68278782041932e-05,8.16336028185783e-05,2.7382925248553e-05,4.81471729649655e-05,NA,NA,NA,NA,0.000324977737847468
"Abaca","","World","2013",0.000233155235131286,5.35787820757846e-05,2.17798248336693e-05,9.98970124412281e-05,1.64438421308584e-05,7.78379296266942e-05,NA,NA,NA,NA,0.000304670040042218
"Adlay","","World","2010",0.00633108279019245,0.00295755192567893,NA,NA,NA,NA,0.00712645231018644,0.0109489051094891,0.0112570356472795,0.00198019801980198,0.00448886954168745
"Adlay","","World","2011",0.00526119664048962,0.00256046947015082,NA,NA,NA,NA,0.00729532558767901,0.0127737226277372,0.0112570356472795,0.00198019801980198,0.00340076906312973
"Adlay","","World","2012",0.00546701208045565,0.00287975252624707,NA,NA,NA,NA,0.00692380437719535,0.0109489051094891,0.0106316447779862,0.00198019801980198,0.00510298754426557
"Adlay","","World","2013",0.00589769968919313,0.00323417861487749,NA,NA,NA,NA,NA,NA,NA,NA,0.00566931998120636
"Adzuki bean","","World","2010",0.0449755925252341,0.0244576502245234,0.00982046675158832,0.0295456149245641,0.0113195941664097,0.0336950483178021,0.0243515266144285,0.0437956204379562,0.0975609756097561,0.0108910891089109,0.0967234171355996
"Adzuki bean","","World","2011",0.0445926055769392,0.0242897476044504,0.0105207697875055,0.0328523795547526,0.0131564173860206,0.041780114881053,0.0237773574709538,0.0437956204379562,0.0950594121325829,0.0099009900990099,0.119852758827373
"Adzuki bean","","World","2012",0.042702135161997,0.0248497118712257,0.0109580651869939,0.0344186348509115,0.0129693801951807,0.0427434638810565,0.0228654417724939,0.041970802919708,0.091307066916823,0.0099009900990099,0.109104459821827
"Adzuki bean","","World","2013",0.0429545686353132,0.0251504503269815,0.0111215531723518,0.0358603407301342,0.0123444356321946,0.0401904988629545,NA,NA,NA,NA,0.117620439169971
"Agave","","World","2010",7.76127332772903e-05,2.34276366575754e-05,NA,NA,NA,NA,NA,NA,NA,NA,7.2337994571666e-05
"Agave","","World","2011",7.77511766394802e-05,2.29275540022209e-05,NA,NA,NA,NA,NA,NA,NA,NA,7.86729698205305e-05
"Agave","","World","2012",7.5501472003894e-05,2.14630637864876e-05,NA,NA,NA,NA,NA,NA,NA,NA,7.07365884018875e-05
"Agave","","World","2013",7.555684934877e-05,2.17259884212692e-05,NA,NA,NA,NA,NA,NA,NA,NA,6.18227257413204e-05
"Albardine","","World","2010",0.000520041723562101,0.000145126510660373,NA,NA,NA,NA,NA,NA,NA,NA,0.000239595783053179
"Albardine","","World","2011",0.000529590162252339,0.000147846203082554,NA,NA,NA,NA,NA,NA,NA,NA,0.000292214339380696
"Albardine","","World","2012",0.000538227643619368,0.000149337511611035,NA,NA,NA,NA,NA,NA,NA,NA,0.000267032955897396
"Albardine","","World","2013",0.00053603470076228,0.000149996926595067,NA,NA,NA,NA,NA,NA,NA,NA,0.000255228747182095
"Alfalfa","","World","2010",NA,NA,0.00379991571420835,0.00309066627421126,0.00354264292723449,0.00281658373287362,NA,NA,NA,NA,NA
"Alfalfa","","World","2011",NA,NA,0.00407863137328812,0.00313310231399559,0.00368189274160194,0.00293287037266732,NA,NA,NA,NA,NA
"Alfalfa","","World","2012",NA,NA,0.0047854568849644,0.00409777656981262,0.00458766128530781,0.00405602829569664,NA,NA,NA,NA,NA
"Alfalfa","","World","2013",NA,NA,0.00362487955987666,0.00316219263107405,0.00338296969839843,0.00302855209327816,NA,NA,NA,NA,NA
"Allspice","","World","2010",0.00488472622125296,0.0172286998786289,0.00860613089723343,0.0435428471863974,0.00856701690027659,0.0445869483799749,0.00395163469332613,0.00547445255474453,0.00875547217010632,0.0148514851485149,0.0852771515229526
"Allspice","","World","2011",0.00492818220821075,0.0175790564197622,0.0088483119517264,0.0471058672842642,0.00900767123385939,0.0492133998759477,0.0041205079708187,0.0072992700729927,0.00938086303939962,0.0158415841584158,0.0930899808343844
"Allspice","","World","2012",0.00505263033091689,0.0180254193654366,0.0094888174324538,0.0467445652263002,0.0096707535908353,0.0497430964352929,0.00405295865982167,0.0072992700729927,0.00938086303939962,0.0148514851485149,0.0899855468646099
"Allspice","","World","2013",0.00499548506430576,0.0183201010893056,0.0095347588236881,0.050563273058884,0.00970942777374472,0.0534150172844468,NA,NA,NA,NA,0.0978433954844211
"Almonds","","World","2010",0.00238035502091843,0.00135139055483561,0.00143230617805708,0.019735501209651,0.00151555334712619,0.0226830564360367,0.0202985679546069,0.0273722627737226,0.0250156347717323,0.113861386138614,0.021466754724191
"Almonds","","World","2011",0.00239788748830616,0.00158864322827709,0.00157309387194365,0.0228251999389567,0.0017007809026213,0.0264559655490583,0.0213793569305593,0.0291970802919708,0.0262664165103189,0.122772277227723,0.0293592143281241
"Almonds","","World","2012",0.00244651710370899,0.00148584074777605,0.00170243445699175,0.0267392789127706,0.00178059719927722,0.0307559826637389,0.0215482302080519,0.0291970802919708,0.0262664165103189,0.121782178217822,0.0330800621378737
"Almonds","","World","2013",0.00252376711537734,0.00149360070544699,0.00169599392188292,0.0339506709624061,0.0018630439688671,0.0402873195489473,NA,NA,NA,NA,0.0425339188959125
"Amaranth","","World","2010",0.00633108279019245,0.00295755192567893,NA,NA,NA,NA,0.00712645231018644,0.0109489051094891,0.0112570356472795,0.00198019801980198,0.00448886954168745
"Amaranth","","World","2011",0.00526119664048962,0.00256046947015082,NA,NA,NA,NA,0.00729532558767901,0.0127737226277372,0.0112570356472795,0.00198019801980198,0.00340076906312973
"Amaranth","","World","2012",0.00546701208045565,0.00287975252624707,NA,NA,NA,NA,0.00692380437719535,0.0109489051094891,0.0106316447779862,0.00198019801980198,0.00510298754426557
"Amaranth","","World","2013",0.00589769968919313,0.00323417861487749,NA,NA,NA,NA,NA,NA,NA,NA,0.00566931998120636
"Anise","","World","2010",0.00130516372157648,0.000435015644286582,0.000784480665908284,0.00394894257537025,0.000716837737437635,0.00440607032308781,0.00604566333423399,0.0109489051094891,0.0118824265165729,0.0158415841584158,0.00491660312293955
"Anise","","World","2011",0.00149869646644901,0.000500647943319292,0.000840612742677376,0.00485378897181921,0.000799520193067936,0.00516758948029139,0.00702512834369089,0.0127737226277372,0.0143839899937461,0.0188118811881188,0.00578303460182376
"Anise","","World","2012",0.00144071223306301,0.000485710143118813,0.000909563068498939,0.00486091362066938,0.000859671605040519,0.0049327555269913,0.00685625506619833,0.0127737226277372,0.0137585991244528,0.0188118811881188,0.00503242082652173
"Anise","","World","2013",0.00138327208209041,0.000476358439708903,0.0011112026206084,0.00611679490434879,0.00106883077526116,0.00640470434119675,NA,NA,NA,NA,0.00490753162731602
"Apple","","World","2010",0.00676448388882886,0.0374362590953394,0.0226781647644404,0.0533200803669986,0.0232819177102352,0.0559054427488481,0.0845717373682788,0.0182481751824818,0.00375234521575985,0.00495049504950495,0.188184777344824
"Apple","","World","2011",0.00690493606420415,0.0405283637545663,0.0221127032625574,0.0574307868550948,0.0223845553019712,0.0616905067796267,0.0868008646311808,0.0200729927007299,0.00375234521575985,0.00594059405940594,0.139991666143684
"Apple","","World","2012",0.00702563375622856,0.0413453189729654,0.0229068447311289,0.0600105654304441,0.0224309556525507,0.0619702694658352,0.0911240205349905,0.0200729927007299,0.00437773608505316,0.00594059405940594,0.18192773722294
"Apple","","World","2013",0.00714403328844063,0.0435511525406273,0.0235257916267783,0.0677823738826206,0.0232565123804983,0.0692711152209737,NA,NA,NA,NA,0.150501119532592
"Apricot","","World","2010",0.000781317574421403,0.00173812482258799,0.000991369882343086,0.0066866468687788,0.00101190853294591,0.00703533739325597,0.222743853012699,0.0510948905109489,0.0212632895559725,0.0326732673267327,0.00836543662229803
"Apricot","","World","2011",0.000742218400071726,0.00200790758354318,0.00108318438093649,0.00710656135779975,0.00105489279045667,0.00739191984306783,0.229904079978384,0.0529197080291971,0.0218886804252658,0.0336633663366337,0.00951300833989202
