"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","gp_index_crops","gp_index_crops_lives_products","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Abaca","","World","2010",162997,101610,11161,14231,12279,13692,NA,NA,NA,NA,85.089464,0.000139295425993393,7.39212854490432e-05,NA,0.000242939330317345,0.000152052013919927
"Abaca","","World","2011",168175,104647,10801,16439,10525,13444,NA,NA,NA,NA,105.500519,0.000143678226756322,7.636650695215e-05,NA,0.000301368398653636,0.000173804377454036
"Abaca","","World","2012",167961,104761,6161,10209,10108,5580,NA,NA,NA,NA,113.747981,0.000143560065767144,4.34978948090725e-05,NA,0.000324977737847468,0.000170678566141228
"Abaca","","World","2013",168716,102039,7974,12493,6070,9021,NA,NA,NA,NA,106.653883,0.000143367008603535,5.39896522581125e-05,NA,0.000304670040042218,0.000167342233634622
"Adlay","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,0.00464431735793569,NA,0.00782814777168925,0.00448886954168745,0.0056537782237708
"Adlay","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,0.00391083305532022,NA,0.00832657047062444,0.00340076906312973,0.00521272419635813
"Adlay","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,0.00417338230335136,NA,0.00762113807111816,0.00510298754426557,0.00563250263957836
"Adlay","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,0.00456593915203531,NA,NA,0.00566931998120636,0.00511762956662084
"Adzuki bean","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.0347166213748787,0.021095181040091,0.0441498029427629,0.0967234171355996,0.0491712556233331
"Adzuki bean","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.0344411765906948,0.0245774204023329,0.0431333450351257,0.119852758827373,0.0555011752138817
"Adzuki bean","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.0337759235166113,0.0252723860285356,0.0415110754270087,0.109104459821827,0.0524159611984956
"Adzuki bean","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,0.0340525094811474,0.0248792070994088,NA,0.117620439169971,0.0588507185835091
"Agave","","World","2010",56365,44701,NA,NA,NA,NA,NA,NA,NA,NA,25.493216,5.05201849674328e-05,NA,NA,7.2337994571666e-05,6.14290897695494e-05
"Agave","","World","2011",56465,43750,NA,NA,NA,NA,NA,NA,NA,NA,27.706216,5.03393653208505e-05,NA,NA,7.86729698205305e-05,6.45061675706905e-05
"Agave","","World","2012",54840,40965,NA,NA,NA,NA,NA,NA,NA,NA,24.933796,4.84822678951908e-05,NA,NA,7.07365884018875e-05,5.96094281485392e-05
"Agave","","World","2013",54880,41465,NA,NA,NA,NA,NA,NA,NA,NA,21.819912,4.86414188850196e-05,NA,NA,6.18227257413204e-05,5.523207231317e-05
"Albardine","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,0.000332584117111237,NA,NA,0.000239595783053179,0.000286089950082208
