"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","compose_index"
"Abaca","","World","2010",162997,101610,11161,14231,12279,13692,NA,NA,NA,NA,85.089464,NA
"Abaca","","World","2011",168175,104647,10801,16439,10525,13444,NA,NA,NA,NA,105.500519,NA
"Abaca","","World","2012",167961,104761,6161,10209,10108,5580,NA,NA,NA,NA,113.747981,NA
"Abaca","","World","2013",168716,102039,7974,12493,6070,9021,NA,NA,NA,NA,106.653883,NA
"Adlay","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,NA
"Adlay","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,NA
"Adlay","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,NA
"Adlay","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,NA
"Adzuki bean","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.0388305996197066
"Adzuki bean","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.0417798339780543
"Adzuki bean","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.0403445593342933
"Adzuki bean","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,NA
"Agave","","World","2010",56365,44701,NA,NA,NA,NA,NA,NA,NA,NA,25.493216,NA
"Agave","","World","2011",56465,43750,NA,NA,NA,NA,NA,NA,NA,NA,27.706216,NA
"Agave","","World","2012",54840,40965,NA,NA,NA,NA,NA,NA,NA,NA,24.933796,NA
"Agave","","World","2013",54880,41465,NA,NA,NA,NA,NA,NA,NA,NA,21.819912,NA
"Albardine","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Albardine","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Albardine","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Albardine","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Alfalfa","","World","2010",NA,NA,1391220,386515,1307714,326427,NA,NA,NA,NA,NA,NA
"Alfalfa","","World","2011",NA,NA,1493263,391822,1359116,339904,NA,NA,NA,NA,NA,NA
"Alfalfa","","World","2012",NA,NA,1752045,512463,1693467,470072,NA,NA,NA,NA,NA,NA
"Alfalfa","","World","2013",NA,NA,1327136,395460,1248773,350993,NA,NA,NA,NA,NA,NA
"Allspice","","World","2010",3528625,32763720,3150865,5445416,3162387,5167389,1.18,3,0.14,0.15,29790.132371,0.0223387786866735
"Allspice","","World","2011",3560014,33429988,3239532,5891003,3325048,5703570,1.23,4,0.15,0.16,32519.391853,0.0242195177317984
"Allspice","","World","2012",3649905,34278830,3474033,5845819,3569815,5764959,1.21,4,0.15,0.15,31434.918417,0.0240268551060522
"Allspice","","World","2013",3608628,34839222,3490853,6323382,3584091,6190515,NA,NA,NA,NA,34179.904516,NA
"Almonds","","World","2010",1719675,2570069,524394,2468098,559444,2628845,6.02,15,0.4,1.15,7499.215269,0.0233738881008629
"Almonds","","World","2011",1732339,3021249,575939,2854492,627818,3066105,6.34,16,0.42,1.24,10256.29204,0.0259559923879872
"Almonds","","World","2012",1767465,2825751,623293,3343982,657281,3564454,6.39,16,0.42,1.23,11556.097624,0.0269804198591182
"Almonds","","World","2013",1823264,2840508,620935,4245830,687715,4669085,NA,NA,NA,NA,14858.618026,NA
"Amaranth","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,NA
"Amaranth","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,NA
"Amaranth","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,NA
"Amaranth","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,NA
"Anise","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.00556651753721076
"Anise","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.00658532841388555
"Anise","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.00642929136640099
"Anise","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,NA
"Apple","","World","2010",4886406,71192145,8302899,6668145,8594174,6479142,25.05,10,0.06,0.05,65738.903597,0.04537217079414
"Apple","","World","2011",4987857,77072356,8095873,7182225,8262926,7149600,25.71,11,0.06,0.06,48903.580506,0.0425100286153438
"Apple","","World","2012",5075039,78625948,8386623,7504849,8280054,7182023,26.99,11,0.07,0.06,63553.128713,0.047193878964752
"Apple","","World","2013",5160561,82820750,8613231,8476782,8584796,8028152,NA,NA,NA,NA,52574.852995,NA
"Apricot","","World","2010",564663,3305516,362959,836224,373531,815358,65.96,28,0.34,0.33,2922.525413,0.0322168583729986
"Apricot","","World","2011",536421,3818558,396574,888738,389398,856684,68.08,29,0.35,0.34,3323.407202,0.0333886843150226
"Apricot","","World","2012",532322,3865025,483762,860904,473510,834068,70.36,30,0.36,0.35,3182.899767,0.0343710264204637
"Apricot","","World","2013",558924,4093243,502358,971152,505747,943760,NA,NA,NA,NA,3231.642382,NA
"Areca nuts","","World","2010",871949,1081604,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1520.695727,0.0197281745663519
"Areca nuts","","World","2011",879009,1096126,430906,1846159,307097,1490357,6.34,16,0.42,1.24,1646.416713,0.0214319261894682
