"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","compose_index"
"Areca nuts","","World","2012",992815,1340932,458584,2030043,349900,1618078,6.39,16,0.42,1.23,2290.796347,0.0218022582772379
"Areca nuts","","World","2013",902648,1166166,392896,2007377,310183,1603948,NA,NA,NA,NA,1816.101076,NA
"Arracacha","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.00449484603349312
"Arracacha","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.00469963100771744
"Arracacha","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.00491597527124302
"Arracacha","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,NA
"Arrowroot","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.00449484603349312
"Arrowroot","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.00469963100771744
"Arrowroot","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.00491597527124302
"Arrowroot","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,NA
"Artichokes","","World","2010",127554,1480371,36992,58205,38262,58197,283.67,71,3.79,0.59,1194.618425,0.126236255457602
"Artichokes","","World","2011",129510,1528753,32436,51880,34195,61784,286.58,71,3.82,0.6,1265.54825,0.127407419422765
"Artichokes","","World","2012",124809,1616180,50349,71484,38487,57970,296.09,73,3.93,0.61,1209.843679,0.131380431991109
"Artichokes","","World","2013",128996,1608858,61161,87935,45688,73240,NA,NA,NA,NA,1279.156081,NA
"Asparagus","","World","2010",1426554,7487774,322330,1121898,310837,904646,283.67,71,3.79,0.59,8761.212497,0.130231216044609
"Asparagus","","World","2011",1454191,8190220,330404,1189328,320764,949384,286.58,71,3.82,0.6,10152.553366,0.131872977137761
"Asparagus","","World","2012",1483159,8281961,350344,1165339,353746,1039414,296.09,73,3.93,0.61,10474.279166,0.135998147364675
"Asparagus","","World","2013",1462915,7934250,336163,1423283,330537,1148581,NA,NA,NA,NA,11488.542099,NA
"Atemoya","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Atemoya","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Atemoya","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Atemoya","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Avocado","","World","2010",443271,3879484,902790,1697254,829565,1466360,65.96,28,0.34,0.33,3810.703209,0.0338430717399948
"Avocado","","World","2011",457279,4173951,950232,2214307,851891,1971227,68.08,29,0.35,0.34,4258.233434,0.0357282245745293
"Avocado","","World","2012",478170,4456290,1127815,2172802,1052904,1971669,70.36,30,0.36,0.35,4329.081687,0.036839374912559
"Avocado","","World","2013",506397,4670163,1283314,2776159,1216993,2479194,NA,NA,NA,NA,4595.128165,NA
"Azarole","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.0379189510492186
"Azarole","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.0403360170857426
"Azarole","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.0415776881673439
"Azarole","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,NA
"Babaco","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.0379189510492186
"Babaco","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.0403360170857426
"Babaco","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.0415776881673439
"Babaco","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,NA
"Badian","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.00556651753721076
"Badian","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.00658532841388555
"Badian","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.00642929136640099
"Badian","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,NA
"Bambara bean","","World","2010",200627,151785,0,0,0,0,NA,NA,NA,NA,41.464877,NA
"Bambara bean","","World","2011",202112,135605,0,0,0,0,NA,NA,NA,NA,39.481036,NA
"Bambara bean","","World","2012",210565,156016,2642,6761,1541,1403,NA,NA,NA,NA,43.937587,NA
"Bambara bean","","World","2013",223826,157247,750,963,1727,2036,NA,NA,NA,NA,51.312539,NA
"Bamboo shoot","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Bamboo shoot","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Bamboo shoot","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Bamboo shoot","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
"Bananas","","World","2010",5400390,108665134,17933961,11713905,17490865,8098393,33.93,21,0.28,0.07,35314.883339,0.0548134600366015
"Bananas","","World","2011",5496539,109430205,18720741,13080942,18719902,8853166,34.06,21,0.28,0.07,42854.6374,0.0589480189381798
"Bananas","","World","2012",5274021,107810272,18313664,12477861,19099109,8629565,33.53,21,0.27,0.07,45267.914459,0.0586295306675247
"Bananas","","World","2013",5286085,110514408,19664242,13922500,20098072,9688828,NA,NA,NA,NA,40894.318998,NA
"Barley","","World","2010",47405964,123303344,36389270,16380850,38169910,15801921,2.6,7,0.19,0.03,23175.221453,0.0639374777432822
"Barley","","World","2011",48442390,132733302,36370039,19174218,38004029,18996167,2.71,7,0.2,0.03,31449.713389,0.0712532408679612
"Barley","","World","2012",49844175,132213548,40425588,20747422,42502967,20669168,2.72,7,0.2,0.03,33779.540179,0.0765851243063414
"Barley","","World","2013",49773553,143421287,43112619,22507109,45098961,22024522,NA,NA,NA,NA,35304.839744,NA
"Bay leaf","","World","2010",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,0.00689873755178973
"Bay leaf","","World","2011",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,0.00802373365166285
"Bay leaf","","World","2012",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,0.00786814984757525
"Bay leaf","","World","2013",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,NA
"Beech nut","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.00298230443775835
"Beech nut","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00334064708994266
"Beech nut","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.00335193658758293
"Beech nut","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,NA
"Beets","","World","2010",18400753,259721091,2758557,471225,2768708,387974,283.67,71,3.79,0.59,77665.050267,0.162688795932803
"Beets","","World","2011",18372783,260792753,2759775,621646,2686773,509204,286.58,71,3.82,0.6,89418.891726,0.167133929893619
"Beets","","World","2012",19028297,271900678,3333541,779056,3197464,635486,296.09,73,3.93,0.61,92384.308643,0.172968034684929
"Beets","","World","2013",19757918,277946312,2918281,782017,3069126,700498,NA,NA,NA,NA,95421.558641,NA
"Black gram","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.0388305996197066
"Black gram","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.0417798339780543
"Black gram","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.0403445593342933
"Black gram","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,NA
"Black salsify","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Black salsify","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Black salsify","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Black salsify","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
"Blueberry","","World","2010",75558,323449,113186,557310,83527,370846,65.96,28,0.34,0.33,786.546623,0.0307720092902218
"Blueberry","","World","2011",81524,363586,127362,639798,91293,450108,68.08,29,0.35,0.34,1082.677138,0.0319429978966012
"Blueberry","","World","2012",82696,397793,136696,638926,109298,567786,70.36,30,0.36,0.35,1175.212893,0.033080099649173
"Blueberry","","World","2013",86521,427760,156914,791053,118937,616126,NA,NA,NA,NA,1103.425429,NA
"Brazil nut","","World","2010",11500,106082,35332,176799,30352,153144,6.02,15,0.4,1.15,81.915159,0.0172515247167693
"Brazil nut","","World","2011",11500,109476,29903,232448,32377,242347,6.34,16,0.42,1.24,100.907722,0.018554139522153
"Brazil nut","","World","2012",11300,108405,27670,207855,30158,213017,6.39,16,0.42,1.23,86.126276,0.0184335744247335
"Brazil nut","","World","2013",11300,108600,32211,215440,32514,214328,NA,NA,NA,NA,84.761951,NA
"Breadfruit","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Breadfruit","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Breadfruit","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Breadfruit","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Buckwheat","","World","2010",1910623,1453880,180653,117415,124723,80254,2.12,6,0.18,0.02,745.515967,0.00357435376883258
"Buckwheat","","World","2011",2337807,2367160,170671,152951,123868,108846,2.17,7,0.18,0.02,1424.57647,0.00407530996543538
"Buckwheat","","World","2012",2491909,2262982,164108,111861,119979,67111,2.06,6,0.17,0.02,949.550232,0.00364438952618041
"Buckwheat","","World","2013",2263608,2263765,159523,99922,145584,70537,NA,NA,NA,NA,745.91524,NA
"Butter-nut","","World","2010",581028,826771,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1912.534388,0.0197813491235681
"Butter-nut","","World","2011",567099,845615,430906,1846159,307097,1490357,6.34,16,0.42,1.24,2195.251104,0.0215235219976333
"Butter-nut","","World","2012",589226,867286,458584,2030043,349900,1618078,6.39,16,0.42,1.23,1971.314058,0.0216456796801047
"Butter-nut","","World","2013",578129,877768,392896,2007377,310183,1603948,NA,NA,NA,NA,2008.074412,NA
"Butternut squash","","World","2010",1736070,22763108,892312,967026,568796,600190,283.67,71,3.79,0.59,8028.022937,0.130663255012495
"Butternut squash","","World","2011",1780650,23661986,938910,884763,599923,526115,286.58,71,3.82,0.6,8561.915827,0.131906170259893
"Butternut squash","","World","2012",1821600,23917255,1158646,1180261,804707,785720,296.09,73,3.93,0.61,8900.281181,0.136502178677288
"Butternut squash","","World","2013",1851136,24522500,1210850,1292064,1179516,1256161,NA,NA,NA,NA,9673.60717,NA
"Cabbages","","World","2010",3457854,86839927,2884680,2153507,2848071,2170860,283.67,71,3.79,0.59,31702.311809,0.143254651254205
"Cabbages","","World","2011",3635706,91844781,3222171,2353169,3145789,2393629,286.58,71,3.82,0.6,29115.173245,0.144474085566883
"Cabbages","","World","2012",3614349,90383048,3338404,2362900,3060892,2219668,296.09,73,3.93,0.61,29380.731584,0.148316355911006
"Cabbages","","World","2013",3622205,92078006,3490137,2777169,3207991,2575998,NA,NA,NA,NA,32693.018812,NA
"Cabbages and other brassicas","","World","2010",3457854,86839927,2884680,2153507,2848071,2170860,283.67,71,3.79,0.59,31702.311809,0.143254651254205
"Cabbages and other brassicas","","World","2011",3635706,91844781,3222171,2353169,3145789,2393629,286.58,71,3.82,0.6,29115.173245,0.144474085566883
"Cabbages and other brassicas","","World","2012",3614349,90383048,3338404,2362900,3060892,2219668,296.09,73,3.93,0.61,29380.731584,0.148316355911006
"Cabbages and other brassicas","","World","2013",3622205,92078006,3490137,2777169,3207991,2575998,NA,NA,NA,NA,32693.018812,NA
"Caesarweed","","World","2010",174067,260086,NA,NA,NA,NA,NA,NA,NA,NA,111.560907,NA
"Caesarweed","","World","2011",177187,273679,NA,NA,NA,NA,NA,NA,NA,NA,134.392861,NA
"Caesarweed","","World","2012",167191,260262,NA,NA,NA,NA,NA,NA,NA,NA,119.172125,NA
"Caesarweed","","World","2013",178613,253350,NA,NA,NA,NA,NA,NA,NA,NA,105.200735,NA
"Cainito","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Cainito","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Cainito","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Cainito","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Calabash","","World","2010",1736070,22763108,892312,967026,568796,600190,283.67,71,3.79,0.59,8028.022937,0.130663255012495
"Calabash","","World","2011",1780650,23661986,938910,884763,599923,526115,286.58,71,3.82,0.6,8561.915827,0.131906170259893
"Calabash","","World","2012",1821600,23917255,1158646,1180261,804707,785720,296.09,73,3.93,0.61,8900.281181,0.136502178677288
"Calabash","","World","2013",1851136,24522500,1210850,1292064,1179516,1256161,NA,NA,NA,NA,9673.60717,NA
"Canary seed","","World","2010",272841,211135,206665,124119,213740,122061,2.12,6,0.18,0.02,86.233317,0.00320329611863423
"Canary seed","","World","2011",224566,201924,214706,160375,230223,174510,2.17,7,0.18,0.02,112.779121,0.0034584860465307
"Canary seed","","World","2012",248212,222470,190439,146116,179668,134293,2.06,6,0.17,0.02,121.921356,0.00314791447495524
"Canary seed","","World","2013",213537,195407,223303,168145,210688,159935,NA,NA,NA,NA,100.929954,NA
"Candlenut","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.00298230443775835
"Candlenut","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00334064708994266
"Candlenut","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.00335193658758293
"Candlenut","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,NA
"Canola","","World","2010",3457854,86839927,2884680,2153507,2848071,2170860,283.67,71,3.79,0.59,31702.311809,0.143254651254205
"Canola","","World","2011",3635706,91844781,3222171,2353169,3145789,2393629,286.58,71,3.82,0.6,29115.173245,0.144474085566883
"Canola","","World","2012",3614349,90383048,3338404,2362900,3060892,2219668,296.09,73,3.93,0.61,29380.731584,0.148316355911006
"Canola","","World","2013",3622205,92078006,3490137,2777169,3207991,2575998,NA,NA,NA,NA,32693.018812,NA
"Capers","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Capers","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Capers","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Capers","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
"Carambola","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Carambola","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Carambola","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Carambola","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Carapa","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.00298230443775835
"Carapa","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00334064708994266
"Carapa","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.00335193658758293
"Carapa","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,NA
"Cardamoms","","World","2010",295642,66669,60659,633089,66312,628118,1.8,6,0.19,0.16,145.672326,0.00512783503289293
"Cardamoms","","World","2011",304119,73974,67051,828925,69945,742976,2.09,7,0.23,0.19,173.549278,0.00612381945764379
"Cardamoms","","World","2012",320044,91402,75902,744627,84199,719351,2.04,7,0.22,0.19,196.936753,0.00598643498740182
"Cardamoms","","World","2013",335363,96243,80334,680181,87083,663201,NA,NA,NA,NA,279.991983,NA
"Carneros Yucca","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Carneros Yucca","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Carneros Yucca","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Carneros Yucca","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Caroa","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Caroa","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Caroa","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Caroa","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Carobs","","World","2010",91921,184159,NA,NA,NA,NA,283.67,71,3.79,0.59,91.774682,NA
"Carobs","","World","2011",88738,195654,NA,NA,NA,NA,286.58,71,3.82,0.6,81.798409,NA
"Carobs","","World","2012",85575,170926,NA,NA,NA,NA,296.09,73,3.93,0.61,66.948213,NA
"Carobs","","World","2013",85175,152863,NA,NA,NA,NA,NA,NA,NA,NA,65.464167,NA
"Carrots","","World","2010",1168725,34956864,2029250,952662,2171953,959892,283.67,71,3.79,0.59,10765.01962,0.132835876262252
"Carrots","","World","2011",1204414,36565572,2227002,1114323,2301932,1110407,286.58,71,3.82,0.6,12572.877126,0.134858503642371
"Carrots","","World","2012",1192622,37291861,2179163,1089379,2273590,1102940,296.09,73,3.93,0.61,12749.252558,0.138861947983945
"Carrots","","World","2013",1141554,38033338,2351989,1250679,2371111,1220152,NA,NA,NA,NA,14694.028918,NA
"Cashews","","World","2010",5822507,5958751,833195,2565198,1084720,2757156,6.02,15,0.4,1.15,3625.838178,0.023421527960706
"Cashews","","World","2011",6307249,6343465,1203393,3874087,1414808,4157421,6.34,16,0.42,1.24,4730.590465,0.0271994308925141
"Cashews","","World","2012",6423682,6325362,1577818,3883074,1510343,4250612,6.39,16,0.42,1.23,4269.234118,0.0272146326780389
"Cashews","","World","2013",6628341,6377558,1636109,3910892,1764870,3827430,NA,NA,NA,NA,4090.093426,NA
"Cassava","","World","2010",19726464,240783482,34366256,4577657,32201849,4083271,37.97,36,0.24,0.06,38745.865699,0.0666027568511604
"Cassava","","World","2011",20637545,253511158,34974213,5808587,34599699,5424299,39.66,38,0.25,0.07,44122.138486,0.0724107333788886
"Cassava","","World","2012",23276580,261524990,48361293,6983395,43566767,6063290,40.47,38,0.25,0.07,44360.207993,0.0803243197454463
"Cassava","","World","2013",23682582,261591709,47016697,7070645,45695005,6529345,NA,NA,NA,NA,45371.26317,NA
"Castor bean","","World","2010",1532610,1741152,511767,784600,504418,712909,0.34,1,0.07,0.09,831.027652,0.00334842466694705
"Castor bean","","World","2011",2179891,2742188,468435,1063463,491250,1038288,0.38,1,0.08,0.09,1458.068754,0.00415400187410629
"Castor bean","","World","2012",1737223,2245950,562932,886402,580779,853511,0.38,1,0.08,0.09,1143.170216,0.00376447838375961
"Castor bean","","World","2013",1459013,1935477,581980,855910,707304,910057,NA,NA,NA,NA,883.604792,NA
"Ceara","","World","2010",NA,32652,NA,NA,NA,NA,NA,NA,NA,NA,22.953075,NA
"Ceara","","World","2011",NA,38803,NA,NA,NA,NA,NA,NA,NA,NA,38.705732,NA
"Ceara","","World","2012",NA,48204,NA,NA,NA,NA,NA,NA,NA,NA,51.78589,NA
"Ceara","","World","2013",NA,51957,NA,NA,NA,NA,NA,NA,NA,NA,58.259854,NA
"Celery","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Celery","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Celery","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Celery","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
