regions
CAF
CAM
CAR
CAS
EAF
EAS
EEU-N
EEU-S
IOI
NAM
PAC-ANZ
PAC-T
SAF
SAM-A
SAM-Tem
SAM-Tro
SAS
SEA
SEM
WAF
WAS
WEU-N
WEU-S
