Item,Item_cleaned,Metric,Kingdom,Useable,Notes
"Meat, cattle","Meat, cattle",Trade_crops_livestock,Animal,N,
"Meat, cattle","Meat, cattle",Value of production,Animal,N,
"Meat, cattle, boneless (beef & veal)","Meat, cattle, boneless (beef & veal)",Trade_crops_livestock,Animal,N,
"Meat, chicken","Meat, chicken",Trade_crops_livestock,Animal,N,
"Meat, chicken","Meat, chicken",Value of production,Animal,N,
"Meat, chicken, canned","Meat, chicken, canned",Trade_crops_livestock,Animal,N,
"Meat, dried nes","Meat, dried nes",Trade_crops_livestock,Animal,N,
"Meat, duck","Meat, duck",Trade_crops_livestock,Animal,N,
"Meat, duck","Meat, duck",Value of production,Animal,N,
"Meat, game","Meat, game",Trade_crops_livestock,Animal,N,
"Meat, game","Meat, game",Value of production,Animal,N,
"Meat, goat","Meat, goat",Trade_crops_livestock,Animal,N,
"Meat, goat","Meat, goat",Value of production,Animal,N,
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",Trade_crops_livestock,Animal,N,
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",Value of production,Animal,N,
"Meat, horse","Meat, horse",Trade_crops_livestock,Animal,N,
"Meat, horse","Meat, horse",Value of production,Animal,N,
"Meat, mule","Meat, mule",Value of production,Animal,N,
"Meat, nes","Meat, nes",Trade_crops_livestock,Animal,N,
"Meat, nes","Meat, nes",Value of production,Animal,N,
"Meat, other camelids","Meat, other camelids",Value of production,Animal,N,
"Meat, other rodents","Meat, other rodents",Value of production,Animal,N,
"Meat, pig","Meat, pig",Trade_crops_livestock,Animal,N,
"Meat, pig","Meat, pig",Value of production,Animal,N,
"Meat, pig sausages","Meat, pig sausages",Trade_crops_livestock,Animal,N,
"Meat, pig, preparations","Meat, pig, preparations",Trade_crops_livestock,Animal,N,
"Meat, pork","Meat, pork",Trade_crops_livestock,Animal,N,
"Meat, rabbit","Meat, rabbit",Trade_crops_livestock,Animal,N,
"Meat, rabbit","Meat, rabbit",Value of production,Animal,N,
"Meat, sheep","Meat, sheep",Trade_crops_livestock,Animal,N,
"Meat, sheep","Meat, sheep",Value of production,Animal,N,
"Meat, turkey","Meat, turkey",Trade_crops_livestock,Animal,N,
"Meat, turkey","Meat, turkey",Value of production,Animal,N,
Milk Condensed + Evaporated,Milk Condensed + Evaporated,Trade_crops_livestock,Animal,N,
Milk Condensed+Dry+Fresh,Milk Condensed+Dry+Fresh,Trade_crops_livestock,Animal,N,
Milk Dry,Milk Dry,Trade_crops_livestock,Animal,N,
Milk Equivalent,Milk Equivalent,Trade_crops_livestock,Animal,N,
Milk Fresh,Milk Fresh,Trade_crops_livestock,Animal,N,
"Milk, products of natural constituents nes","Milk, products of natural constituents nes",Trade_crops_livestock,Animal,N,
"Milk, reconstituted","Milk, reconstituted",Trade_crops_livestock,Animal,N,
"Milk, skimmed cow","Milk, skimmed cow",Trade_crops_livestock,Animal,N,
"Milk, skimmed dried","Milk, skimmed dried",Trade_crops_livestock,Animal,N,
"Milk, whole condensed","Milk, whole condensed",Trade_crops_livestock,Animal,N,
"Milk, whole dried","Milk, whole dried",Trade_crops_livestock,Animal,N,
"Milk, whole evaporated","Milk, whole evaporated",Trade_crops_livestock,Animal,N,
"Milk, whole fresh buffalo","Milk, whole fresh buffalo",Value of production,Animal,N,
"Milk, whole fresh camel","Milk, whole fresh camel",Value of production,Animal,N,
"Milk, whole fresh cow","Milk, whole fresh cow",Trade_crops_livestock,Animal,N,
"Milk, whole fresh cow","Milk, whole fresh cow",Value of production,Animal,N,
"Milk, whole fresh goat","Milk, whole fresh goat",Value of production,Animal,N,
"Milk, whole fresh sheep","Milk, whole fresh sheep",Trade_crops_livestock,Animal,N,
"Milk, whole fresh sheep","Milk, whole fresh sheep",Value of production,Animal,N,
"Milk,Total","Milk,Total",Value of production,Animal,N,
Offals Edibl Fresh,Offals Edibl Fresh,Trade_crops_livestock,Animal,N,
"Offals, edible, cattle","Offals, edible, cattle",Trade_crops_livestock,Animal,N,
"Offals, edible, goats","Offals, edible, goats",Trade_crops_livestock,Animal,N,
"Offals, liver chicken","Offals, liver chicken",Trade_crops_livestock,Animal,N,
"Offals, liver duck","Offals, liver duck",Trade_crops_livestock,Animal,N,
"Offals, liver geese","Offals, liver geese",Trade_crops_livestock,Animal,N,
"Offals, other camelids","Offals, other camelids",Trade_crops_livestock,Animal,N,
"Offals, pigs, edible","Offals, pigs, edible",Trade_crops_livestock,Animal,N,
"Offals, sheep,edible","Offals, sheep,edible",Trade_crops_livestock,Animal,N,
"Oils, fats of animal nes","Oils, fats of animal nes",Trade_crops_livestock,Animal,N,
Other Meat,Other Meat,Trade_crops_livestock,Animal,N,
Ovine Meat,Ovine Meat,Trade_crops_livestock,Animal,N,
Pigmeat,Pigmeat,Trade_crops_livestock,Animal,N,
Poultry Meat,Poultry Meat,Trade_crops_livestock,Animal,N,
Silk,Silk,Trade_crops_livestock,Animal,N,
Silk raw,Silk raw,Trade_crops_livestock,Animal,N,
"Silk-worm cocoons, reelable","Silk-worm cocoons, reelable",Trade_crops_livestock,Animal,N,
"Silk-worm cocoons, reelable","Silk-worm cocoons, reelable",Value of production,Animal,N,
"Skins, calve, wet salted","Skins, calve, wet salted",Trade_crops_livestock,Animal,N,
"Skins, goat, wet salted","Skins, goat, wet salted",Trade_crops_livestock,Animal,N,
