country,region_country
MAR,SEM
AFG,WAS
AGO,CAF
AGO,SAF
ALB,EEU-S
ARE,WAS
ARG,SAM-Tem
ARM,CAS
ARM,EEU-S
ATG,CAR
AUS,PAC-ANZ
AUT,WEU-N
AZE,CAS
BEL,WEU-N
BEN,WAF
BFA,WAF
BGD,SAS
BGR,EEU-S
BHS,CAR
BIH,EEU-S
BLR,EEU-N
BLZ,CAM
BMU,CAR
BOL,SAM-A
BOL,SAM-Tro
BRA,SAM-Tro
BRB,CAR
BRN,SEA
BWA,SAF
CAF,CAF
CAN,NAM
CHE,WEU-N
CHL,SAM-A
CHL,SAM-Tem
CHN,EAS
CIV,WAF
CMR,CAF
COG,CAF
COL,SAM-A
COL,SAM-Tro
CPV,WAF
CRI,CAM
CUB,CAR
CYP,SEM
CZE,EEU-N
DEU,WEU-N
DJI,EAF
DMA,CAR
DNK,WEU-N
DOM,CAR
DZA,SEM
ECU,SAM-A
ECU,SAM-Tro
EGY,SEM
ESP,WEU-S
EST,EEU-N
ETH,EAF
FIN,WEU-N
FJI,PAC-T
FRA,WEU-N
FRA,WEU-S
GAB,CAF
GBR,WEU-N
GEO,CAS
GEO,EEU-S
GHA,WAF
GIN,WAF
GMB,WAF
GNB,WAF
GRC,EEU-S
GRD,CAR
GTM,CAM
GUY,SAM-Tro
HKG,EAS
HND,CAM
HRV,EEU-S
HTI,CAR
HUN,EEU-N
IDN,SEA
IND,SAS
IRL,WEU-N
IRN,WAS
IRQ,WAS
ISL,WEU-N
ISR,SEM
ISR,WAS
ITA,WEU-S
JAM,CAR
JOR,SEM
JOR,WAS
JPN,EAS
KAZ,CAS
KEN,EAF
KGZ,CAS
KHM,SEA
KIR,PAC-T
KNA,CAR
KOR,EAS
KWT,WAS
LAO,SEA
LBN,SEM
LBN,WAS
LBR,WAF
LBY,SEM
LCA,CAR
LKA,SAS
LSO,SAF
LTU,EEU-N
LUX,WEU-N
LVA,EEU-N
MAC,EAS
MDA,EEU-N
MDG,IOI
MDV,SAS
MEX,CAM
MKD,EEU-S
MLI,WAF
MLT,SEM
MMR,SEA
MNE,EEU-S
MNG,EAS
MOZ,SAF
MRT,WAF
MUS,IOI
MWI,SAF
MYS,SEA
NAM,SAF
NCL,PAC-T
NER,WAF
NGA,WAF
NIC,CAM
NLD,WEU-N
NOR,WEU-N
NPL,SAS
NZL,PAC-ANZ
PAK,WAS
PAN,CAM
PER,SAM-A
PER,SAM-Tro
PHL,SEA
POL,EEU-N
PRK,EAS
PRT,WEU-S
PRY,SAM-Tro
PSE,SEM
PSE,WAS
PYF,PAC-T
ROU,EEU-N
RUS,EEU-N
RWA,EAF
SAU,WAS
SDN,EAF
SEN,WAF
SLB,PAC-T
SLE,WAF
SLV,CAM
SOM,EAF
SRB,EEU-S
STP,CAF
SUR,SAM-Tro
SVK,EEU-N
SVN,EEU-S
SWE,WEU-N
SWZ,SAF
SYR,SEM
SYR,WAS
TCD,WAF
TGO,WAF
THA,SEA
TJK,CAS
TKM,CAS
TLS,SEA
TTO,CAR
TUN,SEM
TUR,EEU-S
TUR,SEM
TUR,WAS
TWN,EAS
TZA,SAF
UGA,EAF
UKR,EEU-N
URY,SAM-Tem
USA,NAM
UZB,CAS
VCT,CAR
VEN,SAM-Tro
VNM,SEA
VUT,PAC-T
WSM,PAC-T
YEM,WAS
ZAF,SAF
ZMB,SAF
ZWE,SAF
