group,crop,percentage
"Cereals, nes",Adlay,0.2
Agave fibres nes,Agave,1
Fibre crops nes,Albardine,0.125
"Cereals, nes",Amaranth,0.2
"Roots and tubers, nes",Arracacha,0.1
"Roots and tubers, nes",Arrowroot,0.1
"Fruit, tropical fresh nes",Atemoya,0.052631579
"Fruit, fresh nes",Azarole,0.076923077
"Fruit, fresh nes",Babaco,0.076923077
"Vegetables, fresh nes",Bamboo shoot,0.055555556
"Spices, nes",Bay leaf,0.166666667
Oilseeds nes,Beech nut,0.083333333
"Vegetables, fresh nes",Beets,0.055555556
"Vegetables, fresh nes",Black salsify,0.055555556
"Fruit, tropical fresh nes",Breadfruit,0.052631579
"Nuts, nes",Butter-nut,0.2
"Fruit, tropical fresh nes",Cainito,0.052631579
Oilseeds nes,Candlenut,0.083333333
"Vegetables, fresh nes",Capers,0.055555556
"Fruit, tropical fresh nes",Carambola,0.052631579
Oilseeds nes,Carapa,0.083333333
Fibre crops nes,Carneros Yucca,0.125
Fibre crops nes,Caroa,0.125
"Vegetables, fresh nes",Celery,0.055555556
"Fruit, tropical fresh nes",Cherimoya,0.052631579
"Vegetables, fresh nes",Chervil,0.055555556
Oilseeds nes,Chontadura,0.083333333
"Roots and tubers, nes",Chufa,0.1
"Vegetables, fresh nes",Cress,0.055555556
"Fruit, tropical fresh nes",Custard apple,0.052631579
"Spices, nes",Dill,0.166666667
"Fruit, tropical fresh nes",Durian,0.052631579
"Fruit, fresh nes",Elderberry,0.076923077
Fibre crops nes,Esparto,0.125
"Fruit, tropical fresh nes",Feijoa,0.052631579
"Spices, nes",Fenugreek,0.166666667
Fibre crops nes,Fique,0.125
Fibre crops nes,Giant cabuya,0.125
"Pulses, nes",Grasspea,0.142857143
"Vegetables, fresh nes",Horseradish,0.055555556
"Berries, nes",Huckleberry,0.333333333
"Pulses, nes",Jack bean,0.142857143
"Fruit, tropical fresh nes",Jackfruit,0.052631579
"Roots and tubers, nes",Jerusalem artichoke,0.1
"Pulses, nes",Jicama,0.142857143
"Fruit, fresh nes",Jujube,0.076923077
"Cereals, nes",Kaniwa,0.2
"Cereals, nes",Kiwicha,0.2
"Pulses, nes",Lablab,0.142857143
"Fruit, fresh nes",Litchi,0.076923077
"Fruit, tropical fresh nes",Longan,0.052631579
"Fruit, fresh nes",Loquat,0.076923077
"Roots and tubers, nes",Maca,0.1
"Nuts, nes",Macadamia nut,0.2
Oilseeds nes,Mahuwa,0.083333333
"Fruit, tropical fresh nes",Mamey sapote,0.052631579
"Fruit, tropical fresh nes",Mammee,0.052631579
"Sugar crops, nes",Maple sugar,1
"Vegetables, fresh nes",Marjoram,0.055555556
"Roots and tubers, nes",Mashua,0.1
"Roots and tubers, nes",Mauka,0.1
"Fruit, fresh nes",Medlar,0.076923077
"Fruit, tropical fresh nes",Mombin,0.052631579
"Berries, nes",Mulberry,0.333333333
"Berries, nes",Myrtle,0.333333333
"Fruit, tropical fresh nes",Naranjilla,0.052631579
Fibre crops nes,New Zealand flax,0.125
Oilseeds nes,Noog,0.083333333
"Roots and tubers, nes",Oca,0.1
Oilseeds nes,Oiticica,0.083333333
"Vegetables, fresh nes",Parsley,0.055555556
"Vegetables, fresh nes",Parsnip,0.055555556
"Fruit, tropical fresh nes",Passionfruit,0.052631579
"Fruit, fresh nes",Pawpaw,0.076923077
"Nuts, nes",Pecan,0.2
Oilseeds nes,Perilla,0.083333333
Oilseeds nes,Physic nut,0.083333333
"Nuts, nes",Pili nut,0.2
"Nuts, nes",Pine nut,0.2
"Fruit, fresh nes",Pomegranate,0.076923077
Oilseeds nes,Pongamia oil,0.083333333
"Fruit, fresh nes",Prickly pear,0.076923077
Oilseeds nes,Purging croton,0.083333333
"Vegetables, fresh nes",Radish,0.055555556
"Fruit, tropical fresh nes",Rambutan,0.052631579
"Vegetables, fresh nes",Rhubarb,0.055555556
"Spices, nes",Saffron,0.166666667
"Roots and tubers, nes",Sago palm,0.1
"Vegetables, fresh nes",Salsify,0.055555556
"Fruit, tropical fresh nes",Sapodilla,0.052631579
"Vegetables, fresh nes",Savory,0.055555556
"Fruit, fresh nes",Service tree,0.076923077
Oilseeds nes,Shala tree,0.083333333
Fibre crops nes,Snake plant,0.125
"Vegetables, fresh nes",Sorrel,0.055555556
"Fruit, tropical fresh nes",Soursop,0.052631579
"Fruit, fresh nes",Strawberry tree,0.076923077
"Fruit, tropical fresh nes",Sugar apple,0.052631579
"Pulses, nes",Sword bean,0.142857143
"Fruit, fresh nes",Tamarind,0.076923077
"Vegetables, fresh nes",Tarragon,0.055555556
"Spices, nes",Thyme,0.166666667
"Spices, nes",Turmeric,0.166666667
"Roots and tubers, nes",Ulluco,0.1
"Pulses, nes",Velvet bean,0.142857143
"Vegetables, fresh nes",Watercress,0.055555556
"Cereals, nes",Wildrice,0.2
"Pulses, nes",Winged bean,0.142857143
