Item,Item_cleaned,Metric,Useable
"Beverages, fermented rice",Rice,faostat-crops_lives_products,Y
"Cake, rice bran",Rice,faostat-crops_lives_products,Y
"Oil, rice bran",Rice,faostat-crops_lives_products,Y
Rice,Rice,faostat-crops_lives_products,Y
"Rice, paddy",Rice,faostat-value_agricultural_production,Y
"Roots and tubers, nes","Roots and tubers, nes",faostat-crops,Y
"Roots and tubers, nes","Roots and tubers, nes",faostat-crops_lives_products,Y
"Roots and tubers, nes","Roots and tubers, nes",faostat-value_agricultural_production,Y
"Roots, Other","Roots, Other",faostat-commodity_balances,Y
"Roots, Other","Roots, Other",faostat-food_supply,Y
Rubber,"Rubber, natural",faostat-commodity_balances,Y
"Rubber, natural","Rubber, natural",faostat-crops,Y
Natural Rubber,"Rubber, natural",faostat-crops_lives_products,Y
Rubber natural dry,"Rubber, natural",faostat-crops_lives_products,Y
"Rubber, natural","Rubber, natural",faostat-crops_lives_products,Y
"Rubber, natural","Rubber, natural",faostat-value_agricultural_production,Y
Rye and products,Rye,faostat-commodity_balances,Y
Rye and products,Rye,faostat-food_supply,Y
Rye,Rye,faostat-crops,Y
Rye,Rye,faostat-crops_lives_products,Y
Rye,Rye,faostat-value_agricultural_production,Y
Safflower seed,Safflower,faostat-crops,Y
"Cake, safflower",Safflower,faostat-crops_lives_products,Y
"Oil, safflower",Safflower,faostat-crops_lives_products,Y
Safflower seed,Safflower,faostat-value_agricultural_production,Y
Sesame seed,Sesame,faostat-commodity_balances,Y
Sesameseed Cake,Sesame,faostat-commodity_balances,Y
Sesameseed Oil,Sesame,faostat-commodity_balances,Y
Sesame seed,Sesame,faostat-food_supply,Y
Sesameseed Oil,Sesame,faostat-food_supply,Y
Sesame seed,Sesame,faostat-crops,Y
"Cake, sesame seed",Sesame,faostat-crops_lives_products,Y
"Oil, sesame",Sesame,faostat-crops_lives_products,Y
Sesame seed,Sesame,faostat-crops_lives_products,Y
Sesame seed,Sesame,faostat-value_agricultural_production,Y
Sisal,Sisal,faostat-commodity_balances,Y
Sisal,Sisal,faostat-crops,Y
Sisal,Sisal,faostat-value_agricultural_production,Y
Sorghum and products,Sorghum,faostat-commodity_balances,Y
Sorghum and products,Sorghum,faostat-food_supply,Y
Sorghum,Sorghum,faostat-crops,Y
Beer of sorghum,Sorghum,faostat-crops_lives_products,Y
"Bran, sorghum",Sorghum,faostat-crops_lives_products,Y
Sorghum,Sorghum,faostat-crops_lives_products,Y
Sorghum,Sorghum,faostat-value_agricultural_production,Y
Soyabean Cake,Soybean,faostat-commodity_balances,Y
Soyabean Oil,Soybean,faostat-commodity_balances,Y
Soyabeans,Soybean,faostat-commodity_balances,Y
Soyabean Oil,Soybean,faostat-food_supply,Y
Soyabeans,Soybean,faostat-food_supply,Y
Soybeans,Soybean,faostat-crops,Y
"Cake, soybeans",Soybean,faostat-crops_lives_products,Y
"Oil, soybean",Soybean,faostat-crops_lives_products,Y
Soya curd,Soybean,faostat-crops_lives_products,Y
Soya paste,Soybean,faostat-crops_lives_products,Y
Soya sauce,Soybean,faostat-crops_lives_products,Y
Soybeans,Soybean,faostat-crops_lives_products,Y
Soybeans,Soybean,faostat-value_agricultural_production,Y
"Spices, nes","Spices, nes",faostat-crops,Y
"Spices, nes","Spices, nes",faostat-crops_lives_products,Y
"Spices, nes","Spices, nes",faostat-value_agricultural_production,Y
"Spices, Other","Spices, Other",faostat-commodity_balances,Y
"Spices, Other","Spices, Other",faostat-food_supply,Y
Spinach,Spinach,faostat-crops,Y
Spinach,Spinach,faostat-crops_lives_products,Y
Spinach,Spinach,faostat-value_agricultural_production,Y
Stimulants,Stimulants,faostat-commodity_balances,Y
Stimulants,Stimulants,faostat-food_supply,Y
Strawberries,Strawberries,faostat-crops,Y
Strawberries,Strawberries,faostat-crops_lives_products,Y
Strawberries,Strawberries,faostat-value_agricultural_production,Y
Sugar beet,Sugar beet,faostat-commodity_balances,Y
Sugar beet,Sugar beet,faostat-food_supply,Y
Sugar beet,Sugar beet,faostat-crops,Y
Sugar beet,Sugar beet,faostat-crops_lives_products,Y
Sugar beet,Sugar beet,faostat-value_agricultural_production,Y
"Sugar crops, nes","Sugar crops, nes",faostat-crops,Y
"Sugar crops, nes","Sugar crops, nes",faostat-crops_lives_products,Y
"Sugar crops, nes","Sugar crops, nes",faostat-value_agricultural_production,Y
Sugar cane,Sugarcane,faostat-commodity_balances,Y
Sugar cane,Sugarcane,faostat-food_supply,Y
Sugar cane,Sugarcane,faostat-crops,Y
Cane tops,Sugarcane,faostat-crops_lives_products,Y
Sugar cane,Sugarcane,faostat-value_agricultural_production,Y
Sunflower seed,Sunflower,faostat-commodity_balances,Y
Sunflowerseed Cake,Sunflower,faostat-commodity_balances,Y
Sunflowerseed Oil,Sunflower,faostat-commodity_balances,Y
Sunflower seed,Sunflower,faostat-food_supply,Y
Sunflowerseed Oil,Sunflower,faostat-food_supply,Y
Sunflower seed,Sunflower,faostat-crops,Y
"Cake, sunflower",Sunflower,faostat-crops_lives_products,Y
"Oil, sunflower",Sunflower,faostat-crops_lives_products,Y
Sunflower seed,Sunflower,faostat-crops_lives_products,Y
Sunflower seed,Sunflower,faostat-value_agricultural_production,Y
Sugar (Raw Equivalent),"Sweeteners, Other",faostat-commodity_balances,Y
"Sweeteners, Other","Sweeteners, Other",faostat-commodity_balances,Y
Sugar (Raw Equivalent),"Sweeteners, Other",faostat-food_supply,Y
"Sweeteners, Other","Sweeteners, Other",faostat-food_supply,Y
Sweet potatoes,Sweetpotato,faostat-commodity_balances,Y
Sweet potatoes,Sweetpotato,faostat-food_supply,Y
Sweet potatoes,Sweetpotato,faostat-crops,Y
Sweet potatoes,Sweetpotato,faostat-crops_lives_products,Y
Sweet potatoes,Sweetpotato,faostat-value_agricultural_production,Y
Tallowtree seed,Tallow,faostat-crops,Y
Tallow,Tallow,faostat-crops_lives_products,Y
Taro (cocoyam),Taro,faostat-crops,Y
Taro (cocoyam),Taro,faostat-value_agricultural_production,Y
Tea,Tea,faostat-crops,Y
Tea,Tea,faostat-crops_lives_products,Y
Tea,Tea,faostat-value_agricultural_production,Y
Tea (including mate),Tea and mate,faostat-commodity_balances,Y
Tea (including mate),Tea and mate,faostat-food_supply,Y
Tobacco,Tobacco,faostat-commodity_balances,Y
"Tobacco, unmanufactured",Tobacco,faostat-crops,Y
Tobacco,Tobacco,faostat-crops_lives_products,Y
Tobacco products nes,Tobacco,faostat-crops_lives_products,Y
"Tobacco, unmanufactured",Tobacco,faostat-crops_lives_products,Y
"Tobacco, unmanufactured",Tobacco,faostat-value_agricultural_production,Y
Tomatoes and products,Tomatoes,faostat-commodity_balances,Y
Tomatoes and products,Tomatoes,faostat-food_supply,Y
Tomatoes,Tomatoes,faostat-crops,Y
"Juice, tomato",Tomatoes,faostat-crops_lives_products,Y
Tomatoes,Tomatoes,faostat-crops_lives_products,Y
"Tomatoes, paste",Tomatoes,faostat-crops_lives_products,Y
"Tomatoes, peeled",Tomatoes,faostat-crops_lives_products,Y
Tomatoes,Tomatoes,faostat-value_agricultural_production,Y
Treenuts,Treenuts,faostat-commodity_balances,Y
Treenuts,Treenuts,faostat-food_supply,Y
Triticale,Triticale,faostat-crops,Y
Triticale,Triticale,faostat-crops_lives_products,Y
Triticale,Triticale,faostat-value_agricultural_production,Y
Tung nuts,Tung,faostat-crops,Y
Tung nuts,Tung,faostat-value_agricultural_production,Y
Turnips for fodder,Turnip,faostat-crops_lives_products,Y
Vanilla,Vanilla,faostat-crops,Y
Vanilla,Vanilla,faostat-crops_lives_products,Y
Vanilla,Vanilla,faostat-value_agricultural_production,Y
"Vegetables, fresh nes","Vegetables, fresh nes",faostat-crops,Y
"Vegetables, fresh nes","Vegetables, fresh nes",faostat-crops_lives_products,Y
"Vegetables, fresh nes","Vegetables, fresh nes",faostat-value_agricultural_production,Y
"Vegetables, Other","Vegetables, Other",faostat-commodity_balances,Y
"Vegetables, Other","Vegetables, Other",faostat-food_supply,Y
Vetches,Vetches,faostat-crops,Y
Vetches,Vetches,faostat-crops_lives_products,Y
Vetches,Vetches,faostat-value_agricultural_production,Y
"Walnuts, with shell",Walnuts,faostat-crops,Y
"Walnuts, shelled",Walnuts,faostat-crops_lives_products,Y
"Walnuts, with shell",Walnuts,faostat-crops_lives_products,Y
"Walnuts, with shell",Walnuts,faostat-value_agricultural_production,Y
Watermelons,Watermelons,faostat-crops,Y
Watermelons,Watermelons,faostat-crops_lives_products,Y
Watermelons,Watermelons,faostat-value_agricultural_production,Y
Wheat and products,Wheat,faostat-commodity_balances,Y
Wheat and products,Wheat,faostat-food_supply,Y
Wheat,Wheat,faostat-crops,Y
"Bran, wheat",Wheat,faostat-crops_lives_products,Y
Bulgur,Wheat,faostat-crops_lives_products,Y
"Flour, wheat",Wheat,faostat-crops_lives_products,Y
Macaroni,Wheat,faostat-crops_lives_products,Y
Wheat,Wheat,faostat-crops_lives_products,Y
"Wheat+Flour,Wheat Equivalent",Wheat,faostat-crops_lives_products,Y
Wheat,Wheat,faostat-value_agricultural_production,Y
Yams,Yams,faostat-commodity_balances,Y
Yams,Yams,faostat-food_supply,Y
Yams,Yams,faostat-crops,Y
Yams,Yams,faostat-value_agricultural_production,Y
Yautia (cocoyam),Yautia cocoyam,faostat-crops,Y
Yautia (cocoyam),Yautia cocoyam,faostat-value_agricultural_production,Y
