Item,Item_cleaned,Metric,Useable
"Meat, game","Meat, game",faostat-value_agricultural_production,N
"Meat, goat","Meat, goat",faostat-crops_lives_products,N
"Meat, goat","Meat, goat",faostat-value_agricultural_production,N
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",faostat-crops_lives_products,N
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",faostat-value_agricultural_production,N
"Meat, horse","Meat, horse",faostat-crops_lives_products,N
"Meat, horse","Meat, horse",faostat-value_agricultural_production,N
"Meat, mule","Meat, mule",faostat-value_agricultural_production,N
"Meat, nes","Meat, nes",faostat-crops_lives_products,N
"Meat, nes","Meat, nes",faostat-value_agricultural_production,N
"Meat, other camelids","Meat, other camelids",faostat-value_agricultural_production,N
"Meat, other rodents","Meat, other rodents",faostat-value_agricultural_production,N
"Meat, pig","Meat, pig",faostat-crops_lives_products,N
"Meat, pig","Meat, pig",faostat-value_agricultural_production,N
"Meat, pig sausages","Meat, pig sausages",faostat-crops_lives_products,N
"Meat, pig, preparations","Meat, pig, preparations",faostat-crops_lives_products,N
"Meat, pork","Meat, pork",faostat-crops_lives_products,N
"Meat, rabbit","Meat, rabbit",faostat-crops_lives_products,N
"Meat, rabbit","Meat, rabbit",faostat-value_agricultural_production,N
"Meat, sheep","Meat, sheep",faostat-crops_lives_products,N
"Meat, sheep","Meat, sheep",faostat-value_agricultural_production,N
"Meat, turkey","Meat, turkey",faostat-crops_lives_products,N
"Meat, turkey","Meat, turkey",faostat-value_agricultural_production,N
Milk Condensed + Evaporated,Milk Condensed + Evaporated,faostat-crops_lives_products,N
Milk Condensed+Dry+Fresh,Milk Condensed+Dry+Fresh,faostat-crops_lives_products,N
Milk Dry,Milk Dry,faostat-crops_lives_products,N
Milk Equivalent,Milk Equivalent,faostat-crops_lives_products,N
Milk Fresh,Milk Fresh,faostat-crops_lives_products,N
"Milk, products of natural constituents nes","Milk, products of natural constituents nes",faostat-crops_lives_products,N
"Milk, reconstituted","Milk, reconstituted",faostat-crops_lives_products,N
"Milk, skimmed cow","Milk, skimmed cow",faostat-crops_lives_products,N
"Milk, skimmed dried","Milk, skimmed dried",faostat-crops_lives_products,N
"Milk, whole condensed","Milk, whole condensed",faostat-crops_lives_products,N
"Milk, whole dried","Milk, whole dried",faostat-crops_lives_products,N
"Milk, whole evaporated","Milk, whole evaporated",faostat-crops_lives_products,N
"Milk, whole fresh buffalo","Milk, whole fresh buffalo",faostat-value_agricultural_production,N
"Milk, whole fresh camel","Milk, whole fresh camel",faostat-value_agricultural_production,N
"Milk, whole fresh cow","Milk, whole fresh cow",faostat-crops_lives_products,N
"Milk, whole fresh cow","Milk, whole fresh cow",faostat-value_agricultural_production,N
"Milk, whole fresh goat","Milk, whole fresh goat",faostat-value_agricultural_production,N
"Milk, whole fresh sheep","Milk, whole fresh sheep",faostat-crops_lives_products,N
"Milk, whole fresh sheep","Milk, whole fresh sheep",faostat-value_agricultural_production,N
"Milk,Total","Milk,Total",faostat-value_agricultural_production,N
Offals Edibl Fresh,Offals Edibl Fresh,faostat-crops_lives_products,N
"Offals, edible, cattle","Offals, edible, cattle",faostat-crops_lives_products,N
"Offals, edible, goats","Offals, edible, goats",faostat-crops_lives_products,N
"Offals, liver chicken","Offals, liver chicken",faostat-crops_lives_products,N
"Offals, liver duck","Offals, liver duck",faostat-crops_lives_products,N
"Offals, liver geese","Offals, liver geese",faostat-crops_lives_products,N
"Offals, other camelids","Offals, other camelids",faostat-crops_lives_products,N
"Offals, pigs, edible","Offals, pigs, edible",faostat-crops_lives_products,N
"Offals, sheep,edible","Offals, sheep,edible",faostat-crops_lives_products,N
